seq,ax,ay,az,wroll,wpitch,wyaw
2814,0.651106,-9.584337,0.224432,-6.469924,3.295999,-3.097629
2815,0.614593,-9.638211,0.146607,-5.462813,3.212073,-2.929777
2816,0.709167,-9.575957,0.221451,-4.219184,3.166295,-2.029481
2817,0.627162,-9.668122,0.267493,-3.982666,3.410444,0.038148
2818,0.478120,-9.639442,-0.112555,-4.371777,3.158666,-1.541185
2819,0.424847,-9.690910,-0.087443,-3.479110,3.234962,-1.480148
2821,0.518225,-9.707112,-0.442331,-4.272591,3.295999,-1.571703
2822,0.448189,-9.549557,0.789973,-1.899777,3.128147,-1.556444
2823,0.477520,-9.640004,0.194464,-8.819849,3.082370,-1.449629
2824,0.500267,-9.646618,-0.065274,-5.737480,3.227332,-1.472518
2825,0.427241,-9.649618,-0.120944,-5.287332,3.212073,-1.487777
2826,0.461360,-9.663388,-0.147276,-5.310221,3.227332,-1.464888
2827,0.500267,-9.676547,-0.098199,-5.218665,3.181555,-1.457259
2828,0.449388,-9.662187,-0.110172,-5.272072,3.219703,-1.480148
2829,0.459564,-9.656200,-0.108972,-5.249184,3.257851,-1.541185
2830,0.472134,-9.647223,-0.116149,-5.134739,3.204443,-1.541185
2831,0.449987,-9.650813,-0.098199,-5.226295,3.219703,-1.518296
2832,0.459564,-9.668172,-0.113763,-5.233924,3.196814,-1.518296
2833,0.491887,-9.672357,-0.102987,-5.226295,3.219703,-1.510666
2834,0.476923,-9.641241,-0.138889,-5.218665,3.273110,-1.503037
2835,0.466747,-9.652609,-0.111364,-5.211035,3.204443,-1.548814
2836,0.497274,-9.632857,-0.095194,-5.165258,3.265481,-1.510666
2837,0.505654,-9.672956,-0.098198,-5.211035,3.227332,-1.503037
2838,0.443403,-9.640043,-0.133507,-5.142369,3.257851,-1.480148
2839,0.488894,-9.653812,-0.163428,-5.149999,3.227332,-1.487777
2840,0.479317,-9.663384,-0.125130,-5.256813,3.265481,-1.457259
2841,0.468543,-9.662184,-0.100594,-5.134739,3.196814,-1.510666
2842,0.478718,-9.658591,-0.092811,-5.233924,3.181555,-1.472518
2843,0.469141,-9.649019,-0.120339,-5.157628,3.250221,-1.495407
2844,0.452381,-9.663383,-0.108377,-5.157628,3.189184,-1.472518
2845,0.466747,-9.662187,-0.122139,-5.157628,3.273110,-1.525926
2846,0.499070,-9.660388,-0.091611,-5.188147,3.219703,-1.525926
2847,0.461360,-9.652010,-0.108970,-5.195776,3.181555,-1.541185
2848,0.455374,-9.671764,-0.135909,-5.218665,3.219703,-1.579333
2849,0.506851,-9.646623,-0.106568,-5.081332,3.227332,-1.586962
2850,0.461359,-9.688517,-0.081452,-5.088962,3.196814,-1.571703
2851,0.510442,-9.681333,-0.073662,-5.203406,3.227332,-1.518296
2852,0.484704,-9.657994,-0.101188,-5.287332,3.273110,-1.533555
2853,0.439811,-9.662785,-0.113765,-5.241554,3.303629,-1.495407
2854,0.483507,-9.669365,-0.087427,-5.256813,3.227332,-1.510666
2855,0.487098,-9.682533,-0.105984,-5.264443,3.212073,-1.518296
2856,0.422453,-9.677146,-0.094022,-5.256813,3.227332,-1.518296
2857,0.494880,-9.653807,-0.113155,-5.249184,3.288369,-1.533555
2858,0.473930,-9.652012,-0.124529,-5.157628,3.273110,-1.525926
2859,0.440410,-9.675358,-0.155662,-5.203406,3.257851,-1.548814
2860,0.470338,-9.666369,-0.065883,-5.203406,3.189184,-1.503037
2861,0.489493,-9.646024,-0.092207,-5.165258,3.250221,-1.457259
2862,0.459564,-9.665177,-0.111369,-5.119480,3.288369,-1.411481
2863,0.455374,-9.646626,-0.113159,-5.134739,3.204443,-1.388592
2864,0.490690,-9.658594,-0.114354,-5.119480,3.219703,-1.403851
2865,0.472134,-9.644827,-0.089217,-5.165258,3.227332,-1.464888
2866,0.458966,-9.650819,-0.148470,-5.287332,3.227332,-1.510666
2867,0.477521,-9.663382,-0.101191,-5.127110,3.212073,-1.541185
2868,0.484704,-9.634052,-0.091605,-5.195776,3.173925,-1.571703
2869,0.472732,-9.674152,-0.084438,-5.172887,3.234962,-1.510666
2870,0.470937,-9.642435,-0.106572,-5.195776,3.242592,-1.487777
2871,0.500865,-9.645431,-0.143076,-5.180517,3.265481,-1.495407
2872,0.442205,-9.663381,-0.092818,-5.188147,3.196814,-1.518296
2873,0.456571,-9.665178,-0.111968,-5.180517,3.242592,-1.541185
2874,0.494281,-9.650809,-0.086223,-5.180517,3.257851,-1.533555
2876,0.470338,-9.652613,-0.131711,-5.241554,3.234962,-1.541185
2877,0.500267,-9.652604,-0.077245,-5.104221,3.219703,-1.518296
2878,0.465550,-9.657398,-0.123933,-5.218665,3.250221,-1.457259
2879,0.475127,-9.674156,-0.122142,-5.119480,3.219703,-1.518296
2880,0.470338,-9.638242,-0.086821,-5.211035,3.219703,-1.487777
2881,0.464353,-9.666372,-0.090422,-5.180517,3.181555,-1.503037
2882,0.456571,-9.665775,-0.105983,-5.226295,3.265481,-1.510666
2883,0.482310,-9.659786,-0.072462,-5.203406,3.219703,-1.495407
2884,0.480514,-9.672959,-0.118550,-5.172887,3.227332,-1.480148
2885,0.452381,-9.660392,-0.117952,-5.142369,3.265481,-1.571703
2886,0.493682,-9.656196,-0.084429,-5.195776,3.219703,-1.510666
2887,0.468543,-9.650814,-0.116749,-5.142369,3.181555,-1.510666
2888,0.465550,-9.655005,-0.122736,-5.149999,3.204443,-1.495407
2889,0.480514,-9.662786,-0.134705,-5.188147,3.265481,-1.525926
2890,0.472134,-9.657397,-0.110766,-5.142369,3.257851,-1.525926
2891,0.460761,-9.680141,-0.119153,-5.218665,3.227332,-1.525926
2892,0.475127,-9.658592,-0.095205,-5.157628,3.181555,-1.510666
2893,0.455973,-9.659791,-0.105981,-5.203406,3.212073,-1.518296
2894,0.464951,-9.647225,-0.132309,-5.211035,3.219703,-1.518296
2895,0.457768,-9.652007,-0.085032,-5.096591,3.242592,-1.533555
2896,0.474528,-9.665180,-0.126927,-5.165258,3.250221,-1.541185
2897,0.455973,-9.647222,-0.104780,-5.165258,3.257851,-1.472518
2898,0.470338,-9.660993,-0.141888,-5.088962,3.219703,-1.503037
2899,0.488296,-9.643635,-0.146668,-5.188147,3.219703,-1.518296
2900,0.454177,-9.665175,-0.092218,-5.088962,3.280740,-1.571703
2901,0.476923,-9.638247,-0.135297,-5.249184,3.212073,-1.525926
2902,0.495478,-9.672356,-0.083835,-5.157628,3.204443,-1.525926
2903,0.481711,-9.660391,-0.117947,-5.157628,3.219703,-1.503037
2904,0.466747,-9.677145,-0.099402,-5.157628,3.189184,-1.518296
2905,0.465550,-9.662784,-0.111367,-5.180517,3.212073,-1.510666
2906,0.478718,-9.668768,-0.111367,-5.195776,3.204443,-1.457259
2907,0.449987,-9.660987,-0.090422,-5.149999,3.227332,-1.495407
2908,0.479915,-9.656797,-0.101787,-5.188147,3.242592,-1.472518
2909,0.480514,-9.648421,-0.115550,-5.134739,3.242592,-1.518296
2910,0.457768,-9.666971,-0.080847,-5.157628,3.280740,-1.533555
2911,0.466747,-9.672357,-0.101196,-5.157628,3.265481,-1.533555
2912,0.465550,-9.665775,-0.116156,-5.111850,3.250221,-1.525926
2913,0.458367,-9.652614,-0.149069,-5.149999,3.212073,-1.510666
2914,0.458966,-9.660392,-0.119746,-5.218665,3.273110,-1.472518
2915,0.505055,-9.653204,-0.088616,-5.165258,3.227332,-1.487777
2916,0.458966,-9.655003,-0.116752,-5.256813,3.234962,-1.472518
2917,0.468543,-9.687925,-0.146086,-5.142369,3.227332,-1.510666
2918,0.485303,-9.641238,-0.116744,-5.149999,3.196814,-1.487777
2919,0.448191,-9.661589,-0.113763,-5.188147,3.234962,-1.510666
2920,0.464353,-9.662782,-0.091019,-5.134739,3.204443,-1.533555
2921,0.479317,-9.646028,-0.132306,-5.119480,3.257851,-1.518296
2922,0.473930,-9.646626,-0.125126,-5.218665,3.212073,-1.533555
2923,0.460761,-9.664574,-0.067679,-5.134739,3.204443,-1.487777
2924,0.460761,-9.656205,-0.152661,-5.195776,3.265481,-1.525926
2925,0.481112,-9.668766,-0.102988,-5.134739,3.265481,-1.518296
2926,0.475726,-9.644233,-0.125125,-5.157628,3.234962,-1.510666
2927,0.470338,-9.653807,-0.118545,-5.180517,3.227332,-1.472518
2928,0.473331,-9.662189,-0.136502,-5.104221,3.265481,-1.510666
2929,0.460761,-9.651416,-0.138894,-5.226295,3.234962,-1.487777
2930,0.473331,-9.656796,-0.105978,-5.218665,3.173925,-1.541185
2931,0.486500,-9.660390,-0.106575,-5.211035,3.250221,-1.556444
2932,0.476922,-9.663382,-0.104782,-5.211035,3.204443,-1.503037
2933,0.470937,-9.671758,-0.075460,-5.203406,3.196814,-1.525926
2934,0.479317,-9.658597,-0.138894,-5.134739,3.242592,-1.457259
2935,0.475127,-9.657997,-0.127523,-5.233924,3.273110,-1.533555
2936,0.493084,-9.644829,-0.110759,-5.165258,3.189184,-1.564074
2937,0.476923,-9.655006,-0.144279,-5.211035,3.265481,-1.495407
2938,0.476324,-9.669964,-0.099398,-5.149999,3.196814,-1.564074
2939,0.465550,-9.659195,-0.130517,-5.180517,3.219703,-1.480148
2940,0.460163,-9.676552,-0.131122,-5.211035,3.234962,-1.541185
2941,0.455973,-9.666976,-0.115559,-5.119480,3.204443,-1.464888
2942,0.470937,-9.680743,-0.139500,-5.165258,3.257851,-1.541185
2943,0.467944,-9.675348,-0.076659,-5.165258,3.242592,-1.518296
2944,0.468542,-9.680739,-0.116160,-5.195776,3.196814,-1.480148
2945,0.460163,-9.659789,-0.099397,-5.188147,3.242592,-1.503037
2946,0.470937,-9.660984,-0.076055,-5.127110,3.234962,-1.487777
2947,0.491288,-9.680741,-0.127528,-5.218665,3.257851,-1.503037
2948,0.469141,-9.657998,-0.126925,-5.165258,3.219703,-1.548814
2949,0.468543,-9.671166,-0.137104,-5.462813,3.280740,-1.518296
2950,0.476324,-9.655603,-0.128121,-5.561998,3.227332,-1.525926
2951,0.462557,-9.655005,-0.135304,-5.264443,3.242592,-1.518296
2952,0.460163,-9.644825,-0.079044,-4.882961,3.234962,-1.510666
2953,0.475127,-9.656198,-0.082038,-5.050813,3.242592,-1.518296
2954,0.459564,-9.652011,-0.113758,-5.165258,3.151036,-1.510666
2955,0.478718,-9.652013,-0.137096,-5.272072,3.242592,-1.510666
2956,0.495478,-9.674157,-0.135305,-5.577258,3.196814,-1.510666
2957,0.472733,-9.677752,-0.153862,-5.333109,3.212073,-1.503037
2958,0.459564,-9.656197,-0.079048,-4.760888,3.280740,-1.472518
2959,0.473930,-9.659793,-0.126327,-5.302591,3.265481,-1.503037
2960,0.476324,-9.655004,-0.115552,-5.485702,3.227332,-1.541185
2961,0.472134,-9.696901,-0.141300,-5.668813,3.265481,-1.533555
2962,0.474528,-9.673555,-0.097604,-4.829554,3.227332,-1.518296
2963,0.472732,-9.670560,-0.077255,-4.898221,3.250221,-1.510666
2964,0.475127,-9.656201,-0.125128,-5.523850,3.265481,-1.518296
2965,0.475127,-9.661591,-0.132312,-5.386517,3.288369,-1.510666
2966,0.469141,-9.669968,-0.126929,-6.073184,3.242592,-1.510666
2967,0.489493,-9.643630,-0.097592,-5.417036,3.204443,-1.495407
2968,0.482908,-9.652610,-0.122134,-5.256813,3.288369,-1.541185
2969,0.475127,-9.653206,-0.100590,-5.119480,3.242592,-1.518296
2970,0.474529,-9.640051,-0.191555,-5.195776,3.273110,-1.487777
2971,0.473331,-9.665174,-0.076056,-5.607776,3.227332,-1.487777
2973,0.492486,-9.658002,-0.154452,-5.523850,3.257851,-1.625111
