seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.631543,-1.977808,9.584675,3.753908,-0.508022,0.650908,-11.659395,-3.692254,0.000000
2,0.576852,-1.983397,9.600867,3.290191,-0.425900,0.747241,-11.575817,-3.618954,0.026021
3,0.583439,-1.964484,9.624943,2.725917,-0.269318,0.802111,-11.491940,-3.568570,0.053707
4,0.552453,-1.995067,9.642778,2.279408,-0.112056,0.792555,-11.480031,-3.479897,0.081078
5,0.532813,-2.004031,9.650426,2.231153,-0.110088,0.693258,-11.487659,-3.382517,0.106137
6,0.503541,-2.000819,9.657358,1.818550,-0.054822,0.586404,-11.492334,-3.266418,0.127634
7,0.490752,-2.003159,9.674123,1.481462,-0.017603,0.581939,-11.503480,-3.158743,0.147008
8,0.475322,-2.020286,9.680389,1.437321,-0.045068,0.552529,-11.539004,-3.054963,0.165798
9,0.501410,-2.002257,9.691064,1.585019,-0.158711,0.473903,-11.535571,-3.016319,0.183275
10,0.526155,-1.995629,9.672216,1.512393,-0.219923,0.814059,-11.528349,-3.026064,0.205601
11,0.519225,-1.977219,9.694702,1.521847,-0.324882,1.844115,-11.491948,-3.020572,0.250918
12,0.517903,-1.993249,9.719660,1.801081,-0.717151,3.784978,-11.445292,-3.018108,0.346526
13,0.525323,-1.975656,9.617447,2.033187,-1.464070,7.012802,-11.396505,-3.019094,0.530501
14,0.559868,-2.022233,9.534795,1.109339,-2.346682,12.840265,-11.377210,-3.022661,0.868133
15,0.541747,-2.019568,9.448180,-0.277717,-3.647115,21.226509,-11.410563,-3.013537,1.445774
16,0.527377,-2.087118,9.480974,-1.274561,-4.972512,31.383434,-11.506528,-2.984306,2.335825
17,0.562199,-2.060369,9.381647,-0.497865,-6.213089,42.702751,-11.620987,-2.932265,3.586132
18,0.492944,-2.041354,9.394324,-1.901716,-6.889074,56.466599,-11.759637,-2.817670,5.253582
19,0.365303,-2.019626,9.473056,-2.867627,-7.595578,72.432358,-11.949170,-2.606995,7.412206
20,0.168866,-2.008747,9.519235,-4.285212,-8.482141,87.169746,-12.186918,-2.289201,10.077812
21,-0.048263,-2.007138,9.375146,-6.459656,-9.991281,99.754051,-12.488061,-1.882832,13.196547
22,-0.138139,-2.289838,9.623254,-11.531832,-12.138258,109.651207,-12.926136,-1.439546,16.692354
23,-0.201197,-2.551623,9.707674,-13.129476,-15.515132,113.577415,-13.477115,-1.015006,20.429605
24,-0.417198,-2.487191,9.607805,-13.021135,-19.741945,112.880066,-14.007526,-0.646802,24.243420
25,-0.525220,-2.524482,9.697634,-12.116261,-23.776493,111.291580,-14.484398,-0.377237,28.048464
26,-0.573865,-2.609096,9.815162,-11.527254,-27.339529,107.896393,-14.911426,-0.215704,31.801201
27,-0.754321,-2.483394,9.691936,-8.899611,-30.188433,103.620750,-15.248383,-0.134882,35.455940
28,-0.885881,-2.395416,9.684403,-5.647863,-32.028698,100.318649,-15.461524,-0.118796,39.008957
29,-0.871914,-2.636704,9.675218,-4.482056,-32.971722,95.618797,-15.628126,-0.167164,42.446476
30,-0.768431,-2.815140,9.536764,-3.484101,-33.258595,88.863525,-15.785906,-0.286140,45.706783
31,-0.635393,-3.012054,9.506017,-3.728249,-32.805393,81.919037,-15.959593,-0.470142,48.747982
32,-0.429884,-3.139882,9.605843,-5.777567,-31.728090,75.194283,-16.185526,-0.708070,51.564674
33,-0.253649,-3.117895,9.368948,-8.185477,-31.754032,69.496475,-16.493946,-0.994070,54.179546
34,0.165700,-3.203171,9.375912,-11.557773,-30.341024,65.452774,-16.909285,-1.344706,56.634460
35,0.370366,-3.252429,9.226341,-14.821728,-27.850714,58.406052,-17.445208,-1.693027,58.896378
36,0.532655,-3.155773,9.173268,-15.271875,-25.625914,51.873562,-18.024567,-2.030785,60.921879
37,0.753777,-3.268776,8.948831,-14.075550,-24.026745,46.886837,-18.609930,-2.373187,62.748302
38,0.982347,-3.476987,9.006846,-15.133017,-21.086287,41.385876,-19.207954,-2.704739,64.387733
39,0.919749,-3.408629,9.136055,-15.285608,-19.595457,35.356945,-19.795094,-2.993620,65.823883
40,1.080317,-3.376638,9.381465,-14.380735,-20.485071,34.862545,-20.341526,-3.306408,67.156830
41,1.306899,-3.495620,9.422968,-14.365476,-22.015575,36.290810,-20.881845,-3.660770,68.521446
42,1.280228,-3.426342,9.383039,-14.189995,-22.799900,36.493759,-21.408361,-4.017065,69.928497
43,1.239506,-3.401120,9.457555,-13.570469,-23.042522,37.395580,-21.911976,-4.353984,71.362221
44,1.393782,-3.431264,9.214960,-11.447906,-22.506924,37.987640,-22.384630,-4.682572,72.820290
45,1.446503,-3.560359,9.030766,-9.732766,-18.910316,35.749107,-22.814697,-4.949254,74.228493
46,1.377841,-3.659639,8.983719,-6.044604,-12.834081,31.615374,-23.156410,-5.083563,75.475739
47,1.349298,-3.758543,8.947642,-2.469361,-7.053875,28.178991,-23.374958,-5.072705,76.526711
48,1.299020,-3.821605,8.903738,0.114031,-2.306721,25.342295,-23.485939,-4.933132,77.408600
