seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.033096,-0.220704,9.937152,0.526575,-0.637726,29.612972,-1.272329,-0.190778,0.000000
2,0.026764,-0.192049,9.932455,0.315007,-0.501821,19.091440,-1.259474,-0.191367,0.811966
3,0.027065,-0.123309,9.927187,0.135122,-0.371346,12.602768,-1.248312,-0.193854,1.340399
4,0.024109,-0.135980,9.926408,-0.528581,-0.273841,9.285862,-1.251383,-0.196041,1.705359
5,0.018806,-0.098018,9.926499,-0.370102,-0.203653,7.320740,-1.260287,-0.197067,1.982246
6,0.013650,-0.074587,9.928643,-0.480468,-0.065622,1.330633,-1.063822,-0.168493,2.126500
8,0.013707,-0.055827,9.931375,-0.653632,0.039843,-0.436842,-0.892602,-0.146197,2.141403
9,0.009722,-0.075655,9.936287,-0.574643,0.096097,-0.440231,-0.793835,-0.122150,2.126737
10,0.007628,-0.034166,9.932663,0.142297,0.137223,-0.399232,-0.650027,-0.099852,2.112660
11,0.008426,-0.051124,9.935607,0.109590,0.157815,-0.378765,-0.558056,-0.083471,2.099582
12,0.004536,-0.036432,9.933214,0.057292,0.170352,-0.373727,-0.468977,-0.065142,2.086916
13,0.000503,-0.037339,9.931094,0.098215,0.141153,-0.348191,-0.403632,-0.045769,2.074766
15,-0.001158,-0.027841,9.928874,0.134844,0.117338,-0.262981,-0.339968,-0.029484,2.064482
16,-0.002603,-0.045090,9.929609,0.034490,0.086925,-0.187944,-0.317899,-0.015842,2.056890
17,-0.003372,-0.056180,9.927209,-0.002062,0.048654,-0.144885,-0.319079,-0.005345,2.051292
18,-0.001219,-0.062092,9.924972,0.043758,0.021969,-0.089955,-0.328399,-0.001383,2.047352
19,0.000557,-0.065113,9.921034,0.182534,0.022724,-0.081102,-0.337479,-0.001295,2.044484
20,0.000681,-0.074996,9.922142,0.209020,0.026407,-0.134527,-0.356479,-0.001356,2.040872
22,0.003017,-0.064575,9.924572,0.314335,0.001927,-0.153731,-0.354016,-0.005039,2.036058
23,0.005697,-0.059747,9.925212,0.571168,0.024002,-0.128029,-0.340668,-0.011699,2.031354
24,0.003964,-0.030794,9.925599,0.192324,-0.010730,-0.188771,-0.290396,-0.014353,2.026070
25,0.002769,-0.016829,9.928319,-0.091450,-0.039897,-0.206197,-0.240815,-0.015419,2.019507
26,0.002088,-0.028710,9.929055,-0.255229,-0.063679,-0.197961,-0.226361,-0.015895,2.012811
27,0.001344,-0.033510,9.927124,-0.431349,-0.045356,-0.204754,-0.226704,-0.015244,2.006142
29,0.001427,-0.036094,9.923757,-0.654828,-0.057153,-0.220180,-0.235701,-0.014795,1.999099
30,0.008879,-0.061685,9.922503,-0.246674,-0.024285,-0.167209,-0.277090,-0.024951,1.992675
31,0.009943,-0.070964,9.924350,0.006412,0.004553,-0.151396,-0.313241,-0.033328,1.987374
32,0.010961,-0.060282,9.917957,0.091804,0.019163,-0.127246,-0.320762,-0.040548,1.982722
33,0.011820,-0.062818,9.919064,0.085843,0.015583,-0.105363,-0.329062,-0.047061,1.978833
34,0.011879,-0.061515,9.922074,0.074173,0.006217,-0.094530,-0.333599,-0.052186,1.975494
36,0.007773,-0.060074,9.922840,0.056982,0.010441,-0.092907,-0.335276,-0.050165,1.972364
37,0.004933,-0.060378,9.920500,0.077253,0.016002,-0.092812,-0.336954,-0.044430,1.969260
38,0.007191,-0.050673,9.920640,0.088003,0.016953,-0.088294,-0.323812,-0.043306,1.966229
39,0.008273,-0.057125,9.926940,0.064455,0.014922,-0.080971,-0.323378,-0.044031,1.963397
40,0.005767,-0.053712,9.922669,0.090384,0.018860,-0.066510,-0.318132,-0.040936,1.960927
41,0.006982,-0.056586,9.924385,0.106608,0.028573,-0.074661,-0.317806,-0.040196,1.958556
43,0.008751,-0.053071,9.922963,0.117872,0.018781,-0.072213,-0.312155,-0.042197,1.956091
44,0.008793,-0.053900,9.920796,0.096297,0.018165,-0.077225,-0.309259,-0.043892,1.953587
45,0.008505,-0.050938,9.912710,0.099044,0.020521,-0.080597,-0.303107,-0.044736,1.950943
46,0.009339,-0.050226,9.912362,0.091369,0.030180,-0.089762,-0.297527,-0.046425,1.948085
47,0.007458,-0.053631,9.913179,0.082470,0.027715,-0.066156,-0.298463,-0.044881,1.945465
48,0.008332,-0.052647,9.918255,0.082718,0.032710,-0.056608,-0.297814,-0.044946,1.943397
50,0.002639,-0.052840,9.922610,0.082958,0.022782,-0.059180,-0.297565,-0.036833,1.941447
51,0.001502,-0.050868,9.924755,0.086142,0.022035,-0.057240,-0.294474,-0.029240,1.939490
52,0.003847,-0.062876,9.932055,0.062655,0.016885,-0.062743,-0.309673,-0.026999,1.937477
53,0.001673,-0.063025,9.933342,0.076836,0.010428,-0.079872,-0.321391,-0.022330,1.935090
54,0.000150,-0.068217,9.927541,0.056606,0.015990,-0.075778,-0.337800,-0.016644,1.932487
55,0.003532,-0.074291,9.931833,0.053274,0.028749,-0.054107,-0.359118,-0.017027,1.930306
57,0.002806,-0.073608,9.931578,0.039721,0.023378,-0.047906,-0.374336,-0.016173,1.928587
58,-0.000603,-0.059832,9.930039,0.053177,0.018184,-0.041907,-0.365896,-0.010748,1.927075
59,0.002296,-0.059212,9.927801,0.041103,0.023492,-0.037582,-0.358674,-0.010859,1.925735
60,0.008303,-0.055231,9.931396,0.041231,0.013866,-0.040777,-0.347635,-0.019659,1.924416
61,0.004279,-0.052905,9.925413,0.036928,0.008984,-0.058627,-0.336098,-0.020641,1.922751
62,0.007012,-0.052611,9.926787,0.049000,0.011641,-0.058181,-0.326914,-0.025350,1.920797
64,0.008926,-0.059799,9.925754,0.038538,0.003880,-0.050370,-0.330386,-0.031707,1.918982
65,0.009054,-0.050378,9.924289,0.041702,0.003753,-0.056098,-0.319497,-0.036760,1.917206
66,0.004942,-0.056392,9.924348,0.021149,0.003630,-0.058687,-0.320227,-0.034619,1.915290
67,0.012658,-0.050084,9.923389,0.042594,0.004987,-0.050859,-0.311666,-0.044135,1.913462
68,0.012138,-0.059725,9.927499,0.030866,0.001871,-0.053619,-0.319004,-0.050536,1.911718
69,0.011104,-0.061386,9.925917,0.026902,0.012141,-0.044482,-0.327114,-0.053757,1.910079
71,0.008452,-0.071428,9.928542,0.014213,0.010267,-0.032692,-0.347868,-0.052237,1.908785
72,0.009231,-0.065373,9.926735,0.038838,0.018786,-0.027193,-0.354567,-0.052138,1.907776
73,0.007607,-0.065255,9.931285,0.025757,0.015219,-0.021874,-0.359233,-0.049654,1.906946
74,0.005204,-0.062408,9.928824,0.030816,0.010292,-0.013777,-0.358750,-0.044432,1.906343
75,0.010028,-0.056839,9.929744,0.051944,0.001099,-0.010374,-0.350019,-0.047649,1.905936
76,0.009344,-0.054097,9.924422,0.060573,0.005491,-0.014462,-0.339185,-0.049142,1.905520
78,0.010983,-0.053468,9.926620,0.052683,-0.007972,-0.021367,-0.330125,-0.052738,1.904924
79,0.006967,-0.056001,9.924866,0.046529,0.002620,-0.028046,-0.327175,-0.049679,1.904102
80,0.010077,-0.053050,9.922384,0.043527,0.021721,-0.031554,-0.320837,-0.051506,1.903100
81,0.005410,-0.058056,9.918334,0.037673,0.023960,-0.027568,-0.323455,-0.045876,1.902098
82,0.007565,-0.061135,9.921634,0.026106,0.014320,-0.020761,-0.330054,-0.044853,1.901279
83,0.004556,-0.065869,9.918697,0.034106,0.021230,-0.009749,-0.341910,-0.039777,1.900758
85,0.006011,-0.064925,9.916553,0.044795,0.002823,-0.007953,-0.349225,-0.038216,1.900455
86,0.004321,-0.063449,9.915915,0.044802,-0.016456,-0.012120,-0.352452,-0.035076,1.900125
87,0.001369,-0.063351,9.921165,0.030050,-0.017393,-0.030909,-0.354867,-0.028710,1.899420
88,0.001684,-0.061588,9.922612,0.046776,-0.009443,-0.035800,-0.354094,-0.024304,1.898318
89,-0.000274,-0.061374,9.925228,0.037863,-0.003230,-0.037578,-0.353085,-0.017996,1.897100
90,0.002979,-0.066406,9.929154,0.035146,-0.000172,-0.031918,-0.359698,-0.017843,1.895943
92,0.002581,-0.065585,9.931074,0.035469,0.007213,-0.024968,-0.363485,-0.017021,1.894993
93,0.009117,-0.062082,9.931546,0.054969,0.008453,-0.021198,-0.361021,-0.025722,1.894218
94,0.008129,-0.066769,9.929852,0.033980,0.002272,-0.020503,-0.365967,-0.030887,1.893519
95,0.008194,-0.065815,9.932743,0.031390,-0.005182,-0.015403,-0.368568,-0.035021,1.892922
96,0.007296,-0.067597,9.930200,0.031837,-0.006488,-0.017850,-0.373140,-0.036938,1.892372
97,0.005766,-0.069720,9.930297,0.018986,0.004056,-0.023168,-0.379785,-0.036054,1.891690
99,0.005247,-0.066127,9.929557,-0.000823,0.006875,-0.023885,-0.380002,-0.034477,1.890902
100,0.010537,-0.053086,9.932396,0.011012,0.000746,-0.031957,-0.361431,-0.040963,1.889969
101,0.009893,-0.056141,9.930100,0.003271,0.002197,-0.047144,-0.351875,-0.044962,1.888649
102,0.009598,-0.049008,9.935382,-0.002740,0.008029,-0.050026,-0.334554,-0.047438,1.887027
103,0.011383,-0.057465,9.936277,0.012109,0.000386,-0.048386,-0.333637,-0.051890,1.885384
104,0.009638,-0.059258,9.934321,0.019091,0.007753,-0.037945,-0.335277,-0.052719,1.883942
106,0.006477,-0.069009,9.930188,0.016990,0.020782,-0.020466,-0.350548,-0.048529,1.882959
107,0.008477,-0.064561,9.928407,0.025288,0.020100,-0.015367,-0.355524,-0.048118,1.882347
108,0.009769,-0.066548,9.923735,0.022983,0.026821,-0.011911,-0.362094,-0.049605,1.881876
109,0.012123,-0.060704,9.920992,0.017802,0.022990,-0.012997,-0.358704,-0.054086,1.881443
110,0.016305,-0.063045,9.924327,0.009839,0.016333,-0.006667,-0.359675,-0.063607,1.881102
111,0.017804,-0.060675,9.926157,0.002137,0.015797,-0.015304,-0.357162,-0.072997,1.880724
113,0.019665,-0.065641,9.926683,0.009446,0.028562,-0.004471,-0.362443,-0.082570,1.880379
114,0.015193,-0.065129,9.928770,0.013564,0.023198,0.006007,-0.365503,-0.083199,1.880386
115,0.010148,-0.067414,9.931817,0.005740,0.029817,0.008762,-0.371111,-0.076370,1.880613
116,0.003060,-0.071068,9.928082,0.012931,0.027364,-0.009236,-0.380633,-0.060978,1.880585
117,0.003358,-0.075137,9.927976,0.015459,0.019087,-0.008933,-0.393524,-0.049999,1.880266
118,0.002276,-0.065387,9.926970,0.004621,0.009606,-0.016020,-0.389240,-0.040427,1.879840
120,0.004702,-0.068707,9.928226,-0.001434,0.006339,-0.028778,-0.391015,-0.036908,1.879088
121,0.006084,-0.061603,9.925103,0.005993,0.001704,-0.033738,-0.382108,-0.036366,1.878044
122,0.009594,-0.052187,9.930328,0.004320,0.009027,-0.023777,-0.361728,-0.040984,1.877081
123,0.014751,-0.047754,9.934268,0.001227,0.014635,-0.011190,-0.340081,-0.051714,1.876490
124,0.017215,-0.056063,9.937826,0.018897,0.003824,-0.004919,-0.335615,-0.063368,1.876215
125,0.018228,-0.053815,9.940250,0.022706,0.011078,0.002621,-0.328738,-0.073606,1.876172
127,0.017539,-0.053436,9.946262,0.024913,0.016618,0.002535,-0.322913,-0.080116,1.876248
128,0.016763,-0.060708,9.940600,0.027048,0.002791,-0.010831,-0.329011,-0.083999,1.876103
129,0.009642,-0.061572,9.936376,0.021734,-0.003204,-0.014904,-0.334907,-0.076906,1.875674
130,0.008118,-0.054045,9.934885,0.007738,0.001328,-0.026222,-0.328732,-0.069410,1.874990
131,0.005884,-0.057576,9.935334,-0.004323,-0.011998,-0.022411,-0.329513,-0.060677,1.874183
132,0.006766,-0.056310,9.931009,-0.011561,-0.020460,-0.006917,-0.328550,-0.055675,1.873706
134,0.006614,-0.054910,9.931847,-0.021513,-0.030121,0.003641,-0.326018,-0.051927,1.873669
135,0.004654,-0.057413,9.928803,-0.007525,-0.026182,-0.002382,-0.327703,-0.046363,1.873710
