seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
220,-6.934808,6.940848,0.126558,-0.104307,0.028505,0.074264,88.955399,44.970299,0.000000
221,-6.937872,6.924802,0.138686,-0.119566,-0.002013,0.066634,88.931664,44.985840,0.002221
222,-6.977736,6.921739,0.131424,-0.089048,0.043764,0.028486,88.925407,45.034969,0.003171
223,-6.949872,6.923192,0.163130,-0.111937,0.089542,-0.002033,88.867386,45.050808,0.003103
224,-6.932398,6.929456,0.164902,-0.127196,0.051394,0.028486,88.817871,45.042828,0.004052
225,-6.929740,6.888094,0.120085,-0.142455,0.089542,0.089523,88.850746,45.070312,0.007037
227,-6.908612,6.900131,0.144472,-0.142455,0.013246,0.043745,88.836914,45.062389,0.008495
228,-6.963778,6.896756,0.130597,-0.134826,0.066653,0.043745,88.848976,45.106071,0.009953
229,-6.907802,6.915033,0.138318,-0.058529,0.036135,0.013227,88.848442,45.078682,0.010394
230,-6.953993,6.904656,0.128741,-0.073789,0.036135,0.043745,88.863152,45.103710,0.011852
231,-6.987005,6.925437,0.147456,-0.111937,0.036135,0.043745,88.843590,45.133347,0.013310
232,-6.919436,6.917439,0.150182,-0.104307,0.013246,0.074264,88.823341,45.107338,0.015786
234,-6.918789,6.900926,0.126525,-0.089048,0.066653,0.074264,88.846222,45.101494,0.018261
235,-6.968827,6.910959,0.123238,-0.111937,0.028505,0.081893,88.869675,45.128819,0.020991
236,-6.923466,6.905791,0.135994,-0.035640,0.028505,0.013227,88.869156,45.117352,0.021432
237,-6.936985,6.942884,0.145023,-0.104307,0.013246,0.051375,88.853218,45.088116,0.023144
238,-6.925591,6.920643,0.129234,-0.043270,0.097172,0.059005,88.867462,45.076183,0.025111
239,-6.948787,6.937680,0.128339,-0.066159,0.013246,0.081893,88.880249,45.069489,0.027841
241,-6.932567,6.925537,0.142872,-0.089048,0.020875,0.020856,88.865463,45.060741,0.028536
242,-6.947005,6.910234,0.134662,-0.119566,0.066653,-0.047810,88.865906,45.079689,0.026942
243,-6.932525,6.923749,0.143492,-0.073789,0.036135,0.028486,88.853310,45.070744,0.027892
244,-6.937023,6.906103,0.129379,-0.119566,0.028505,0.081893,88.864807,45.081944,0.030622
245,-6.934718,6.947735,0.146760,-0.119566,0.066653,0.066634,88.846642,45.055309,0.032843
246,-6.899529,6.915246,0.144909,-0.050900,0.028505,0.097152,88.835869,45.030716,0.036081
248,-6.933237,6.929105,0.141631,-0.050900,-0.002013,0.043745,88.833153,45.026737,0.037539
249,-6.926034,6.928208,0.155392,-0.096677,0.051394,0.036116,88.806976,45.019524,0.038743
250,-6.954173,6.923478,0.145806,-0.058529,0.028505,0.020856,88.802734,45.040455,0.039438
251,-6.988116,6.946242,0.137044,-0.104307,0.013246,0.013227,88.813354,45.066040,0.039879
252,-6.916287,6.910398,0.157443,-0.073789,0.013246,0.051375,88.787689,45.056583,0.041592
253,-6.925198,6.905801,0.138375,-0.066159,0.043764,0.089523,88.798805,45.061352,0.044576
255,-6.934657,6.945973,0.149169,-0.127196,0.051394,-0.032551,88.789597,45.039791,0.043491
256,-6.965883,6.915325,0.132144,-0.058529,0.074283,0.051375,88.811165,45.074505,0.045203
257,-6.959045,6.931155,0.142708,-0.043270,0.059023,0.043745,88.811882,45.082973,0.046662
258,-6.980458,6.898161,0.160954,-0.081418,-0.017272,0.059005,88.780006,45.132309,0.048628
259,-6.949637,6.887839,0.121809,-0.096677,0.013246,0.074264,88.818802,45.156483,0.051104
260,-6.937634,6.924511,0.159576,-0.089048,0.005616,0.051375,88.788635,45.134663,0.052816
262,-6.948522,6.900080,0.138366,-0.104307,0.043764,0.059005,88.798370,45.147831,0.054783
263,-6.931201,6.891546,0.152856,-0.096677,0.028505,0.043745,88.781998,45.150490,0.056241
264,-6.947605,6.924353,0.158349,-0.096677,0.020875,0.005597,88.761017,45.138660,0.056428
265,-6.931033,6.957685,0.126954,-0.089048,-0.024902,0.074264,88.797371,45.087322,0.058903
266,-6.935393,6.951910,0.146107,-0.089048,0.036135,0.089523,88.794724,45.055931,0.061887
267,-6.959768,6.904072,0.135292,-0.096677,-0.002013,0.036116,88.808678,45.089626,0.063091
269,-6.972406,6.898692,0.148444,-0.058529,0.066653,0.074264,88.798843,45.133049,0.065567
270,-6.939844,6.924488,0.118991,-0.066159,-0.009643,0.036116,88.840416,45.118027,0.066771
271,-6.941127,6.934159,0.126024,-0.058529,-0.009643,0.028486,88.862534,45.098976,0.067720
272,-7.003026,6.929856,0.137200,-0.066159,0.104801,0.066634,88.861420,45.141033,0.069941
273,-6.936450,6.913474,0.141221,-0.089048,-0.002013,0.074264,88.852722,45.130589,0.072417
274,-6.955680,6.915183,0.153664,-0.104307,0.020875,0.074264,88.824806,45.137066,0.074892
276,-6.919952,6.939495,0.142739,-0.028011,0.036135,0.051375,88.823433,45.093246,0.076605
277,-6.938023,6.938128,0.148660,-0.096677,-0.002013,0.127671,88.810684,45.073143,0.080860
278,-6.921869,6.924664,0.154855,-0.104307,0.028505,0.043745,88.789551,45.055531,0.082319
279,-6.942994,6.925546,0.153576,-0.050900,0.043764,0.066634,88.776222,45.058598,0.084540
280,-6.923665,6.894622,0.151053,-0.134826,0.081913,0.074264,88.766373,45.071774,0.087015
281,-6.961571,6.910749,0.142958,-0.073789,-0.002013,0.043745,88.774117,45.098122,0.088473
283,-6.936650,6.920583,0.135760,-0.073789,0.013246,0.059005,88.792564,45.091038,0.090440
284,-6.945995,6.924792,0.145818,-0.058529,0.020875,0.097152,88.791229,45.089634,0.093679
285,-6.933372,6.929537,0.130287,-0.134826,0.051394,0.036116,88.813965,45.075237,0.094883
286,-6.925897,6.914865,0.144224,-0.119566,0.043764,0.059005,88.809021,45.069244,0.096849
