seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,9.903028,0.001839,0.087986,0.161047,-0.433851,0.197608,0.000000,-89.490837,0.000000
2,9.857172,0.024566,0.139388,-0.098360,-0.250741,0.106052,-0.002623,-89.434830,0.003535
3,9.866640,0.021946,0.109638,-0.296731,0.115482,0.075534,-0.010011,-89.414932,0.006053
4,9.934693,0.039432,0.095610,-0.579027,1.526963,0.045015,-0.023450,-89.371948,0.007553
5,9.906564,0.086382,0.303253,-0.777397,3.258889,0.273904,-0.039490,-89.046051,0.016684
6,9.849494,0.019071,0.037940,-1.456434,-2.440443,1.876126,-0.070430,-89.252518,0.079221
8,9.873354,0.002210,0.102107,-0.014434,-0.395703,0.258645,-0.056729,-89.294037,0.087843
9,9.862807,0.011771,0.113286,-0.037323,-0.006592,0.106052,-0.046379,-89.303085,0.091378
10,9.875922,-0.015788,0.094532,0.016084,-0.037111,0.060275,-0.036674,-89.332253,0.093387
11,9.860556,0.018092,0.094117,-0.083101,-0.021852,0.014497,-0.031555,-89.355011,0.093870
12,9.864099,-0.004492,0.102107,-0.060212,-0.037111,0.067904,-0.026850,-89.366272,0.096133
13,9.860924,0.014930,0.079230,-0.037323,-0.029481,0.052645,-0.022475,-89.400116,0.097888
15,9.881398,0.015161,0.075784,-0.159397,-1.028962,0.289163,-0.022231,-89.457916,0.107527
16,9.855606,-0.005994,0.085951,-0.144138,0.039186,0.075534,-0.021628,-89.465118,0.110045
17,9.862585,-0.001700,0.087152,-0.006805,1.076815,-0.115207,-0.017484,-89.442101,0.106205
18,9.874193,-0.000788,0.050223,-0.037323,-0.021852,0.037386,-0.014983,-89.495972,0.107451
19,10.012684,0.034147,0.117065,0.237343,-1.318888,0.029756,-0.006718,-89.528046,0.108443
20,9.872824,0.010488,0.144992,0.069492,0.275704,-0.023651,-0.003521,-89.446365,0.107654
22,9.858128,-0.003426,0.097880,0.008455,0.268075,-0.038911,-0.002591,-89.436111,0.106357
23,9.871194,-0.012006,0.065822,-0.006805,0.092593,-0.008392,-0.002254,-89.468750,0.106078
24,9.854089,-0.004648,0.100251,0.069492,0.428297,-0.069429,0.000050,-89.446884,0.103763
25,9.857890,0.023680,0.114337,0.069492,-0.265999,-0.023651,0.001893,-89.428871,0.102975
26,9.891228,-0.022823,0.089328,0.000825,-0.906888,0.083163,0.001536,-89.460472,0.105747
27,9.439760,-0.104472,-0.034672,-0.212805,0.329112,0.281534,-0.005279,-89.510429,0.115131
29,9.861162,-0.013903,-0.032094,-0.044953,-0.021852,0.090793,-0.005422,-89.649567,0.118158
