seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.063950,9.793061,-0.177425,-0.096677,-0.528458,0.074264,91.037941,0.000000,0.000000
2,-0.067060,9.778969,-0.113407,0.002508,-0.215643,-0.017292,90.963310,-0.005750,-0.000576
3,-0.073113,9.821332,-0.161108,0.040656,-0.139347,-0.101218,90.959694,-0.008316,-0.003950
4,-0.045949,9.796962,-0.132657,-0.005122,0.120060,0.043745,90.922775,-0.003451,-0.002492
5,-0.041278,9.803158,-0.123172,0.055915,0.028505,-0.070699,90.883682,-0.002001,-0.004849
6,-0.084943,9.809496,-0.139517,-0.028011,-0.185124,-0.009662,90.869171,-0.006537,-0.005171
8,-0.068528,9.783471,-0.131968,0.002508,-0.208014,-0.002033,90.849968,-0.010777,-0.005239
9,-0.078768,9.815374,-0.153295,0.002508,-0.116458,-0.032551,90.859001,-0.011727,-0.006324
10,-0.080517,9.815975,-0.151518,0.040656,-0.055421,-0.040181,90.865150,-0.010860,-0.007663
11,-0.054818,9.821157,-0.149704,0.040656,-0.154606,-0.002033,90.867867,-0.012811,-0.007731
12,-0.041569,9.799689,-0.155352,0.101693,-0.093569,-0.063070,90.878647,-0.012744,-0.009833
13,-0.059489,9.810211,-0.114971,0.033026,-0.093569,-0.040181,90.838089,-0.012690,-0.011173
15,-0.061423,9.816097,-0.120423,0.109322,0.013246,-0.032551,90.813965,-0.009799,-0.012258
16,-0.061904,9.802702,-0.134576,0.094063,0.013246,-0.063070,90.810982,-0.007486,-0.014360
17,-0.082064,9.796556,-0.166792,0.078804,-0.017272,-0.009662,90.845970,-0.006449,-0.014682
18,-0.083779,9.816268,-0.128261,0.040656,-0.009643,-0.040181,90.827583,-0.005417,-0.016021
19,-0.095134,9.805965,-0.166360,0.063545,-0.047791,-0.063070,90.858154,-0.005608,-0.018124
20,-0.059995,9.812601,-0.156177,0.033026,-0.032532,-0.055440,90.869766,-0.005354,-0.019972
22,-0.054421,9.815545,-0.123972,-0.005122,-0.085939,-0.032551,90.840401,-0.006575,-0.021057
23,-0.046844,9.812526,-0.132858,0.055915,0.005616,0.043745,90.828957,-0.005110,-0.019599
24,-0.079596,9.808443,-0.134711,0.071174,0.051394,-0.040181,90.822433,-0.002717,-0.020938
25,-0.055517,9.803329,-0.138739,0.094063,-0.009643,-0.055440,90.822617,-0.002431,-0.022786
26,-0.064307,9.801356,-0.142325,-0.012752,-0.040162,-0.078329,90.824142,-0.003016,-0.025397
27,-0.070111,9.798887,-0.141717,-0.066159,-0.192754,-0.063070,90.823273,-0.007553,-0.027499
29,-0.027271,9.810666,-0.114864,-0.012752,-0.192754,0.081893,90.792435,-0.011182,-0.024769
30,-0.092100,9.817835,-0.136067,0.040656,0.051394,0.020856,90.793839,-0.007575,-0.024074
31,-0.048328,9.798725,-0.132688,0.010137,-0.078310,-0.223292,90.790504,-0.008149,-0.031517
32,-0.042068,9.808408,-0.132192,-0.111937,-0.299569,0.013227,90.783852,-0.014507,-0.031076
33,-0.087746,9.796711,-0.150702,-0.028011,-0.146976,-0.047810,90.802597,-0.015525,-0.032670
34,-0.092445,9.811387,-0.125842,0.071174,0.142950,-0.009662,90.790939,-0.008608,-0.032992
36,-0.056444,9.818851,-0.141923,0.063545,-0.032532,-0.085958,90.800072,-0.007754,-0.035857
37,-0.035453,9.803197,-0.126135,0.155100,-0.017272,-0.047810,90.791626,-0.006664,-0.037451
38,-0.066361,9.793106,-0.130889,0.071174,-0.040162,-0.017292,90.788345,-0.006402,-0.038027
39,-0.086954,9.792693,-0.139310,0.094063,0.066653,-0.078329,90.796196,-0.003344,-0.040638
40,-0.070354,9.807783,-0.147798,0.086434,-0.024902,-0.040181,90.811935,-0.003339,-0.041978
41,-0.053222,9.812523,-0.126913,0.101693,-0.101199,-0.063070,90.800461,-0.005370,-0.044080
43,-0.064101,9.793641,-0.137452,0.055915,-0.078310,-0.017292,90.802681,-0.006384,-0.044657
44,-0.069668,9.813463,-0.128773,0.086434,0.013246,-0.063070,90.794815,-0.004754,-0.046759
45,-0.072350,9.803301,-0.124476,0.078804,0.043764,-0.009662,90.783447,-0.002636,-0.047081
46,-0.054974,9.799761,-0.096324,0.071174,-0.047791,0.013227,90.741287,-0.003384,-0.046640
47,-0.058435,9.793634,-0.102225,0.078804,-0.017272,0.028486,90.714737,-0.003167,-0.045690
