seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
7847,6.803763,-0.063053,-7.031948,-0.057874,-0.076427,0.139723,180.000000,-44.053986,0.000000
7848,6.802753,-0.056809,-7.034470,-0.045856,-0.064105,0.126363,179.998627,-44.053001,0.004435
7849,6.810246,-0.050511,-7.041630,-0.051320,-0.074191,0.140354,179.997604,-44.052700,0.008880
7850,6.815351,-0.048954,-7.042624,-0.059076,-0.067391,0.138590,179.996613,-44.055996,0.013529
7851,6.815267,-0.048198,-7.044174,-0.070569,-0.058575,0.124850,179.995560,-44.057098,0.017920
7852,6.820119,-0.041591,-7.048041,-0.072684,-0.047800,0.097143,179.994553,-44.058681,0.021620
7854,6.829124,-0.043862,-7.048140,-0.082108,-0.044757,0.086578,179.993576,-44.067230,0.024682
7855,6.828857,-0.042317,-7.048770,-0.083844,-0.027054,0.058650,179.992661,-44.073067,0.027102
7856,6.830132,-0.043182,-7.051890,-0.073716,-0.008457,0.039016,179.992035,-44.075783,0.028730
7857,6.830756,-0.044580,-7.049697,-0.068347,0.006580,0.030358,179.991745,-44.079803,0.029886
7858,6.829397,-0.046515,-7.049539,-0.070534,0.009316,0.044121,179.991547,-44.081764,0.031127
7859,6.824677,-0.045593,-7.055933,-0.068222,0.020817,0.048579,179.991379,-44.073994,0.032672
7861,6.824326,-0.052088,-7.057139,-0.063033,0.015707,0.051414,179.991364,-44.066383,0.034339
7862,6.815935,-0.051983,-7.058328,-0.075726,0.004861,0.057108,179.991241,-44.052498,0.036148
7863,6.810781,-0.051626,-7.061818,-0.071767,-0.021864,0.065567,179.991028,-44.034729,0.038192
7864,6.804812,-0.050910,-7.064589,-0.075318,-0.019672,0.067845,179.990860,-44.013580,0.040416
7865,6.797728,-0.050606,-7.061446,-0.071373,-0.024930,0.071524,179.990738,-43.993290,0.042739
7866,6.799903,-0.052903,-7.056468,-0.077889,-0.012306,0.064752,179.990601,-43.982815,0.045010
7868,6.807238,-0.058780,-7.055533,-0.069432,-0.004523,0.053773,179.990524,-43.981060,0.046985
7869,6.814424,-0.056621,-7.054142,-0.064204,0.013336,0.044631,179.990646,-43.986496,0.048625
7870,6.818466,-0.060372,-7.052155,-0.056195,0.014375,0.038740,179.990906,-43.995575,0.050015
7871,6.823364,-0.060283,-7.050721,-0.049925,0.021283,0.021235,179.991318,-44.008007,0.051015
7872,6.822409,-0.053236,-7.051570,-0.033530,0.016157,0.026443,179.991943,-44.016487,0.051809
7873,6.822277,-0.051901,-7.050268,-0.029479,0.014152,0.031479,179.992722,-44.024323,0.052775
7875,6.820552,-0.053129,-7.050603,-0.027036,0.012212,0.031923,179.993423,-44.028915,0.053831
7876,6.818089,-0.050960,-7.047384,-0.024674,0.011812,0.027925,179.994064,-44.033180,0.054829
7877,6.815230,-0.048646,-7.050432,-0.020913,0.006997,0.031437,179.994644,-44.031799,0.055818
7878,6.817042,-0.052717,-7.051929,-0.026131,-0.000612,0.025979,179.995102,-44.031136,0.056775
7879,6.819798,-0.049393,-7.048501,-0.025274,0.000884,0.023651,179.995407,-44.035809,0.057602
