seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-8.428311,-1.841591,4.253896,0.267862,-1.570666,1.624348,-23.408693,61.190014,0.000000
2,-8.526333,-1.763470,4.244181,0.481491,-1.677481,0.853756,-23.226721,61.242062,0.028459
3,-8.510294,-1.671554,4.260745,0.718010,-1.318888,0.914793,-22.846395,61.304134,0.058952
4,-8.460883,-1.793518,4.259207,1.053713,-0.998444,0.342571,-22.816132,61.287914,0.070371
5,-8.474752,-1.742058,4.327261,1.015565,-0.243111,0.022126,-22.611546,61.257912,0.071108
6,-8.444562,-1.743002,4.214098,0.931639,-0.166814,-0.077059,-22.579391,61.256123,0.068540
7,-8.598761,-1.636971,4.401259,0.817195,-0.136296,-0.069429,-22.122080,61.273430,0.066225
8,-8.526457,-1.754082,4.279298,-0.144138,-2.577777,0.075534,-22.159248,61.254826,0.068743
9,-8.678561,-1.688254,4.503240,0.771417,-2.104740,0.601978,-21.817011,61.149052,0.088809
10,-8.477868,-1.666172,4.274632,0.107640,-3.813776,1.639607,-21.709723,61.133453,0.143463
11,-8.691118,-1.590941,4.502860,0.428084,-1.769036,1.975311,-21.248207,61.101952,0.209306
12,-8.538242,-1.719117,4.567096,0.962158,-3.615406,2.906126,-21.098312,60.835228,0.306177
13,-8.396214,-1.596841,4.480980,0.595936,-10.421034,3.775903,-21.063803,60.487640,0.432041
14,-8.353809,-1.336300,4.364897,-0.556138,-13.060884,5.217903,-21.041735,60.065216,0.605971
15,-7.909644,-0.900547,3.545754,-2.257545,-12.763329,9.040346,-21.048321,59.695160,0.907316
16,-7.895874,-1.312420,2.541841,-1.166508,2.686666,12.305827,-21.149416,59.887714,1.317510
17,-7.730045,-1.092295,2.107715,1.664084,27.276955,13.480789,-21.156956,60.918259,1.766870
18,-7.317117,-1.322044,2.190700,4.082675,48.899319,9.070865,-21.121759,62.630016,2.069232
19,-8.129024,-1.070529,1.569080,5.066897,65.646347,11.832789,-21.086380,64.938530,2.463658
20,-8.268171,-1.379079,0.975520,5.127934,85.613083,11.176641,-21.253550,67.898903,2.836213
21,-8.017370,-2.043906,1.266702,14.481858,119.259743,5.835902,-21.145229,71.888535,3.030743
22,-7.867991,-0.705544,1.994061,26.246744,144.010254,4.248940,-20.262484,76.671509,3.172374
23,-8.850584,-1.579927,1.435378,27.513262,143.979736,13.816493,-19.629368,81.420532,3.632924
24,-10.156823,-2.063110,0.691374,26.750299,138.631378,8.529160,-19.265049,85.960251,3.917229
25,-9.953890,-0.935541,-0.222232,33.357555,153.608322,12.313457,-19.005224,91.014542,4.327678
26,-11.551674,-1.307046,-0.301490,29.062077,129.842041,15.411085,-17.086012,95.355423,4.841381
27,-10.990410,-0.644722,-1.611823,21.455338,98.827599,15.563678,-15.989115,98.652939,5.360170
28,-11.428084,-0.770279,-1.018052,20.677114,93.807304,33.172855,-14.775759,101.725784,6.465932
29,-11.640762,-1.174393,-1.820053,12.330303,67.775017,45.212410,-13.892779,103.950516,7.973013
30,-11.314968,-0.980341,-1.508235,5.600971,50.493912,51.041447,-13.238784,105.567642,9.674395
31,-10.939606,0.510402,-2.502216,2.297343,25.506882,53.208260,-13.145874,106.385086,11.448004
32,-11.156277,0.919361,-2.722203,1.389417,-7.819331,60.769218,-13.155176,106.107628,13.473644
33,-11.172877,-0.107165,-3.226014,-5.820581,-23.643177,59.495071,-13.215704,105.327461,15.456814
34,-10.534416,0.988885,-3.003978,-3.325693,-18.531328,50.049595,-13.375505,104.729752,17.125134
35,-9.596517,1.325173,-1.275324,-2.516952,-24.825769,41.512039,-13.785791,103.871696,18.508869
36,-8.860008,2.359759,-1.654128,0.725639,-41.832211,29.548784,-14.173693,102.532692,19.493828
