seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
4711,6.963710,-6.895612,0.033552,-0.043270,0.127690,0.005597,-89.721214,-45.281181,0.000000
4712,6.955366,-6.885467,0.038764,-0.050900,0.127690,0.036116,-89.713814,-45.279320,0.001204
4713,6.971356,-6.904074,0.021155,-0.035640,0.089542,0.097152,-89.736893,-45.276608,0.004442
4714,6.981015,-6.886503,0.025143,-0.066159,0.089542,0.020856,-89.749443,-45.296959,0.005137
4715,6.985703,-6.885820,0.026344,-0.035640,0.112431,0.074264,-89.756668,-45.317039,0.007613
4716,6.958292,-6.894655,0.022183,-0.043270,0.089542,0.066634,-89.769623,-45.303856,0.009834
4718,6.990244,-6.903000,0.035529,-0.050900,0.051394,0.013227,-89.758080,-45.313595,0.010275
4719,6.993905,-6.915668,0.026155,-0.066159,0.081913,0.043745,-89.764893,-45.313103,0.011733
4720,6.970194,-6.902232,0.025305,-0.043270,0.066653,0.043745,-89.771057,-45.304806,0.013191
4721,6.960196,-6.902425,0.021692,-0.043270,0.059023,0.028486,-89.781990,-45.289997,0.014141
4722,6.962287,-6.891665,0.017982,-0.073789,0.043764,0.036116,-89.797661,-45.289227,0.015345
4723,6.965916,-6.908509,0.051029,-0.104307,0.089542,0.043745,-89.756271,-45.276253,0.016803
4725,6.955589,-6.914515,0.060020,-0.096677,0.059023,0.043745,-89.708130,-45.253147,0.018261
4726,6.971646,-6.919056,0.020750,-0.043270,0.020875,0.074264,-89.733299,-45.245319,0.020737
4727,6.964967,-6.902245,0.029464,-0.028011,0.081913,0.074264,-89.738464,-45.245850,0.023212
4728,6.950333,-6.911047,0.015203,-0.089048,0.074283,0.043745,-89.767937,-45.227161,0.024670
4729,6.966917,-6.897824,0.001965,-0.005122,0.051394,0.028486,-89.811218,-45.237465,0.025620
4730,6.992545,-6.889666,0.002548,-0.043270,0.020875,0.005597,-89.845894,-45.274338,0.025806
4732,6.982666,-6.904288,0.036712,-0.050900,0.051394,0.013227,-89.817146,-45.282696,0.026247
4733,6.969646,-6.899114,0.034214,-0.028011,0.059023,0.005597,-89.797630,-45.282787,0.026434
4734,6.970615,-6.889532,0.032902,-0.066159,0.066653,0.066634,-89.785141,-45.291424,0.028655
4735,6.975314,-6.885759,0.040628,0.002508,0.020875,0.074264,-89.760437,-45.306522,0.031130
4736,6.997367,-6.904619,0.040945,-0.096677,0.036135,0.005597,-89.742973,-45.320602,0.031317
4737,6.985456,-6.901973,0.028338,-0.073789,-0.017272,0.066634,-89.749298,-45.325779,0.033538
4739,6.975902,-6.895587,0.023450,-0.073789,0.059023,0.036116,-89.762436,-45.325363,0.034742
4740,6.981761,-6.898579,0.018138,-0.005122,0.074283,0.013227,-89.779953,-45.326965,0.035183
4741,6.976522,-6.897993,0.022289,-0.050900,0.066653,0.020856,-89.788292,-45.324623,0.035878
4742,6.953224,-6.919498,0.049334,-0.050900,0.074283,0.020856,-89.750298,-45.285431,0.036573
4743,6.961455,-6.904752,0.025306,-0.035640,0.051394,0.013227,-89.759193,-45.273796,0.037014
4744,6.972382,-6.887649,0.037061,-0.058529,0.081913,0.005597,-89.747261,-45.286827,0.037201
4746,6.977938,-6.929456,0.041192,-0.096677,0.036135,0.028486,-89.732269,-45.268341,0.038150
4747,6.959541,-6.898223,0.022829,-0.043270,0.051394,0.081893,-89.749046,-45.263977,0.040880
4748,6.982213,-6.890141,0.021016,-0.012752,0.051394,0.005597,-89.764633,-45.285839,0.041066
4749,6.950477,-6.906548,0.036031,-0.043270,0.036135,0.020856,-89.753075,-45.263958,0.041762
4750,6.997921,-6.901580,0.043295,-0.035640,0.020875,0.028486,-89.731529,-45.289925,0.042711
4751,6.945598,-6.913025,0.007454,-0.043270,0.028505,0.020856,-89.774017,-45.258114,0.043406
4753,6.974709,-6.896863,0.019285,-0.020381,0.043764,0.043745,-89.787712,-45.269611,0.044865
4754,6.967665,-6.893907,0.023400,-0.043270,0.036135,0.051375,-89.792427,-45.275665,0.046577
4755,6.976123,-6.905743,0.025370,-0.073789,0.028505,0.036116,-89.793808,-45.277828,0.047781
