seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6031,6.981235,6.964677,-0.074198,-0.195208,-0.030649,0.040538,90.610374,-45.066402,0.000000
6032,6.988912,6.963769,-0.061243,-0.173559,-0.063354,0.028804,90.584160,-45.074810,0.001156
6033,6.985523,6.959778,-0.057447,-0.137625,-0.046148,0.039465,90.557770,-45.082268,0.002294
6034,6.968349,6.960242,-0.056916,-0.132032,-0.020845,0.042453,90.536324,-45.073185,0.003659
6035,6.965373,6.955751,-0.053634,-0.135301,0.023494,0.039480,90.513855,-45.066261,0.005024
6036,6.957654,6.947946,-0.046847,-0.101347,0.047814,0.044090,90.485191,-45.059929,0.006417
6038,6.948648,6.944725,-0.045202,-0.086218,0.075764,0.048548,90.460236,-45.049408,0.007961
6039,6.948674,6.942538,-0.047332,-0.078963,0.093943,0.061715,90.444115,-45.042194,0.009799
6040,6.958178,6.942221,-0.053855,-0.073423,0.086435,0.062644,90.442162,-45.044334,0.011872
6041,6.964080,6.948973,-0.057003,-0.054781,0.061463,0.060590,90.446022,-45.045746,0.013925
6042,6.971494,6.951873,-0.054300,-0.063316,0.043213,0.052700,90.444748,-45.051174,0.015814
6043,6.978716,6.954741,-0.062202,-0.064192,0.044748,0.052448,90.456581,-45.059258,0.017566
6045,6.981969,6.952274,-0.053367,-0.079799,0.028522,0.034494,90.451302,-45.070679,0.019015
6046,6.978037,6.947026,-0.047478,-0.078659,0.018732,0.030411,90.437248,-45.081303,0.020097
6047,6.975817,6.940740,-0.049046,-0.077556,0.000407,0.027938,90.428688,-45.093525,0.021069
6048,6.979476,6.942651,-0.053187,-0.079441,0.000394,0.037354,90.428642,-45.104950,0.022158
6049,6.968926,6.942707,-0.047139,-0.084216,-0.005523,0.036129,90.418533,-45.105492,0.023382
6050,6.961263,6.948759,-0.060850,-0.069648,0.000561,0.030517,90.433121,-45.094543,0.024493
6052,6.967754,6.949919,-0.061608,-0.071792,0.003495,0.028041,90.446190,-45.090038,0.025469
6053,6.973541,6.952428,-0.059497,-0.075342,0.003380,0.031549,90.453056,-45.089104,0.026462
6054,6.969846,6.952433,-0.055392,-0.068444,0.003270,0.021659,90.451828,-45.085342,0.027349
6055,6.980716,6.947830,-0.061237,-0.063249,-0.007169,0.016522,90.460701,-45.095161,0.027985
6056,6.985917,6.945327,-0.056865,-0.061175,-0.008410,0.020408,90.460724,-45.109531,0.028601
6057,6.979201,6.945053,-0.052627,-0.056218,0.005149,0.004980,90.453850,-45.115608,0.029024
6059,6.970267,6.943360,-0.053179,-0.063230,0.012360,-0.002563,90.449257,-45.114246,0.029064
6060,6.966736,6.943354,-0.058594,-0.065585,0.004575,-0.012811,90.454391,-45.110229,0.028808
6061,6.963715,6.944191,-0.055710,-0.063435,0.025088,-0.009439,90.453728,-45.103691,0.028437
6062,6.959208,6.947689,-0.058174,-0.062831,0.025741,-0.007653,90.457245,-45.091564,0.028152
6063,6.973777,6.953557,-0.056144,-0.037157,0.020469,0.010308,90.456985,-45.089085,0.028197
6064,6.974590,6.953815,-0.055668,-0.028559,0.019798,0.026205,90.456444,-45.087639,0.028805
6066,6.979657,6.950528,-0.055861,-0.026147,0.028005,0.037153,90.456520,-45.093250,0.029861
6067,6.984048,6.953019,-0.053626,-0.017910,0.019707,0.035935,90.453011,-45.099312,0.031079
6068,6.990013,6.951545,-0.053612,-0.015847,0.019061,0.031806,90.450333,-45.110382,0.032208
6069,6.983053,6.947384,-0.061234,-0.037466,0.008105,0.024859,90.460556,-45.117065,0.033153
6070,6.982500,6.952426,-0.060119,-0.028858,0.004887,0.015189,90.466644,-45.117996,0.033820
6071,6.977568,6.953138,-0.064219,-0.038244,0.009155,0.010263,90.478256,-45.114063,0.034244
6073,6.972416,6.954991,-0.063639,-0.034038,0.005903,0.014354,90.486496,-45.105145,0.034655
6074,6.968608,6.954257,-0.060845,-0.037350,0.005709,0.022739,90.488503,-45.095551,0.035273
6075,6.965793,6.955791,-0.059782,-0.036125,0.014377,0.013138,90.488312,-45.084190,0.035871
6076,6.967802,6.954386,-0.059400,-0.036417,0.022761,0.012707,90.487564,-45.077694,0.036301
6077,6.965666,6.957136,-0.057758,-0.027844,0.017588,0.019670,90.484329,-45.068443,0.036841
6078,6.968765,6.952226,-0.060568,-0.035786,0.006680,0.014598,90.486450,-45.067829,0.037412
6080,6.963772,6.957541,-0.061135,-0.039041,0.006461,0.009692,90.488861,-45.058998,0.037817
6081,6.962824,6.958365,-0.061268,-0.028905,0.006249,0.016753,90.491089,-45.050476,0.038258
6082,6.966758,6.952761,-0.063104,-0.026482,-0.004287,0.020632,90.496140,-45.051640,0.038881
6083,6.964642,6.954305,-0.062042,-0.027090,-0.002671,0.021431,90.498428,-45.049686,0.039582
6084,6.965212,6.956281,-0.058464,-0.023250,0.009224,0.019253,90.494377,-45.046814,0.040260
6085,6.973963,6.951335,-0.052368,-0.022487,0.003018,0.018622,90.481216,-45.055748,0.040891
6087,6.978463,6.954061,-0.050619,-0.029130,-0.007412,0.025391,90.467697,-45.064575,0.041625
6088,6.976446,6.956816,-0.048737,-0.026699,-0.008645,0.012751,90.453690,-45.067879,0.042261
6089,6.978194,6.951356,-0.046593,-0.024348,-0.015741,0.009381,90.439072,-45.076580,0.042629
6090,6.973199,6.949686,-0.049564,-0.023549,-0.018177,0.009074,90.432343,-45.080925,0.042937
6091,6.969001,6.948737,-0.053153,-0.016874,-0.014629,0.002873,90.432991,-45.081696,0.043136
6092,6.962400,6.941600,-0.051081,-0.014845,-0.006770,0.013110,90.430298,-45.082626,0.043402
6094,6.961568,6.941430,-0.053848,-0.015834,0.003783,0.027439,90.432724,-45.082569,0.044078
6095,6.965662,6.945153,-0.057419,-0.012363,0.013990,0.011781,90.440536,-45.082520,0.044732
6096,6.956944,6.944924,-0.056432,-0.014909,0.020911,0.008443,90.445175,-45.075272,0.045069
6097,6.964300,6.942339,-0.060137,-0.004089,0.014322,0.009642,90.455154,-45.077633,0.045370
6098,6.966774,6.945311,-0.064415,-0.006907,0.028612,-0.005433,90.470253,-45.078968,0.045441
6099,6.968526,6.949346,-0.069072,-0.015536,0.017342,-0.012635,90.489799,-45.078072,0.045139
6101,6.973403,6.949268,-0.071009,-0.013551,0.012346,-0.004841,90.508537,-45.081627,0.044848
6102,6.982440,6.950685,-0.073104,-0.008679,-0.002818,0.004173,90.527054,-45.090973,0.044837
6103,6.976489,6.952560,-0.070112,-0.012822,0.001703,0.014367,90.536911,-45.092190,0.045146
6104,6.976478,6.951293,-0.075030,-0.010926,-0.014588,0.010944,90.552895,-45.094315,0.045568
6105,6.972638,6.945127,-0.074909,-0.000236,-0.003779,0.016489,90.565765,-45.098015,0.046025
6106,6.964144,6.945382,-0.073811,0.001247,-0.003655,0.014473,90.574402,-45.093643,0.046541
6108,6.964346,6.942073,-0.070618,0.007110,0.009748,0.008095,90.576195,-45.092892,0.046917
6109,6.964316,6.944502,-0.068372,0.000973,0.010904,-0.003978,90.573883,-45.090088,0.046986
6110,6.964827,6.943231,-0.065457,0.006845,0.009071,0.003532,90.567245,-45.089344,0.046978
6111,6.962504,6.944204,-0.062096,0.006620,-0.005985,0.006368,90.556435,-45.086288,0.047143
6112,6.959716,6.945793,-0.057177,0.010831,-0.011693,0.023870,90.539711,-45.080547,0.047647
6113,6.962950,6.951653,-0.061388,-0.002807,-0.003930,0.023088,90.533066,-45.073730,0.048430
6115,6.957771,6.948459,-0.061680,-0.011571,0.005054,0.022331,90.527985,-45.066422,0.049187
6116,6.952867,6.951593,-0.055460,-0.017095,0.009316,0.014219,90.513428,-45.053810,0.049796
6117,6.956191,6.954027,-0.056234,-0.026866,0.017866,0.001946,90.502823,-45.044281,0.050066
6118,6.964143,6.956595,-0.060637,-0.031889,0.026136,-0.018781,90.501366,-45.040833,0.049785
6119,6.959348,6.953354,-0.056108,-0.021988,0.023803,-0.007834,90.492844,-45.036751,0.049341
6120,6.961795,6.957143,-0.061967,-0.016839,0.014167,-0.006101,90.495827,-45.032501,0.049109
6122,6.965067,6.956346,-0.062201,-0.022191,0.019606,0.007382,90.498604,-45.032501,0.049131
6123,6.968244,6.949229,-0.060030,-0.021463,0.007157,0.023375,90.497292,-45.041092,0.049643
6124,6.975439,6.946789,-0.053253,-0.020759,0.009874,0.024085,90.485115,-45.056065,0.050434
6125,6.969851,6.947203,-0.052284,-0.017127,-0.009637,0.020343,90.473831,-45.063339,0.051175
6126,6.975752,6.943968,-0.049587,-0.006234,-0.004893,0.013773,90.460587,-45.076885,0.051743
6127,6.977543,6.946464,-0.052890,0.001350,-0.016540,0.008894,90.455650,-45.087204,0.052121
6129,6.976131,6.953893,-0.051696,0.008685,-0.013046,-0.004681,90.449844,-45.088291,0.052191
6130,6.967137,6.953326,-0.057451,0.009876,-0.014094,0.002852,90.454803,-45.082169,0.052161
6131,6.972913,6.949822,-0.056677,0.006601,-0.003301,-0.006097,90.457520,-45.084782,0.052107
6132,6.968355,6.949219,-0.060874,-0.005423,-0.007620,0.005910,90.466415,-45.083508,0.052104
6133,6.970027,6.953202,-0.060588,-0.000818,-0.001467,0.011620,90.472893,-45.080559,0.052396
6134,6.968251,6.950241,-0.056312,0.003637,0.013340,0.008287,90.471191,-45.078930,0.052728
6136,6.968850,6.949660,-0.055580,0.003518,0.012903,0.013919,90.468697,-45.078411,0.053098
6137,6.972555,6.949675,-0.058240,0.001926,0.005101,0.022318,90.471062,-45.081120,0.053702
6138,6.968921,6.952185,-0.055144,0.001863,0.003458,0.012731,90.467789,-45.078381,0.054286
6139,6.963974,6.947498,-0.059507,-0.010005,0.006296,-0.008349,90.472275,-45.075935,0.054359
6140,6.962580,6.946488,-0.061775,-0.008201,0.001662,0.000780,90.479477,-45.073673,0.054233
6141,6.957364,6.945336,-0.061743,-0.007932,-0.008724,-0.005149,90.485237,-45.068718,0.054160
6143,6.956218,6.950473,-0.061834,-0.015052,0.001893,-0.007932,90.489830,-45.059574,0.053942
6144,6.960414,6.951666,-0.057888,-0.007179,0.003307,0.001183,90.486984,-45.054596,0.053829
6145,6.967031,6.954465,-0.053012,-0.002516,0.007627,0.011476,90.476807,-45.053707,0.054040
6146,6.964514,6.958015,-0.053794,-0.017192,0.007377,0.002244,90.469780,-45.047947,0.054269
6147,6.967210,6.961715,-0.057603,-0.012201,0.015990,-0.006685,90.470245,-45.042374,0.054195
6148,6.966167,6.961709,-0.056998,-0.004421,0.005135,-0.016797,90.469795,-45.037094,0.053804
6150,6.965337,6.961542,-0.059524,-0.007228,0.000539,-0.020674,90.473663,-45.032513,0.053179
6151,6.963863,6.959732,-0.058885,0.000388,-0.009810,-0.027376,90.475784,-45.029331,0.052378
6152,6.969888,6.956390,-0.055343,0.009231,-0.008013,-0.022050,90.471924,-45.034630,0.051554
6153,6.969731,6.952435,-0.055150,0.008928,-0.007750,-0.010996,90.468689,-45.041973,0.051004
6154,6.965178,6.951097,-0.060539,0.011587,-0.004544,-0.006208,90.475029,-45.045124,0.050717
6155,6.969321,6.955294,-0.056045,0.017111,-0.002920,-0.000101,90.472748,-45.047558,0.050612
6157,6.967249,6.954066,-0.056018,0.007695,0.000128,0.005806,90.470840,-45.048748,0.050707
6158,6.962848,6.952801,-0.056347,0.001539,0.000124,0.005615,90.469658,-45.047085,0.050897
6159,6.966416,6.955011,-0.056154,-0.010319,-0.017591,-0.003424,90.468124,-45.047100,0.050934
6160,6.973125,6.956394,-0.058363,-0.004077,-0.022918,-0.006263,90.470451,-45.051781,0.050772
6161,6.971010,6.950583,-0.060302,-0.005419,-0.022167,-0.011962,90.475655,-45.058624,0.050469
6162,6.969903,6.947444,-0.060724,0.000662,-0.025867,-0.010094,90.480621,-45.065815,0.050101
6164,6.975824,6.953240,-0.063735,0.005068,-0.027971,-0.012714,90.489609,-45.071709,0.049721
6165,6.980577,6.949150,-0.061020,0.013757,-0.009343,0.005413,90.492561,-45.083496,0.049599
6166,6.973392,6.949732,-0.054989,0.008879,-0.001658,0.014091,90.485016,-45.086239,0.049924
6167,6.972687,6.945712,-0.050335,0.007112,-0.011935,0.006250,90.471275,-45.091232,0.050263
6168,6.976609,6.947192,-0.051334,0.008355,-0.013019,0.006045,90.461899,-45.097374,0.050468
6169,6.966422,6.949036,-0.054840,0.015460,-0.027351,0.008798,90.460266,-45.092579,0.050716
6171,6.953907,6.951469,-0.056785,0.003146,-0.033834,-0.006249,90.462067,-45.076698,0.050758
6172,6.954679,6.952887,-0.059102,0.003043,-0.035677,-0.014899,90.467148,-45.063557,0.050406
6173,6.962248,6.956129,-0.066288,0.004419,-0.022700,-0.008507,90.483017,-45.056400,0.050015
