seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
2814,0.205802,0.191623,9.847841,-1.289276,-1.644837,-0.134944,1.114742,-1.196977,0.000000
2815,0.187680,0.153637,9.874714,-0.781096,-1.536700,-0.092145,1.042544,-1.217677,-0.004817
2816,0.213144,0.165683,9.863298,-0.207767,-1.194783,-0.062580,1.013380,-1.258072,-0.008270
2817,0.204872,0.182664,9.880381,0.128393,-0.519676,-0.106805,1.021531,-1.266807,-0.011629
2818,0.171199,0.118359,9.884499,0.247364,-0.429995,-0.083066,0.959503,-1.224499,-0.015088
2819,0.126462,0.057012,9.905279,0.817807,-0.103007,-0.068535,0.847807,-1.132960,-0.017780
2821,0.108590,-0.057754,9.919081,1.021237,0.163080,-0.082523,0.636087,-1.030978,-0.020278
2822,0.054869,0.051737,9.912548,1.436430,0.249239,-0.072439,0.601485,-0.882687,-0.022728
2823,0.025196,0.036929,9.906381,0.453618,-0.046732,-0.006600,0.549124,-0.732583,-0.023981
2824,0.029480,0.046215,9.907883,0.174561,-0.031917,-0.019667,0.501130,-0.621207,-0.024445
2825,0.030168,0.039654,9.899596,-0.180950,-0.032346,-0.014594,0.446725,-0.532738,-0.025039
2826,0.018102,0.096736,9.890448,-0.375740,-0.010623,-0.000833,0.462036,-0.447734,-0.025311
2827,0.030598,-0.075555,9.916623,-1.005438,0.008912,-0.011137,0.263908,-0.393565,-0.025511
2828,0.025739,-0.134855,9.921132,-0.286183,0.002716,-0.037338,0.038158,-0.344420,-0.026315
2829,0.017684,-0.143492,9.922934,-0.182343,-0.010656,-0.042017,-0.141409,-0.296059,-0.027640
2830,0.026663,-0.142392,9.922612,-0.146847,-0.020638,-0.039164,-0.281941,-0.268054,-0.029004
2831,0.024288,-0.132912,9.920016,-0.125798,-0.030293,-0.036404,-0.382708,-0.243180,-0.030280
2832,0.016207,-0.136105,9.918191,-0.124626,-0.041107,-0.038162,-0.466742,-0.214225,-0.031546
2833,0.024665,-0.134531,9.920388,-0.111685,-0.045663,-0.036911,-0.531929,-0.201032,-0.032826
2834,0.028264,-0.140302,9.917455,-0.102119,-0.036787,-0.038653,-0.590492,-0.194588,-0.034113
2835,0.027158,-0.139384,9.918517,-0.113530,-0.037057,-0.037386,-0.636289,-0.188038,-0.035404
2836,0.036666,-0.138645,9.915072,-0.098001,-0.034366,-0.045015,-0.672074,-0.193766,-0.036801
2837,0.045835,-0.135436,9.916196,-0.090361,-0.030287,-0.049443,-0.696667,-0.208851,-0.038396
2838,0.036306,-0.141600,9.909530,-0.071163,-0.023391,-0.055202,-0.723214,-0.209792,-0.040158
2839,0.038733,-0.146307,9.912116,-0.055547,-0.019672,-0.044537,-0.749386,-0.213197,-0.041834
2840,0.041256,-0.148920,9.914337,-0.062582,-0.001316,-0.054884,-0.773190,-0.218534,-0.043498
2841,0.035437,-0.150039,9.920138,-0.054626,-0.001273,-0.039802,-0.793413,-0.215808,-0.045077
2842,0.030071,-0.149115,9.917147,-0.057263,0.004672,-0.029642,-0.808506,-0.207356,-0.046233
2843,0.035162,-0.146444,9.919040,-0.058338,0.001567,-0.027194,-0.817514,-0.206429,-0.047179
2844,0.027675,-0.135868,9.920808,-0.057901,0.004468,-0.018923,-0.812485,-0.197035,-0.047945
2845,0.025154,-0.135336,9.920520,-0.036816,-0.008962,-0.019778,-0.807565,-0.186748,-0.048592
2846,0.031245,-0.133475,9.920264,-0.045940,-0.011620,-0.023557,-0.801325,-0.185769,-0.049321
2847,0.027834,-0.136692,9.918884,-0.037055,-0.024522,-0.022785,-0.800073,-0.181259,-0.050105
2848,0.025056,-0.139740,9.923420,-0.047647,-0.039953,-0.016135,-0.802541,-0.174805,-0.050774
2849,0.036002,-0.139203,9.920243,-0.031326,-0.060782,-0.022985,-0.803871,-0.182777,-0.051458
2850,0.034737,-0.131278,9.925504,-0.017016,-0.067645,-0.007472,-0.795294,-0.188040,-0.052006
