seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
0,-0.163131,-0.111504,9.764922,-0.754508,0.741111,0.090793,0.000000,0.957022,0.000000
1,-0.267291,-0.137560,9.752545,-0.296731,0.748741,0.418867,-0.007913,1.099539,0.013962
2,-0.230016,-0.129815,9.808805,0.374677,1.153111,-0.580614,0.003661,1.179025,-0.005392
3,-0.250074,-0.119020,9.783515,-0.525619,1.015778,-0.138096,-0.011088,1.263126,-0.009995
4,-0.250350,-0.115947,9.740525,-1.143619,0.352000,0.678274,-0.039367,1.314324,0.012614
5,-0.253475,-0.115579,9.825229,0.344158,0.970000,0.159460,-0.022316,1.372868,0.017930
7,-0.309144,-0.137866,9.773755,-0.456953,0.390149,0.266274,-0.030038,1.470994,0.026806
8,-0.270543,-0.115009,9.791698,-0.670582,0.603778,-0.176244,-0.041913,1.509409,0.020931
9,-0.283704,-0.124890,9.830486,0.344158,1.130222,-0.389874,-0.024353,1.568255,0.007935
10,-0.293302,-0.155001,9.723299,0.122899,0.382519,0.090793,-0.198862,1.610319,0.010961
11,-0.270747,-0.088029,9.747293,0.351788,-0.006592,-0.763725,-0.149709,1.606282,-0.014496
12,-0.284960,-0.122536,9.828667,0.336529,0.565630,-0.428022,-0.110793,1.632222,-0.028764
14,-0.248061,-0.116786,9.767994,0.496751,0.260445,-0.069429,-0.075387,1.603648,-0.031078
15,-0.239326,-0.124888,9.881495,0.504380,0.214667,-0.412762,-0.046860,1.566103,-0.044837
16,-0.311622,-0.106247,9.769867,-0.205175,-0.487259,-0.038911,-0.042959,1.605247,-0.046134
17,-0.264406,-0.096501,9.731899,-0.006805,-0.533037,-0.466170,-0.034549,1.581225,-0.061673
18,-0.252849,-0.098578,9.845961,0.252603,0.062075,-0.191503,-0.020903,1.560833,-0.068056
19,-0.300061,-0.099159,9.799711,0.534899,-0.067629,-0.344096,-0.002458,1.597607,-0.079526
21,-0.272250,-0.092350,9.787898,0.649343,-0.517777,-0.733207,0.015349,1.582918,-0.103966
22,-0.249503,-0.096448,9.870426,0.061862,-0.174444,-0.069429,0.013929,1.551269,-0.106280
23,-0.305944,-0.082281,9.817419,-0.830804,0.023926,0.266274,-0.011012,1.598631,-0.097405
24,-0.284738,-0.122472,9.683078,0.176306,-0.380444,0.075534,-0.004108,1.605601,-0.094887
25,-0.266244,-0.102862,9.752234,1.328380,-0.494888,-0.771355,0.032137,1.584033,-0.120599
26,-0.271647,-0.087104,9.826041,2.015047,-0.517777,-1.152836,0.079444,1.570122,-0.159027
27,-0.254585,-0.086168,9.734853,0.748528,-1.746147,-0.283059,0.083516,1.509132,-0.168462
28,-0.269277,-0.080166,9.803320,-0.319619,-1.181555,0.548571,0.058290,1.490468,-0.150176
29,-0.227769,-0.078270,9.765388,1.038454,-0.777184,-0.229651,0.074324,1.438866,-0.157831
30,-0.201733,-0.019833,9.872422,1.519121,-0.349926,-0.496688,0.099969,1.375885,-0.174387
31,-0.160701,-0.064758,9.820597,0.374677,-0.121037,0.815608,0.089967,1.284973,-0.147201
32,-0.294772,-0.053029,9.850636,0.351788,0.252815,0.724052,0.081354,1.377519,-0.123065
33,-0.254619,-0.075888,9.744305,0.138158,0.191778,0.006867,0.068768,1.406479,-0.122837
34,-0.196217,-0.054681,9.752250,-0.342508,0.634296,0.716423,0.045881,1.372624,-0.098956
35,-0.244831,-0.051558,9.918376,-0.022064,1.008148,0.861385,0.036116,1.407786,-0.070243
36,-0.285313,-0.039002,9.712140,0.328899,0.420667,-0.115207,0.037664,1.473983,-0.074083
37,-0.211696,-0.055865,9.770657,-0.220434,-0.159185,0.495163,0.024253,1.423178,-0.057578
38,-0.270762,-0.044029,9.826247,-0.479842,-0.082889,1.036867,0.006606,1.452006,-0.023015
39,-0.274349,-0.071163,9.761436,0.176306,0.062075,0.174719,0.009987,1.485231,-0.017192
40,-0.233877,-0.051619,9.750184,0.702751,-0.136296,-0.656910,0.026729,1.459364,-0.039089
41,-0.209515,0.006698,9.798736,0.847714,0.451185,-0.244910,0.043989,1.424504,-0.047252
42,-0.271838,-0.064655,9.903402,-0.189916,0.222297,1.227607,0.030127,1.459987,-0.006332
43,-0.269229,-0.077104,9.809258,-0.617175,0.207037,0.830867,0.007643,1.487935,0.021364
44,-0.203776,-0.041406,9.770575,-0.716360,0.031556,0.342571,-0.012988,1.430146,0.032783
45,-0.246434,-0.023232,9.737310,-0.731619,-0.159185,0.090793,-0.029900,1.429820,0.035809
46,-0.302211,-0.017788,9.804916,-0.502730,0.390149,0.464645,-0.037326,1.507347,0.051297
47,-0.296979,-0.077361,9.768504,-0.640064,0.138371,0.670645,-0.046930,1.557826,0.073652
48,-0.245039,-0.082148,9.810657,-0.579027,0.016297,0.212867,-0.052984,1.532839,0.080748
49,-0.251008,-0.032152,9.797031,-0.357768,-0.090518,-0.305948,-0.051928,1.517385,0.070549
50,-0.224738,-0.048022,9.740665,-0.174657,0.207037,0.128941,-0.046200,1.483767,0.074847
51,-0.334780,-0.072194,9.792673,-0.014434,0.397778,0.586719,-0.037345,1.589209,0.094405
52,-0.239092,-0.061188,9.806326,-0.655323,0.084963,0.624867,-0.047351,1.552963,0.115234
53,-0.212634,-0.062996,9.775488,-0.319619,0.947111,0.388349,-0.046404,1.516838,0.128179
54,-0.243968,-0.077578,9.841648,0.504380,0.870815,0.304423,-0.023673,1.520691,0.138326
55,-0.288709,-0.080018,9.736959,-0.189916,0.046815,0.128941,-0.024003,1.557464,0.142624
56,-0.324512,-0.073613,9.712201,0.077121,-0.426222,0.136571,-0.017146,1.617335,0.147176
57,-0.181064,-0.079616,9.750788,0.328899,-1.196814,-0.122837,-0.004946,1.474709,0.143082
58,-0.252466,-0.043941,9.863360,-0.678212,-1.593555,0.403608,-0.022042,1.430518,0.156535
59,-0.213633,0.000658,9.949127,-0.380656,-0.700888,0.113682,-0.027785,1.371744,0.160325
60,-0.180270,-0.061517,9.813277,-0.586656,0.428297,-0.016022,-0.037872,1.319293,0.159791
61,-0.213192,-0.086012,9.751829,-1.479323,0.443556,0.518052,-0.069746,1.317730,0.177059
62,-0.170407,-0.043053,9.795869,-0.517990,0.916593,-0.107577,-0.069610,1.277946,0.173473
63,-0.219886,-0.057170,9.770614,1.099491,2.068666,-0.382244,-0.026368,1.335359,0.160732
64,-0.212778,-0.105808,9.846886,0.512010,2.160222,1.448867,-0.007441,1.373457,0.209027
65,-0.253201,-0.113354,9.810890,-0.571397,0.924222,1.731163,-0.021190,1.419066,0.266733
66,-0.345004,-0.090898,9.790391,-0.388286,0.558000,0.518052,-0.027306,1.553758,0.284001
67,-0.383760,-0.002286,9.791708,-0.647694,0.977630,-0.054170,-0.039117,1.717959,0.282196
68,-0.251738,-0.054449,9.733386,-2.387249,0.847926,0.930052,-0.094953,1.693280,0.313197
69,-0.264618,-0.089216,9.791499,-3.073915,0.603778,2.013459,-0.157934,1.680323,0.380313
70,-0.373558,-0.135994,9.751835,-1.197027,0.992889,1.456496,-0.158268,1.809438,0.428862
71,-0.300616,-0.153078,9.742327,-0.128879,0.962370,0.090793,-0.310090,1.826649,0.431889
72,-0.252755,-0.065115,9.793145,-0.617175,0.245185,-0.145725,-0.264530,1.763539,0.427031
73,-0.284287,-0.084675,9.843240,-0.800286,0.298593,0.975830,-0.232965,1.749647,0.459559
74,-0.351046,-0.135020,9.858779,-1.021545,0.886074,1.471756,-0.213613,1.831167,0.508618
75,-0.313132,-0.142084,9.775557,-1.349619,0.794518,0.876645,-0.206880,1.853018,0.537839
76,-0.317689,-0.118351,9.714448,-0.731619,0.535111,0.273904,-0.185014,1.871269,0.546969
77,-0.386087,-0.070779,9.717738,0.161047,0.680074,0.235756,-0.143717,1.970173,0.554828
78,-0.345871,-0.098362,9.767183,0.428084,0.748741,0.251015,-0.103558,2.001701,0.563195
79,-0.325313,-0.111857,9.816372,0.954528,0.664815,0.266274,-0.057392,1.998680,0.572071
80,-0.350555,-0.114246,9.844867,1.114751,0.138371,-0.168614,-0.016187,2.010471,0.566450
81,-0.312731,-0.124852,9.815976,-0.029694,0.138371,-0.191503,-0.013741,1.976996,0.560067
82,-0.331676,-0.128245,9.803352,-0.952879,-0.304148,0.273904,-0.036403,1.961002,0.569197
83,-0.352431,-0.095489,9.764728,-0.174657,-0.464370,-0.542466,-0.033780,1.969806,0.551115
84,-0.290308,-0.110460,9.743793,-0.342508,-0.410963,-0.252540,-0.036158,1.906179,0.542697
85,-0.296827,-0.089154,9.732215,0.405195,-0.403333,-0.031281,-0.018121,1.863562,0.541654
86,-0.313588,-0.102011,9.826499,2.121861,0.039186,-1.427503,0.042086,1.857441,0.494070
87,-0.329011,-0.119067,9.767484,1.297862,0.596148,-1.213873,0.068279,1.887669,0.453608
88,-0.350360,-0.106014,9.832858,0.222084,-0.624592,-0.176244,0.060545,1.901591,0.447733
89,-0.363376,-0.036498,9.808864,0.405195,-0.525407,-1.252022,0.059241,1.931577,0.405999
90,-0.286721,-0.068936,9.761334,0.924010,-0.418592,-0.641651,0.072033,1.870585,0.384611
91,-0.328898,-0.112553,9.812176,0.733269,-0.883999,0.464645,0.077181,1.856830,0.400099
92,-0.249164,-0.057144,9.805626,0.702751,0.252815,-0.710318,0.080484,1.783319,0.376422
93,-0.330421,-0.066520,9.812339,0.817195,-0.548296,-0.702688,0.086179,1.797756,0.352999
94,-0.344969,-0.066112,9.661878,0.695121,-1.059481,-0.695059,0.087480,1.818908,0.329830
95,-0.309077,-0.019811,9.843675,2.427046,-0.388073,-1.641133,0.134705,1.804460,0.275126
96,-0.289705,-0.053480,9.807117,3.380750,-0.342296,-1.786095,0.197918,1.772843,0.215589
97,-0.282434,-0.045736,9.796353,2.694083,-0.868740,-0.725577,0.230176,1.725386,0.191403
98,-0.328651,0.002438,9.825439,1.694602,0.268075,0.678274,0.229330,1.770612,0.214012
99,-0.298574,0.031040,9.833132,1.023195,-0.265999,0.884274,0.210750,1.757234,0.243488
100,-0.350554,-0.040706,9.641916,1.725121,-0.937407,0.189978,0.214603,1.797227,0.249821
101,-0.268040,-0.024594,9.647083,3.991120,-0.555925,-0.206762,0.278112,1.741261,0.242929
102,-0.270173,0.073756,9.671821,5.570453,-1.418073,0.502793,0.371035,1.675202,0.259688
103,-0.385990,0.018969,9.821332,6.516527,-1.273110,1.021608,0.470602,1.756338,0.293742
104,-0.210933,0.139609,9.962785,7.294748,-0.159185,0.228126,0.571008,1.643380,0.301346
105,-0.280889,0.220692,9.919215,5.974823,-0.052370,-0.008392,0.871047,1.637637,0.301067
106,-0.277065,0.216390,9.804717,5.806971,-0.159185,-0.557725,1.104553,1.629516,0.282476
107,-0.332399,0.275371,9.797249,5.578083,-0.647481,-0.801873,1.354389,1.674827,0.255747
108,-0.319323,0.585975,9.799848,13.444228,-1.837703,1.853237,1.818724,1.616065,0.317521
109,-0.271976,0.370241,9.710850,20.959412,4.349925,1.158941,2.514031,1.759483,0.356153
110,-0.327579,0.584626,9.796227,23.744226,6.310739,2.028718,3.306603,1.969261,0.423776
112,-0.359394,0.680764,9.768878,24.675039,1.107333,4.882199,4.127676,2.007128,0.586516
113,-0.408426,1.105955,9.870855,28.398298,1.252296,5.278940,5.087473,2.051930,0.762481
114,-0.259511,1.126491,9.570319,22.561634,0.634296,2.005830,5.848264,2.067768,0.829342
115,-0.401237,1.268231,9.678473,18.273783,1.023407,1.288645,6.467469,2.104402,0.872297
116,-0.570315,1.264624,9.765705,20.196449,0.435926,2.120274,7.143063,2.130890,0.942973
117,-0.423672,1.532713,9.614435,25.964447,-1.837703,0.144200,8.019036,2.073854,0.947779
118,-0.378104,1.744145,9.740478,27.581928,-0.914518,1.952422,8.950568,2.044819,1.012860
119,-0.244594,1.606384,9.573762,21.691856,-1.280740,0.792719,9.672143,1.996539,1.039284
120,-0.302874,1.945873,9.620974,22.042818,0.100223,0.724052,10.417174,1.997555,1.063419
121,-0.392566,1.985018,9.543053,19.738670,-0.990814,-1.343577,11.081882,1.967945,1.018633
122,-0.304725,2.207561,9.650775,21.592670,-2.875332,2.417830,11.812467,1.871010,1.099228
123,-0.306743,2.225464,9.499041,19.074894,-3.058443,1.792200,12.455669,1.769380,1.158967
124,-0.132757,2.190422,9.475444,17.373486,-2.867702,1.998200,13.034601,1.657052,1.225574
125,-0.396172,2.629723,9.646293,18.342449,-1.250221,1.380200,13.662047,1.621915,1.271581
126,-0.279824,2.410139,9.508259,11.056155,-3.012666,0.350200,14.032517,1.522618,1.283254
127,-0.405708,2.500808,9.528677,10.606008,-2.577777,0.952941,14.389247,1.445908,1.315019
128,-0.167212,2.546965,9.371100,11.269785,-3.813776,-0.290688,14.769309,1.315459,1.305329
129,-0.221336,2.754522,9.433874,14.359784,-2.554888,-1.320688,15.258258,1.230895,1.261306
130,-0.353088,2.602877,9.251821,16.610523,-1.814814,-1.824243,15.810955,1.179737,1.200498
131,-0.210393,2.762105,9.304992,22.988892,-3.470443,-2.777947,16.576811,1.065832,1.107900
132,-0.329661,3.081636,9.301270,27.589558,-2.387036,-1.770836,17.504807,0.995671,1.048872
133,-0.221785,2.966748,9.075104,26.536669,-2.760888,-1.648762,18.386499,0.907912,0.993913
134,-0.231805,3.364393,9.130451,30.954224,-1.303629,-3.624835,19.426401,0.869460,0.873086
