seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.024288,-0.508608,9.908234,0.641714,3.281777,0.975830,-2.938517,0.000000,0.000000
2,0.091473,-0.318627,9.564433,1.046084,1.168370,1.624348,-2.878757,0.037972,0.054145
3,-0.164880,-0.369646,9.986863,0.733269,2.381481,1.578570,-2.744128,0.241532,0.106764
4,-0.063432,-0.485136,9.666982,0.374677,-0.517777,1.143682,-2.752838,0.190631,0.144887
5,-0.099564,-0.354199,9.603484,0.656973,2.122074,1.357311,-2.638135,0.222162,0.190130
6,0.035562,-0.521644,9.554000,0.580677,2.595111,1.532793,-2.631441,0.300949,0.241223
7,-0.151566,-0.527364,9.835652,0.580677,2.030518,0.243386,-2.680641,0.445576,0.249336
8,-0.164300,-0.404890,9.286094,0.588306,4.403332,-1.366466,-2.656920,0.602861,0.203787
9,-0.646494,-0.436462,9.987303,1.030825,12.010071,-2.091280,-2.619554,1.070621,0.134078
10,-1.003212,-0.216710,10.107054,0.206825,6.325999,-2.961058,-2.578051,1.391132,0.035376
11,-0.336178,-0.418831,9.211703,-1.776878,2.663777,-4.059724,-2.636431,1.495124,-0.099948
12,-0.316414,-0.533720,9.737370,-0.739249,11.689627,-6.005279,-2.672979,1.884118,-0.300124
13,-0.391929,-0.453254,10.150828,0.527269,12.475479,-5.639057,-2.652935,2.297692,-0.488093
14,-0.719926,-0.068339,9.693450,-0.273842,7.920591,-1.122318,-2.595511,2.603854,-0.525503
15,-0.274619,-0.722002,9.096753,0.504380,10.018738,-3.273873,-2.627682,2.907460,-0.634632
16,-0.096799,-0.858187,9.766856,2.411787,20.440809,-6.402020,-2.609145,3.499100,-0.848033
17,-0.161941,-0.338790,9.611287,1.641195,25.392437,-4.410687,-2.541047,4.260994,-0.995056
18,0.024670,-0.560261,9.336496,3.174750,29.962585,-9.026611,-2.460194,5.128253,-1.295943
19,0.124856,-0.751761,9.968412,5.486527,33.022064,-13.314463,-2.328196,6.073265,-1.739758
20,-0.624769,-0.131314,9.471496,4.982972,39.766655,-9.904018,-2.108044,7.308189,-2.069892
21,-1.116961,0.098635,9.544318,4.830379,42.627766,-3.754539,-1.898356,8.677751,-2.195044
22,-1.546106,-0.319905,9.581751,4.014009,41.635914,-0.351725,-1.768247,10.043004,-2.206768
23,-1.769236,-0.217186,9.467166,4.288675,47.976135,0.342571,-1.617514,11.615721,-2.195349
24,-2.142716,-0.552998,9.559099,3.029787,50.265022,1.540422,-1.561380,13.274288,-2.144001
25,-2.342223,-0.158618,9.803576,1.999787,49.074802,1.509904,-1.480526,14.873244,-2.093671
26,-2.536788,0.015704,9.442092,3.525712,50.585468,0.693534,-1.328927,16.521400,-2.070553
27,-2.811944,0.047876,9.639281,1.526750,51.287392,0.594348,-1.246085,18.181772,-2.050742
28,-2.934498,-0.257153,9.373375,1.496232,52.737022,3.691977,-1.205592,19.875618,-1.927676
29,-3.330375,-0.244606,9.463746,2.366009,49.128208,2.181311,-1.135572,21.459930,-1.854965
30,-3.438661,-0.132649,9.444106,1.397047,44.474136,-0.641651,-1.061778,22.868971,-1.876354
31,-3.987392,-0.090685,9.363149,1.946380,40.796654,-3.960539,-0.971977,24.199795,-2.008372
32,-4.613635,-0.300498,9.571005,2.312602,31.152805,-3.426465,-0.917475,25.250393,-2.122587
33,-5.138752,-0.426957,9.533519,3.174750,18.937773,-2.373576,-0.855466,25.942150,-2.201707
34,-5.267083,0.388764,9.019789,1.625936,2.022889,-3.685872,-0.719536,26.115831,-2.324569
35,-4.757670,-0.039239,7.763895,2.556750,-5.965331,-1.862392,-0.618454,26.056547,-2.386649
36,-4.369506,-0.170642,7.444249,2.503343,-5.080295,-2.488021,-0.554462,26.000145,-2.469583
37,-4.851472,-0.119426,8.216897,2.053195,1.763481,-2.350688,-0.473872,26.171358,-2.547939
38,-4.366728,-0.169475,7.941291,1.748010,-7.491257,-0.801873,-0.435779,25.993605,-2.574668
39,-4.556056,0.221013,8.349956,2.343121,-6.430738,0.136571,-0.310828,25.850021,-2.570116
40,-4.869811,-0.289269,8.590071,2.831417,-7.125034,-0.656910,-0.473284,26.200964,-2.592013
41,-4.401301,-0.155039,8.590117,2.457565,-6.148442,-1.274910,-0.487759,26.165417,-2.634510
42,-4.115872,-0.026894,8.836643,1.320750,-4.126591,0.205237,-0.377174,25.869898,-2.627669
43,-4.353876,-0.088943,8.814172,0.603565,-0.189703,-0.901058,-0.303497,25.927017,-2.657704
44,-4.058519,0.062773,8.768769,-0.105990,-1.662221,-1.244392,-0.260975,25.716259,-2.699184
45,-3.747969,0.035069,8.806862,-0.403545,-2.043703,3.012940,-0.267566,25.583261,-2.598752
46,-4.029953,-0.132530,8.859658,-1.280953,0.084963,1.967681,-0.263725,25.416691,-2.533163
47,-3.829354,-0.287526,8.526468,-0.052583,-3.943480,1.166570,-0.307125,25.257446,-2.494277
