seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1448,-6.908201,-6.910312,-0.002295,-0.020381,0.059023,0.104782,-90.019028,44.991245,0.000000
1449,-6.915008,-6.931021,-0.018764,-0.005122,0.097172,0.097152,-90.039589,44.985355,0.003238
1450,-6.920373,-6.921380,-0.009954,-0.073789,0.081913,0.059005,-90.048103,44.989246,0.005205
1451,-6.909666,-6.920395,0.006182,-0.058529,0.165838,0.028486,-90.034874,44.988892,0.006155
1452,-6.910082,-6.914810,-0.021340,-0.043270,0.097172,0.104782,-90.057388,44.990353,0.009648
1453,-6.914366,-6.894206,-0.001328,-0.058529,0.043764,0.051375,-90.052101,45.005585,0.011360
1455,-6.923393,-6.896329,0.026117,-0.005122,-0.101199,0.097152,-90.011887,45.018681,0.014598
1456,-6.906971,-6.921286,-0.016473,-0.043270,0.013246,0.074264,-90.031784,45.007347,0.017074
1457,-6.923173,-6.906043,-0.023884,-0.043270,0.051394,0.028486,-90.057968,45.018322,0.018023
1458,-6.930729,-6.894384,0.002198,-0.043270,-0.047791,0.097152,-90.047760,45.036816,0.021262
1459,-6.904784,-6.934210,-0.000786,-0.012752,0.005616,0.066634,-90.041939,45.013180,0.023483
1460,-6.949887,-6.895653,0.015872,-0.020381,0.165838,-0.009662,-90.016441,45.049557,0.023161
1462,-6.927122,-6.911429,-0.019652,0.017767,0.097172,0.066634,-90.037910,45.054604,0.025382
1463,-6.939767,-6.913744,-0.001765,-0.066159,0.036135,0.081893,-90.036301,45.063583,0.028112
1464,-6.890348,-6.904320,-0.019614,-0.043270,-0.078310,0.074264,-90.056496,45.043110,0.030587
1465,-6.929569,-6.920659,0.007309,-0.028011,-0.063050,0.036116,-90.039734,45.040386,0.031791
1466,-6.926353,-6.903179,0.011276,-0.050900,-0.040162,0.081893,-90.021179,45.047588,0.034521
1467,-6.898566,-6.899539,-0.012542,-0.028011,-0.055421,0.097152,-90.034424,45.038269,0.037759
1469,-6.908492,-6.899636,-0.009592,-0.081418,0.188727,-0.009662,-90.043518,45.043385,0.037437
1470,-6.896937,-6.929654,-0.024685,-0.043270,0.120060,-0.032551,-90.068832,45.019917,0.036352
1471,-6.935650,-6.888619,-0.008634,-0.050900,0.135320,-0.040181,-90.070724,45.049999,0.035013
1472,-6.922200,-6.931955,-0.034889,0.002508,0.074283,0.013227,-90.103302,45.038498,0.035454
1473,-6.896537,-6.910216,-0.007029,-0.043270,0.074283,0.036116,-90.097778,45.026310,0.036658
1474,-6.940112,-6.900681,-0.009690,-0.043270,0.059023,0.036116,-90.096413,45.048515,0.037861
1476,-6.950010,-6.899510,-0.001982,-0.058529,0.066653,0.028486,-90.086082,45.074463,0.038811
1477,-6.902438,-6.936018,-0.003738,-0.035640,0.081913,0.020856,-90.078812,45.044762,0.039506
1478,-6.915165,-6.898193,-0.027536,-0.012752,0.104801,0.089523,-90.101662,45.051544,0.042490
1479,-6.950438,-6.874258,0.004260,-0.066159,-0.063050,0.112412,-90.082962,45.089382,0.046237
1480,-6.915803,-6.925162,-0.027195,0.048285,-0.070680,0.127671,-90.102905,45.068127,0.050493
1481,-6.932115,-6.907437,0.012503,-0.012752,-0.093569,0.112412,-90.072281,45.070576,0.054240
1483,-6.893247,-6.925060,-0.000862,-0.020381,0.059023,0.036116,-90.063087,45.041878,0.055444
