seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
66,-6.844681,6.924670,0.058857,0.758496,-0.091686,0.010019,89.513023,44.666126,0.000000
67,-6.849464,6.874421,0.070626,0.672267,0.478038,-0.115597,89.518051,44.705826,-0.001760
68,-6.869226,6.869764,-0.127293,0.238628,-0.115891,-0.022002,89.762482,44.754005,-0.004053
69,-6.847363,6.871488,-0.151074,0.255724,-0.088542,0.049270,89.994041,44.771858,-0.003598
70,-6.852427,6.872540,-0.120109,-0.237836,0.355921,0.075549,90.145378,44.796616,-0.001518
71,-6.851563,6.865059,-0.132991,-0.452900,0.395909,0.076024,90.280258,44.828514,0.001008
73,-6.847812,6.876658,-0.147310,-0.615160,0.186635,0.139947,90.407166,44.843445,0.004608
74,-6.833155,6.884882,-0.045897,-0.481348,0.443227,0.116173,90.387848,44.843349,0.008876
75,-6.850899,6.887841,0.003379,-0.543790,0.427220,0.069563,90.310944,44.856071,0.011972
76,-6.846309,6.894124,0.010848,-0.136325,-0.008893,0.049572,90.241142,44.853676,0.013957
77,-6.848805,6.891604,0.013189,-0.190892,0.007633,0.080416,90.183884,44.848831,0.016124
78,-6.851678,6.890391,0.015025,-0.248098,0.045757,0.086635,90.131348,44.848042,0.018908
80,-6.852988,6.889553,0.024925,-0.278338,0.036877,0.082319,90.073097,44.849110,0.021724
81,-6.852816,6.888672,0.030364,-0.337104,0.156692,0.079620,90.015541,44.852020,0.024423
82,-6.852444,6.883633,0.004062,-0.272920,0.759626,0.100625,89.999496,44.867683,0.027427
83,-6.847014,6.888996,-0.003640,-0.113431,0.916258,0.088470,89.998642,44.885006,0.030579
84,-6.842281,6.895347,-0.008587,-0.009351,0.847846,0.057528,90.007812,44.894047,0.033012
85,-6.842094,6.896126,-0.013060,0.021950,0.811195,0.057118,90.023094,44.899632,0.034923
87,-6.829848,6.896369,-0.025143,0.093549,0.693095,0.043438,90.052597,44.894318,0.036599
88,-6.836542,6.894258,-0.006531,0.091958,0.043115,0.006593,90.055473,44.884476,0.037432
89,-6.844947,6.886465,0.001824,0.292618,-0.420255,-0.042328,90.050331,44.870476,0.036837
90,-6.850209,6.890809,0.026222,0.622481,-0.804971,-0.080790,90.023041,44.847122,0.034785
91,-6.847523,6.884255,0.026335,0.661110,-1.001441,-0.092900,90.004898,44.821442,0.031890
92,-6.854758,6.879494,0.027522,0.652720,-1.164905,-0.067716,89.988388,44.802021,0.029213
94,-6.848285,6.881986,0.027703,0.628369,-1.120811,-0.072876,89.973686,44.778210,0.026870
95,-6.851249,6.884572,0.027060,0.367197,-0.847923,-0.060155,89.957954,44.762707,0.024653
96,-6.852473,6.873091,0.004614,0.011274,-0.446722,-0.005051,89.963860,44.767048,0.023566
97,-6.856365,6.877038,0.007926,-0.062890,-0.223974,0.015778,89.958649,44.779552,0.023745
98,-6.853638,6.881052,0.009293,-0.090346,-0.052807,0.001977,89.951080,44.791542,0.024041
99,-6.852635,6.884337,0.011762,-0.122806,-0.079118,0.013720,89.940720,44.801105,0.024302
101,-6.849379,6.889246,0.008050,-0.111401,-0.101614,0.036884,89.936256,44.803440,0.025146
102,-6.847708,6.888234,0.011078,-0.128411,-0.216355,0.050434,89.928596,44.803062,0.026601
103,-6.849254,6.883153,0.009366,-0.133057,-0.206310,0.041401,89.923912,44.805393,0.028132
