seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
3914,-7.169659,-0.012187,6.678892,0.445681,1.342683,0.185500,0.000000,47.029560,0.000000
3915,-7.133729,-0.016672,6.686125,0.364581,0.844696,0.116044,0.011479,47.034363,0.005026
3916,-7.111881,-0.005805,6.691102,0.346748,0.837261,0.116981,0.019835,47.014954,0.008909
3917,-7.104817,-0.013689,6.688116,0.213521,0.708731,0.092492,0.024796,46.994175,0.012401
3918,-7.100881,-0.016197,6.682670,0.153992,0.564555,0.068819,0.026284,46.973763,0.015089
3919,-7.092337,-0.017471,6.685807,0.081052,0.293668,0.037045,0.025672,46.943348,0.016854
3921,-7.092596,-0.017653,6.681593,-0.172508,0.167444,0.031403,0.020525,46.914734,0.017994
3922,-7.106098,-0.031695,6.676937,-0.522545,-0.146508,0.009711,0.007599,46.895287,0.018680
3923,-7.103662,-0.041037,6.683609,-0.605775,-0.296675,0.007916,-0.009526,46.866398,0.018973
3924,-7.096655,-0.045507,6.691146,-0.501789,-0.236768,0.016512,-0.023788,46.831474,0.019381
3925,-7.081384,-0.047974,6.687903,-0.430730,-0.189157,0.023350,-0.033429,46.796143,0.020045
3926,-7.081742,-0.050251,6.696864,-0.146519,-0.128347,0.025536,-0.036593,46.762108,0.020860
3928,-7.078515,-0.046534,6.702212,0.219880,-0.001640,0.024699,-0.030065,46.730473,0.021697
3929,-7.077640,-0.038906,6.698215,0.417821,0.146004,0.040124,-0.016521,46.709534,0.022777
3930,-7.086078,-0.036032,6.697941,0.414455,0.150073,0.056520,-0.002251,46.699181,0.024388
3931,-7.102553,-0.044270,6.699814,0.405295,0.125966,0.062046,0.009699,46.698826,0.026364
3932,-7.097852,-0.045853,6.701881,0.380201,0.015572,0.048205,0.019371,46.692444,0.028202
3933,-7.096583,-0.047103,6.696960,0.381019,0.066718,0.065811,0.027249,46.688564,0.030102
3935,-7.092803,-0.046560,6.706222,0.356721,-0.159806,0.038564,0.033613,46.674564,0.031842
3936,-7.089331,-0.045554,6.706075,0.333219,-0.340531,0.004830,0.038346,46.654900,0.032565
3937,-7.083195,-0.036804,6.708313,0.306060,-0.403162,-0.013039,0.041651,46.629620,0.032428
3938,-7.077827,-0.039063,6.704245,0.306357,-0.286632,-0.000805,0.044078,46.608238,0.032197
3939,-7.070513,-0.035260,6.711631,0.293362,-0.266903,-0.012586,0.045962,46.582848,0.031974
3940,-7.080564,-0.036113,6.703715,0.298503,-0.030865,0.004062,0.047452,46.576046,0.031832
3942,-7.073485,-0.038057,6.711809,0.293145,0.061653,0.017212,0.048716,46.565441,0.032187
3943,-7.066221,-0.045088,6.716019,0.298293,0.165897,0.031406,0.049786,46.552090,0.032997
3944,-7.080726,-0.041585,6.715384,0.298845,0.290337,0.040708,0.050778,46.553196,0.034199
3945,-7.082783,-0.045274,6.710876,0.292000,0.372324,0.034946,0.051532,46.561172,0.035460
3946,-7.075597,-0.049848,6.710823,0.282427,0.349787,0.032324,0.051939,46.564453,0.036581
3947,-7.081105,-0.050255,6.704455,0.290879,0.401783,0.040120,0.052270,46.575073,0.037788
3949,-7.086447,-0.047558,6.697066,0.675408,0.651321,0.068323,0.058119,46.596348,0.039596
3950,-7.078038,-0.044376,6.693254,0.970584,0.656535,0.064607,0.072718,46.615402,0.041811
3951,-7.086793,-0.024973,6.692318,1.169005,0.485945,0.063965,0.092121,46.635227,0.043954
3952,-7.102820,-0.014404,6.692765,1.138060,0.331279,0.047109,0.110986,46.656895,0.045805
3953,-7.108235,-0.011245,6.692719,1.068280,0.223009,0.030806,0.125594,46.674889,0.047104
3954,-7.110393,-0.000685,6.695666,0.630337,-0.170987,-0.017433,0.130819,46.682484,0.047327
3956,-7.110098,0.003068,6.698007,0.287926,-0.252460,-0.021289,0.124206,46.680527,0.046681
3957,-7.099806,-0.012019,6.697415,0.037915,-0.155629,-0.007308,0.110191,46.673241,0.046205
3958,-7.098017,-0.014395,6.697093,0.039624,0.067906,0.023925,0.094761,46.670708,0.046482
3959,-7.098892,-0.012413,6.694046,0.067843,0.230980,0.042327,0.082068,46.676514,0.047586
3960,-7.085779,-0.015801,6.695645,0.086281,0.261781,0.049795,0.071941,46.675240,0.049121
3961,-7.084390,-0.015049,6.696592,0.096736,0.201542,0.058494,0.063742,46.672291,0.050926
3963,-7.090644,-0.017318,6.694960,0.114227,0.189032,0.056576,0.057169,46.673576,0.052844
3964,-7.076939,-0.014938,6.697056,0.111958,0.094281,0.042914,0.051797,46.663513,0.054502
3965,-7.070357,-0.016703,6.701291,0.106812,0.066099,0.054790,0.047125,46.646511,0.056130
3966,-7.098776,-0.020269,6.689367,0.104786,0.264655,0.076609,0.043053,46.659317,0.058320
3967,-7.095333,-0.024189,6.688467,0.067405,0.111340,0.046055,0.039034,46.669334,0.060365
3968,-7.091672,-0.020280,6.689954,0.010587,-0.177159,0.007648,0.034284,46.668430,0.061260
3970,-7.104952,-0.021990,6.683989,0.002860,-0.202345,0.008873,0.029331,46.675064,0.061535
3971,-7.108013,-0.022231,6.678456,-0.003137,-0.268030,-0.000273,0.024927,46.684811,0.061679
3972,-7.102159,-0.020706,6.687213,-0.014842,-0.381743,-0.020927,0.020933,46.681408,0.061325
3973,-7.115696,-0.019731,6.684936,-0.001072,-0.208354,-0.001054,0.017567,46.688988,0.060959
3974,-7.108570,-0.020694,6.686022,0.035861,0.053807,0.032926,0.015425,46.696609,0.061490
3975,-7.098683,-0.018697,6.690182,0.031733,0.108127,0.042178,0.014068,46.698936,0.062742
3977,-7.100868,-0.019670,6.691410,0.027741,0.116389,0.030464,0.012801,46.702328,0.063952
3978,-7.094002,-0.019821,6.690795,0.025356,0.081580,0.033893,0.011633,46.701080,0.065025
3979,-7.089343,-0.019622,6.691745,0.030428,0.087761,0.023926,0.010679,46.696186,0.065989
3980,-7.099949,-0.020179,6.688404,0.035334,0.180817,0.024618,0.010008,46.701988,0.066798
3981,-7.108571,-0.022439,6.681233,0.054838,0.170461,0.010528,0.009785,46.717892,0.067384
3982,-7.109322,-0.018449,6.684416,0.063372,0.117644,0.013134,0.009993,46.728935,0.067778
3984,-7.110690,-0.020651,6.682652,0.039156,0.150685,0.021559,0.009946,46.739994,0.068356
3985,-7.111936,-0.021844,6.684363,0.015734,0.004058,0.003141,0.009231,46.747437,0.068768
3986,-7.099008,-0.010037,6.684120,-0.032011,-0.210080,-0.023528,0.007616,46.741020,0.068428
3987,-7.098079,-0.008162,6.688663,-0.416171,-0.343403,-0.013901,0.000124,46.727173,0.067804
3988,-7.098369,-0.012900,6.684412,-0.623913,-0.373470,-0.020825,-0.014629,46.715984,0.067225
3989,-7.086535,-0.015060,6.689487,-0.616741,-0.402552,-0.031949,-0.030011,46.695225,0.066346
3991,-7.079497,-0.018954,6.686770,-0.778058,-0.216674,0.020755,-0.045269,46.677269,0.066159
3992,-7.090939,-0.033670,6.691762,-0.807159,0.004435,0.065827,-0.060937,46.671459,0.067602
3993,-7.089271,-0.042544,6.689871,-0.455999,0.126789,0.057765,-0.069692,46.671558,0.069662
3994,-7.087308,-0.041426,6.690691,-0.240327,0.155102,0.047016,-0.069102,46.672070,0.071409
3995,-7.097632,-0.037883,6.688720,-0.195551,0.049656,0.042523,-0.064911,46.678932,0.072901
3996,-7.090665,-0.041812,6.692151,0.005679,-0.111369,0.002756,-0.057865,46.674561,0.073656
3998,-7.091321,-0.045593,6.688244,0.098475,-0.128381,-0.013569,-0.047711,46.671215,0.073475
3999,-7.090560,-0.042206,6.689627,0.124764,-0.079895,-0.005745,-0.037392,46.667480,0.073153
4000,-7.095767,-0.044212,6.688590,0.126578,-0.046282,0.003299,-0.028222,46.669277,0.073113
4001,-7.093817,-0.049481,6.686994,0.129807,-0.009343,0.001715,-0.020356,46.671623,0.073196
4002,-7.105915,-0.050018,6.686549,0.125552,0.066234,0.003134,-0.013685,46.682804,0.073277
4003,-7.101075,-0.046435,6.689245,0.125863,-0.040726,-0.008776,-0.008071,46.687225,0.073183
4005,-7.100417,-0.044267,6.689324,0.129117,-0.173697,-0.029151,-0.003249,46.687141,0.072551
4006,-7.091484,-0.041208,6.693347,0.121932,-0.216708,-0.047382,0.000795,46.676617,0.071275
4007,-7.089403,-0.035593,6.689866,0.106127,-0.153519,-0.042877,0.003907,46.668949,0.069771
4008,-7.077824,-0.032061,6.690740,0.104124,-0.144058,-0.045899,0.006299,46.655899,0.068291
4009,-7.074249,-0.029338,6.693214,0.090379,-0.185089,-0.054725,0.008110,46.640610,0.066614
4010,-7.072008,-0.029744,6.696229,0.090368,-0.153930,-0.052931,0.009454,46.624184,0.064820
4012,-7.078496,-0.032765,6.692442,0.090357,-0.156263,-0.048244,0.010596,46.616982,0.063134
4013,-7.077837,-0.038961,6.703038,0.084443,-0.186562,-0.054042,0.011484,46.603191,0.061429
4014,-7.083221,-0.039597,6.697277,0.086102,-0.178970,-0.055222,0.012177,46.598099,0.059608
4015,-7.082674,-0.044404,6.695916,0.087707,-0.168675,-0.040128,0.012813,46.594540,0.058019
4016,-7.079298,-0.050341,6.696498,0.073025,-0.129199,-0.025530,0.013168,46.589783,0.056925
4017,-7.078109,-0.056759,6.699264,0.070631,-0.036410,-0.006982,0.013228,46.585083,0.056383
4019,-7.080499,-0.055551,6.693824,0.071267,-0.060306,-0.008229,0.013254,46.587002,0.056129
4020,-7.079799,-0.051553,6.704596,0.052695,-0.133600,0.000896,0.013022,46.579956,0.056007
4021,-7.079759,-0.053214,6.705832,0.053920,-0.141027,-0.009464,0.012579,46.571999,0.055864
4022,-7.079465,-0.049837,6.706975,0.052152,-0.235289,-0.043100,0.012195,46.562901,0.054988
4023,-7.077810,-0.043524,6.710954,0.037159,-0.333840,-0.062349,0.011630,46.548916,0.053231
4024,-7.068298,-0.041459,6.711860,0.031513,-0.315516,-0.069161,0.010859,46.529552,0.051039
4026,-7.071436,-0.048728,6.709588,0.021625,-0.268275,-0.062466,0.009983,46.517345,0.048845
4027,-7.076422,-0.048263,6.713568,0.004681,-0.244721,-0.057466,0.008858,46.508457,0.046846
4028,-7.074123,-0.044929,6.718202,0.003052,-0.217511,-0.034919,0.007638,46.497276,0.045306
4029,-7.075109,-0.048302,6.718024,0.004427,-0.135109,-0.027871,0.006598,46.490025,0.044260
4030,-7.081668,-0.045617,6.719436,-0.000145,-0.042126,-0.007771,0.005669,46.489433,0.043666
4031,-7.085732,-0.040415,6.718387,0.011667,0.002056,-0.007516,0.004982,46.494026,0.043411
4033,-7.080318,-0.037714,6.717482,0.015712,0.041838,-0.005794,0.004624,46.496429,0.043189
4034,-7.084078,-0.037592,6.712909,0.001914,0.120165,-0.001176,0.004181,46.505344,0.043073
4035,-7.086088,-0.036812,6.710730,-0.001101,0.147219,0.023953,0.003565,46.517033,0.043453
4036,-7.087209,-0.037737,6.714244,-0.009920,0.114351,0.012836,0.002873,46.525314,0.044066
4037,-7.078229,-0.037572,6.716993,-0.008119,0.107650,0.007988,0.002186,46.524593,0.044413
4038,-7.079128,-0.039260,6.717146,-0.003425,0.073127,0.001822,0.001693,46.523838,0.044576
4040,-7.075638,-0.038342,6.719291,0.002591,0.010218,0.001762,0.001428,46.518333,0.044636
4041,-7.070554,-0.035107,6.722596,0.002506,-0.027015,-0.017482,0.001286,46.507053,0.044374
4042,-7.063949,-0.038818,6.724818,0.012755,-0.065978,-0.019861,0.001309,46.490940,0.043752
4043,-7.070457,-0.039639,6.724124,0.015289,-0.090381,-0.028065,0.001511,46.480740,0.042953
4044,-7.072454,-0.038585,6.724350,0.007408,-0.075611,-0.024193,0.001606,46.473003,0.042082
4045,-7.066325,-0.042199,6.725487,0.007165,0.016898,-0.010117,0.001571,46.463486,0.041510
4047,-7.064795,-0.042393,6.727174,0.002502,0.013392,-0.006833,0.001472,46.454651,0.041228
4048,-7.064478,-0.040959,6.726545,-0.004959,-0.010662,-0.005134,0.001216,46.446964,0.041028
4049,-7.063772,-0.040559,6.728705,-0.022507,0.001495,0.008318,0.000643,46.438457,0.041081
4050,-7.065251,-0.040015,6.734845,-0.017342,0.054578,0.016901,-0.000019,46.429138,0.041502
4051,-7.077153,-0.045614,6.732201,-0.012346,0.045410,0.004539,-0.000436,46.430729,0.041859
4052,-7.073856,-0.042614,6.729126,-0.010465,0.085246,0.016198,-0.000694,46.432487,0.042205
4054,-7.077775,-0.045704,6.726419,-0.014550,0.150343,0.028950,-0.000944,46.439556,0.042957
4055,-7.074236,-0.046679,6.730286,-0.008169,0.114420,0.029477,-0.001124,46.441360,0.043931
4056,-7.082345,-0.051074,6.724237,-0.009377,0.100338,0.025558,-0.001203,46.450943,0.044848
4057,-7.072032,-0.042168,6.724896,-0.013497,0.102952,0.023245,-0.001347,46.452293,0.045661
4058,-7.083697,-0.047631,6.723213,-0.008627,0.101053,0.034290,-0.001459,46.461571,0.046620
4059,-7.082839,-0.049398,6.724569,-0.014248,0.049035,0.024310,-0.001563,46.467304,0.047597
4060,-7.077138,-0.051809,6.717852,-0.016733,0.076946,0.020561,-0.001768,46.472652,0.048345
4061,-7.070758,-0.050514,6.718296,-0.023564,0.123128,0.027267,-0.002074,46.474102,0.049142
4062,-7.073890,-0.058644,6.714473,-0.022791,0.120567,0.039656,-0.002418,46.480251,0.050257
4063,-7.069316,-0.059129,6.717967,-0.023520,0.094476,0.030976,-0.002712,46.480064,0.051435
4064,-7.066519,-0.054587,6.714263,-0.012418,0.107613,0.027009,-0.002814,46.480412,0.052401
4065,-7.073255,-0.055774,6.713336,-0.004631,0.048001,0.015792,-0.002634,46.484726,0.053114
4066,-7.068915,-0.051646,6.712649,-0.007431,-0.080500,-0.018671,-0.002409,46.483555,0.053066
4067,-7.061537,-0.046580,6.716035,-0.011615,-0.257921,-0.046101,-0.002317,46.471600,0.051987
4068,-7.049766,-0.051742,6.720683,-0.017138,-0.367537,-0.065252,-0.002377,46.447220,0.050131
4069,-7.046359,-0.051255,6.726331,-0.019528,-0.362867,-0.055734,-0.002539,46.419334,0.048115
4070,-7.050518,-0.046883,6.726019,-0.024791,-0.222568,-0.031768,-0.002786,46.400436,0.046656
4071,-7.049516,-0.048467,6.731710,-0.022503,-0.175422,-0.010064,-0.003039,46.382782,0.045959
4072,-7.058994,-0.050835,6.734787,-0.023241,-0.060454,0.013881,-0.003231,46.373867,0.046023
4073,-7.069695,-0.045364,6.733988,-0.021003,0.072883,0.028185,-0.003373,46.376842,0.046724
4074,-7.073955,-0.047821,6.734042,-0.023266,0.085253,0.024309,-0.003496,46.383976,0.047599
4075,-7.068460,-0.049183,6.733934,-0.019552,0.051464,0.023512,-0.003577,46.386463,0.048396
4076,-7.076363,-0.044035,6.732894,-0.014483,0.102909,0.040452,-0.003522,46.394306,0.049462
4077,-7.077179,-0.043302,6.734690,-0.011056,0.130529,0.034698,-0.003355,46.401447,0.050714
4078,-7.081403,-0.042561,6.731914,-0.012170,0.170527,0.040940,-0.003181,46.412807,0.051975
4079,-7.079733,-0.037462,6.734831,-0.002915,0.204786,0.051405,-0.002918,46.420666,0.053514
4080,-7.089886,-0.041038,6.737931,-0.002820,0.263012,0.055623,-0.002562,46.432819,0.055298
4081,-7.085275,-0.051670,6.735945,-0.004203,0.301618,0.046420,-0.002277,46.442944,0.056998
4082,-7.082058,-0.050712,6.732666,0.001838,0.349290,0.056705,-0.001968,46.452919,0.058717
4083,-7.080848,-0.053961,6.730553,0.009157,0.275851,0.041563,-0.001517,46.461632,0.060355
4084,-7.078424,-0.054963,6.725022,0.004429,0.178253,0.029870,-0.001096,46.468666,0.061545
4085,-7.064705,-0.053176,6.727490,0.007236,0.123705,0.025939,-0.000767,46.462597,0.062476
4086,-7.065256,-0.048875,6.727052,0.011427,0.106366,0.035420,-0.000387,46.457058,0.063498
4087,-7.065653,-0.045245,6.729879,0.008100,0.021705,0.028355,-0.000052,46.449356,0.064561
4088,-7.060169,-0.044389,6.734070,0.010787,0.015090,0.031853,0.000223,46.435516,0.065565
