seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6057,-0.094729,-0.013342,9.795496,-0.037323,-0.060000,-0.038911,0.000000,0.000000,0.000000
6058,-0.098173,-0.040227,9.801687,-0.080377,-0.043273,0.021402,-0.002277,-0.001226,0.000713
6059,-0.108746,-0.040376,9.801022,-0.151537,-0.034476,-0.023577,-0.006229,-0.002019,-0.000072
6060,-0.660972,0.144486,9.720520,-0.316297,0.151143,0.095268,-0.014257,0.586000,0.003103
6061,-0.602660,0.189040,9.780756,0.797628,0.952253,-1.155991,0.176570,1.053872,-0.035430
6062,-0.552005,0.179163,9.748362,0.446782,-0.119475,-0.749119,0.320680,1.378464,-0.060401
6063,-0.585397,0.207004,9.813520,-0.239401,-0.705918,0.308570,0.447055,1.663645,-0.050115
6064,-0.655795,0.179408,9.784674,0.048869,-0.424492,0.364870,0.538947,1.977132,-0.037953
6065,-0.671728,0.200345,9.802873,1.139433,0.556138,-0.591669,0.666011,2.284195,-0.057675
6066,-0.535466,0.191801,9.736422,-0.204094,0.272243,-0.668205,0.729608,2.421369,-0.079948
6067,-0.617499,0.196003,9.779403,-0.758244,-0.142554,-0.048559,0.770912,2.595969,-0.081567
6068,-0.652140,0.153487,9.763455,0.344020,0.378685,-0.150280,0.800120,2.790433,-0.086576
6069,-0.694304,0.180769,9.640610,-0.508520,-0.497132,0.135068,0.826826,2.975563,-0.082074
6070,-0.617215,0.186341,9.721017,-0.565645,-0.141377,-0.467100,0.851500,3.070072,-0.097644
6071,-0.644478,0.155810,9.799285,0.456512,0.372444,-0.783863,0.873349,3.184463,-0.123773
6072,-0.621922,0.214525,9.782783,0.507960,0.264300,-0.558919,0.945173,3.259788,-0.142403
6073,-0.627412,0.185383,9.802705,0.523220,1.485041,-0.291882,0.980734,3.362122,-0.152133
6074,-0.681851,0.150043,9.708398,-0.132929,0.821262,-0.230845,0.962673,3.483621,-0.159828
6075,-0.559571,0.163726,9.766356,-0.331298,1.515558,-0.513141,0.952950,3.495833,-0.176932
6076,-0.676894,0.166344,9.866400,-0.010854,0.683930,-0.566549,0.954584,3.579455,-0.195817
6077,-0.709770,0.182551,9.757441,-0.563961,-0.533971,0.802473,0.956190,3.651366,-0.169068
6078,-0.674926,0.118705,9.730807,-2.375587,-0.236045,1.137761,0.745453,3.692079,-0.131143
6079,-0.669339,0.192599,9.702121,-1.057951,-0.538245,-0.486132,0.774247,3.714879,-0.147347
6080,-0.597768,0.186430,9.756946,0.349320,-0.321352,-0.536611,0.832203,3.674330,-0.165234
6081,-0.625612,0.155515,9.803588,0.190277,-0.709310,0.646943,0.849085,3.650718,-0.143670
6082,-0.685389,0.213160,9.839660,0.685846,-0.228528,-0.053180,0.927309,3.694178,-0.145442
6083,-0.630776,0.173771,9.735365,-0.310733,-0.530974,0.228984,0.932797,3.680990,-0.137809
6084,-0.654183,0.135477,9.760028,-0.913044,-0.491429,0.988945,0.767008,3.690054,-0.104845
6085,-0.573252,0.109039,9.759608,0.319747,0.026488,0.048845,0.661016,3.641495,-0.103216
6086,-0.663838,0.128736,9.706922,0.434716,-0.284319,-0.159382,0.574181,3.674002,-0.108529
6087,-0.659728,0.186052,9.643770,-0.561008,-0.112650,0.266474,0.637944,3.706625,-0.099647
6088,-0.634304,0.193943,9.725609,0.763555,-0.433654,-0.354760,0.735248,3.697966,-0.111472
6089,-0.638714,0.145898,9.814331,0.716384,-1.784644,-0.136504,0.645259,3.651176,-0.116022
6090,-0.573905,0.106418,9.942212,-0.148365,-0.870115,0.222187,0.544266,3.574370,-0.108616
