seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
0,-0.163132,-0.111505,9.764922,-0.754508,0.741111,0.090793,0.000000,0.957027,0.000000
1,-0.267291,-0.137561,9.752545,-0.287002,0.724194,0.405135,-0.008132,1.069458,0.013505
2,-0.230016,-0.129815,9.808805,0.384405,1.128564,-0.594346,0.003980,1.142498,-0.006307
3,-0.250074,-0.119020,9.783515,-0.515891,0.991231,-0.151828,-0.011234,1.218823,-0.011368
4,-0.250351,-0.115947,9.740525,-1.096718,0.316718,0.642756,-0.040623,1.265801,0.010057
5,-0.253475,-0.115579,9.825229,0.378239,0.904075,0.119878,-0.023813,1.323203,0.014053
7,-0.309143,-0.137866,9.773755,-0.409008,0.313593,0.219261,-0.031829,1.405329,0.021362
8,-0.270543,-0.115009,9.791698,-0.602226,0.509939,-0.215938,-0.044118,1.446362,0.014164
9,-0.283704,-0.124890,9.830484,0.412515,1.036383,-0.429567,-0.025812,1.506714,-0.000155
10,-0.293302,-0.155001,9.723298,0.184985,0.279216,0.049423,-0.153692,1.547754,0.001492
11,-0.270747,-0.088029,9.747293,0.400306,-0.106292,-0.778700,-0.119296,1.551231,-0.024464
12,-0.284960,-0.122537,9.828667,0.372424,0.450655,-0.428474,-0.090850,1.580400,-0.038747
14,-0.248060,-0.116786,9.767995,0.515183,0.140700,-0.067590,-0.062626,1.565520,-0.041000
15,-0.239326,-0.124888,9.881496,0.505674,0.091811,-0.397452,-0.038904,1.541388,-0.054248
16,-0.311623,-0.106248,9.769867,-0.197198,-0.590113,-0.022827,-0.038656,1.567480,-0.055009
17,-0.264406,-0.096500,9.731898,0.001134,-0.615044,-0.435330,-0.032825,1.548363,-0.069520
18,-0.252849,-0.098578,9.845961,0.252000,-0.019280,-0.155396,-0.020762,1.536210,-0.074700
19,-0.300061,-0.099159,9.799711,0.516779,-0.144100,-0.297892,-0.003005,1.564754,-0.084630
21,-0.272250,-0.092351,9.787898,0.610530,-0.574766,-0.664481,0.014744,1.552736,-0.106779
22,-0.249503,-0.096448,9.870426,0.022293,-0.223845,-0.000679,0.013164,1.530674,-0.106802
23,-0.305944,-0.082281,9.817418,-0.841839,-0.024639,0.324041,-0.012663,1.568108,-0.096000
24,-0.284738,-0.122472,9.683076,0.159854,-0.414945,0.128930,-0.006234,1.573766,-0.091703
25,-0.266244,-0.102862,9.752234,1.268917,-0.512034,-0.694421,0.030654,1.557755,-0.114850
26,-0.271647,-0.087104,9.826040,1.891472,-0.517387,-1.040630,0.079647,1.546960,-0.149538
27,-0.254585,-0.086168,9.734853,0.604465,-1.688523,-0.165252,0.084827,1.491773,-0.155046
28,-0.269277,-0.080166,9.803320,-0.448481,-1.087084,0.644532,0.059396,1.473209,-0.133562
29,-0.227768,-0.078270,9.765388,0.879772,-0.660332,-0.129308,0.075413,1.433931,-0.137872
30,-0.201733,-0.019833,9.872422,1.315838,-0.225432,-0.383351,0.101383,1.388046,-0.150650
31,-0.160701,-0.064758,9.820597,0.165775,0.003344,0.898491,0.090873,1.320554,-0.120701
32,-0.294772,-0.053029,9.850636,0.138202,0.364830,0.780480,0.081158,1.389907,-0.094685
33,-0.254619,-0.075888,9.744305,-0.072954,0.293833,0.061220,0.066917,1.414259,-0.092644
34,-0.196218,-0.054681,9.752249,-0.535471,0.712211,0.745507,0.041708,1.395195,-0.067794
35,-0.244831,-0.051558,9.918376,-0.207978,1.050457,0.861276,0.029559,1.427781,-0.039084
36,-0.285314,-0.039001,9.712140,0.138297,0.447797,-0.111535,0.029043,1.478704,-0.042802
37,-0.211696,-0.055865,9.770657,-0.397560,-0.127725,0.482481,0.013423,1.439457,-0.026720
38,-0.270762,-0.044029,9.826247,-0.635429,-0.049742,0.990608,-0.006595,1.458884,0.006301
39,-0.274349,-0.071162,9.761435,0.020040,0.092099,0.124249,-0.005038,1.484139,0.010442
40,-0.233877,-0.051619,9.750183,0.528568,-0.102787,-0.684190,0.010694,1.464716,-0.012364
41,-0.209515,0.006698,9.798736,0.651450,0.468804,-0.263266,0.027548,1.442027,-0.021140
42,-0.271838,-0.064655,9.903403,-0.373519,0.232050,1.169608,0.012833,1.468140,0.017847
43,-0.269230,-0.077104,9.809258,-0.774526,0.209683,0.747529,-0.011037,1.489679,0.042765
44,-0.203776,-0.041407,9.770575,-0.845067,0.033081,0.250734,-0.033325,1.446382,0.051123
45,-0.246434,-0.023232,9.737309,-0.832122,-0.152492,-0.001009,-0.051903,1.442565,0.051089
46,-0.302212,-0.017789,9.804916,-0.583456,0.383832,0.360620,-0.060649,1.501871,0.063110
47,-0.296979,-0.077361,9.768503,-0.697160,0.127724,0.548044,-0.071304,1.541404,0.081378
48,-0.245039,-0.082148,9.810657,-0.615268,0.005466,0.087306,-0.078041,1.524956,0.084288
49,-0.251008,-0.032152,9.797030,-0.381091,-0.098027,-0.417361,-0.077133,1.513581,0.070376
50,-0.224738,-0.048022,9.740665,-0.191490,0.192987,0.016952,-0.070988,1.490265,0.070941
51,-0.334780,-0.072194,9.792673,-0.030243,0.371148,0.459167,-0.061197,1.570932,0.086247
52,-0.239092,-0.061188,9.806325,-0.649129,0.056421,0.481011,-0.070409,1.546388,0.102281
53,-0.212634,-0.062996,9.775489,-0.303150,0.888454,0.236477,-0.068437,1.526512,0.110163
54,-0.243968,-0.077578,9.841648,0.503775,0.785533,0.147550,-0.043898,1.532791,0.115081
55,-0.288709,-0.080019,9.736958,-0.184275,-0.037206,-0.027016,-0.042535,1.556565,0.114181
56,-0.324512,-0.073613,9.712201,0.080047,-0.493515,-0.018751,-0.033886,1.596144,0.113556
57,-0.181064,-0.079615,9.750788,0.320947,-1.222665,-0.269039,-0.019710,1.481647,0.104588
58,-0.252466,-0.043941,9.863360,-0.663669,-1.566315,0.248967,-0.035557,1.434955,0.112887
59,-0.213633,0.000657,9.949128,-0.354111,-0.651564,-0.039617,-0.040257,1.385765,0.111566
60,-0.180270,-0.061517,9.813277,-0.541748,0.461962,-0.163770,-0.049568,1.348847,0.106107
61,-0.213192,-0.086012,9.751828,-1.387388,0.461577,0.358164,-0.081442,1.347449,0.118046
62,-0.170407,-0.043053,9.795869,-0.426055,0.934613,-0.267464,-0.081297,1.321302,0.109131
63,-0.219886,-0.057171,9.770614,1.191426,2.086687,-0.542131,-0.035346,1.375608,0.091060
64,-0.212778,-0.105808,9.846886,0.603944,2.178243,1.288979,-0.012932,1.416657,0.134026
65,-0.253201,-0.113353,9.810890,-0.463744,0.911352,1.519763,-0.024132,1.451721,0.184684
66,-0.345004,-0.090898,9.790391,-0.271433,0.527259,0.296599,-0.028203,1.551621,0.194571
67,-0.383760,-0.002286,9.791707,-0.530840,0.946888,-0.275623,-0.039013,1.682367,0.185383
68,-0.251738,-0.054449,9.733385,-2.270395,0.817185,0.708599,-0.097489,1.675392,0.209003
69,-0.264618,-0.089216,9.791499,-2.957062,0.573037,1.792006,-0.166649,1.672518,0.268737
70,-0.373558,-0.135994,9.751835,-1.044761,0.930605,1.194553,-0.171253,1.777034,0.308555
71,-0.300616,-0.153078,9.742327,0.023386,0.900086,-0.171150,-0.279932,1.801059,0.302850
72,-0.252756,-0.065115,9.793146,-0.449668,0.176905,-0.394303,-0.250683,1.757674,0.289707
73,-0.284287,-0.084676,9.843240,-0.612034,0.222762,0.703410,-0.230421,1.748474,0.313154
