seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.098194,-9.832663,-0.077975,0.300063,1.188209,-0.345366,-90.454361,0.000000,0.000000
2,-0.059385,-9.836839,-0.073012,0.147471,0.165838,-0.093588,-90.447029,0.004975,-0.003120
3,-0.079416,-9.832355,-0.074929,0.063545,-0.261421,0.059005,-90.444077,-0.003365,-0.001153
4,-0.040546,-9.859817,-0.105474,0.002508,-0.253791,-0.047810,-90.460876,-0.010642,-0.002746
5,-0.077669,-9.853698,-0.060927,0.078804,-0.261421,0.013227,-90.447845,-0.017421,-0.002306
6,-0.037116,-9.845736,-0.088336,0.010137,-0.505569,0.074264,-90.454163,-0.030846,0.000170
8,-0.106554,-9.854348,-0.077729,-0.005122,-0.887050,0.142930,-90.454094,-0.054373,0.004934
9,-0.060469,-9.856416,-0.099620,0.086434,-0.078310,-0.024921,-90.463997,-0.051285,0.004104
10,-0.078098,-9.844439,-0.083125,0.078804,0.066653,-0.078329,-90.463608,-0.044157,0.001493
11,-0.077756,-9.859351,-0.078758,0.071174,0.135320,-0.085958,-90.460876,-0.035681,-0.001373
12,-0.087392,-9.824340,-0.092961,0.109322,-0.040162,-0.078329,-90.465721,-0.033318,-0.003984
13,-0.089801,-9.840897,-0.075454,0.116952,-0.063050,-0.047810,-90.459572,-0.031878,-0.005577
15,-0.077638,-9.838450,-0.083797,0.147471,0.249764,-0.124107,-90.457985,-0.021197,-0.009714
16,-0.065821,-9.836304,-0.071251,0.109322,-0.116458,0.013227,-90.450409,-0.022571,-0.009273
17,-0.069177,-9.859509,-0.097821,0.078804,-0.177495,-0.063070,-90.459854,-0.025639,-0.011376
18,-0.064868,-9.851173,-0.064495,0.216137,-0.139347,-0.040181,-90.444901,-0.027255,-0.012715
19,-0.080202,-9.855219,-0.080609,0.231397,-0.070680,-0.040181,-90.440323,-0.026650,-0.014054
20,-0.030184,-9.845768,-0.097262,0.200878,-0.063050,-0.070699,-90.446854,-0.025877,-0.016411
22,-0.085557,-9.843719,-0.067646,0.155100,-0.177495,-0.108847,-90.436890,-0.028614,-0.020039
23,-0.072369,-9.840225,-0.087336,0.048285,-0.055421,-0.085958,-90.442596,-0.027415,-0.022905
24,-0.077880,-9.841683,-0.058694,0.177989,-0.162236,-0.047810,-90.427162,-0.029541,-0.024498
25,-0.068905,-9.851759,-0.059728,0.185619,-0.146976,-0.063070,-90.413612,-0.030996,-0.026601
