seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1093,-6.833075,-6.935955,-0.307187,0.697459,0.594980,-0.119685,-92.535919,44.543839,0.000000
1094,-6.840989,-6.953614,-0.361683,0.793029,0.345394,-0.058687,-92.556274,44.549168,-0.001956
1095,-6.883978,-6.942249,-0.334277,1.383396,0.216874,-0.058058,-92.534821,44.573292,-0.003892
1096,-6.870641,-6.936577,-0.292330,1.727670,0.206445,-0.049899,-92.470825,44.592251,-0.005555
1097,-6.866648,-6.943434,-0.285284,2.075531,0.109009,-0.018270,-92.396751,44.602024,-0.006164
1098,-6.862389,-6.947937,-0.157827,2.563901,0.086248,-0.013244,-92.210281,44.608177,-0.006605
1100,-6.862885,-6.925560,-0.151604,0.987712,0.682636,-0.042327,-92.085030,44.641109,-0.008016
1101,-6.824691,-6.920950,-0.186119,0.679338,1.742091,-0.020277,-92.010193,44.688107,-0.008692
1102,-6.819633,-6.917991,-0.219446,0.159688,2.000821,-0.028468,-91.986069,44.736858,-0.009641
1103,-6.813570,-6.909017,-0.226733,-0.571690,2.020829,-0.039342,-91.992569,44.782402,-0.010952
1104,-6.810727,-6.906522,-0.359231,-1.248096,1.882259,-0.014437,-92.128494,44.816746,-0.011434
1105,-6.808769,-6.924387,-0.344449,0.140318,1.193294,0.030313,-92.196213,44.819092,-0.010423
1107,-6.819653,-6.935672,-0.317586,-0.054674,0.289296,0.024891,-92.240410,44.794537,-0.009593
1108,-6.826487,-6.942564,-0.314915,-0.116345,0.331468,0.050641,-92.279564,44.773781,-0.007905
1109,-6.833841,-6.944332,-0.322459,-0.094820,0.584787,0.060788,-92.320312,44.764915,-0.005879
1110,-6.830613,-6.943101,-0.323453,-0.072525,0.688115,0.067651,-92.357178,44.759171,-0.003624
1111,-6.831897,-6.944374,-0.327404,-0.081954,0.773297,0.063957,-92.393845,44.756493,-0.001492
1112,-6.833313,-6.937201,-0.327410,-0.153062,0.625445,0.051529,-92.429268,44.753197,0.000225
1114,-6.833149,-6.934462,-0.345899,-0.376809,0.720061,0.036557,-92.483200,44.753754,0.001444
1115,-6.827797,-6.934763,-0.347111,-0.554847,0.835189,0.045690,-92.538071,44.755318,0.002967
1116,-6.834177,-6.933555,-0.357122,-0.684246,1.010007,0.053047,-92.599640,44.764935,0.004735
1117,-6.826664,-6.929308,-0.369508,-0.754796,1.043310,0.063115,-92.667564,44.772923,0.006839
1118,-6.823468,-6.928142,-0.375080,-0.777280,1.044528,0.078757,-92.734016,44.779163,0.009464
1119,-6.815511,-6.933556,-0.367407,-0.657340,0.750526,0.104217,-92.783653,44.770554,0.012938
1121,-6.811829,-6.928956,-0.393530,-0.623982,0.604897,0.119987,-92.849068,44.758194,0.016938
1122,-6.815260,-6.924128,-0.404818,-0.510544,0.297266,0.110150,-92.914070,44.741009,0.020609
1123,-6.817887,-6.921688,-0.407628,-0.446578,0.148786,0.108015,-92.973091,44.723125,0.024210
1124,-6.815453,-6.926153,-0.420809,-0.378805,0.031739,0.111853,-93.034821,44.700329,0.027938
1125,-6.825970,-6.921773,-0.431230,-0.252742,-0.234963,0.099331,-93.095406,44.677773,0.031249
1126,-6.820605,-6.923304,-0.417596,-0.077679,-0.557862,0.060652,-93.133369,44.645241,0.033271
1128,-6.819358,-6.925232,-0.411055,-0.055946,-0.582374,0.049809,-93.161392,44.614071,0.034931
1129,-6.819414,-6.929467,-0.413750,-0.058539,-0.563281,0.026037,-93.188705,44.584808,0.035799
1130,-6.824939,-6.926672,-0.414030,-0.056620,-0.564001,0.025184,-93.213600,44.561916,0.036639
1131,-6.818660,-6.924600,-0.409381,-0.041481,-0.586836,0.027310,-93.231819,44.538956,0.037549
1132,-6.827581,-6.925767,-0.406689,-0.060784,-0.574977,0.011656,-93.246521,44.521976,0.037938
