seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.213825,-0.039842,9.818636,-0.623122,-0.528458,29.616180,0.000000,1.247549,0.000000
2,-0.156167,-0.027177,9.809727,-0.363714,-0.108828,8.863594,-0.012003,1.240603,0.295453
3,0.022570,-0.034396,9.799703,-0.111937,0.226875,-0.093588,-0.014160,1.123349,0.292334
4,-0.166857,-0.021988,9.806042,0.017767,2.607319,-0.406403,-0.012211,1.186717,0.278787
5,0.062525,-0.004319,9.810202,0.078804,-0.185124,-0.299588,-0.008626,1.062491,0.268801
6,-0.095848,-0.014048,9.830058,0.055915,0.104801,-0.108847,-0.006086,0.959386,0.265172
8,-0.061671,-0.027440,9.823785,0.170359,0.867764,-0.047810,-0.000367,0.889481,0.263579
9,-0.077163,-0.014479,9.823565,0.185619,-0.070680,-0.185144,0.005239,0.798412,0.257407
10,0.041926,-0.011504,9.789335,0.246656,-1.001494,-0.269069,0.012114,0.688526,0.248438
11,-0.022785,-0.008310,9.824274,0.208508,-0.040162,-0.261440,0.017158,0.618469,0.239724
12,-0.021944,0.005403,9.818732,0.147471,0.356579,-0.146996,0.019867,0.567319,0.234824
13,-0.066285,-0.007283,9.813368,0.048285,0.646505,0.020856,0.019328,0.529982,0.235519
15,-0.029399,-0.006172,9.812886,0.086434,-0.276680,0.196338,0.019989,0.468684,0.242063
16,-0.044897,-0.004290,9.792520,0.109322,-0.505569,0.074264,0.021269,0.406648,0.244539
17,-0.078659,-0.004480,9.812096,0.025397,0.142950,-0.070699,0.019904,0.370272,0.242182
18,-0.051741,-0.005368,9.807427,0.017767,0.120060,0.112412,0.018447,0.336846,0.245929
19,-0.081563,-0.016173,9.793736,0.055915,-0.078310,0.051375,0.018280,0.300812,0.247642
20,-0.079132,-0.006796,9.818090,0.109322,-0.444532,-0.093588,0.019731,0.257395,0.244522
22,0.007616,-0.015956,9.804786,-0.012752,-1.085421,-0.047810,0.017376,0.199093,0.242929
23,-0.054336,-0.017873,9.815334,0.139841,-1.238013,0.036116,0.019833,0.142043,0.244132
24,0.094015,0.003315,9.810215,-0.157714,1.981689,-0.223292,0.013119,0.187290,0.236689
25,-0.011215,-0.010188,9.807631,-0.096677,1.356060,-0.070699,0.008906,0.209243,0.234333
26,-0.138927,-0.003394,9.821418,-0.020381,0.417616,-0.085958,0.007404,0.200847,0.231467
27,-0.016588,-0.012243,9.795106,0.071174,-0.131717,-0.116477,0.008799,0.176811,0.227585
29,-0.067405,-0.018300,9.798586,0.071174,-0.009643,-0.078329,0.010054,0.158840,0.224974
30,-0.034821,-0.033955,9.803075,0.002508,-0.017272,0.013227,0.009124,0.142438,0.225415
31,-0.057886,-0.015509,9.816485,0.048285,0.089542,-0.017292,0.009660,0.130880,0.224838
32,-0.085271,-0.008489,9.790045,0.055915,-0.024902,0.013227,0.010372,0.117045,0.225279
33,-0.029333,-0.016539,9.800487,0.055915,-0.116458,-0.024921,0.011012,0.101847,0.224449
34,-0.060788,-0.018589,9.813531,0.025397,0.036135,-0.040181,0.010673,0.092746,0.223109
36,-0.027564,-0.013423,9.807017,0.025397,0.059023,0.005597,0.010367,0.085242,0.223296
37,-0.059465,-0.001318,9.804961,0.078804,-0.024902,-0.032551,0.011695,0.075971,0.222211
38,-0.036407,-0.019773,9.790956,0.063545,-0.093569,0.020856,0.012432,0.065567,0.222906
39,-0.061694,-0.021936,9.831472,0.048285,-0.009643,-0.002033,0.012637,0.058721,0.222838
40,-0.043690,-0.006070,9.792546,0.048285,-0.108828,0.020856,0.012822,0.049584,0.223533
41,-0.041999,-0.019496,9.815398,0.078804,-0.040162,-0.047810,0.013904,0.043421,0.221940
43,-0.041791,-0.010159,9.797975,0.033026,-0.101199,-0.032551,0.013504,0.036043,0.220855
44,-0.040624,-0.019989,9.780202,0.063545,-0.002013,-0.017292,0.014060,0.032378,0.220278
45,-0.046933,-0.020512,9.791525,0.063545,-0.040162,-0.032551,0.014560,0.027935,0.219193
