seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.036256,-9.619252,0.215448,0.091686,0.064200,0.002389,-88.716927,-0.215899,0.000000
2,0.034089,-9.627211,0.206990,0.075424,0.063148,0.002350,-88.719551,-0.214478,-0.002120
3,0.036496,-9.623120,0.216465,0.066897,0.059658,0.002312,-88.716591,-0.214643,-0.004165
4,0.029350,-9.624508,0.210965,0.056691,0.061172,0.011499,-88.717499,-0.210399,-0.006173
5,0.028780,-9.629778,0.212081,0.050396,0.060173,0.016755,-88.717972,-0.206014,-0.008184
6,0.027352,-9.630387,0.211936,0.031033,0.059676,0.014730,-88.718880,-0.201170,-0.010169
8,0.032350,-9.626747,0.219370,0.041823,0.062147,0.015723,-88.715355,-0.199804,-0.012188
9,0.030881,-9.628323,0.214647,0.044879,0.057158,0.021111,-88.714806,-0.197603,-0.014162
10,0.036766,-9.624343,0.218361,0.059643,0.049381,0.014515,-88.711777,-0.199154,-0.015924
11,0.044021,-9.619324,0.217397,0.060639,0.049238,0.012563,-88.709320,-0.205013,-0.017557
12,0.044320,-9.625936,0.219827,0.067507,0.053527,0.021007,-88.705635,-0.210347,-0.019256
13,0.041463,-9.623689,0.216155,0.046107,0.045869,0.023270,-88.704697,-0.213294,-0.020896
15,0.039841,-9.621838,0.218772,0.041643,0.050268,0.021031,-88.702652,-0.214986,-0.022481
16,0.039669,-9.629272,0.221437,0.034375,0.054524,0.014438,-88.699509,-0.216517,-0.024213
17,0.034136,-9.628673,0.222179,0.039151,0.058640,0.002158,-88.696266,-0.214885,-0.026093
18,0.036812,-9.624998,0.224268,0.037868,0.053766,-0.000865,-88.692001,-0.215246,-0.027965
19,0.033999,-9.635429,0.221709,0.035151,0.052003,-0.002313,-88.689888,-0.213945,-0.029729
20,0.033133,-9.634276,0.222414,0.033998,0.037015,-0.002237,-88.687607,-0.212287,-0.031214
22,0.031732,-9.636287,0.221791,0.029932,0.029898,-0.006591,-88.686035,-0.210030,-0.032332
23,0.031380,-9.641151,0.226133,0.030427,0.037773,-0.004899,-88.682159,-0.207820,-0.033464
24,0.028133,-9.635891,0.221604,0.025001,0.038011,-0.010642,-88.681366,-0.203968,-0.034733
25,0.035528,-9.628969,0.225820,0.031561,0.045620,-0.010293,-88.678032,-0.204991,-0.036134
26,0.040644,-9.634461,0.225564,0.020195,0.060359,-0.017335,-88.675331,-0.209034,-0.037911
27,0.040258,-9.629139,0.222050,0.022485,0.073140,-0.002008,-88.675049,-0.212322,-0.040142
29,0.040307,-9.621937,0.219866,0.002561,0.047127,0.008389,-88.676262,-0.214948,-0.042144
30,0.038644,-9.624171,0.221046,-0.000475,0.048534,0.002210,-88.677025,-0.216261,-0.043734
31,0.031068,-9.624071,0.222595,-0.009315,0.036612,-0.009669,-88.676971,-0.213208,-0.045155
32,0.025440,-9.623140,0.221286,0.005750,0.038363,0.005407,-88.677597,-0.207068,-0.046406
33,0.024924,-9.623478,0.224170,0.008513,0.025298,-0.005102,-88.676178,-0.201170,-0.047467
34,0.025670,-9.625095,0.223946,0.020041,0.031848,-0.012314,-88.674843,-0.196571,-0.048426
36,0.029032,-9.623071,0.221471,0.029715,0.027852,-0.007482,-88.674767,-0.194471,-0.049428
37,0.032773,-9.624746,0.221422,0.037597,0.023988,0.001618,-88.674492,-0.194598,-0.050294
38,0.032080,-9.626738,0.221535,0.020129,0.012870,-0.011718,-88.674347,-0.194365,-0.050912
39,0.032916,-9.626489,0.221549,0.003234,0.012448,-0.006906,-88.674721,-0.194785,-0.051341
40,0.038837,-9.630446,0.222148,0.010508,0.023847,-0.006680,-88.674896,-0.198597,-0.051951
41,0.038935,-9.637659,0.222407,0.001308,0.011258,-0.004985,-88.675034,-0.202041,-0.052541
43,0.038030,-9.642442,0.223365,-0.004638,0.021221,-0.001869,-88.674881,-0.204520,-0.053084
44,0.042890,-9.646891,0.223222,0.005845,0.022001,0.001144,-88.674820,-0.209530,-0.053805
45,0.044222,-9.644153,0.228061,0.011557,0.033087,0.002582,-88.671608,-0.214767,-0.054721
46,0.037985,-9.642073,0.226256,0.017082,0.026098,-0.001930,-88.669594,-0.215825,-0.055707
47,0.032239,-9.636000,0.228066,0.017998,0.023767,-0.006295,-88.666519,-0.213513,-0.056541
48,0.033281,-9.623997,0.227215,0.017407,0.034795,-0.010516,-88.664085,-0.212201,-0.057523
50,0.030153,-9.621623,0.225586,0.005030,0.041034,-0.016075,-88.663025,-0.209304,-0.058797
51,0.031850,-9.629058,0.223223,-0.001039,0.029357,-0.011120,-88.663857,-0.207703,-0.059981
52,0.029918,-9.628278,0.223427,-0.011336,0.018063,-0.001900,-88.664719,-0.204910,-0.060776
53,0.030833,-9.626505,0.224766,-0.006537,0.032230,0.005541,-88.664757,-0.202693,-0.061612
54,0.029045,-9.628624,0.226184,-0.006323,0.013463,0.003884,-88.663902,-0.199545,-0.062370
55,0.033082,-9.620840,0.229615,0.001264,0.013021,0.005232,-88.660866,-0.199141,-0.062808
57,0.031929,-9.620192,0.225736,0.004174,0.014070,0.003585,-88.660278,-0.198096,-0.063256
58,0.033515,-9.614337,0.226354,0.005513,0.009182,-0.003912,-88.659233,-0.198250,-0.063643
59,0.036101,-9.617558,0.224721,0.008284,-0.001451,-0.008212,-88.659248,-0.200105,-0.063777
60,0.033333,-9.625586,0.216494,0.010965,0.005976,0.002389,-88.664192,-0.200017,-0.063854
61,0.030600,-9.621605,0.210771,0.012081,0.014636,0.003787,-88.671936,-0.198133,-0.064196
62,0.028065,-9.618985,0.209393,0.020541,0.015632,-0.005193,-88.679543,-0.195043,-0.064700
64,0.029378,-9.628494,0.210884,0.013964,0.021023,-0.002071,-88.685600,-0.193113,-0.065314
65,0.028891,-9.631797,0.206183,0.012030,0.024761,0.006852,-88.694016,-0.190896,-0.066075
66,0.030374,-9.630228,0.209942,0.011636,0.026901,-0.009607,-88.699371,-0.189897,-0.066937
67,0.032173,-9.643260,0.205906,0.033393,0.015688,0.009894,-88.706436,-0.190000,-0.067646
68,0.030016,-9.642261,0.204900,0.030822,0.015174,0.013998,-88.713089,-0.188463,-0.068151
69,0.030126,-9.638208,0.201519,0.035715,0.013200,0.029774,-88.721001,-0.186855,-0.068607
71,0.031458,-9.632813,0.203701,0.027165,0.012768,0.022894,-88.726814,-0.186078,-0.069020
72,0.031337,-9.631775,0.202732,0.023322,0.003494,0.029523,-88.732796,-0.185316,-0.069270
73,0.030810,-9.623610,0.206440,0.003371,-0.006952,0.006417,-88.736229,-0.184585,-0.069199
74,0.033952,-9.618765,0.208294,-0.005595,-0.005248,0.001779,-88.738586,-0.186227,-0.068992
75,0.032708,-9.615183,0.207902,-0.009839,0.005255,-0.015990,-88.741089,-0.187303,-0.068998
