seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
4132,6.987545,6.960139,0.017518,0.094063,-0.253791,0.013227,89.855789,-45.112492,0.000000
4133,7.030997,6.973021,-0.003975,-0.020381,-0.093569,0.089523,89.872864,-45.127769,0.002984
4134,6.947627,6.909712,0.131994,0.231397,-0.276680,0.043745,89.783081,-45.138451,0.004442
4135,6.995785,6.985626,-0.091978,1.677572,-2.001791,0.086588,89.930527,-45.188572,0.007329
4136,6.974451,6.954927,0.042601,0.456831,-0.422459,0.033181,89.916084,-45.190365,0.008435
4137,7.037830,6.933663,-0.038658,0.082979,-1.414310,0.147625,89.958908,-45.256428,0.013355
4139,6.981789,6.958964,0.024674,0.197424,-0.575051,0.002662,89.948624,-45.257397,0.013444
4140,6.958389,6.963427,-0.016639,0.708609,-0.445347,0.063699,89.988708,-45.242935,0.015567
4141,6.983583,6.938299,0.044038,0.670461,0.088726,0.094218,89.973579,-45.234558,0.018708
4142,6.983266,6.971183,-0.084081,2.181127,-0.712384,0.040810,90.110748,-45.237225,0.020068
4143,6.968750,6.956730,0.007351,0.624683,0.386282,0.109477,90.112350,-45.206860,0.023718
4144,6.982743,6.949461,-0.011602,0.609424,-0.536903,0.048440,90.128967,-45.215965,0.025332
4146,6.993593,6.944934,-0.044924,0.205053,0.538875,0.078958,90.159286,-45.198143,0.027964
4147,6.981662,6.948951,-0.004439,-0.161169,0.630430,0.071329,90.142181,-45.172867,0.030342
4148,6.978528,6.942039,0.017717,0.121128,-0.643718,0.078958,90.116966,-45.189903,0.032974
4149,7.005424,6.965210,-0.104216,1.235053,-1.017570,-0.043116,90.228043,-45.217609,0.031537
4150,6.974880,6.967913,-0.053635,0.113498,0.439689,0.063699,90.252747,-45.185432,0.033660
4151,6.986886,6.959860,-0.042153,-0.077243,0.393912,0.063699,90.259857,-45.166122,0.035783
4153,7.020726,6.960773,-0.053384,0.029572,-0.109644,0.078958,90.278694,-45.177280,0.038415
4154,6.963197,6.902942,-0.060011,0.014313,0.226060,0.040810,90.301071,-45.177559,0.039775
4155,6.994191,6.948034,-0.038397,-0.084872,0.454948,0.033181,90.300079,-45.165081,0.040881
4156,6.947166,6.942404,-0.009250,-0.092502,0.447319,0.033181,90.274933,-45.137112,0.041988
4157,6.998974,6.917651,-0.030833,-0.084872,0.264208,0.063699,90.270424,-45.148922,0.044111
4158,6.963520,6.949163,-0.054630,-0.115391,0.126874,0.040810,90.284966,-45.136047,0.045471
4160,7.035650,6.961357,-0.027680,-0.191687,0.973763,-0.066004,90.273499,-45.123615,0.043271
4161,6.962176,6.938013,-0.037188,-0.161169,0.889837,-0.050745,90.272018,-45.094475,0.041580
4162,6.963434,6.954138,-0.000988,-0.206946,0.882208,-0.058375,90.239426,-45.062386,0.039634
4163,6.983032,6.960136,-0.019495,-0.100132,0.088726,-0.104153,90.228523,-45.062881,0.036162
4164,7.016649,6.956885,-0.110635,-0.206946,-0.697125,-0.218597,90.290573,-45.101650,0.028875
4165,6.995349,6.958487,-0.021221,-0.267983,0.485467,-0.073634,90.270943,-45.092041,0.026421
4167,6.960837,6.956836,-0.018934,-0.191687,0.111615,0.010292,90.253693,-45.081123,0.026764
