seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.124071,-0.035799,-9.774354,-1.006286,-6.461257,-0.084688,180.000000,0.000000,0.000000
2,-0.028278,0.008066,-9.837838,-1.379168,-8.677287,-0.568959,179.954483,-0.286350,-0.018965
3,0.045072,-0.010432,-9.765568,-0.714076,-5.086796,-0.594583,179.937607,-0.410319,-0.038785
4,0.021608,-0.022855,-9.778142,-0.764461,-5.680120,-0.973583,179.920914,-0.539691,-0.071238
5,0.092580,-0.006784,-9.763494,-0.604239,-6.626193,-4.345879,179.901764,-0.752958,-0.216100
6,-0.096156,0.037804,-9.826034,-0.360091,-6.282860,-23.015577,179.890869,-0.952763,-0.983286
8,-0.186138,-0.000941,-9.814939,-0.090003,-1.944364,-1.664856,179.899078,-0.807171,-1.038781
9,-0.291042,-0.043075,-9.820622,0.253330,2.076449,-12.079298,179.908447,-0.713601,-1.441425
10,-1.504526,-0.382396,-9.887669,0.344886,2.641042,-29.108627,179.942886,-0.532856,-2.411712
11,-0.003703,-0.086334,-9.756841,0.810293,9.652669,-78.457054,179.970200,-0.208989,-5.026947
12,1.461283,0.488941,-9.794122,-0.181558,0.100376,-61.580322,179.935928,-0.288342,-7.079625
13,-0.085395,0.017245,-9.806677,-0.064914,-1.769928,-0.097479,179.940384,-0.312606,-7.082874
15,-0.099505,0.024915,-9.799681,0.284051,1.202999,0.444420,179.954865,-0.245255,-7.068060
16,-0.129277,0.011289,-9.805720,0.276421,3.377443,0.688568,179.967667,-0.119406,-7.045108
17,0.008598,-0.004919,-9.764071,0.474791,5.254332,0.886939,179.985138,0.050164,-7.015543
18,-0.059453,-0.009823,-9.798495,0.490051,4.598184,0.764865,180.001328,0.183093,-6.990048
19,-0.067610,0.014800,-9.831001,0.413754,3.926776,0.581754,180.013611,0.282587,-6.970656
20,0.034306,-0.019418,-9.754816,0.459532,3.766554,0.520717,180.026031,0.367325,-6.953299
22,-0.046559,-0.012690,-9.802561,0.436643,3.453739,0.268939,180.036530,0.434205,-6.944334
23,0.004016,-0.027091,-9.812831,0.245903,2.515295,0.230791,180.040253,0.466243,-6.936641
24,0.005228,-0.023415,-9.806890,0.090251,1.178319,0.208466,180.038925,0.454968,-6.929692
25,0.006425,-0.014065,-9.826661,0.072533,1.220864,0.260667,180.037201,0.446097,-6.921003
26,0.119998,-0.011600,-9.746558,0.011119,0.568341,0.517784,180.033813,0.418538,-6.903744
