seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6057,-0.171745,-0.013921,9.920522,0.018422,-0.106946,-0.104426,0.000000,0.991810,0.000000
6058,-0.173502,-0.027386,9.923782,-0.004018,-0.097813,-0.073196,-0.000121,0.989857,-0.002440
6059,-0.177580,-0.031926,9.924677,-0.035808,-0.091340,-0.077086,-0.001183,0.990637,-0.005009
6060,-0.316220,0.011999,9.905626,-0.093320,-0.041339,-0.048818,-0.003864,1.073178,-0.006637
6061,-0.387971,0.047314,9.906177,0.089397,0.142919,-0.274140,-0.000796,1.194427,-0.015775
6062,-0.478499,0.085826,9.897134,0.179448,0.126426,-0.406839,0.004667,1.355561,-0.029336
6063,-0.575091,0.135328,9.899955,0.141095,-0.010550,-0.340369,0.008433,1.552116,-0.040682
6064,-0.683487,0.179310,9.897241,0.174843,-0.092854,-0.253940,0.116628,1.789102,-0.049146
6065,-0.685799,0.190539,9.913793,0.459863,-0.016015,-0.382873,0.228867,2.005359,-0.061909
6066,-0.672372,0.191081,9.904714,0.258824,-0.149797,-0.284719,0.324266,2.188608,-0.071399
6067,-0.685427,0.194462,9.911070,0.017146,-0.152266,-0.144030,0.404758,2.360718,-0.076200
6068,-0.698558,0.183708,9.901174,0.133180,0.066732,-0.235241,0.474573,2.530150,-0.084042
6069,-0.705861,0.183916,9.872146,0.021073,0.054212,-0.280662,0.534476,2.687660,-0.093397
6070,-0.694864,0.181081,9.855542,-0.320550,-0.083348,-0.255226,0.576673,2.819622,-0.101905
6071,-0.716634,0.173883,9.868497,-0.189017,-0.061428,-0.277852,0.614280,2.951096,-0.111166
6072,-0.717515,0.177596,9.869154,0.063654,0.021760,-0.379436,0.657854,3.072397,-0.123814
6073,-0.712696,0.184007,9.876980,0.095513,0.235052,-0.405370,0.701663,3.184853,-0.137327
6074,-0.710389,0.177879,9.890702,0.167653,0.485629,-0.474730,0.739559,3.291686,-0.153151
6075,-0.699068,0.173372,9.899796,0.213813,0.794406,-0.476877,0.772347,3.390208,-0.169047
6076,-0.705649,0.175508,9.913388,0.119725,0.830350,-0.422870,0.800131,3.483186,-0.183142
6077,-0.723017,0.169080,9.908484,-0.095254,0.645206,-0.140393,0.815021,3.571508,-0.187822
6078,-0.732287,0.155682,9.894169,-0.672159,0.286073,0.153486,0.803500,3.646173,-0.182706
6079,-0.729782,0.164209,9.892803,-0.855273,0.005129,0.108605,0.792588,3.703552,-0.179086
6080,-0.737330,0.168751,9.890930,-0.719494,-0.361062,0.106520,0.789488,3.748632,-0.175535
6081,-0.727018,0.166560,9.878173,-0.679671,-0.634074,0.348027,0.786749,3.775616,-0.163934
6082,-0.722367,0.172732,9.894679,-0.430100,-0.567533,0.175745,0.795182,3.798515,-0.158076
6083,-0.713612,0.183774,9.895423,-0.017507,-0.621246,-0.007125,0.821534,3.812432,-0.158314
6084,-0.710752,0.172352,9.907191,0.011109,-0.606783,0.286813,0.839379,3.823266,-0.148753
6085,-0.705912,0.156846,9.907824,0.004841,-0.532282,0.402862,0.846281,3.832452,-0.135324
6086,-0.713274,0.151434,9.888417,0.053388,-0.442513,0.240588,0.850992,3.848456,-0.127305
6087,-0.707739,0.145922,9.848859,-0.196314,-0.414723,0.303544,0.760004,3.862145,-0.117187
6088,-0.708412,0.149960,9.846859,0.018224,-0.390795,0.185852,0.684550,3.875652,-0.110992
6089,-0.705467,0.152073,9.857780,0.343801,-0.645121,-0.040150,0.714790,3.878021,-0.112330
6090,-0.706020,0.151624,9.894663,0.249879,-0.820266,-0.006364,0.738600,3.873698,-0.112542
6091,-0.688107,0.159597,9.932194,0.039489,-0.768285,-0.102089,0.757983,3.859543,-0.115945
6092,-0.677739,0.159270,9.949648,-0.130059,-0.698820,-0.240429,0.769992,3.842253,-0.123959
6093,-0.664252,0.152706,9.912621,-0.536095,-0.494375,-0.315197,0.765168,3.826521,-0.134466
6094,-0.662751,0.155203,9.884013,-0.663158,0.180084,-0.442122,0.758718,3.832835,-0.149203
6095,-0.657347,0.166504,9.838245,-0.422984,0.690745,-0.591452,0.767115,3.852475,-0.168918
6096,-0.667554,0.166056,9.825143,-0.109509,0.769937,-0.561731,0.783946,3.878960,-0.187643
6097,-0.677917,0.155281,9.845124,0.248297,0.805207,-0.445906,0.803361,3.909078,-0.202506
6098,-0.707112,0.159250,9.892478,0.620939,1.065134,-0.497703,0.833881,3.958925,-0.219096
6099,-0.698070,0.164673,9.885369,0.708323,0.887053,-0.499097,0.867178,3.993520,-0.235733
6100,-0.715026,0.162252,9.900757,0.778083,0.586406,-0.392705,0.897690,4.024774,-0.248823
6101,-0.707940,0.168192,9.898344,0.681731,0.580465,-0.242572,0.925720,4.048740,-0.256909
6102,-0.709508,0.184772,9.902625,0.470466,0.657368,-0.129830,0.954157,4.073331,-0.261237
6103,-0.709421,0.183088,9.893619,0.269079,0.433619,0.292106,0.972831,4.089073,-0.251500
6104,-0.728574,0.173054,9.906859,0.078722,0.502054,0.685450,0.977985,4.115773,-0.228651
6105,-0.723025,0.176800,9.894848,-0.120154,0.630232,0.692496,0.978946,4.140958,-0.205568
6106,-0.726938,0.175343,9.880424,-0.229859,0.528397,0.672746,0.975825,4.163436,-0.183143
6107,-0.733141,0.162076,9.872364,-0.132293,0.503694,0.511956,0.968328,4.186856,-0.166078
6108,-0.725279,0.167320,9.879360,0.214453,0.473898,0.118817,0.974958,4.202203,-0.162118
6109,-0.721586,0.171676,9.869994,0.149862,0.096766,-0.038571,0.981607,4.202962,-0.163403
6110,-0.732055,0.173031,9.874574,-0.314055,-0.259146,0.101428,0.974413,4.198815,-0.160022
6111,-0.754382,0.168997,9.882893,-0.305235,-0.160621,-0.021446,0.965780,4.210556,-0.160737
6112,-0.742070,0.175240,9.879738,-0.159446,-0.084512,-0.025170,0.966035,4.216441,-0.161576
6113,-0.732173,0.170279,9.883540,-0.521718,-0.016801,0.259027,0.952483,4.217904,-0.152942
6114,-0.743453,0.167383,9.910612,-0.486903,0.304020,0.160505,0.939387,4.234179,-0.147592
6115,-0.744861,0.165968,9.888106,-0.194948,0.550859,-0.064666,0.935759,4.258016,-0.149747
6116,-0.733535,0.163347,9.869329,-0.253496,0.461957,0.028960,0.929400,4.271083,-0.148782
6117,-0.739439,0.155090,9.867806,-0.195005,0.257897,0.054577,0.920653,4.280200,-0.146963
6118,-0.760684,0.152396,9.868025,-0.048401,0.060527,-0.105133,0.915613,4.294741,-0.150467
6119,-0.746090,0.162695,9.852620,0.122914,-0.176126,-0.200572,0.922342,4.292970,-0.157153
6120,-0.738801,0.157967,9.867149,0.343221,-0.540802,-0.196948,0.932123,4.275596,-0.163718
6121,-0.732356,0.161272,9.882619,0.498746,-0.707560,-0.256907,0.947365,4.250572,-0.172281
6122,-0.697985,0.174093,9.856157,0.287576,-0.833429,-0.111226,0.962449,4.205525,-0.175989
6123,-0.682248,0.175377,9.863448,0.008059,-1.176557,0.354377,0.968310,4.145294,-0.164176
6124,-0.665914,0.161354,9.864267,-0.550096,-1.679640,0.763391,0.948688,4.066529,-0.138730
6125,-0.666179,0.153291,9.887912,-0.840524,-1.543400,0.853484,0.917422,3.998965,-0.110281
6126,-0.664452,0.144044,9.876387,-1.003360,-1.355543,0.612974,0.795579,3.943249,-0.089848
6127,-0.679416,0.138688,9.885676,-1.162333,-1.345049,0.274084,0.681151,3.901694,-0.080712
6128,-0.675830,0.134329,9.870443,-1.361847,-1.324567,-0.220473,0.572180,3.863444,-0.088061
6129,-0.672880,0.130962,9.883753,-1.002833,-1.089276,-0.918725,0.484877,3.833853,-0.118685
6130,-0.680309,0.120535,9.891431,-0.451916,-0.867602,-1.877458,0.422832,3.817857,-0.181267
6131,-0.676567,0.133479,9.913118,0.116426,-0.186083,-3.229084,0.384042,3.820890,-0.288903
6132,-0.674534,0.125266,9.915192,0.755754,1.348452,-4.260373,0.405141,3.866096,-0.430916
6133,-0.683833,0.136505,9.931036,1.615559,3.014464,-4.906380,0.454403,3.966299,-0.594462
6134,-0.714092,0.136687,9.931706,2.078201,4.094534,-4.678139,0.518440,4.102877,-0.750400
6135,-0.726469,0.157508,9.915934,1.851189,4.647722,-3.558558,0.583445,4.257119,-0.869018
6136,-0.737363,0.140230,9.891569,1.405743,4.578403,-1.903766,0.624000,4.408263,-0.932477
6137,-0.769144,0.148352,9.895834,1.031396,3.312775,-0.743077,0.592542,4.511203,-0.957246
6138,-0.787497,0.141797,9.882861,0.793909,1.607245,0.075318,0.557105,4.563841,-0.954736
6139,-0.780034,0.151173,9.860139,0.664569,0.534707,0.567275,0.609169,4.575769,-0.935827
6140,-0.777759,0.149846,9.865821,0.455342,-0.499718,0.736117,0.561912,4.553900,-0.911289
6141,-0.785061,0.167647,9.868889,0.120144,-1.712759,1.182796,0.606647,4.501887,-0.871863
6142,-0.770806,0.160613,9.891397,-0.280812,-2.548052,1.763897,0.630584,4.420786,-0.813066
6143,-0.729492,0.155600,9.894043,-0.602207,-3.028310,2.482393,0.613416,4.318807,-0.730320
6144,-0.717330,0.157650,9.908317,-1.014903,-3.455927,2.910196,0.582905,4.202976,-0.633313
6145,-0.688821,0.159435,9.878695,-1.180877,-3.324917,2.785270,0.547354,4.091105,-0.540471
6146,-0.678822,0.157439,9.888709,-1.027043,-2.423356,2.286610,0.553020,4.001942,-0.464251
6147,-0.669695,0.159053,9.883477,-0.583073,-1.539543,1.866286,0.572423,3.943149,-0.402041
6148,-0.675335,0.153737,9.894673,-0.137422,-0.596152,1.191127,0.600074,3.921355,-0.362337
6149,-0.660480,0.147503,9.888245,0.509099,0.102306,0.459881,0.555339,3.914382,-0.347007
6150,-0.662192,0.156159,9.900263,1.469455,0.525487,-0.343326,0.634255,3.921321,-0.358452
6151,-0.714991,0.126406,9.772470,1.353389,-0.127853,-0.436860,0.611431,3.943771,-0.373014
6152,-0.735419,0.096280,9.730648,-1.026599,-0.041018,0.538329,0.519490,3.980348,-0.355069
6153,-0.721921,0.088234,9.758719,-3.359175,-0.264598,1.637547,0.366766,3.997445,-0.300485
6154,-0.682817,0.081186,9.840577,-4.692843,-1.193708,2.516241,0.208234,3.957769,-0.216610
6155,-0.649640,0.077441,9.899011,-5.352579,-2.046605,3.274622,0.029517,3.888200,-0.107456
6156,-0.541986,0.097227,10.038665,-4.786352,-2.292989,3.575702,-0.128728,3.804552,0.011734
6157,-0.478439,0.100033,10.080642,-2.601171,-2.724630,2.528215,-0.213279,3.703765,0.096008
6158,-0.474254,0.099217,10.026902,-0.268099,-2.697294,1.066840,-0.199994,3.523253,0.131570
6159,-0.505140,0.083829,9.943866,0.710357,-1.938808,0.344095,-0.158684,3.403561,0.143039
6160,-0.507276,0.041663,9.905473,0.344660,-1.103351,0.295917,-0.132476,3.323267,0.152903
6161,-0.534408,0.005793,9.888112,0.144445,-0.436969,0.014650,-0.114895,3.287188,0.153392
6162,-0.548632,-0.009192,9.859737,0.523444,-0.530384,0.166188,-0.087702,3.261044,0.158931
6163,-0.521777,-0.026079,9.859379,0.143212,-0.935104,0.885406,-0.074636,3.209823,0.188445
6164,-0.516140,-0.020525,9.882161,-0.192084,-0.641737,0.972975,-0.072935,3.168569,0.220877
6166,-0.483842,0.002791,9.871058,-0.019010,-0.945396,1.070957,-0.066211,3.103968,0.256576
6167,-0.434638,0.029161,9.906735,-0.518717,-1.036902,1.192292,-0.075152,3.013675,0.296319
6168,-0.402895,0.065248,9.951919,-0.761470,-0.778572,0.763567,-0.090481,2.920776,0.321771
6169,-0.391259,0.077641,9.969139,-0.335061,-0.285187,0.052240,-0.091484,2.844890,0.323512
6170,-0.372025,0.069760,9.934895,0.049326,0.088710,-0.407001,-0.080856,2.777508,0.309946
6171,-0.384308,0.033632,9.926903,-0.325694,0.780950,-0.650465,-0.082541,2.744887,0.288263
6172,-0.406630,0.017884,9.903502,-0.090680,1.230587,-0.825435,-0.077008,2.742436,0.260749
6173,-0.419180,-0.010084,9.879335,-0.127556,1.336358,-0.700964,-0.073134,2.751243,0.237384
6174,-0.421522,-0.004162,9.893693,-0.577952,1.627576,-0.714881,-0.083159,2.768908,0.213554
6175,-0.397307,0.020292,9.911991,-0.479305,1.534368,-0.902499,-0.089222,2.767586,0.183471
6176,-0.383727,0.067211,9.901709,0.187280,0.989639,-1.271404,-0.074681,2.742442,0.141091
6177,-0.373952,0.076711,9.894043,0.374483,0.675298,-1.765474,-0.055979,2.704901,0.082242
6178,-0.364186,0.079827,9.901194,0.322357,0.600027,-2.231539,-0.040710,2.663055,0.007857
6179,-0.359943,0.057168,9.896774,0.299981,0.317646,-2.441754,-0.027640,2.614567,-0.073535
6180,-0.393268,0.019902,9.922834,0.248822,0.069612,-2.828088,-0.017411,2.582158,-0.167804
6181,-0.437834,-0.029530,9.938898,0.352833,0.000915,-2.943474,-0.005085,2.576208,-0.265920
6182,-0.457365,-0.036509,9.922562,0.550843,-0.205741,-2.132640,0.011949,2.576322,-0.337008
6183,-0.417338,-0.029325,9.924386,0.132816,-0.151768,-0.949895,0.014738,2.554933,-0.368671
6184,-0.407946,-0.015911,9.939666,-0.141628,0.570495,-0.480412,0.009016,2.551577,-0.384685
6185,-0.379946,-0.037189,9.941312,-0.412979,1.003417,0.394312,-0.004275,2.545392,-0.371541
6186,-0.353321,-0.018760,9.937902,-0.424530,1.469375,0.990931,-0.016584,2.538551,-0.338510
6187,-0.333309,0.017837,9.937312,-0.308775,1.562890,0.985011,-0.024189,2.523687,-0.305677
6188,-0.351036,0.037712,9.936390,-0.009376,1.685809,0.582268,-0.022051,2.524223,-0.286268
6189,-0.336913,0.027275,9.930160,0.300870,1.493282,0.412637,-0.010820,2.510918,-0.272513
6190,-0.313790,0.076209,9.891622,0.742632,1.096015,0.332694,0.012541,2.474399,-0.261423
6191,-0.295946,0.075303,9.894488,0.449672,0.993668,-0.051616,0.024777,2.428086,-0.263144
6192,-0.332364,0.001033,9.943399,-0.310399,1.650336,-0.944319,0.012988,2.426230,-0.294621
6193,-0.394431,-0.036773,9.968451,-0.183627,1.956351,-1.540618,0.006180,2.468885,-0.345975
6194,-0.438935,-0.043889,9.958923,0.268114,1.669354,-1.420744,0.013605,2.524440,-0.393333
6195,-0.477577,-0.061559,9.960177,0.330168,1.512789,-1.359407,0.022150,2.591890,-0.438647
6196,-0.509431,-0.046726,9.938774,0.598289,1.414489,-1.121497,0.037884,2.668556,-0.476030
6197,-0.483168,-0.005736,9.877718,1.338763,0.817606,-0.450093,0.074258,2.706267,-0.491033
6198,-0.459843,0.013560,9.836946,1.349481,0.421827,-0.089977,0.107317,2.715938,-0.494032
6199,-0.456497,0.033016,9.819112,0.927410,0.255980,-0.116545,0.124407,2.718202,-0.497917
6200,-0.442411,0.040215,9.839554,0.405531,0.452738,-0.121580,0.124133,2.717404,-0.501970
6201,-0.421663,0.026233,9.890009,-0.131708,0.454130,-0.023136,0.107768,2.703421,-0.502741
6202,-0.440763,0.016182,9.944703,-0.394528,0.738850,-0.121263,0.085155,2.709021,-0.506783
6203,-0.428133,0.021742,9.918182,0.117261,0.453393,0.229549,0.080158,2.698892,-0.499132
6204,-0.408975,0.026669,9.925399,-0.090258,0.544794,0.502444,0.069434,2.681299,-0.482383
6205,-0.421263,0.024593,9.943541,-0.330822,0.833921,0.524345,0.052566,2.680778,-0.464905
6206,-0.416920,0.035473,9.911520,0.128697,0.743118,0.600137,0.051170,2.675860,-0.444901
6207,-0.390442,0.052717,9.866560,0.170230,0.503274,0.792992,0.051160,2.649983,-0.418468
6208,-0.391224,0.051024,9.900454,-0.638240,0.863129,0.647447,0.026897,2.637166,-0.396886
6209,-0.419072,0.049046,9.890071,-0.416594,0.960284,0.289716,0.011710,2.644889,-0.387229
6210,-0.449337,0.051468,9.828401,-0.050196,0.372388,0.141483,0.009033,2.653332,-0.382513
6211,-0.453196,0.044883,9.824311,-0.718609,0.276053,0.189977,-0.013429,2.660396,-0.376180
6212,-0.459521,0.017119,9.876646,-1.554024,0.207967,0.188177,-0.058707,2.666977,-0.369908
6213,-0.496477,0.001464,9.891718,-1.342204,0.252806,-0.285853,-0.093102,2.695197,-0.379436
6214,-0.490588,-0.016145,9.903712,-1.392659,-0.134788,0.088066,-0.125572,2.705221,-0.376501
6215,-0.451048,-0.027611,9.935159,-1.578718,-0.121514,0.424636,-0.160376,2.690992,-0.362346
6216,-0.456680,-0.032162,9.949715,-1.312956,0.087620,0.162763,-0.183727,2.687316,-0.356921
6217,-0.463365,-0.032367,9.924789,-0.675125,0.161494,0.182518,-0.185608,2.690734,-0.350837
6218,-0.432238,-0.035658,9.889590,-0.484739,-0.373649,0.780177,-0.181590,2.660710,-0.324831
6219,-0.426770,-0.034957,9.874261,-0.631197,-0.275797,0.692612,-0.182366,2.633844,-0.301744
6220,-0.420415,-0.037211,9.895134,-0.901256,-0.002569,0.624152,-0.191168,2.613667,-0.280939
6221,-0.443454,-0.051641,9.906536,-0.874661,0.397484,0.479714,-0.198291,2.620528,-0.264948
6222,-0.451503,-0.060537,9.912862,-0.736769,0.433157,0.422662,-0.200565,2.632251,-0.250859
6223,-0.446707,-0.064407,9.922681,-0.733278,0.650673,0.308445,-0.202506,2.646305,-0.240578
6224,-0.476403,-0.079238,9.946397,-0.495232,0.415336,0.398694,-0.197113,2.668346,-0.227288
6225,-0.481481,-0.091575,9.935184,0.015430,-0.299332,1.086675,-0.176939,2.669971,-0.191066
6226,-0.434350,-0.087142,9.913183,0.161038,-1.130782,1.839180,-0.154414,2.619924,-0.129760
