seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
5273,6.989538,0.083171,6.986356,-0.050900,0.043764,0.081893,0.000000,-45.011017,0.000000
5274,6.996330,0.102629,6.999259,-0.081418,0.051394,0.097152,-0.002578,-45.008083,0.003238
5275,7.014615,0.066325,6.998592,-0.043270,0.020875,0.043745,-0.003820,-45.010231,0.004697
5276,6.976761,0.086828,7.002972,-0.058529,-0.009643,0.005597,-0.005482,-45.004543,0.004883
5277,7.010328,0.070935,6.990164,-0.050900,-0.009643,-0.032551,-0.006820,-45.008671,0.003798
5278,7.027603,0.099068,7.012543,-0.058529,0.028505,0.059005,-0.008332,-45.010265,0.005765
5280,7.007793,0.082942,6.994180,-0.050900,0.028505,0.036116,-0.009527,-45.011536,0.006969
5281,7.013003,0.087852,6.997119,-0.050900,0.020875,0.005597,-0.010663,-45.013435,0.007155
5282,7.039555,0.076184,6.993184,-0.073789,0.051394,0.036116,-0.012466,-45.020515,0.008359
5283,6.991170,0.092867,6.992205,-0.028011,0.051394,0.005597,-0.012730,-45.017521,0.008546
5284,7.026860,0.098233,6.997036,-0.028011,0.020875,0.005597,-0.012981,-45.021935,0.008732
5285,7.031353,0.079142,6.998487,-0.058529,0.043764,0.043745,-0.014185,-45.026070,0.010191
5287,7.013923,0.076013,7.006224,-0.035640,-0.009643,-0.002033,-0.014604,-45.026558,0.010123
5288,7.012299,0.070633,7.008673,-0.089048,0.081913,0.036116,-0.016694,-45.023304,0.011327
5289,7.027302,0.101121,6.989244,-0.066159,0.036135,0.043745,-0.017954,-45.028622,0.012785
5290,6.995877,0.086195,6.982162,-0.119566,0.066653,0.074264,-0.020843,-45.027782,0.015260
5291,7.033572,0.085772,6.999008,-0.066159,0.043764,0.020856,-0.021896,-45.031960,0.015955
5292,6.990067,0.071587,7.013357,-0.043270,0.051394,0.036116,-0.022171,-45.023891,0.017159
5294,6.991592,0.102493,6.994471,-0.066159,-0.002013,0.005597,-0.023158,-45.022018,0.017346
5295,7.019108,0.077814,7.001445,-0.020381,0.074283,0.013227,-0.022645,-45.022087,0.017787
5296,7.001856,0.092592,7.004180,-0.043270,0.043764,0.020856,-0.022883,-45.018997,0.018482
5297,7.010310,0.078906,7.002594,-0.081418,0.043764,0.051375,-0.024317,-45.018150,0.020195
5298,7.027326,0.088853,6.969707,-0.066159,0.036135,0.028486,-0.025196,-45.027775,0.021144
5299,7.011076,0.101743,7.006484,-0.081418,0.051394,0.020856,-0.026515,-45.025543,0.021839
5301,6.993991,0.101372,6.997478,-0.058529,0.074283,0.036116,-0.027042,-45.021049,0.023043
5302,7.003941,0.111341,7.014094,-0.050900,0.036135,0.005597,-0.027302,-45.016598,0.023230
5303,7.006816,0.079499,7.005558,-0.058529,0.081913,0.036116,-0.027790,-45.013336,0.024434
5304,7.009670,0.111248,7.002181,-0.066159,0.066653,0.036116,-0.028496,-45.011909,0.025637
5305,7.016753,0.082071,7.007947,-0.035640,0.051394,0.059005,-0.028200,-45.011387,0.027604
5306,6.987521,0.077429,7.005517,-0.073789,0.081913,0.020856,-0.029126,-45.004448,0.028299
5308,7.028449,0.074829,6.993162,-0.035640,-0.009643,0.066634,-0.028799,-45.011654,0.030521
5309,6.974725,0.090116,6.983828,-0.073789,0.081913,-0.009662,-0.029695,-45.006489,0.030199
5310,7.005835,0.093100,6.994044,-0.035640,-0.017272,0.051375,-0.029339,-45.008995,0.031911
5311,7.043612,0.087868,7.009758,-0.058529,0.043764,0.043745,-0.029726,-45.013950,0.033369
5312,6.999952,0.100979,7.005857,0.002508,0.043764,0.013227,-0.028160,-45.010509,0.033810
5313,6.988414,0.077069,6.979865,-0.043270,0.059023,0.043745,-0.028122,-45.009781,0.035268
5315,7.003833,0.085535,7.011438,-0.020381,0.020875,0.043745,-0.027362,-45.006973,0.036726
5316,7.005225,0.086909,6.980992,-0.005122,0.051394,0.028486,-0.026156,-45.009850,0.037676
5317,6.999126,0.104336,6.990297,-0.058529,0.112431,0.036116,-0.026701,-45.007446,0.038880
5318,7.019709,0.091203,6.973827,-0.043270,0.043764,0.043745,-0.026736,-45.014957,0.040338
5319,7.018343,0.109374,6.988511,-0.043270,0.036135,0.020856,-0.026770,-45.018990,0.041033
5320,7.000745,0.087124,7.000069,-0.028011,0.020875,-0.002033,-0.026318,-45.017406,0.040965
5322,7.005076,0.094087,6.980304,-0.012752,0.020875,0.051375,-0.025406,-45.020821,0.042678
5323,7.004870,0.082293,6.993581,-0.073789,0.005616,0.028486,-0.026473,-45.021812,0.043627
5324,7.017658,0.084801,6.988820,-0.012752,0.028505,0.028486,-0.025553,-45.025612,0.044577
5325,6.994934,0.087102,7.004226,-0.066159,0.043764,0.059005,-0.026370,-45.020931,0.046544
5326,7.031681,0.074050,7.018842,-0.058529,0.074283,0.089523,-0.026905,-45.020069,0.049528
5327,7.002848,0.093596,6.989850,-0.043270,0.020875,0.020856,-0.026930,-45.020939,0.050223
5329,7.032268,0.083731,6.983514,-0.020381,0.028505,0.020856,-0.026229,-45.028851,0.050918
5330,7.023237,0.075450,6.999699,-0.043270,0.097172,0.059005,-0.026288,-45.029057,0.052885
5331,7.005050,0.078233,7.002584,-0.058529,0.066653,-0.017292,-0.026827,-45.025909,0.052309
5332,7.016921,0.078609,7.016942,-0.035640,0.059023,0.013227,-0.026614,-45.022648,0.052750
5333,7.020908,0.080358,7.009773,-0.066159,0.020875,0.028486,-0.027378,-45.023033,0.053699
5334,6.998026,0.097035,6.983822,0.017767,0.036135,0.036116,-0.025447,-45.023510,0.054903
5336,6.995889,0.092977,6.995204,-0.035640,0.081913,0.020856,-0.025303,-45.019756,0.055598
5337,7.003112,0.082269,6.993575,0.002508,0.043764,0.097152,-0.023958,-45.019238,0.058837
5338,6.964916,0.090794,6.998703,-0.073789,-0.002013,0.013227,-0.025097,-45.011288,0.059278
5339,7.001549,0.078817,7.004951,-0.050900,0.059023,0.066634,-0.025454,-45.008068,0.061499
5340,7.009721,0.100248,6.987402,-0.020381,0.020875,0.013227,-0.024827,-45.011425,0.061940
5341,6.989302,0.076256,7.005538,-0.028011,-0.009643,0.066634,-0.024473,-45.007751,0.064161
5343,7.004593,0.093603,6.988663,-0.050900,0.036135,0.059005,-0.024861,-45.009350,0.066128
5344,7.017175,0.081243,6.991847,-0.020381,0.051394,0.043745,-0.024263,-45.012337,0.067586
5345,7.030354,0.067059,6.992670,-0.043270,0.020875,0.059005,-0.024420,-45.018692,0.069553
5346,7.000717,0.092619,7.007160,-0.005122,0.081913,0.036116,-0.023361,-45.013721,0.070756
5347,7.023974,0.082259,6.972763,-0.028011,0.020875,0.043745,-0.023080,-45.022758,0.072215
5348,7.039722,0.075796,7.007511,-0.028011,0.020875,0.020856,-0.022813,-45.027447,0.072910
5350,7.037619,0.077763,6.980028,-0.073789,0.036135,0.013227,-0.024009,-45.036610,0.073351
5351,7.014071,0.098799,7.007128,0.010137,0.020875,0.028486,-0.022488,-45.035397,0.074300
5352,6.981469,0.107664,6.989000,-0.035640,0.013246,0.043745,-0.022492,-45.031494,0.075758
5353,7.004719,0.091929,6.997038,-0.089048,0.051394,0.089523,-0.024187,-45.029743,0.078742
5354,6.988549,0.091397,7.017277,-0.035640,-0.002013,0.051375,-0.024107,-45.022324,0.080455
5355,7.030418,0.073911,7.010485,-0.066159,0.066653,0.074264,-0.024996,-45.023083,0.082930
5357,6.994972,0.102975,6.983139,-0.043270,0.028505,0.120041,-0.025117,-45.023296,0.086932
5358,7.001069,0.088621,6.979166,-0.043270,0.028505,0.066634,-0.025231,-45.025600,0.089153
5359,6.972178,0.102722,6.987837,-0.043270,0.036135,0.020856,-0.025340,-45.019806,0.089848
5360,7.015501,0.111296,6.999814,0.017767,0.036135,0.013227,-0.023510,-45.020695,0.090289
5361,7.038953,0.085379,7.007983,0.002508,0.043764,0.059005,-0.022255,-45.024487,0.092256
5362,7.019202,0.069333,6.994989,-0.050900,0.051394,0.097152,-0.022754,-45.026512,0.095494
5363,6.997741,0.084520,6.988754,-0.058529,0.005616,0.066634,-0.023470,-45.026745,0.097715
5364,7.015522,0.077668,6.994870,-0.012752,0.013246,0.059005,-0.022700,-45.029121,0.099682
5365,6.997898,0.077967,6.991225,-0.073789,0.020875,0.066634,-0.023902,-45.028282,0.101903
5366,7.015231,0.095724,7.000607,-0.028011,0.028505,-0.017292,-0.023594,-45.028820,0.101327
5367,7.023073,0.085068,7.001963,-0.073789,0.051394,0.043745,-0.024751,-45.029961,0.102785
5368,7.032054,0.101892,6.996411,-0.028011,0.036135,0.081893,-0.024400,-45.034443,0.105515
5369,7.007291,0.044471,6.986313,-0.043270,0.066653,0.066634,-0.024550,-45.034878,0.107736
5370,6.980056,0.105030,7.015284,-0.089048,0.051394,0.036116,-0.026143,-45.024136,0.108940
5371,7.016391,0.066376,7.000388,-0.005122,-0.017272,0.036116,-0.024998,-45.026680,0.110144
