seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
2471,-6.979500,-0.059884,6.788893,-0.119566,0.043764,0.043745,0.000000,45.792027,0.000000
2472,-6.961829,-0.050449,6.761385,-0.089048,0.020875,0.066634,-0.002820,45.794888,0.002221
2473,-6.962007,-0.060975,6.779420,-0.050900,0.066653,0.074264,-0.004291,45.795258,0.004697
2474,-6.977934,-0.054583,6.781073,-0.119566,0.089542,-0.002033,-0.007862,45.799267,0.004629
2475,-6.976295,-0.048569,6.781003,-0.111937,0.066653,0.059005,-0.011014,45.802040,0.006596
2476,-6.960309,-0.061645,6.772871,-0.127196,-0.009643,0.051375,-0.014491,45.800674,0.008308
2478,-6.981625,-0.074996,6.781916,-0.050900,0.036135,0.005597,-0.015378,45.803261,0.008495
2479,-6.970892,-0.058157,6.775773,-0.104307,0.036135,0.043745,-0.017913,45.804852,0.009953
2480,-6.981433,-0.083346,6.784410,-0.111937,0.013246,0.089523,-0.020562,45.805920,0.012937
2481,-6.936581,-0.056778,6.754990,-0.150085,0.051394,0.059005,-0.024286,45.805191,0.014904
2482,-6.989422,-0.049076,6.758884,-0.111937,0.028505,0.059005,-0.026617,45.813831,0.016871
2483,-6.967763,-0.069530,6.773541,-0.073789,0.036135,0.059005,-0.027622,45.814697,0.018838
2485,-6.976935,-0.046190,6.780374,-0.096677,0.051394,0.020856,-0.029303,45.816483,0.019533
2486,-6.970831,-0.053155,6.790031,-0.073789,0.013246,0.028486,-0.030174,45.813671,0.020482
2487,-6.950396,-0.057876,6.775245,-0.073789,0.097172,0.097152,-0.031002,45.812565,0.023721
2488,-6.973691,-0.072167,6.762813,-0.119566,0.043764,0.074264,-0.033238,45.817215,0.026196
2489,-6.982958,-0.071542,6.773514,-0.127196,0.051394,0.059005,-0.035604,45.821514,0.028163
2490,-6.993233,-0.056736,6.771500,-0.119566,0.066653,-0.002033,-0.037610,45.828640,0.028095
2492,-6.972867,-0.069376,6.789037,-0.104307,0.089542,-0.002033,-0.039033,45.828232,0.028027
2493,-6.983157,-0.070581,6.757390,-0.142455,0.066653,0.013227,-0.041592,45.835918,0.028468
2494,-6.965687,-0.063093,6.760935,-0.104307,0.043764,0.020856,-0.042816,45.838173,0.029164
2495,-6.976364,-0.047433,6.776811,-0.058529,0.081913,0.036116,-0.042528,45.840389,0.030367
2496,-6.954630,-0.083776,6.770188,-0.096677,0.051394,0.013227,-0.043463,45.838383,0.030808
2497,-6.985423,-0.067435,6.769873,-0.150085,0.081913,0.059005,-0.046043,45.843876,0.032775
2499,-6.963132,-0.083513,6.796411,-0.111937,0.028505,-0.009662,-0.047285,45.837189,0.032453
2500,-6.962068,-0.062903,6.770494,-0.096677,0.020875,-0.040181,-0.047983,45.835892,0.031114
2501,-6.985908,-0.064846,6.783563,-0.157714,0.066653,0.013227,-0.050578,45.838238,0.031555
2502,-6.965909,-0.053554,6.757830,-0.119566,0.074283,0.013227,-0.051835,45.842064,0.031995
2503,-6.963008,-0.074291,6.771232,-0.134826,0.066653,0.036116,-0.053513,45.841984,0.033199
2504,-6.980886,-0.053427,6.781048,-0.165344,0.081913,0.005597,-0.056073,45.844032,0.033386
2506,-6.977724,-0.040323,6.772539,-0.104307,0.089542,0.043745,-0.056572,45.847385,0.034844
2507,-6.975079,-0.082762,6.777264,-0.096677,0.059023,0.059005,-0.056805,45.847984,0.036811
2508,-6.964433,-0.053125,6.785876,-0.081418,0.074283,0.074264,-0.056543,45.845093,0.039286
2509,-6.958196,-0.038554,6.792873,-0.096677,0.059023,0.028486,-0.056778,45.839123,0.040236
2510,-6.951890,-0.073535,6.771261,-0.104307,0.081913,0.020856,-0.057242,45.837383,0.040931
2511,-6.971531,-0.059468,6.768627,-0.111937,0.051394,0.013227,-0.057924,45.839390,0.041372
2513,-6.966973,-0.062035,6.752564,-0.050900,-0.017272,0.089523,-0.056640,45.841579,0.044356
2514,-6.982744,-0.065887,6.750171,-0.081418,0.043764,0.074264,-0.056386,45.849327,0.046832
2515,-6.963452,-0.078413,6.776653,-0.066159,0.028505,0.051375,-0.055662,45.846611,0.048544
2516,-6.951648,-0.052467,6.777558,-0.119566,0.036135,-0.002033,-0.056665,45.841705,0.048476
2517,-6.953208,-0.068830,6.766423,-0.111937,0.066653,0.066634,-0.057376,45.840652,0.050697
2518,-6.958436,-0.059005,6.787762,-0.142455,0.005616,0.081893,-0.059019,45.834312,0.053427
2520,-6.975639,-0.049081,6.786383,-0.066159,0.013246,0.013227,-0.058163,45.832375,0.053868
2521,-7.007730,-0.069044,6.763251,-0.150085,0.081913,0.104782,-0.060007,45.844128,0.057361
2522,-6.974017,-0.048624,6.775044,-0.111937,0.043764,0.036116,-0.060552,45.844727,0.058565
2523,-7.008860,-0.086668,6.788534,-0.111937,0.051394,0.066634,-0.061069,45.849743,0.060786
2524,-6.953875,-0.059722,6.775256,-0.142455,0.013246,0.059005,-0.062526,45.844887,0.062753
2525,-6.984700,-0.050190,6.760108,-0.066159,-0.017272,0.051375,-0.061495,45.848862,0.064465
2527,-6.955321,-0.070397,6.784337,-0.089048,0.013246,0.059005,-0.061240,45.842411,0.066432
2528,-6.968765,-0.075466,6.778387,-0.073789,0.051394,0.097152,-0.060515,45.841499,0.069670
2529,-6.985044,-0.052947,6.776851,-0.058529,0.036135,0.066634,-0.059343,45.843861,0.071892
2530,-6.956749,-0.065841,6.769356,-0.073789,0.005616,0.036116,-0.058712,45.840885,0.073095
2531,-6.942949,-0.057997,6.759757,-0.134826,0.059023,0.028486,-0.060046,45.838955,0.074045
2532,-6.963875,-0.061765,6.768086,-0.089048,0.020875,0.089523,-0.059863,45.838448,0.077029
2534,-6.956065,-0.037578,6.775564,-0.150085,0.028505,0.013227,-0.061623,45.835060,0.077470
2535,-6.964071,-0.062645,6.749001,-0.089048,0.043764,0.066634,-0.061362,45.839554,0.079691
2536,-6.969051,-0.062324,6.775833,-0.081418,0.051394,0.066634,-0.060872,45.839409,0.081912
2537,-6.969496,-0.062756,6.787771,-0.111937,0.013246,0.051375,-0.061373,45.835636,0.083625
2538,-6.967544,-0.073539,6.786125,-0.050900,0.066653,-0.002033,-0.059916,45.833664,0.083557
2539,-6.981627,-0.049956,6.773244,-0.111937,0.036135,-0.040181,-0.060465,45.836483,0.082218
2541,-6.952011,-0.072468,6.762296,-0.134826,0.020875,0.043745,-0.061711,45.834862,0.083676
2542,-6.992652,-0.052429,6.778607,-0.119566,0.013246,0.043745,-0.062412,45.838017,0.085134
2543,-6.946200,-0.085810,6.786952,-0.066159,-0.009643,0.043745,-0.061386,45.828915,0.086592
2544,-6.981164,-0.065934,6.786577,-0.127196,0.020875,0.013227,-0.062345,45.828548,0.087033
2545,-6.998216,-0.072409,6.769891,-0.035640,0.036135,0.066634,-0.060356,45.835690,0.089254
2546,-6.969640,-0.033602,6.773675,-0.111937,0.081913,0.051375,-0.060883,45.837330,0.090967
2548,-6.979644,-0.057004,6.781098,-0.096677,0.051394,-0.009662,-0.060900,45.838371,0.090645
2549,-6.957699,-0.048506,6.767343,-0.127196,0.005616,0.051375,-0.061883,45.836323,0.092357
2550,-6.960524,-0.075298,6.781994,-0.096677,0.074283,0.051375,-0.061851,45.833984,0.094070
2551,-6.974295,-0.057441,6.787090,-0.134826,0.013246,0.081893,-0.063027,45.831623,0.096799
2552,-6.989181,-0.078098,6.781929,-0.111937,0.005616,0.051375,-0.063421,45.833233,0.098512
2553,-6.950830,-0.063830,6.778302,-0.104307,0.051394,0.059005,-0.063553,45.829132,0.100479
2555,-6.951730,-0.051348,6.772173,-0.127196,0.066653,0.043745,-0.064403,45.827221,0.101937
2556,-6.979845,-0.049896,6.775637,-0.089048,0.051394,0.089523,-0.064003,45.829975,0.104921
2557,-6.986416,-0.075819,6.771170,-0.119566,0.074283,0.066634,-0.064589,45.835556,0.107142
2558,-6.979631,-0.056986,6.782291,-0.142455,0.066653,0.013227,-0.065870,45.836914,0.107583
2559,-6.948477,-0.061322,6.783649,-0.089048,0.051394,0.051375,-0.065397,45.831020,0.109295
2560,-6.960704,-0.067546,6.779508,-0.150085,0.036135,0.036116,-0.066880,45.828320,0.110499
2562,-6.973685,-0.072774,6.762224,-0.134826,0.020875,0.081893,-0.067805,45.831581,0.113229
2563,-6.955670,-0.082384,6.784488,-0.066159,0.036135,0.043745,-0.066510,45.826729,0.114687
2564,-6.971250,-0.045112,6.766655,-0.096677,0.036135,0.104782,-0.066246,45.829166,0.118180
2565,-6.984634,-0.076376,6.772376,-0.081418,0.074283,0.043745,-0.065512,45.834164,0.119638
2566,-6.957977,-0.057323,6.779387,-0.104307,0.036135,0.074264,-0.065539,45.830791,0.122114
2567,-6.951309,-0.065538,6.784886,-0.058529,0.036135,0.066634,-0.064116,45.825039,0.124335
2569,-6.970865,-0.061195,6.772828,-0.119566,-0.017272,0.043745,-0.064696,45.824455,0.125793
2570,-6.981616,-0.047481,6.778584,-0.104307,-0.024902,0.081893,-0.064764,45.824673,0.128523
2571,-6.995619,-0.051907,6.776204,-0.111937,0.020875,0.028486,-0.065071,45.829697,0.129472
2572,-6.978217,-0.069556,6.781859,-0.081418,0.059023,0.043745,-0.064396,45.830883,0.130930
2573,-6.967200,-0.060327,6.787748,-0.119566,0.036135,0.005597,-0.064962,45.827801,0.131117
2574,-6.984877,-0.063790,6.772812,-0.134826,-0.009643,0.036116,-0.065983,45.830196,0.132321
2576,-6.973615,-0.073294,6.767601,-0.089048,0.051394,0.051375,-0.065504,45.833176,0.134033
2577,-6.963077,-0.065774,6.780074,-0.096677,-0.002013,0.028486,-0.065290,45.829529,0.134983
2578,-6.977453,-0.055332,6.770344,-0.066159,0.051394,0.036116,-0.064121,45.832787,0.136187
2579,-6.947508,-0.089701,6.767901,-0.073789,0.081913,0.066634,-0.063251,45.831131,0.138408
2580,-6.987470,-0.044481,6.784492,-0.066159,0.036135,0.051375,-0.062184,45.832909,0.140120
2581,-6.962283,-0.056429,6.762653,-0.096677,0.020875,0.043745,-0.062136,45.833538,0.141579
2583,-6.926358,-0.056894,6.778300,-0.089048,0.036135,0.120041,-0.061849,45.823906,0.145580
2584,-6.967359,-0.062387,6.769872,-0.089048,-0.009643,0.051375,-0.061577,45.823528,0.147292
2585,-6.972708,-0.058877,6.769212,-0.073789,0.013246,0.005597,-0.060834,45.825138,0.147479
2586,-6.980699,-0.071623,6.765765,-0.073789,0.074283,0.066634,-0.060129,45.830940,0.149700
2587,-6.972915,-0.066981,6.789006,-0.104307,0.059023,0.059005,-0.060426,45.829475,0.151667
2588,-6.950199,-0.070524,6.770632,-0.066159,0.020875,0.074264,-0.059500,45.826073,0.154142
2590,-6.944092,-0.053055,6.771029,-0.142455,0.051394,0.066634,-0.061036,45.822498,0.156364
2591,-6.955651,-0.062847,6.768129,-0.111937,0.005616,0.081893,-0.061529,45.820633,0.159093
2592,-6.941915,-0.067837,6.782561,-0.119566,-0.002013,0.059005,-0.062238,45.812729,0.161060
2593,-6.981804,-0.066629,6.780616,-0.119566,0.051394,0.089523,-0.062913,45.815529,0.164044
2594,-6.954351,-0.067578,6.771177,-0.089048,0.081913,0.066634,-0.062587,45.815506,0.166265
2595,-6.963099,-0.037069,6.776129,-0.096677,0.051394,0.043745,-0.062519,45.815319,0.167724
2597,-6.971122,-0.049243,6.770885,-0.119566,0.104801,0.081893,-0.063179,45.819576,0.170453
2598,-6.978497,-0.052716,6.786419,-0.142455,0.013246,0.036116,-0.064532,45.818947,0.171657
2599,-6.951743,-0.070876,6.789130,-0.104307,0.036135,0.013227,-0.064608,45.812965,0.172098
2600,-6.945294,-0.059263,6.757378,-0.066159,0.066653,0.059005,-0.063473,45.813656,0.174065
2601,-6.943349,-0.052220,6.786536,-0.073789,0.043764,-0.032551,-0.062636,45.807034,0.172980
2602,-6.962736,-0.058102,6.771624,-0.104307,0.074283,0.005597,-0.062807,45.808838,0.173166
2604,-6.955764,-0.095426,6.753027,-0.127196,0.081913,0.059005,-0.063694,45.813210,0.175133
2605,-6.980591,-0.065327,6.786572,-0.104307,0.036135,-0.017292,-0.063813,45.813995,0.174557
2606,-6.968028,-0.085093,6.774931,-0.089048,0.028505,0.013227,-0.063442,45.814335,0.174998
2607,-6.961539,-0.084941,6.779130,-0.119566,0.066653,0.028486,-0.064056,45.813641,0.175947
2608,-6.972079,-0.052660,6.784053,-0.104307,0.020875,0.066634,-0.064156,45.812729,0.178168
2609,-6.973812,-0.060646,6.772214,-0.134826,0.043764,0.005597,-0.065218,45.815430,0.178355
2611,-6.975667,-0.049732,6.782810,-0.104307,0.036135,-0.002033,-0.065260,45.815918,0.178287
2612,-6.975239,-0.059165,6.751902,-0.119566,0.020875,0.066634,-0.065783,45.822330,0.180508
2613,-7.002103,-0.056357,6.764899,-0.058529,-0.024902,0.020856,-0.064348,45.829727,0.181204
2614,-6.986491,-0.081456,6.754532,-0.043270,0.036135,0.066634,-0.062501,45.837639,0.183425
2615,-6.977456,-0.065621,6.804487,-0.081418,0.066653,0.112412,-0.061954,45.833752,0.187172
2616,-6.974687,-0.068256,6.785436,-0.081418,0.005616,0.051375,-0.061434,45.831566,0.188884
2618,-6.983668,-0.064953,6.774024,-0.104307,0.005616,0.081893,-0.061666,45.833752,0.191614
2619,-6.961629,-0.085064,6.770777,-0.058529,0.051394,0.097152,-0.060436,45.833389,0.194852
2620,-6.977341,-0.065020,6.763306,-0.073789,0.074283,0.074264,-0.059751,45.838627,0.197328
2621,-6.954725,-0.059474,6.751977,-0.081418,0.059023,0.074264,-0.059341,45.840881,0.199803
2622,-6.957636,-0.042271,6.783971,-0.104307,0.013246,0.074264,-0.059677,45.835430,0.202279
2623,-6.980794,-0.059451,6.778738,-0.089048,0.028505,0.074264,-0.059513,45.836571,0.204754
2624,-6.971804,-0.068893,6.780083,-0.073789,0.005616,0.081893,-0.058874,45.834782,0.207484
2625,-6.985131,-0.050604,6.773241,-0.111937,0.074283,0.059005,-0.059475,45.839470,0.209451
2626,-6.968770,-0.078548,6.772459,-0.150085,0.036135,0.059005,-0.061254,45.839470,0.211418
2627,-7.012541,-0.055133,6.776782,-0.127196,0.081913,0.005597,-0.062219,45.849018,0.211604
2628,-6.931827,-0.058465,6.758012,-0.127196,0.043764,0.066634,-0.063136,45.844269,0.213825
2629,-6.978616,-0.084687,6.771906,-0.043270,0.074283,0.043745,-0.061350,45.847355,0.215284
2630,-6.958026,-0.039724,6.753505,-0.127196,0.051394,-0.009662,-0.062310,45.849316,0.214962
2631,-6.975570,-0.060671,6.772208,-0.066159,0.028505,0.043745,-0.061290,45.850067,0.216420
2632,-6.987396,-0.064676,6.755509,-0.104307,0.051394,0.074264,-0.061528,45.857456,0.218895
2633,-6.963050,-0.056683,6.745945,-0.089048,0.081913,0.089523,-0.061272,45.862492,0.221879
2634,-6.974028,-0.066918,6.794372,-0.119566,0.036135,0.059005,-0.061994,45.857819,0.223846
2635,-6.970772,-0.036639,6.771920,-0.111937,0.028505,0.013227,-0.062439,45.857258,0.224287
2636,-6.965016,-0.058664,6.776397,-0.050900,0.074283,0.097152,-0.060929,45.856014,0.227525
2637,-6.964252,-0.067640,6.776514,-0.104307,0.013246,0.074264,-0.061186,45.852699,0.230001
2638,-7.011609,-0.036990,6.787296,-0.104307,0.066653,0.059005,-0.061429,45.858715,0.231968
2639,-6.956263,-0.056127,6.777589,-0.058529,0.051394,0.043745,-0.060211,45.854626,0.233426
2640,-6.990092,-0.072398,6.762758,-0.073789,0.066653,0.043745,-0.059537,45.861271,0.234884
2641,-6.954163,-0.077778,6.770113,-0.096677,0.081913,0.043745,-0.059622,45.859123,0.236342
2642,-6.992540,-0.062118,6.771571,-0.096677,0.051394,0.043745,-0.059702,45.863724,0.237800
2643,-6.968894,-0.071951,6.772972,-0.089048,0.028505,0.066634,-0.059537,45.862198,0.240022
2644,-6.943277,-0.066267,6.768216,-0.119566,0.028505,0.104782,-0.060347,45.856495,0.243514
2645,-6.976132,-0.062494,6.771036,-0.066159,0.028505,0.028486,-0.059424,45.857246,0.244464
2646,-6.966946,-0.046623,6.782204,-0.020381,0.005616,0.028486,-0.057098,45.853016,0.245413
2647,-6.961984,-0.070169,6.765215,-0.119566,0.051394,0.028486,-0.058030,45.852978,0.246363
2648,-6.953101,-0.043024,6.769079,-0.111937,0.074283,0.043745,-0.058673,45.851067,0.247821
2649,-6.973084,-0.060445,6.785342,-0.134826,0.074283,0.013227,-0.060009,45.849895,0.248262
2650,-6.956537,-0.054038,6.756676,-0.119566,0.013246,0.020856,-0.060795,45.849522,0.248957
2651,-6.980109,-0.065459,6.777027,-0.028011,0.051394,0.036116,-0.058642,45.850895,0.250161
2652,-6.950844,-0.036957,6.771994,-0.134826,0.020875,-0.024921,-0.059979,45.846321,0.249330
2653,-6.960312,-0.067185,6.762796,-0.119566,0.051394,0.028486,-0.060767,45.846794,0.250280
2654,-6.952662,-0.061494,6.775879,-0.058529,0.059023,0.005597,-0.059582,45.843155,0.250466
2655,-6.958431,-0.063303,6.780656,-0.089048,0.005616,0.051375,-0.059422,45.838177,0.252179
2656,-6.944162,-0.052535,6.765650,-0.035640,0.028505,0.043745,-0.057580,45.834427,0.253637
2657,-6.957711,-0.067417,6.785485,-0.089048,0.036135,0.043745,-0.057521,45.829678,0.255095
2658,-6.949407,-0.055032,6.763874,-0.096677,0.020875,0.066634,-0.057706,45.827560,0.257316
