seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.013735,9.853128,0.028678,0.480797,0.216792,0.132093,89.833237,-0.079868,0.000000
2,0.002306,9.830111,0.054733,0.384362,0.087787,0.085651,89.839317,-0.079981,0.005087
3,-0.000609,9.825680,0.053385,0.230999,-0.018720,0.059902,89.841530,-0.078105,0.006245
4,-0.006449,9.840379,0.048978,-0.186364,-0.138334,0.039580,89.835907,-0.073905,0.003632
5,-0.019446,9.843149,0.088235,-0.762380,-0.245217,0.071803,89.803421,-0.066331,-0.002756
6,-0.022873,9.832653,0.078193,-0.349224,-0.550068,0.394147,89.772881,-0.063769,-0.015990
8,-0.018379,9.835943,0.070675,-0.309733,-0.515800,0.410744,89.753235,-0.068034,-0.033716
9,-0.016340,9.835173,0.071437,-0.275965,-0.448709,0.403181,89.735512,-0.072823,-0.049748
10,-0.005267,9.823509,0.071423,0.035642,-0.318879,0.392915,89.724121,-0.080304,-0.062497
11,0.008512,9.814856,0.029391,0.669110,-0.174118,0.329853,89.740501,-0.090254,-0.070671
12,0.013206,9.817598,0.042365,0.182266,0.101680,-0.030749,89.754593,-0.094336,-0.071861
13,0.010667,9.815189,0.037745,0.105447,0.093919,-0.069590,89.760399,-0.091131,-0.068606
15,0.010002,9.818963,0.030132,0.299761,0.067226,-0.031887,89.769997,-0.087875,-0.065926
16,0.008044,9.814957,0.028418,0.275175,0.034028,-0.027890,89.782303,-0.084876,-0.064241
17,0.012014,9.815372,0.027043,0.053624,0.047671,-0.052066,89.790497,-0.082867,-0.062883
18,0.011292,9.817494,0.016540,0.048914,0.050536,-0.056263,89.797768,-0.080298,-0.061251
19,0.007409,9.847504,0.023876,0.296738,0.102012,-0.058846,89.806404,-0.076607,-0.058714
20,0.008317,9.845643,0.037876,0.034631,0.142944,-0.117428,89.810303,-0.072393,-0.054638
22,0.007797,9.846116,0.040276,-0.010782,0.167776,-0.135717,89.808441,-0.067017,-0.049470
23,0.009871,9.847870,0.035971,0.179963,0.162276,-0.110605,89.810226,-0.062620,-0.043978
24,0.010626,9.843767,0.046117,0.086985,0.177618,-0.127642,89.810516,-0.058792,-0.038323
25,0.012741,9.813076,0.045862,-0.119541,0.139326,-0.133789,89.806084,-0.055416,-0.033050
26,0.019438,9.816847,0.034647,0.113142,0.121475,-0.108740,89.805565,-0.054463,-0.028713
27,0.039789,9.734171,0.008806,0.097626,0.074691,-0.043187,89.816032,-0.061034,-0.025449
29,0.040212,9.732408,-0.010947,0.116564,0.064863,-0.022585,89.831841,-0.068770,-0.023125
30,0.039782,9.736188,-0.018315,0.186537,0.042074,-0.010037,89.850433,-0.076515,-0.021344
31,0.048690,9.740613,-0.025394,0.130241,0.027412,-0.002328,89.870392,-0.086811,-0.020186
32,0.045270,9.730751,-0.028086,-0.061468,0.030941,-0.019963,89.886230,-0.095443,-0.019215
33,0.026234,9.813454,-0.001980,0.008439,0.063872,-0.070965,89.891655,-0.096886,-0.017637
34,0.025585,9.815730,0.024878,0.002259,0.049971,-0.081921,89.889977,-0.097085,-0.015745
36,0.025250,9.812767,0.034641,-0.000767,0.061616,-0.068904,89.885384,-0.097211,-0.013890
37,0.021600,9.813189,0.038068,-0.008122,0.058120,-0.060742,89.879860,-0.096599,-0.011898
38,0.020972,9.819261,0.042502,-0.003428,0.038504,-0.051371,89.873283,-0.096110,-0.010292
39,0.017069,9.821648,0.044837,-0.009219,0.043145,-0.033452,89.866341,-0.094937,-0.008934
40,0.018417,9.822583,0.041846,-0.013345,0.068297,-0.030879,89.860458,-0.094539,-0.007078
41,0.017963,9.823024,0.039547,-0.007004,0.058678,-0.031343,89.855576,-0.094061,-0.004964
43,0.020433,9.824944,0.041034,0.009461,0.058230,-0.028840,89.850868,-0.094358,-0.003017
44,0.023598,9.822206,0.040374,0.010627,0.071080,-0.026418,89.846863,-0.095642,-0.000864
45,0.027648,9.820962,0.034907,0.007327,0.068750,-0.035883,89.844620,-0.097933,0.001464
46,0.024382,9.818257,0.039674,0.021845,0.059117,-0.031755,89.841270,-0.099074,0.003593
47,0.025486,9.820000,0.036195,0.022605,0.054227,-0.039569,89.839348,-0.100421,0.005480
48,0.023705,9.816489,0.038461,0.017436,0.052449,-0.045652,89.836784,-0.100964,0.007255
50,0.021204,9.821349,0.040935,0.019817,0.050729,-0.036775,89.833595,-0.100791,0.008972
51,0.019953,9.823317,0.042716,0.026546,0.050542,-0.037046,89.830193,-0.100397,0.010658
52,0.023108,9.826130,0.037103,0.030104,0.051837,-0.026976,89.828758,-0.101096,0.012362
53,0.021202,9.829154,0.041762,0.030593,0.057517,-0.020188,89.826103,-0.101468,0.014183
54,0.019019,9.832593,0.040148,0.019259,0.051204,-0.023954,89.823891,-0.101232,0.015994
55,0.019438,9.826908,0.041614,0.021579,0.048049,-0.037927,89.821205,-0.100852,0.017646
57,0.016982,9.825736,0.046995,0.010541,0.043522,-0.047015,89.816948,-0.099412,0.019170
58,0.013714,9.828232,0.046690,-0.004564,0.045047,-0.060233,89.812584,-0.096736,0.020643
59,0.014833,9.824304,0.047803,0.000013,0.028811,-0.059734,89.807938,-0.094321,0.021870
