seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.124071,-0.035799,-9.774354,-1.006286,-6.461257,-0.084688,180.000000,0.000000,0.000000
2,-0.028278,0.008066,-9.837838,-1.425915,-8.971404,-0.588244,179.954849,-0.284094,-0.019608
3,0.045072,-0.010432,-9.765568,-0.785027,-5.553331,-0.634022,179.932251,-0.445745,-0.040742
4,0.021608,-0.022855,-9.778142,-0.861323,-6.339183,-1.046021,179.908356,-0.624199,-0.075610
5,0.092580,-0.006784,-9.763494,-0.701101,-7.285256,-4.418317,179.890732,-0.823689,-0.222887
6,-0.096156,0.037804,-9.826034,-0.456953,-6.941924,-23.088015,179.881729,-1.002332,-0.992487
8,-0.186138,-0.000941,-9.814939,-0.189916,-2.669332,-1.793725,179.881622,-0.982421,-1.052278
9,-0.291042,-0.043075,-9.820622,0.153417,1.351481,-12.208166,179.892395,-0.805628,-1.459217
10,-1.504526,-0.382396,-9.887669,0.244973,1.916074,-29.237495,180.016266,-0.272396,-2.433800
11,-0.003703,-0.086334,-9.756841,0.710380,8.927702,-78.585922,180.037949,0.023935,-5.053331
12,1.461283,0.488941,-9.794122,-0.281471,-0.624592,-61.709190,179.884232,-0.420818,-7.110305
13,-0.085395,0.017245,-9.806677,-0.167027,-2.554888,-0.229651,179.884720,-0.480681,-7.117960
15,-0.099505,0.024915,-9.799681,0.191566,0.458815,0.327312,179.896545,-0.442118,-7.107049
16,-0.129277,0.011289,-9.805720,0.183936,2.633259,0.571460,179.907547,-0.336626,-7.088001
17,0.008598,-0.004919,-9.764071,0.382306,4.510148,0.769830,179.924271,-0.176973,-7.062340
18,-0.059453,-0.009823,-9.798495,0.397565,3.854000,0.647756,179.940643,-0.046081,-7.040748
19,-0.067610,0.014800,-9.831001,0.321269,3.182592,0.464645,179.953781,0.057005,-7.025260
20,0.034306,-0.019418,-9.754816,0.367047,3.022370,0.403608,179.967712,0.149863,-7.011806
22,-0.046559,-0.012690,-9.802561,0.344158,2.709555,0.151830,179.980225,0.228173,-7.006745
23,0.004016,-0.027091,-9.812831,0.153417,1.771111,0.113682,179.986069,0.272849,-7.002956
24,0.005228,-0.023415,-9.806890,0.000825,0.474074,0.098423,179.986786,0.274219,-6.999675
25,0.006425,-0.014065,-9.826661,-0.014434,0.558000,0.159460,179.986984,0.278178,-6.994360
26,0.119998,-0.011600,-9.746558,-0.075471,-0.075259,0.434126,179.985245,0.261886,-6.979889
27,-0.128870,-0.019715,-9.848399,-1.311471,-9.719108,6.629384,179.944443,-0.058980,-6.758909
29,-0.453248,0.111915,-9.882809,-0.876582,-5.087924,52.857296,179.919464,-0.085863,-4.996999
30,0.055880,0.010324,-9.792541,-0.311990,0.672445,21.385084,179.913605,-0.060276,-4.284163
31,-0.064759,0.026669,-9.791707,-0.067842,-0.067629,-0.168614,179.915771,-0.059404,-4.289783
32,-0.152031,0.027658,-9.811992,0.290751,0.046815,-0.405133,179.929184,-0.010567,-4.303288
33,-0.127251,0.009900,-9.824195,0.367047,1.816889,-0.183874,179.944351,0.047496,-4.309417
34,-0.092988,0.005424,-9.786329,0.351788,3.029999,-0.038911,179.958267,0.141072,-4.310714
36,-0.065241,0.014846,-9.829793,0.473862,3.800592,0.205237,179.975357,0.254370,-4.303873
37,-0.028613,0.007384,-9.794271,0.672232,5.311258,0.319682,179.997879,0.409841,-4.293217
38,0.042345,-0.026692,-9.772000,0.580677,4.090518,0.067904,180.016373,0.518882,-4.290954
39,0.031263,-0.007554,-9.809846,-0.014434,-0.052370,0.045015,180.015091,0.491280,-4.289453
40,-0.003984,-0.006837,-9.810685,-0.212805,-1.379925,-0.008392,180.007599,0.423018,-4.289733
41,0.004267,-0.011177,-9.782542,0.115269,0.855556,0.045015,180.010864,0.428960,-4.288232
43,-0.024968,-0.005816,-9.801883,-0.044953,-0.250741,0.022126,180.008896,0.399572,-4.287495
44,-0.023496,0.005530,-9.804961,-0.090731,-0.304148,-0.023651,180.005585,0.369962,-4.288283
45,0.001616,0.012452,-9.804261,0.100010,0.664815,0.045015,180.008469,0.372516,-4.286782
46,0.014482,-0.016108,-9.806298,-0.006805,0.069704,0.045015,180.007828,0.356098,-4.285282
47,0.035822,-0.000310,-9.809284,-0.014434,-0.059999,0.052645,180.006973,0.336393,-4.283527
48,-0.003442,-0.000800,-9.806559,0.038973,0.245185,0.037386,180.007858,0.327337,-4.282281
50,0.010908,0.004639,-9.817851,0.061862,0.290963,0.037386,180.009415,0.320184,-4.281035
51,0.010927,-0.016177,-9.808112,-0.029694,-0.029481,0.022126,180.007996,0.303242,-4.280297
52,0.012829,0.002344,-9.811851,-0.014434,0.107852,0.037386,180.007126,0.291495,-4.279051
53,0.004437,0.003704,-9.788646,0.016084,0.168889,0.067904,180.007278,0.282268,-4.276788
54,-0.000924,-0.008533,-9.805875,-0.029694,-0.105777,-0.000762,180.005966,0.264805,-4.276813
55,0.011454,-0.001064,-9.795119,0.054232,0.199408,0.052645,180.007370,0.257880,-4.275058
57,0.008636,-0.010114,-9.798635,0.023714,0.039186,-0.008392,180.007751,0.246226,-4.275338
58,0.015992,-0.004364,-9.775962,0.046603,0.214667,0.045015,180.008835,0.240713,-4.273838
59,0.003288,-0.006967,-9.829731,-0.014434,-0.037111,-0.000762,180.007935,0.227502,-4.273863
60,-0.019349,0.002582,-9.806100,-0.014434,0.046815,-0.008392,180.007065,0.217609,-4.274143
61,0.023020,0.007463,-9.795120,0.031343,0.168889,0.037386,180.007690,0.212077,-4.272897
62,0.031736,-0.010275,-9.787739,0.000825,-0.067629,0.037386,180.007339,0.199332,-4.271651
64,0.027099,0.017798,-9.785641,0.008455,0.069704,0.029756,180.007233,0.191572,-4.270659
65,0.036504,0.002789,-9.800955,0.000825,-0.052370,0.045015,180.006897,0.180335,-4.269158
66,0.034787,-0.009322,-9.811596,0.069492,0.146000,0.045015,180.008759,0.175942,-4.267658
67,0.005173,-0.001411,-9.817237,0.000825,0.001038,0.022126,180.008347,0.167178,-4.266920
68,0.039562,0.002303,-9.794962,-0.006805,0.016297,0.029756,180.007706,0.159335,-4.265928
69,0.025463,-0.014857,-9.813993,0.016084,0.077333,0.014497,180.007828,0.153817,-4.265445
71,0.002895,0.003449,-9.808346,-0.029694,0.130741,0.029756,180.006485,0.150266,-4.264453
72,0.017982,-0.003959,-9.794453,0.023714,-0.021852,0.098423,180.006912,0.142061,-4.261173
73,0.021410,-0.014271,-9.810447,0.016084,0.062075,0.037386,180.007065,0.136924,-4.259927
74,0.006473,0.008986,-9.799422,-0.022064,0.084963,0.060275,180.006012,0.132768,-4.257917
75,0.043296,-0.010839,-9.797800,0.023714,-0.006592,0.090793,180.006470,0.125921,-4.254891
76,0.005078,-0.008368,-9.798675,-0.022064,0.046815,0.022126,180.005447,0.121107,-4.254153
78,0.021363,-0.000369,-9.798043,-0.037323,-0.021852,0.067904,180.003983,0.114360,-4.251890
79,0.018039,-0.027174,-9.785287,0.023714,0.016297,0.052645,180.004532,0.109158,-4.250135
80,0.022398,0.001981,-9.802832,-0.014434,0.008667,0.075534,180.003845,0.103975,-4.247617
81,-0.018182,0.006228,-9.802546,-0.029694,0.016297,0.022126,180.002716,0.099292,-4.246880
82,0.012433,-0.010867,-9.815907,-0.037323,0.046815,0.006867,180.001389,0.095810,-4.246651
83,0.005987,-0.009736,-9.814171,-0.014434,0.001038,0.029756,180.000854,0.091052,-4.245659
85,-0.008010,-0.013129,-9.782009,-0.037323,-0.014222,0.060275,179.999619,0.086049,-4.243649
86,0.015642,-0.014890,-9.805706,0.008455,0.046815,0.045015,179.999893,0.083229,-4.242149
87,0.024521,-0.019569,-9.806796,-0.022064,0.023926,0.052645,179.999207,0.079825,-4.240394
88,0.037535,0.001500,-9.809887,0.016084,0.062075,0.045015,179.999756,0.077800,-4.238894
89,0.012723,0.005304,-9.814264,0.008455,0.016297,-0.016022,180.000031,0.074426,-4.239428
90,-0.003561,0.003363,-9.808389,-0.006805,0.008667,0.029756,179.999817,0.070979,-4.238436
92,0.024030,-0.011033,-9.792557,0.038973,-0.044740,0.037386,180.001053,0.066013,-4.237190
93,0.034177,-0.008739,-9.812201,0.016084,0.054445,0.052645,180.001511,0.064437,-4.235435
94,0.021725,-0.009825,-9.789002,0.008455,-0.006592,0.060275,180.001694,0.061006,-4.233426
95,0.035236,0.015665,-9.823162,0.016084,0.077333,0.045015,180.002121,0.060405,-4.231925
96,0.028553,-0.008053,-9.798521,-0.006805,0.023926,0.083163,180.001801,0.058142,-4.229153
97,0.028196,-0.018210,-9.797236,0.008455,-0.067629,0.052645,180.001968,0.053093,-4.227398
99,0.011034,-0.000963,-9.786172,-0.029694,0.031556,-0.023651,180.000931,0.051438,-4.228187
