seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-1.919785,-0.627982,9.441318,-0.563768,-3.706962,0.716423,-3.805381,11.469079,0.000000
2,-1.930788,-0.518888,9.474253,-0.411175,-2.875332,0.937682,-3.784875,11.379672,0.031256
3,-1.867203,-0.593337,9.529653,-0.022064,-1.700370,1.036867,-3.774468,11.310092,0.065818
4,-2.028612,-0.456464,9.552396,0.306010,-1.074740,0.914793,-3.712845,11.309371,0.096311
5,-1.981457,-0.451226,9.537740,-0.159397,-2.242073,0.457015,-3.667681,11.259076,0.111545
6,-1.903319,-0.482006,9.477077,-0.296731,-1.952147,0.281534,-3.639272,11.201385,0.120930
7,-1.941683,-0.455242,9.557728,-0.228064,-1.440962,1.013978,-3.600880,11.169230,0.154729
8,-1.953293,-0.516366,9.560600,-0.167027,-1.723258,0.983459,-3.580701,11.132730,0.187511
9,-1.936945,-0.586792,9.604913,-0.289101,-2.081851,0.601978,-3.585622,11.079208,0.207577
10,-1.949003,-0.574518,9.443617,-0.502730,-2.135258,2.295755,-3.596330,11.039642,0.284102
11,-1.809200,-0.447716,9.589554,-0.876582,-2.257332,5.744347,-3.577926,10.949813,0.475580
12,-2.021097,-0.448857,9.680660,-2.310952,-3.142369,11.359753,-3.604945,10.891830,0.854239
13,-1.870426,-0.552379,9.054894,-4.019989,-3.142369,17.738121,-3.726542,10.830235,1.445509
14,-2.176468,-0.758170,9.192017,-4.813470,2.335703,30.342266,-3.928400,11.026567,2.456918
15,-1.940645,-0.483210,9.015611,-7.102358,4.655110,44.762260,-4.110285,11.229195,3.948994
16,-2.148059,-0.376166,9.749568,-7.575395,2.640889,56.885738,-4.255136,11.372170,5.845185
17,-1.891760,-0.621647,9.188452,-8.513839,-7.025849,67.956329,-4.505507,11.161473,8.110396
18,-1.774119,-0.207010,9.121564,-7.399913,3.876888,86.557358,-4.579566,11.276352,10.995642
19,-2.062932,-0.122170,9.588476,-8.345987,7.165258,110.171059,-4.614877,11.546483,14.668011
20,-1.884026,0.496426,9.253400,-11.535172,11.743034,118.449203,-4.595870,11.915634,18.616318
21,-2.149273,0.708716,9.045642,-15.121096,13.513107,119.807274,-4.620916,12.414089,22.609894
22,-3.303639,-0.174996,10.408422,-19.248724,18.335032,117.442093,-5.047575,13.254351,26.524632
23,-3.089833,0.107473,9.530703,-24.284279,11.865108,106.188393,-5.564198,13.865437,30.064245
24,-1.744745,0.956448,9.106281,-29.480055,6.623554,106.684319,-5.919729,13.921329,33.620388
25,-2.067421,1.034586,9.701320,-31.707907,7.218665,110.506760,-6.323464,14.052069,37.303947
26,-2.569459,0.950448,9.626007,-32.936279,10.568071,102.831352,-6.768325,14.427938,40.731659
27,-2.677624,0.726342,9.811734,-33.493240,5.196814,96.063873,-7.278840,14.632338,43.933788
28,-2.647163,0.763744,9.503106,-33.485611,-4.393628,89.677879,-7.745533,14.537488,46.923050
29,-2.962133,0.887519,9.049409,-34.195168,0.794518,83.185066,-8.161036,14.737965,49.695885
30,-2.974863,0.520181,9.003179,-33.142277,2.228889,76.730400,-8.637153,14.984466,52.253563
31,-3.563742,0.287503,9.459110,-30.670279,11.788813,68.108925,-9.089474,15.640320,54.523861
32,-3.315597,-0.299751,10.291347,-28.106722,15.443403,62.440109,-9.608464,16.239868,56.605198
33,-2.549125,-0.113202,8.323229,-33.615314,7.645924,61.188850,-10.192527,16.521324,58.644825
34,-3.389865,-1.204704,9.061672,-27.130129,17.655996,62.966553,-10.920661,17.271667,60.743710
35,-3.230972,-0.499329,8.251306,-20.690723,18.548662,41.496780,-11.202986,18.062874,62.126934
36,-3.078572,-0.521972,9.193476,-19.546280,14.039553,35.446487,-11.424279,18.528624,63.308483
37,-3.897446,-1.400422,9.165158,-20.110872,9.461775,37.506485,-11.924285,19.041830,64.558701
38,-3.594813,-1.253702,8.591191,-18.913021,12.933256,33.684040,-12.342108,19.623878,65.681503
39,-3.037936,-0.893895,9.707324,-19.675983,18.418959,32.821896,-12.611137,20.091394,66.775566
40,-3.054712,-1.303140,9.460969,-25.138798,14.024294,39.024780,-13.168767,20.417784,68.076393
41,-3.675198,-1.652629,9.383739,-27.198797,13.963257,42.587818,-13.871038,20.893696,69.495987
42,-3.550480,-1.267124,8.971690,-24.032501,8.584368,38.521225,-14.340468,21.190744,70.780029
43,-3.463493,-1.051360,8.963116,-20.126131,9.835627,38.193153,-14.595279,21.492472,72.053131
44,-3.203256,-1.661069,8.497861,-16.997984,7.806146,35.782188,-14.956790,21.680134,73.245872
45,-3.716182,-1.563926,8.540741,-7.155766,5.448592,27.832119,-14.954384,21.927202,74.173607
46,-4.178946,-1.309268,9.149347,3.182379,-4.477554,21.919157,-14.513075,21.905539,74.904243
47,-4.051509,-1.124053,8.789875,4.868527,-9.291849,21.339306,-13.997624,21.744528,75.615555
48,-3.784310,-0.799862,8.745089,3.609639,-3.081332,24.009676,-13.444736,21.725376,76.415878
49,-4.150362,-0.109377,8.879539,7.386304,0.374889,27.664267,-12.538599,21.903482,77.338020
50,-4.043709,0.160577,7.622939,12.254006,8.363110,24.650564,-11.463287,22.470097,78.159706
51,-4.163983,0.556113,8.026642,13.482377,22.210884,38.673820,-10.265016,23.418081,79.448837
52,-5.770547,-0.842401,8.650710,10.514452,40.109989,64.263588,-9.696901,25.196375,81.590958
53,-6.057530,-0.050612,8.163008,13.802821,37.981323,72.778252,-8.774966,26.968172,84.016899
54,-4.338327,-1.146656,7.513099,23.675558,38.805325,60.929443,-8.020370,28.334539,86.047882
55,-3.510135,3.325127,9.049052,28.688225,36.455399,43.678856,-5.702084,29.072556,87.503845
56,-4.679355,0.692585,9.115720,20.249857,28.909695,53.994110,-4.558493,29.889690,89.303650
57,-4.927815,0.140568,9.444358,15.542377,14.680441,34.782707,-3.838393,30.237675,90.463074
58,-4.413877,1.693766,8.869579,7.256600,-2.280221,11.100346,-2.876119,29.956074,90.833084
59,-4.381948,1.481376,9.279871,4.227638,-13.350811,12.008271,-2.144948,29.285465,91.233360
