seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6682,6.891665,6.985203,0.128531,-0.022758,-0.111282,0.078686,88.945847,-44.608952,0.000000
6683,6.905237,6.972261,0.114042,-0.048213,-0.120527,0.088465,88.954147,-44.617191,-0.005354
6684,6.908142,6.957912,0.120856,-0.043594,-0.107432,0.075892,88.958748,-44.628502,-0.010619
6685,6.909021,6.959023,0.124685,-0.039158,-0.111287,0.067345,88.961555,-44.638847,-0.015678
6686,6.907555,6.953561,0.121537,-0.046658,-0.105416,0.069323,88.965401,-44.649403,-0.020692
6687,6.908923,6.952868,0.118671,-0.049556,-0.106387,0.059671,88.969994,-44.659744,-0.025595
6689,6.911239,6.957520,0.128344,-0.039076,-0.094044,0.044432,88.970360,-44.668659,-0.030243
6690,6.909940,6.968873,0.124078,-0.046650,-0.086533,0.042975,88.972282,-44.674271,-0.034434
6691,6.907536,6.972644,0.120772,-0.053976,-0.077793,0.040090,88.975006,-44.678265,-0.038246
6692,6.911250,6.981212,0.120820,-0.044827,-0.079670,0.034348,88.977562,-44.680935,-0.041901
6693,6.912144,6.976579,0.121570,-0.040406,-0.069679,0.037650,88.979736,-44.684563,-0.045368
6694,6.904581,6.975803,0.114565,-0.025798,-0.074774,0.046747,88.984894,-44.686817,-0.048714
6696,6.905809,6.976797,0.120008,-0.017573,-0.067895,0.042262,88.987900,-44.689064,-0.052017
6697,6.909968,6.972904,0.118043,-0.014045,-0.059765,0.042353,88.991486,-44.692795,-0.054971
6698,6.907842,6.972677,0.124513,-0.009157,-0.054854,0.039488,88.992165,-44.695873,-0.057620
6699,6.904530,6.978200,0.124320,-0.002953,-0.051580,0.033766,88.992981,-44.696838,-0.060082
6700,6.907736,6.977930,0.126790,-0.017615,-0.045461,0.029707,88.992462,-44.698311,-0.062327
6701,6.904729,6.971461,0.125424,-0.021465,-0.055778,0.031685,88.992256,-44.700386,-0.064672
6703,6.901023,6.972949,0.131740,-0.017810,-0.056901,0.035074,88.989647,-44.701347,-0.067283
6704,6.898745,6.975102,0.129645,-0.027557,-0.047656,0.023593,88.987823,-44.701225,-0.069707
6705,6.901836,6.969335,0.128750,-0.036985,-0.050521,0.019867,88.986015,-44.702694,-0.071988
6706,6.903362,6.971575,0.128773,-0.035773,-0.045913,0.011837,88.984154,-44.703758,-0.074233
6707,6.904196,6.971247,0.129512,-0.024269,-0.039980,0.007021,88.982117,-44.704803,-0.076237
6708,6.905867,6.966599,0.126178,-0.026425,-0.049001,0.000887,88.981720,-44.706936,-0.078318
6710,6.907959,6.960425,0.119963,-0.013752,-0.054774,0.011189,88.984253,-44.710758,-0.080743
6711,6.910225,6.960820,0.120365,-0.011825,-0.051503,0.015250,88.986763,-44.715004,-0.083221
6712,6.908529,6.959757,0.122747,-0.008485,-0.049814,0.019178,88.988159,-44.719021,-0.085580
6713,6.907350,6.957067,0.124057,-0.002304,-0.048181,0.024453,88.989029,-44.723286,-0.087857
6714,6.909902,6.971087,0.124554,-0.000752,-0.040698,0.020700,88.989731,-44.725006,-0.089920
6715,6.908484,6.969261,0.133451,-0.011059,-0.040840,0.015593,88.986473,-44.726543,-0.091814
6717,6.906878,6.971913,0.134139,-0.007744,-0.045404,0.016558,88.983086,-44.727058,-0.093821
6718,6.910797,6.970327,0.129875,-0.003063,-0.040964,0.018967,88.981735,-44.728756,-0.095829
6719,6.912715,6.975448,0.124716,-0.014770,-0.047001,0.027200,88.982521,-44.729904,-0.097870
6720,6.905073,6.963903,0.125688,-0.011334,-0.046936,0.032212,88.982742,-44.731991,-0.100046
6721,6.899194,6.971653,0.118212,-0.000631,-0.033590,0.045915,88.986084,-44.731480,-0.101900
6722,6.901218,6.969618,0.121266,0.009721,-0.028061,0.041458,88.988029,-44.731964,-0.103308
6724,6.895711,6.968702,0.121651,0.004975,-0.034520,0.041575,88.989815,-44.731400,-0.104739
6725,6.896669,6.966872,0.123600,0.016619,-0.030437,0.029880,88.990845,-44.731247,-0.106232
6726,6.901602,6.972217,0.125486,0.029357,-0.023535,0.031853,88.991302,-44.730865,-0.107470
6727,6.908274,6.964906,0.127190,0.032823,-0.030143,0.024905,88.991241,-44.733303,-0.108705
6728,6.910132,6.966243,0.130113,0.025843,-0.024727,0.032944,88.989952,-44.735737,-0.109966
6729,6.907945,6.967372,0.131035,0.016140,-0.019489,0.023008,88.987923,-44.737324,-0.110979
6731,6.906632,6.967344,0.130649,-0.003576,-0.011471,0.016350,88.985489,-44.738300,-0.111688
6732,6.901322,6.972001,0.128494,-0.015266,-0.014046,-0.001896,88.983521,-44.736782,-0.112280
6733,6.902652,6.972251,0.127433,-0.022145,-0.022441,-0.012165,88.981972,-44.735123,-0.113141
6734,6.894500,6.978684,0.121004,-0.024370,-0.020230,-0.019146,88.983147,-44.730286,-0.114153
6735,6.895634,6.974402,0.121396,-0.014716,-0.029898,-0.028850,88.984314,-44.726540,-0.115347
6736,6.899080,6.977488,0.120487,-0.002426,-0.031869,-0.019048,88.986343,-44.723072,-0.116814
6738,6.906734,6.963882,0.118367,-0.000871,-0.033776,-0.000713,88.989319,-44.724613,-0.118360
6739,6.906820,6.969162,0.124021,-0.012650,-0.029717,-0.000690,88.989662,-44.725281,-0.119848
6740,6.908548,6.965356,0.124302,-0.016662,-0.033171,-0.005095,88.989586,-44.726986,-0.121323
6741,6.911438,6.963208,0.125564,-0.011688,-0.029131,0.009831,88.988983,-44.729809,-0.122781
6742,6.905544,6.964609,0.125574,-0.018685,-0.039984,0.009509,88.988487,-44.731213,-0.124392
6743,6.905142,6.967628,0.125560,-0.018072,-0.043101,-0.001134,88.988159,-44.731670,-0.126335
6745,6.901416,6.966115,0.119229,0.000231,-0.031356,0.001855,88.990608,-44.731544,-0.128079
6746,6.906892,6.964966,0.123067,-0.002728,-0.036232,0.010649,88.991478,-44.732967,-0.129657
6747,6.908749,6.969077,0.123333,-0.004115,-0.026189,0.008824,88.992073,-44.733967,-0.131112
6748,6.907708,6.974415,0.123784,-0.006932,-0.016475,0.011487,88.992119,-44.733612,-0.132103
6749,6.906727,6.985332,0.122899,-0.017036,-0.008555,0.027345,88.992119,-44.731121,-0.132674
6750,6.904776,6.982192,0.128414,-0.019429,-0.024509,0.033828,88.989754,-44.729332,-0.133424
6752,6.903683,6.977841,0.125270,-0.012888,-0.013375,0.034195,88.988907,-44.728416,-0.134284
6753,6.898309,6.979232,0.122398,-0.021321,-0.012936,0.036026,88.989075,-44.726189,-0.134872
6754,6.904925,6.978421,0.121555,-0.011767,-0.019892,0.037796,88.989693,-44.725674,-0.135611
6755,6.902829,6.970607,0.125029,0.000426,-0.025143,0.032130,88.989334,-44.726284,-0.136638
6756,6.903217,6.969329,0.124316,-0.001064,-0.009560,0.029600,88.989288,-44.727077,-0.137426
6757,6.900571,6.969168,0.125112,-0.001029,-0.012198,0.031582,88.988693,-44.727299,-0.137911
6759,6.903163,6.969818,0.127689,-0.000995,-0.011798,0.033498,88.987106,-44.727966,-0.138447
