seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
2814,0.271136,-0.204875,9.725072,-1.700582,1.336222,-0.069429,-1.206854,-1.596644,0.000000
2815,0.195091,-0.168776,9.777942,-1.482481,0.318322,0.014022,-1.242900,-1.563874,0.000467
2816,0.269242,-0.263006,9.717240,-0.563099,-0.894972,0.057839,-1.276106,-1.593349,0.002395
2817,0.314426,-0.179380,9.808656,1.455206,-1.094396,-0.180202,-1.218604,-1.640124,-0.003611
2818,-0.061764,-0.035859,9.776229,-0.120058,-0.682162,0.069230,-1.161476,-1.579720,-0.001304
2819,-0.037272,0.018302,9.827205,-0.057086,-1.523201,-0.006835,-1.105210,-1.548968,-0.001532
2821,-0.383011,-0.079428,9.841947,-0.143768,-0.705796,-0.065647,-1.054502,-1.382443,-0.003720
2822,0.820825,0.004803,9.692140,-0.124296,-2.977682,0.098855,-1.005713,-1.649655,-0.000425
2823,0.239248,-0.031220,9.778757,-0.017481,3.942390,0.144632,-0.955981,-1.512406,0.004396
2824,-0.014822,-0.057271,9.783893,-0.039047,0.831827,-0.000320,-0.909418,-1.410444,0.004386
2825,-0.070838,0.014971,9.785845,-0.052525,0.369166,0.014450,-0.865610,-1.328232,0.004867
2826,-0.095702,-0.019285,9.799722,-0.028665,0.379202,-0.000783,-0.823238,-1.249812,0.004841
2827,-0.046546,-0.057341,9.813519,-0.020346,0.278216,0.043519,-0.782720,-1.178511,0.006292
2828,-0.059591,-0.006855,9.798651,-0.041818,0.320750,0.005195,-0.744908,-1.109429,0.006465
2829,-0.058318,-0.017075,9.792786,-0.099483,0.288098,-0.031872,-0.710813,-1.044834,0.005403
2830,-0.065265,-0.029833,9.783907,-0.096221,0.167959,0.020829,-0.678320,-0.987274,0.006097
2831,-0.048051,-0.007434,9.787395,-0.070928,0.251007,0.005387,-0.646650,-0.929962,0.006277
2832,-0.062792,-0.016993,9.804690,-0.068603,0.250157,0.027349,-0.616490,-0.875542,0.007188
2833,-0.051489,-0.049085,9.809233,-0.058974,0.234577,0.004314,-0.587533,-0.824336,0.007332
2834,-0.087574,-0.034987,9.777842,-0.049662,0.219507,-0.047484,-0.559729,-0.776169,0.005749
2835,-0.060583,-0.024324,9.789257,-0.092310,0.204931,0.020489,-0.534665,-0.730871,0.006432
2836,-0.044474,-0.054841,9.769954,-0.052386,0.153936,-0.039220,-0.509591,-0.689452,0.005125
2837,-0.046502,-0.062765,9.809990,-0.043290,0.193166,-0.001036,-0.485482,-0.648863,0.005090
2838,-0.083004,-0.001452,9.776369,-0.019732,0.120418,-0.030520,-0.461833,-0.612607,0.004073
2839,-0.111155,-0.047114,9.790328,-0.026464,0.123851,-0.000001,-0.439579,-0.578054,0.004073
2840,-0.073623,-0.036930,9.800028,0.003921,0.223102,-0.036900,-0.417476,-0.542087,0.002843
2841,-0.049809,-0.025861,9.798888,-0.047864,0.097716,0.030726,-0.398118,-0.511888,0.003867
2842,-0.042038,-0.035965,9.795452,-0.009397,0.190446,0.044477,-0.378510,-0.480263,0.005350
2843,-0.069401,-0.026877,9.785643,-0.031228,0.110408,-0.023396,-0.360573,-0.452753,0.004570
2844,-0.057747,-0.009806,9.799883,-0.008065,0.106788,0.036407,-0.342800,-0.426734,0.005783
2845,-0.070969,-0.024350,9.798736,-0.059458,0.103287,-0.045961,-0.327543,-0.402127,0.004251
2846,-0.040412,-0.056254,9.797441,-0.057509,0.129420,0.007202,-0.312987,-0.377922,0.004492
2847,-0.058357,-0.018920,9.788625,-0.070382,0.132556,0.043863,-0.299566,-0.354828,0.005954
2848,-0.084524,-0.013056,9.808090,-0.104972,0.150349,0.005528,-0.287912,-0.332326,0.006138
2849,-0.055174,-0.064389,9.783693,-0.108909,0.012589,-0.002032,-0.276965,-0.315311,0.006070
2850,-0.030698,-0.018115,9.825197,-0.090580,0.019556,0.027552,-0.265985,-0.298926,0.006989
2851,-0.022192,-0.067123,9.818543,-0.035955,0.129607,-0.002869,-0.253824,-0.279875,0.006893
2852,-0.050140,-0.042061,9.794859,-0.049535,0.206532,-0.047052,-0.242702,-0.259342,0.005325
2853,-0.063298,0.002670,9.799134,-0.011013,0.155484,-0.075028,-0.230916,-0.241451,0.002824
