seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-1.014384,-0.864722,9.742402,1.107121,0.878445,1.219978,-5.072204,5.921134,0.000000
2,-1.051755,-0.826857,9.699445,1.343639,-0.845851,2.135533,-5.019673,5.906616,0.071184
3,-1.019883,-0.946970,9.672116,0.794306,-1.410444,1.654867,-5.023128,5.866167,0.126347
4,-0.845598,-0.904559,9.623344,0.222084,-2.005555,1.242867,-5.033430,5.759336,0.167776
5,-1.021743,-0.929631,9.874818,-0.060212,-0.281259,2.867977,-5.052568,5.756539,0.263375
6,-1.041490,-0.969007,9.653681,-0.044953,-1.753777,1.807459,-5.087962,5.719526,0.323623
7,-0.889976,-0.963947,9.507248,-0.510360,-1.570666,0.395978,-5.139199,5.649850,0.336823
8,-0.979823,-0.990792,9.663833,-0.846064,0.123111,0.807978,-5.201723,5.659230,0.363755
9,-1.034733,-0.934406,9.739328,-0.579027,-0.037111,1.479385,-5.233986,5.676943,0.413068
10,-0.994856,-1.047574,9.834311,-0.815545,-1.120518,0.365460,-5.302130,5.644824,0.425250
11,-0.821431,-0.924531,9.827752,-1.334360,-2.394665,-1.602984,-5.347989,5.524598,0.371817
12,-0.301925,-0.638621,9.801679,-3.646137,1.015778,1.433607,-5.382439,5.368565,0.419604
13,-0.423149,-0.284568,9.384129,-3.524063,2.228889,12.633901,-5.311759,5.299750,0.840734
14,-0.252715,-0.644317,9.318146,-1.959989,8.347849,24.528490,-5.306013,5.376603,1.658351
15,-1.108751,0.131791,10.210557,-0.075471,4.792444,31.311228,-5.043102,5.569377,2.702058
16,-0.985446,0.472804,9.579329,-3.363841,-2.699851,48.607594,-4.756187,5.498732,4.322311
17,-0.914484,-0.946205,10.321989,-6.308877,-7.788812,61.608479,-4.980039,5.229246,6.375927
18,-0.844802,-1.534408,8.660733,-11.046875,-22.925993,75.265511,-5.583192,4.516110,8.884778
19,-3.055096,-0.498141,8.053753,-8.399394,0.458815,78.576767,-5.746981,5.341704,11.504004
