seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
6750,6.905532,6.969598,0.124398,-0.036458,-0.101425,0.046150,88.977478,-44.730888,-88.547249,0.658517,0.274518,-0.646762,-0.269618
6752,6.903683,6.977841,0.125270,-0.043070,-0.101138,0.071274,88.979462,-44.732906,-88.551949,0.658506,0.274492,-0.646783,-0.269622
6753,6.898309,6.979232,0.122398,-0.052224,-0.101139,0.074288,88.981178,-44.735394,-88.556641,0.658497,0.274461,-0.646804,-0.269625
6754,6.904925,6.978421,0.121555,-0.043062,-0.108774,0.077302,88.983002,-44.737972,-88.561493,0.658487,0.274429,-0.646827,-0.269628
6755,6.902829,6.970607,0.125029,-0.030853,-0.114878,0.072702,88.985420,-44.740536,-88.566681,0.658474,0.274399,-0.646851,-0.269629
6756,6.903217,6.969329,0.124316,-0.032382,-0.099616,0.071163,88.987877,-44.743004,-88.571671,0.658462,0.274371,-0.646875,-0.269630
6757,6.900571,6.969168,0.125112,-0.032386,-0.102664,0.074199,88.990097,-44.745495,-88.576355,0.658452,0.274344,-0.646898,-0.269630
6759,6.903163,6.969818,0.127689,-0.032395,-0.102654,0.077232,88.992355,-44.748066,-88.581093,0.658441,0.274315,-0.646921,-0.269630
6760,6.898554,6.961608,0.131238,-0.033940,-0.091953,0.060434,88.994423,-44.750420,-88.585609,0.658431,0.274288,-0.646942,-0.269631
6761,6.894258,6.964291,0.127178,-0.047694,-0.082779,0.045156,88.995926,-44.752232,-88.589661,0.658422,0.274264,-0.646960,-0.269636
6762,6.899569,6.970674,0.126657,-0.055336,-0.084292,0.039020,88.996941,-44.753685,-88.593552,0.658413,0.274239,-0.646975,-0.269644
6763,6.900682,6.982471,0.129423,-0.053827,-0.082749,0.022187,88.997871,-44.754761,-88.597450,0.658404,0.274216,-0.646990,-0.269655
6764,6.905511,6.976012,0.124946,-0.049262,-0.084260,0.016034,88.998894,-44.755440,-88.601357,0.658394,0.274196,-0.647003,-0.269668
6766,6.909297,6.977496,0.127060,-0.052325,-0.090353,0.023634,89.000076,-44.756149,-88.605431,0.658383,0.274176,-0.647017,-0.269680
6767,6.914230,6.977178,0.134622,-0.041669,-0.108639,0.038872,89.001793,-44.757252,-88.610077,0.658371,0.274153,-0.647035,-0.269691
6768,6.912101,6.975852,0.133863,-0.038651,-0.123863,0.046487,89.004265,-44.758743,-88.615501,0.658355,0.274129,-0.647058,-0.269700
6769,6.911985,6.962782,0.129672,-0.044783,-0.123834,0.048014,89.006943,-44.760391,-88.621277,0.658339,0.274102,-0.647082,-0.269708
6770,6.904821,6.969226,0.138205,-0.055501,-0.128376,0.041909,89.009407,-44.761959,-88.627159,0.658323,0.274074,-0.647106,-0.269719
6771,6.904274,6.969190,0.134579,-0.060123,-0.128333,0.046465,89.011696,-44.763508,-88.633141,0.658307,0.274045,-0.647129,-0.269732
6773,6.902532,6.967395,0.132382,-0.058633,-0.114564,0.040338,89.013710,-44.765018,-88.638802,0.658292,0.274016,-0.647151,-0.269745
6774,6.905552,6.963742,0.134374,-0.051041,-0.103845,0.040323,89.015465,-44.766434,-88.643906,0.658279,0.273989,-0.647171,-0.269756
6775,6.900502,6.972036,0.135710,-0.044979,-0.105329,0.047928,89.017296,-44.767963,-88.648773,0.658267,0.273963,-0.647191,-0.269765
6776,6.899370,6.971981,0.130989,-0.026705,-0.108343,0.066193,89.019600,-44.769932,-88.653740,0.658254,0.273937,-0.647213,-0.269769
