seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
87,0.043406,0.134700,-9.869648,0.321687,-0.004102,-1.779008,179.218079,-0.251956,-179.996567,-0.002199,-0.000015,0.999974,0.006823
88,0.052753,0.163683,-9.871060,0.020879,0.046921,-0.026371,179.223663,-0.252261,-179.966461,-0.002203,-0.000278,0.999975,0.006774
89,0.049738,0.165022,-9.871119,0.017537,0.051574,-0.035526,179.224289,-0.253888,-179.965408,-0.002218,-0.000287,0.999975,0.006769
90,0.046443,0.165969,-9.876483,0.012651,0.057721,-0.041631,179.224792,-0.255692,-179.964096,-0.002233,-0.000298,0.999975,0.006764
92,0.045664,0.167603,-9.873850,0.030642,0.063846,-0.043158,179.225510,-0.257699,-179.962662,-0.002251,-0.000311,0.999975,0.006758
93,0.043495,0.169532,-9.874978,0.024201,0.071478,-0.043160,179.226410,-0.259935,-179.961197,-0.002271,-0.000323,0.999975,0.006750
94,0.045757,0.166347,-9.870712,0.037598,0.069953,-0.040109,179.227432,-0.262273,-179.959778,-0.002291,-0.000336,0.999975,0.006741
95,0.043682,0.170834,-9.872567,0.025049,0.071475,-0.027904,179.228470,-0.264615,-179.958603,-0.002312,-0.000346,0.999975,0.006732
96,0.045963,0.177177,-9.870612,0.021602,0.071470,-0.017223,179.229248,-0.266987,-179.957825,-0.002332,-0.000352,0.999975,0.006725
97,0.047402,0.178012,-9.871552,0.025747,0.065375,-0.014173,179.230042,-0.269260,-179.957275,-0.002352,-0.000357,0.999975,0.006718
99,0.045836,0.173364,-9.866267,0.029909,0.056223,-0.029434,179.230957,-0.271277,-179.956512,-0.002370,-0.000364,0.999975,0.006710
100,0.047172,0.172687,-9.866844,0.041725,0.057749,-0.035540,179.232147,-0.273162,-179.955399,-0.002386,-0.000373,0.999975,0.006700
101,0.048458,0.169377,-9.861149,0.071868,0.063862,-0.032490,179.234039,-0.275173,-179.954239,-0.002404,-0.000383,0.999975,0.006683
102,0.049957,0.166947,-9.863045,0.065414,0.085245,-0.047751,179.236313,-0.277640,-179.952881,-0.002426,-0.000395,0.999975,0.006663
103,0.047318,0.164587,-9.860557,0.077291,0.088307,-0.052330,179.238693,-0.280511,-179.951172,-0.002451,-0.000410,0.999975,0.006643
104,0.049452,0.167181,-9.861487,0.052541,0.103569,-0.044702,179.240845,-0.283687,-179.949509,-0.002478,-0.000424,0.999975,0.006624
106,0.046616,0.164565,-9.861774,0.065935,0.103564,-0.032496,179.242813,-0.287122,-179.948181,-0.002509,-0.000436,0.999975,0.006607
107,0.045156,0.166513,-9.862166,0.028974,0.102007,-0.032498,179.244385,-0.290533,-179.947052,-0.002538,-0.000445,0.999975,0.006593
108,0.048193,0.167882,-9.857897,0.051504,0.076036,-0.029448,179.245728,-0.293487,-179.945984,-0.002564,-0.000455,0.999975,0.006581
109,0.049474,0.163588,-9.859430,0.038950,0.074497,-0.035554,179.247223,-0.295981,-179.944855,-0.002586,-0.000464,0.999975,0.006568
110,0.049785,0.168010,-9.860399,0.058437,0.066857,-0.027926,179.248840,-0.298323,-179.943771,-0.002607,-0.000474,0.999975,0.006554
111,0.050650,0.170093,-9.864365,0.041270,0.062270,-0.027928,179.250504,-0.300463,-179.942810,-0.002625,-0.000482,0.999975,0.006539
113,0.053584,0.166884,-9.865148,0.080563,0.042438,-0.037086,179.252518,-0.302194,-179.941711,-0.002640,-0.000491,0.999975,0.006522
114,0.048232,0.162772,-9.872587,0.052749,0.051584,-0.032510,179.254745,-0.303745,-179.940521,-0.002654,-0.000502,0.999975,0.006502
115,0.047181,0.174817,-9.878177,0.046257,0.045437,-0.020306,179.256378,-0.305351,-179.939621,-0.002668,-0.000510,0.999975,0.006488
116,0.043606,0.175201,-9.880050,0.070221,0.042316,-0.030991,179.258316,-0.306802,-179.938751,-0.002681,-0.000517,0.999975,0.006471
117,0.043349,0.177286,-9.880903,0.043816,0.049856,-0.043202,179.260208,-0.308322,-179.937500,-0.002694,-0.000528,0.999975,0.006454
118,0.048490,0.179238,-9.881898,0.046380,0.063521,-0.043205,179.261703,-0.310193,-179.936035,-0.002710,-0.000541,0.999976,0.006441
120,0.046369,0.189933,-9.878224,0.068716,0.058885,-0.047786,179.263626,-0.312214,-179.934494,-0.002728,-0.000554,0.999976,0.006425
121,0.044176,0.178061,-9.872333,0.059010,0.063383,-0.058472,179.265732,-0.314228,-179.932693,-0.002746,-0.000570,0.999976,0.006406
122,0.044485,0.172370,-9.871471,0.043282,0.063289,-0.046269,179.267441,-0.316317,-179.930923,-0.002764,-0.000585,0.999976,0.006391
123,0.045079,0.172615,-9.871341,0.059620,0.050990,-0.046272,179.269135,-0.318202,-179.929352,-0.002781,-0.000599,0.999976,0.006376
124,0.042409,0.170963,-9.867409,0.059178,0.038676,-0.034068,179.271118,-0.319679,-179.927994,-0.002794,-0.000611,0.999976,0.006359
125,0.043749,0.167395,-9.865327,0.043498,0.041614,-0.023391,179.272812,-0.321005,-179.927017,-0.002805,-0.000619,0.999976,0.006344
127,0.046141,0.174723,-9.872290,0.075101,0.038463,-0.024921,179.274796,-0.322329,-179.926193,-0.002817,-0.000626,0.999976,0.006327
128,0.048299,0.177190,-9.874787,0.053246,0.041435,-0.026450,179.276932,-0.323650,-179.925323,-0.002828,-0.000634,0.999976,0.006308
129,0.050633,0.175302,-9.868353,0.051222,0.049005,-0.035609,179.278656,-0.325144,-179.924271,-0.002842,-0.000643,0.999976,0.006293
130,0.053382,0.181659,-9.865666,0.052226,0.052020,-0.049346,179.280380,-0.326810,-179.922836,-0.002856,-0.000655,0.999976,0.006278
