seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
69,0.015224,9.816928,0.037260,0.047691,-0.004228,0.009980,89.782547,-0.088852,-179.999664,-0.000549,0.000547,0.705763,0.708447
71,0.026086,9.823714,0.049455,0.002290,0.078855,-0.031327,89.783371,-0.088492,-179.998413,-0.000555,0.000537,0.705769,0.708442
72,0.022939,9.828639,0.046615,-0.003549,0.080403,-0.028114,89.783356,-0.087491,-179.995773,-0.000565,0.000515,0.705768,0.708442
73,0.029945,9.814932,0.048098,-0.009624,0.068123,-0.003976,89.783127,-0.086947,-179.993301,-0.000577,0.000496,0.705767,0.708444
74,0.026390,9.806231,0.045401,-0.003320,0.063570,-0.001752,89.782913,-0.086843,-179.991104,-0.000590,0.000482,0.705766,0.708445
75,0.025564,9.799330,0.042871,0.002539,0.060515,0.000560,89.782890,-0.086815,-179.989029,-0.000602,0.000469,0.705766,0.708445
76,0.019546,9.798535,0.045415,-0.011033,0.048386,-0.024613,89.782745,-0.086407,-179.987213,-0.000611,0.000455,0.705765,0.708446
78,0.022900,9.797906,0.046200,0.000436,0.040721,-0.011522,89.782578,-0.085800,-179.985733,-0.000617,0.000443,0.705764,0.708447
79,0.021975,9.802494,0.039183,0.033279,0.060536,-0.012397,89.783127,-0.085394,-179.984055,-0.000625,0.000430,0.705767,0.708443
80,0.021489,9.813643,0.036980,0.048715,0.046799,-0.018237,89.784500,-0.084877,-179.982269,-0.000632,0.000415,0.705776,0.708435
81,0.022905,9.820676,0.040004,0.033178,0.043745,-0.009285,89.785858,-0.084413,-179.980759,-0.000639,0.000403,0.705784,0.708427
82,0.023580,9.824640,0.039164,0.038035,0.045260,0.002078,89.787048,-0.084287,-179.979279,-0.000647,0.000393,0.705791,0.708419
83,0.028652,9.825988,0.035155,0.062876,0.051292,0.013912,89.788727,-0.084548,-179.977661,-0.000659,0.000385,0.705802,0.708409
85,0.026846,9.825264,0.036450,0.058255,0.049795,0.002470,89.790741,-0.084815,-179.975983,-0.000671,0.000376,0.705814,0.708397
86,0.027744,9.818548,0.039012,0.048167,0.043695,0.003534,89.792519,-0.084909,-179.974426,-0.000681,0.000367,0.705825,0.708386
87,0.029851,9.820810,0.040370,0.044857,0.048259,-0.010167,89.794067,-0.084793,-179.972885,-0.000690,0.000357,0.705835,0.708376
88,0.030371,9.815076,0.034728,0.061999,0.057386,-0.019162,89.795845,-0.084298,-179.971130,-0.000698,0.000343,0.705846,0.708365
89,0.024782,9.810270,0.044881,0.032918,0.046809,-0.039717,89.797432,-0.083310,-179.969391,-0.000702,0.000326,0.705856,0.708355
90,0.022494,9.810696,0.045200,0.020480,0.042255,-0.039769,89.798317,-0.081980,-179.967911,-0.000703,0.000309,0.705861,0.708350
92,0.024354,9.811161,0.040292,0.029765,0.057473,-0.033640,89.799156,-0.080751,-179.966263,-0.000706,0.000291,0.705866,0.708345
93,0.024359,9.809711,0.032823,0.054185,0.049811,-0.022277,89.800537,-0.079813,-179.964478,-0.000711,0.000275,0.705875,0.708336
94,0.026459,9.812730,0.042496,0.023740,0.049829,-0.012602,89.801842,-0.079226,-179.962814,-0.000718,0.000261,0.705883,0.708328
95,0.025845,9.812202,0.035496,0.025191,0.058963,-0.018626,89.802650,-0.078699,-179.960999,-0.000726,0.000246,0.705888,0.708323
96,0.027692,9.813776,0.039021,0.026707,0.054380,-0.014457,89.803520,-0.078141,-179.959122,-0.000734,0.000231,0.705893,0.708318
97,0.030388,9.812008,0.045100,0.009999,0.049800,-0.007758,89.804123,-0.077765,-179.957382,-0.000742,0.000218,0.705897,0.708314
99,0.027368,9.813234,0.045524,0.002322,0.045254,-0.025493,89.804321,-0.077205,-179.955795,-0.000749,0.000205,0.705898,0.708313
100,0.026321,9.816896,0.039592,0.018023,0.037610,-0.025193,89.804665,-0.076356,-179.954422,-0.000752,0.000191,0.705900,0.708311
101,0.027912,9.821824,0.040815,0.017370,0.029968,-0.017060,89.805252,-0.075648,-179.953293,-0.000755,0.000180,0.705904,0.708307
102,0.028736,9.823235,0.040466,0.007403,0.039113,-0.018833,89.805664,-0.075046,-179.952148,-0.000758,0.000169,0.705907,0.708305
103,0.021208,9.821810,0.040211,0.010946,0.045290,-0.045008,89.805977,-0.073977,-179.950745,-0.000760,0.000154,0.705908,0.708303
104,0.021259,9.823811,0.043100,0.008464,0.060558,-0.038201,89.806290,-0.072584,-179.948990,-0.000762,0.000134,0.705910,0.708301
106,0.017108,9.819433,0.044360,0.015212,0.056022,-0.048035,89.806686,-0.071140,-179.947052,-0.000766,0.000114,0.705913,0.708298
107,0.014410,9.813921,0.045649,0.023342,0.066733,-0.053621,89.807320,-0.069439,-179.945007,-0.000768,0.000090,0.705917,0.708294
108,0.015329,9.819621,0.042761,0.037587,0.054502,-0.056207,89.808334,-0.067602,-179.942993,-0.000769,0.000067,0.705923,0.708288
109,0.018015,9.820517,0.046905,0.026482,0.043806,-0.036756,89.809402,-0.066047,-179.941360,-0.000769,0.000047,0.705930,0.708282
110,0.020321,9.820314,0.045140,0.034094,0.033093,-0.018539,89.810410,-0.065121,-179.940079,-0.000772,0.000033,0.705936,0.708275
111,0.022738,9.817924,0.046153,0.015291,0.031546,-0.014021,89.811226,-0.064575,-179.939011,-0.000775,0.000023,0.705941,0.708270
113,0.022267,9.821723,0.041677,0.024891,0.031535,-0.018155,89.811890,-0.064035,-179.937958,-0.000778,0.000014,0.705945,0.708266
114,0.019194,9.814132,0.046217,0.009640,0.031579,-0.013034,89.812469,-0.063512,-179.936905,-0.000781,0.000004,0.705949,0.708263
115,0.018608,9.818274,0.041136,0.019613,0.040723,-0.023630,89.812950,-0.062897,-179.935699,-0.000785,-0.000007,0.705952,0.708260
116,0.015101,9.814003,0.039033,0.028480,0.045327,-0.050298,89.813751,-0.061660,-179.934265,-0.000786,-0.000024,0.705957,0.708255
117,0.016009,9.817513,0.039162,0.039922,0.057524,-0.034820,89.814888,-0.060236,-179.932556,-0.000788,-0.000043,0.705964,0.708248
118,0.017695,9.819220,0.045456,0.008761,0.046844,-0.029172,89.815704,-0.059164,-179.930832,-0.000792,-0.000060,0.705969,0.708243
120,0.021345,9.822035,0.038767,0.027864,0.057469,-0.025598,89.816307,-0.058246,-179.929092,-0.000797,-0.000077,0.705972,0.708239
121,0.020880,9.820516,0.039244,0.021543,0.049844,-0.024917,89.817139,-0.057398,-179.927307,-0.000803,-0.000093,0.705977,0.708234
122,0.018324,9.817945,0.044626,0.006884,0.052934,-0.027319,89.817612,-0.056522,-179.925598,-0.000808,-0.000109,0.705980,0.708231
123,0.018095,9.819206,0.042571,0.017189,0.042248,-0.024472,89.818008,-0.055654,-179.924011,-0.000813,-0.000124,0.705983,0.708229
124,0.014734,9.820879,0.041181,0.017972,0.049904,-0.026195,89.818588,-0.054804,-179.922470,-0.000817,-0.000139,0.705986,0.708225
