seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
2874,0.047173,-0.089431,9.914555,0.009777,-0.131702,-0.076029,-0.516804,-0.272596,0.002459
2876,0.031015,-0.139438,9.917021,-0.160168,-0.025382,-0.084772,-0.519298,-0.275238,-0.000197
2877,0.030694,-0.126632,9.918430,-0.106957,-0.027570,-0.075768,-0.523737,-0.276145,-0.002865
2878,0.035469,-0.132600,9.917326,-0.128421,-0.028599,-0.086492,-0.527647,-0.277106,-0.005561
2879,0.039186,-0.134495,9.919206,-0.119985,-0.034173,-0.081985,-0.531773,-0.278178,-0.008359
2880,0.034431,-0.134720,9.916589,-0.125109,-0.010691,-0.074222,-0.535846,-0.278950,-0.010955
2881,0.033081,-0.126697,9.919317,-0.087887,0.001363,-0.063617,-0.539384,-0.279127,-0.013251
2882,0.024376,-0.132432,9.921824,-0.127276,0.028283,-0.072458,-0.542959,-0.278655,-0.015523
2883,0.027583,-0.122359,9.922340,-0.093600,0.011335,-0.066588,-0.546629,-0.278016,-0.017847
2884,0.028655,-0.121641,9.922117,-0.100594,0.015704,-0.068160,-0.549855,-0.277587,-0.020097
2885,0.025082,-0.127731,9.926526,-0.102894,0.009215,-0.077136,-0.553235,-0.277195,-0.022523
2886,0.030965,-0.126468,9.924581,-0.100926,-0.009346,-0.084951,-0.556619,-0.277223,-0.025224
2887,0.033434,-0.128536,9.921618,-0.088768,-0.016365,-0.068209,-0.559768,-0.277677,-0.027772
2888,0.030230,-0.138381,9.920619,-0.105257,-0.006773,-0.064929,-0.562991,-0.278084,-0.029987
2889,0.030304,-0.141535,9.918579,-0.116217,-0.015820,-0.072516,-0.566671,-0.278483,-0.032274
2890,0.034246,-0.140067,9.918044,-0.110491,-0.017731,-0.071121,-0.570438,-0.279066,-0.034663
2891,0.027684,-0.146910,9.922762,-0.133092,-0.001370,-0.072363,-0.574486,-0.279408,-0.037051
2892,0.028920,-0.142686,9.924341,-0.122212,-0.004598,-0.072458,-0.578729,-0.279532,-0.039463
2893,0.026944,-0.139459,9.925261,-0.121740,-0.003246,-0.073974,-0.582783,-0.279688,-0.041903
2894,0.023867,-0.139074,9.922071,-0.123606,0.007393,-0.064735,-0.586861,-0.279642,-0.044215
2895,0.020936,-0.134133,9.920922,-0.098465,0.014499,-0.061667,-0.590552,-0.279299,-0.046325
2896,0.023756,-0.135613,9.917964,-0.090581,0.003314,-0.066311,-0.593692,-0.279024,-0.048461
2897,0.019980,-0.137563,9.915611,-0.096526,0.021901,-0.081432,-0.596799,-0.278629,-0.050928
2898,0.022950,-0.144487,9.915922,-0.092364,0.016384,-0.082952,-0.599934,-0.278020,-0.053674
2899,0.027673,-0.147195,9.915291,-0.094393,0.002608,-0.083062,-0.603033,-0.277733,-0.056444
2900,0.026936,-0.148587,9.917932,-0.095562,-0.002856,-0.090653,-0.606185,-0.277767,-0.059339
2901,0.027515,-0.150243,9.912523,-0.116135,-0.001342,-0.083018,-0.609699,-0.277868,-0.062233
2902,0.035294,-0.145985,9.917715,-0.100658,-0.034269,-0.072636,-0.613300,-0.278489,-0.064821
2903,0.037506,-0.141288,9.917624,-0.099322,-0.040257,-0.072770,-0.616621,-0.279757,-0.067231
2904,0.032968,-0.132135,9.924268,-0.065101,-0.026352,-0.066651,-0.619350,-0.280892,-0.069542
2905,0.035304,-0.135817,9.923837,-0.092898,-0.020212,-0.052932,-0.621973,-0.281690,-0.071527
2906,0.035511,-0.131116,9.929976,-0.067302,-0.006511,-0.051477,-0.624635,-0.282154,-0.073262
2907,0.026456,-0.132586,9.927526,-0.068964,0.026063,-0.055748,-0.626897,-0.281848,-0.075053
2908,0.026062,-0.129456,9.926787,-0.065108,0.033319,-0.060360,-0.629122,-0.280879,-0.076999
2909,0.028944,-0.132583,9.921063,-0.068832,0.024634,-0.071095,-0.631344,-0.279938,-0.079200
2910,0.027291,-0.126674,9.921864,-0.046212,0.024522,-0.084867,-0.633248,-0.279147,-0.081808
2911,0.024856,-0.124737,9.922538,-0.032138,0.016074,-0.097028,-0.634539,-0.278504,-0.084847
2912,0.028028,-0.129674,9.923571,-0.038209,0.000668,-0.101641,-0.635696,-0.278262,-0.088161
2913,0.023857,-0.138954,9.922673,-0.057010,0.005121,-0.095274,-0.637267,-0.278202,-0.091444
2914,0.019521,-0.139835,9.925007,-0.075682,0.026980,-0.101226,-0.639462,-0.277703,-0.094725
2915,0.029047,-0.141184,9.922411,-0.080340,0.008557,-0.090834,-0.642047,-0.277147,-0.097932
2916,0.027581,-0.144262,9.918897,-0.108162,0.024841,-0.084645,-0.645175,-0.276623,-0.100863
2917,0.028199,-0.150039,9.923381,-0.129462,0.026038,-0.080012,-0.649122,-0.275806,-0.103617
2918,0.033535,-0.143667,9.921173,-0.109458,0.014915,-0.077232,-0.653091,-0.275154,-0.106245
2919,0.031358,-0.142544,9.921372,-0.098352,0.013363,-0.069555,-0.656543,-0.274710,-0.108697
2920,0.023190,-0.143153,9.923154,-0.092433,0.027736,-0.064705,-0.659712,-0.274051,-0.110942
2921,0.027332,-0.146111,9.921428,-0.072229,0.006452,-0.069384,-0.662446,-0.273507,-0.113184
2922,0.028470,-0.142073,9.913125,-0.075037,-0.001601,-0.066431,-0.664889,-0.273452,-0.115448
2923,0.023357,-0.132596,9.917709,-0.043377,0.013342,-0.067917,-0.666852,-0.273283,-0.117689
2924,0.025995,-0.140118,9.916690,-0.065849,0.002752,-0.074006,-0.668661,-0.273042,-0.120058
2925,0.029365,-0.142372,9.917961,-0.071600,-0.003888,-0.086298,-0.670939,-0.273092,-0.122729
2926,0.028632,-0.140992,9.917583,-0.074319,-0.000082,-0.081715,-0.673358,-0.273191,-0.125528
