seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1093,6.935955,-6.833075,-0.307187,-0.596981,0.698446,-0.127082,-92.574051,-45.399178,47.261471
1094,6.953614,-6.840989,-0.361683,-0.460659,0.696645,-0.085896,-92.568291,-45.403770,47.228615
1095,6.942249,-6.883978,-0.334277,-0.273414,1.375516,0.029485,-92.545570,-45.406258,47.179539
1096,6.936577,-6.870641,-0.292330,-0.185191,1.841402,0.022354,-92.498833,-45.407745,47.103176
1097,6.943434,-6.866648,-0.285284,-0.084090,2.240743,0.032408,-92.434341,-45.409763,47.006306
1098,6.947937,-6.862389,-0.157827,0.182178,3.067042,0.019320,-92.343018,-45.412590,46.880363
1100,6.925560,-6.862885,-0.151604,-0.445713,1.513951,0.036690,-92.269966,-45.414726,46.771633
1101,6.920950,-6.824691,-0.186119,-1.655253,1.139053,-0.011798,-92.260124,-45.416058,46.708660
1102,6.917991,-6.819633,-0.219446,-2.053009,0.552674,-0.024818,-92.293396,-45.417805,46.668575
1103,6.909017,-6.813570,-0.226733,-2.148458,-0.205419,-0.029922,-92.357590,-45.418953,46.660389
1104,6.906522,-6.810727,-0.359231,-2.332484,-1.186998,-0.005026,-92.455826,-45.418560,46.693455
1105,6.924387,-6.808769,-0.344449,-1.629653,0.263015,0.000522,-92.537476,-45.417965,46.715378
1107,6.935672,-6.819653,-0.317586,-0.659008,0.143841,-0.003971,-92.568756,-45.418331,46.705742
1108,6.942564,-6.826487,-0.314915,-0.698635,0.092207,0.024081,-92.587379,-45.418167,46.700111
1109,6.944332,-6.833841,-0.322459,-0.982118,0.099483,0.048139,-92.612106,-45.417114,46.695499
1110,6.943101,-6.830613,-0.323453,-1.105129,0.123226,0.052796,-92.643051,-45.415600,46.690109
1111,6.944374,-6.831897,-0.327404,-1.216997,0.110557,0.050903,-92.677711,-45.414055,46.684441
1112,6.937201,-6.833313,-0.327410,-1.081761,0.042176,0.057593,-92.713364,-45.412373,46.680698
1114,6.934462,-6.833149,-0.345899,-1.230246,-0.224502,0.048772,-92.754890,-45.410454,46.684898
1115,6.934763,-6.827797,-0.347111,-1.366631,-0.413601,0.047178,-92.808853,-45.408325,46.699905
1116,6.933555,-6.834177,-0.357122,-1.582507,-0.573881,0.071808,-92.874588,-45.405537,46.723186
1117,6.929308,-6.826664,-0.369508,-1.661497,-0.680135,0.076498,-92.949707,-45.402008,46.752743
1118,6.928142,-6.823468,-0.375080,-1.691627,-0.722117,0.089726,-93.029091,-45.398018,46.785763
1119,6.933556,-6.815511,-0.367407,-1.388629,-0.587964,0.089864,-93.102371,-45.393860,46.816586
1121,6.928956,-6.811829,-0.393530,-1.299934,-0.612743,0.110283,-93.167259,-45.389442,46.844780
1122,6.924128,-6.815260,-0.404818,-1.009508,-0.524685,0.119965,-93.224709,-45.384552,46.871422
1123,6.921688,-6.817887,-0.407628,-0.857581,-0.467722,0.130380,-93.272331,-45.379452,46.894596
1124,6.926153,-6.815453,-0.420809,-0.757564,-0.428045,0.121782,-93.314095,-45.374390,46.915470
1125,6.921773,-6.825970,-0.431230,-0.493066,-0.322534,0.141783,-93.347343,-45.369286,46.932896
1126,6.923304,-6.820605,-0.417596,-0.115758,-0.113115,0.088700,-93.364601,-45.365032,46.942883
1128,6.925232,-6.819358,-0.411055,-0.053989,-0.075000,0.071047,-93.370438,-45.362194,46.947121
1129,6.929467,-6.819414,-0.413750,-0.058177,-0.083233,0.038137,-93.374870,-45.360218,46.950714
1130,6.926672,-6.824939,-0.414030,-0.037231,-0.083071,0.054518,-93.379173,-45.358513,46.954525
1131,6.924600,-6.818660,-0.409381,0.015316,-0.058800,0.047857,-93.381813,-45.356670,46.957737
1132,6.925767,-6.827581,-0.406689,0.030223,-0.073690,0.047975,-93.383202,-45.354942,46.960739
1133,6.925361,-6.830515,-0.408980,0.032265,-0.072067,0.048016,-93.384521,-45.353203,46.964054
1135,6.918666,-6.832846,-0.407891,0.044245,-0.059580,0.052189,-93.385368,-45.351410,46.967037
1136,6.921832,-6.828359,-0.407362,0.015979,-0.059377,0.027788,-93.386261,-45.349953,46.969727
1137,6.920009,-6.824798,-0.409210,-0.065903,-0.093752,0.006616,-93.389656,-45.349243,46.973316
1138,6.921611,-6.822363,-0.414730,-0.143969,-0.114995,-0.003642,-93.396660,-45.348984,46.978249
1139,6.922729,-6.815714,-0.415689,-0.157328,-0.130452,-0.019968,-93.405823,-45.349121,46.984074
1140,6.924658,-6.806840,-0.416878,-0.161753,-0.121346,-0.033327,-93.415443,-45.349758,46.990112
1142,6.925209,-6.808021,-0.420722,-0.156591,-0.123983,-0.049981,-93.424965,-45.350899,46.996040
1143,6.926492,-6.810351,-0.424430,-0.134251,-0.120190,-0.042592,-93.434021,-45.352196,47.001953
1144,6.921594,-6.812532,-0.423429,-0.103854,-0.130320,-0.015021,-93.442261,-45.352905,47.007965
1145,6.924240,-6.815491,-0.421085,-0.066167,-0.107856,0.005955,-93.449120,-45.352821,47.013615
1146,6.927384,-6.818104,-0.420419,-0.039949,-0.118148,0.007971,-93.454674,-45.352367,47.018944
1147,6.926294,-6.815516,-0.413696,-0.025056,-0.113517,0.015238,-93.459625,-45.351738,47.024391
1149,6.927827,-6.813047,-0.414396,0.000337,-0.118122,0.014181,-93.463905,-45.351021,47.029831
1150,6.927824,-6.814317,-0.412827,0.024619,-0.101539,0.010331,-93.467171,-45.350399,47.034996
