seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
6099,-6.950475,6.970869,-0.056601,-0.031266,-0.110473,0.042093,90.465202,44.915131,90.658867,0.650421,0.269965,0.655739,0.272173
6101,-6.949268,6.973403,-0.071009,0.017771,-0.044925,0.045488,90.462395,44.913685,90.655197,0.650433,0.269978,0.655720,0.272176
6102,-6.950685,6.982440,-0.073104,0.042766,-0.030403,0.084470,90.462135,44.911530,90.653404,0.650432,0.269999,0.655711,0.272180
6103,-6.952560,6.976489,-0.070112,0.026255,-0.047161,0.060864,90.461975,44.909119,90.651550,0.650431,0.270023,0.655700,0.272184
6104,-6.951293,6.976478,-0.075030,0.063435,-0.025285,0.060585,90.462257,44.907108,90.649826,0.650430,0.270046,0.655692,0.272184
6105,-6.945127,6.972638,-0.074909,0.052351,-0.014949,0.074337,90.463501,44.904861,90.648857,0.650424,0.270071,0.655688,0.272184
6106,-6.945382,6.964144,-0.073811,0.047577,-0.018495,0.034603,90.464600,44.903049,90.648056,0.650419,0.270092,0.655684,0.272183
6108,-6.942073,6.964346,-0.070618,0.020171,-0.025920,0.041168,90.464989,44.901794,90.647003,0.650417,0.270108,0.655680,0.272182
6109,-6.944502,6.964316,-0.068372,0.009212,-0.041522,0.017552,90.464355,44.900829,90.645401,0.650420,0.270119,0.655672,0.272182
6110,-6.943231,6.964827,-0.065457,-0.000955,-0.047020,0.031548,90.463020,44.900024,90.643318,0.650426,0.270128,0.655662,0.272183
6111,-6.944204,6.962504,-0.062096,0.001209,-0.060187,0.020207,90.461243,44.899181,90.640778,0.650435,0.270137,0.655650,0.272183
6112,-6.945793,6.959716,-0.057177,-0.011992,-0.074999,0.019612,90.458817,44.898529,90.637596,0.650446,0.270145,0.655635,0.272183
6113,-6.951653,6.962950,-0.061388,-0.001137,-0.070402,0.008073,90.456169,44.898090,90.634163,0.650460,0.270152,0.655620,0.272181
6115,-6.948459,6.957771,-0.061680,-0.007562,-0.076903,-0.000569,90.453575,44.897980,90.630692,0.650474,0.270158,0.655605,0.272177
6116,-6.951593,6.952867,-0.055460,-0.036342,-0.107386,-0.041483,90.449783,44.898708,90.626366,0.650495,0.270157,0.655588,0.272170
6117,-6.954027,6.956191,-0.056234,-0.040512,-0.113058,-0.049377,90.444855,44.900253,90.621193,0.650522,0.270150,0.655568,0.272160
6118,-6.956595,6.964143,-0.060637,-0.029294,-0.098668,-0.047120,90.440178,44.901886,90.616226,0.650549,0.270143,0.655549,0.272149
6119,-6.953354,6.959348,-0.056108,-0.043929,-0.105648,-0.041247,90.435585,44.903385,90.611435,0.650575,0.270135,0.655530,0.272140
6120,-6.957143,6.961795,-0.061967,-0.008376,-0.074786,-0.043826,90.431717,44.904831,90.607201,0.650598,0.270129,0.655514,0.272130
6122,-6.956346,6.965067,-0.062201,-0.011664,-0.077939,-0.011965,90.428841,44.905773,90.603607,0.650615,0.270128,0.655501,0.272120
6123,-6.949229,6.968244,-0.060030,-0.007035,-0.085164,0.048123,90.425819,44.905190,90.599762,0.650630,0.270136,0.655483,0.272119
6124,-6.946789,6.975439,-0.053253,-0.036724,-0.111425,0.088678,90.421806,44.902931,90.595123,0.650645,0.270153,0.655458,0.272128
6125,-6.947203,6.969851,-0.052284,-0.018695,-0.110375,0.058700,90.417191,44.900501,90.589882,0.650662,0.270171,0.655429,0.272139
6126,-6.943968,6.975752,-0.049587,-0.032256,-0.108389,0.087743,90.412682,44.898087,90.584694,0.650680,0.270188,0.655400,0.272149
6127,-6.946464,6.977543,-0.052890,-0.004221,-0.085029,0.077814,90.408852,44.895348,90.580124,0.650693,0.270208,0.655374,0.272161
6129,-6.953893,6.976131,-0.051696,-0.010226,-0.080626,0.024914,90.405853,44.893658,90.576225,0.650705,0.270223,0.655354,0.272165
6130,-6.953326,6.967137,-0.057451,0.016817,-0.053933,-0.003800,90.403725,44.893322,90.573059,0.650717,0.270231,0.655340,0.272161
6131,-6.949822,6.972913,-0.056677,0.003860,-0.058983,0.024860,90.402199,44.892986,90.570404,0.650726,0.270240,0.655330,0.272157
6132,-6.949219,6.968355,-0.060874,0.026686,-0.053127,0.020465,90.400841,44.892242,90.567741,0.650734,0.270251,0.655318,0.272154
6133,-6.953202,6.970027,-0.060588,0.020051,-0.049152,0.016258,90.399910,44.891636,90.565323,0.650740,0.270263,0.655309,0.272149
6134,-6.950241,6.968251,-0.056312,-0.012285,-0.061556,0.017480,90.398201,44.891090,90.562721,0.650749,0.270272,0.655298,0.272147
6136,-6.949660,6.968850,-0.055580,-0.014440,-0.063673,0.027868,90.395668,44.890350,90.559761,0.650760,0.270278,0.655283,0.272149
6137,-6.949675,6.972555,-0.058240,0.005338,-0.052998,0.051424,90.393578,44.889050,90.557007,0.650769,0.270290,0.655268,0.272153
6138,-6.952185,6.968921,-0.055144,-0.004717,-0.064718,0.015651,90.391617,44.887939,90.554222,0.650777,0.270301,0.655255,0.272154
6139,-6.947498,6.963974,-0.059507,0.011403,-0.057844,-0.007879,90.389702,44.887825,90.551346,0.650788,0.270307,0.655243,0.272150
6140,-6.946488,6.962580,-0.061775,0.026386,-0.045962,-0.000440,90.388611,44.887978,90.548912,0.650797,0.270314,0.655235,0.272141
6141,-6.945336,6.957364,-0.061743,0.037698,-0.045446,-0.023152,90.388161,44.888382,90.546761,0.650804,0.270321,0.655230,0.272129
6143,-6.950473,6.956218,-0.061834,0.027674,-0.052592,-0.051750,90.387611,44.889633,90.544456,0.650814,0.270324,0.655226,0.272112
6144,-6.951666,6.960414,-0.057888,0.010025,-0.060929,-0.029030,90.386383,44.890999,90.541817,0.650826,0.270325,0.655220,0.272096
6145,-6.954465,6.967031,-0.053012,-0.014229,-0.075834,-0.001355,90.384048,44.891525,90.538597,0.650841,0.270327,0.655208,0.272088
6146,-6.958015,6.964514,-0.053794,-0.009745,-0.086788,-0.035010,90.380943,44.892147,90.534790,0.650859,0.270328,0.655193,0.272081
6147,-6.961715,6.967210,-0.057603,-0.001714,-0.065108,-0.047756,90.378258,44.893547,90.531235,0.650877,0.270325,0.655182,0.272068
6148,-6.961709,6.966167,-0.056998,0.007886,-0.058568,-0.061366,90.376305,44.895363,90.528328,0.650893,0.270320,0.655174,0.272052
6150,-6.961542,6.965337,-0.059524,0.023903,-0.050222,-0.066909,90.375046,44.897518,90.525780,0.650907,0.270315,0.655170,0.272033
6151,-6.959732,6.963863,-0.058885,0.032672,-0.044470,-0.071054,90.374420,44.899826,90.523575,0.650919,0.270311,0.655169,0.272011
6152,-6.956390,6.969888,-0.055343,0.016715,-0.049424,-0.025678,90.373695,44.901451,90.521370,0.650930,0.270310,0.655166,0.271993
6153,-6.952435,6.969731,-0.055150,0.016326,-0.049696,0.002245,90.372604,44.901852,90.519043,0.650939,0.270315,0.655159,0.271984
6154,-6.951097,6.965178,-0.060539,0.036220,-0.023858,-0.006007,90.372269,44.901920,90.517319,0.650944,0.270322,0.655154,0.271976
