seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
69,9.836783,-0.050508,0.003990,0.060954,0.112707,-0.054369,-85.483894,-89.704590,85.483894,0.707248,-0.001816,-0.706961,0.001815
71,9.843313,-0.043031,0.012021,0.015967,0.518815,-0.509340,-83.237213,-89.712646,83.237907,0.707313,-0.001750,-0.706896,0.001765
72,9.843608,-0.039757,0.013345,0.043353,0.498196,-0.606069,-79.210983,-89.728760,79.213188,0.707418,-0.001629,-0.706792,0.001656
73,9.837390,-0.048725,0.012770,0.073844,0.300235,0.120380,-76.064720,-89.734589,76.069237,0.707500,-0.001568,-0.706710,0.001618
74,9.832171,-0.048791,0.017376,0.060551,0.441996,0.199091,-73.821991,-89.725891,73.828644,0.707576,-0.001587,-0.706633,0.001664
75,9.827915,-0.052830,0.017187,0.053562,0.293934,0.397860,-72.025475,-89.714012,72.033371,0.707652,-0.001637,-0.706557,0.001737
76,9.831174,-0.053242,0.016042,0.020677,0.088892,0.316849,-71.568321,-89.700638,71.577904,0.707691,-0.001703,-0.706518,0.001818
78,9.831901,-0.046584,0.017366,0.001717,0.100628,-0.175195,-71.144066,-89.696739,71.153610,0.707710,-0.001715,-0.706498,0.001835
79,9.841153,-0.040814,0.018485,-0.009696,0.128613,-0.538833,-69.690353,-89.706581,69.699615,0.707734,-0.001642,-0.706475,0.001761
80,9.844104,-0.043800,0.016255,0.016454,-0.044221,-0.242210,-68.505043,-89.718147,68.514725,0.707743,-0.001561,-0.706466,0.001681
81,9.843759,-0.045663,0.017097,0.036042,-0.001643,-0.009625,-68.334106,-89.722343,68.344696,0.707738,-0.001530,-0.706471,0.001661
82,9.844502,-0.049129,0.018805,0.066610,0.116003,0.235422,-68.253860,-89.718147,68.265846,0.707750,-0.001543,-0.706459,0.001694
83,9.846035,-0.054117,0.017157,0.100713,-0.003835,0.476986,-68.770592,-89.706581,68.785591,0.707761,-0.001599,-0.706447,0.001785
85,9.840643,-0.060752,0.015145,0.113271,-0.136207,0.750971,-70.524910,-89.689095,70.543510,0.707747,-0.001703,-0.706462,0.001933
86,9.839572,-0.058812,0.012591,0.120799,-0.257119,0.443021,-72.749832,-89.670753,72.772247,0.707706,-0.001801,-0.706502,0.002080
87,9.839047,-0.055216,0.012212,0.110998,-0.210851,0.042532,-74.431503,-89.665451,74.458176,0.707658,-0.001827,-0.706550,0.002154
88,9.835090,-0.061013,0.009622,0.085740,-0.282153,0.303737,-76.031273,-89.661957,76.061066,0.707607,-0.001842,-0.706600,0.002210
89,9.833371,-0.058945,0.010430,0.053176,-0.137769,0.117075,-77.443230,-89.656792,77.475876,0.707564,-0.001871,-0.706643,0.002268
90,9.834101,-0.051826,0.011030,0.040681,-0.043683,-0.377205,-77.782188,-89.661377,77.815880,0.707545,-0.001835,-0.706662,0.002251
92,9.832432,-0.047410,0.014485,0.011757,0.192484,-0.590684,-76.746559,-89.676750,76.781342,0.707561,-0.001730,-0.706647,0.002157
93,9.830454,-0.048864,0.011680,0.004289,0.008877,-0.357836,-75.468422,-89.690987,75.503105,0.707582,-0.001631,-0.706626,0.002061
94,9.832202,-0.048459,0.014844,-0.004226,0.162628,-0.229979,-74.471298,-89.699989,74.505806,0.707600,-0.001571,-0.706609,0.002000
95,9.830174,-0.049774,0.015413,0.018433,0.152120,-0.051741,-73.255135,-89.703262,73.290192,0.707632,-0.001540,-0.706577,0.001972
96,9.828572,-0.055621,0.015879,0.022297,0.127002,0.336550,-72.670998,-89.698036,72.706818,0.707661,-0.001565,-0.706548,0.002006
97,9.831274,-0.056759,0.012436,0.028623,-0.129626,0.346931,-73.297821,-89.686592,73.334267,0.707660,-0.001630,-0.706548,0.002081
99,9.835361,-0.051542,0.014909,0.049842,0.016073,-0.066125,-73.866096,-89.683479,73.904488,0.707649,-0.001651,-0.706559,0.002118
100,9.833671,-0.047985,0.012219,0.067807,-0.118562,-0.315067,-73.841713,-89.690353,73.881615,0.707638,-0.001600,-0.706570,0.002091
101,9.838302,-0.046720,0.014108,0.056289,0.012651,-0.320412,-73.599937,-89.699333,73.641357,0.707628,-0.001522,-0.706581,0.002039
102,9.836662,-0.040584,0.013703,0.052053,0.011325,-0.560770,-72.694656,-89.714691,72.738251,0.707630,-0.001420,-0.706579,0.001959
103,9.837998,-0.041955,0.013851,0.057858,0.014225,-0.334397,-71.673546,-89.728035,71.718910,0.707633,-0.001317,-0.706576,0.001878
104,9.835238,-0.042698,0.014887,0.048682,0.065870,-0.130545,-70.874100,-89.735329,70.921600,0.707642,-0.001258,-0.706568,0.001841
106,9.839053,-0.041114,0.014712,0.045550,0.022085,-0.138614,-70.247025,-89.737556,70.296173,0.707651,-0.001221,-0.706559,0.001823
107,9.837477,-0.049054,0.015424,0.038781,0.047462,0.378257,-70.301498,-89.733856,70.352188,0.707658,-0.001237,-0.706552,0.001857
108,9.839540,-0.050184,0.014740,0.038508,0.001886,0.405104,-71.045944,-89.721634,71.097183,0.707663,-0.001309,-0.706547,0.001945
109,9.836597,-0.049743,0.019025,0.033747,0.248047,0.255889,-70.973747,-89.709930,71.026459,0.707688,-0.001370,-0.706521,0.002021
110,9.836879,-0.050568,0.016862,0.026961,0.084907,0.195261,-70.437630,-89.700638,70.491051,0.707722,-0.001410,-0.706486,0.002073
111,9.835819,-0.053140,0.018054,0.025360,0.114164,0.259566,-70.326530,-89.691620,70.381210,0.707743,-0.001451,-0.706466,0.002125
113,9.834914,-0.044572,0.014162,0.034229,-0.148795,-0.325759,-70.357986,-89.693535,70.413567,0.707739,-0.001438,-0.706469,0.002125
114,9.834531,-0.045260,0.016567,0.048607,-0.001402,-0.279130,-70.157715,-89.704590,70.214615,0.707724,-0.001368,-0.706485,0.002071
115,9.841959,-0.044194,0.015735,0.045373,-0.024081,-0.256095,-69.631821,-89.712646,69.690559,0.707721,-0.001303,-0.706488,0.002026
116,9.842731,-0.040448,0.016705,0.041318,0.028825,-0.397355,-68.831757,-89.723045,68.891510,0.707722,-0.001227,-0.706487,0.001967
117,9.840010,-0.039300,0.021595,0.039481,0.315995,-0.350068,-66.722496,-89.731659,66.783676,0.707758,-0.001142,-0.706452,0.001898
118,9.841405,-0.046825,0.023685,0.026484,0.383029,0.201606,-64.249130,-89.729477,64.311668,0.707830,-0.001120,-0.706380,0.001890
120,9.841884,-0.045082,0.022003,0.016505,0.163932,0.117164,-63.037949,-89.720238,63.101437,0.707886,-0.001149,-0.706323,0.001927
121,9.836759,-0.051032,0.017343,0.027993,-0.202574,0.425741,-63.970024,-89.712646,64.034317,0.707882,-0.001200,-0.706327,0.001987
122,9.839444,-0.054473,0.017399,0.043019,-0.190176,0.531829,-66.438103,-89.700638,66.503059,0.707841,-0.001291,-0.706367,0.002093
123,9.848066,-0.051533,0.015019,0.044884,-0.277909,0.196958,-68.676041,-89.693535,68.742355,0.707793,-0.001356,-0.706416,0.002178
124,9.845006,-0.049016,0.017006,0.041763,-0.082584,-0.053227,-69.880569,-89.693535,69.948967,0.707756,-0.001362,-0.706453,0.002201
125,9.844020,-0.046709,0.016622,0.036134,-0.043249,-0.203519,-69.973892,-89.699333,70.043343,0.707743,-0.001328,-0.706466,0.002183
127,9.843304,-0.050307,0.019991,0.023022,0.178380,0.045864,-69.398796,-89.700638,69.468941,0.707757,-0.001305,-0.706452,0.002173
128,9.842880,-0.055081,0.020838,0.019530,0.194510,0.347142,-68.746803,-89.690987,68.818016,0.707795,-0.001342,-0.706413,0.002218
129,9.835787,-0.053933,0.021188,0.033287,0.164313,0.212550,-68.353386,-89.680405,68.425621,0.707832,-0.001394,-0.706376,0.002280
130,9.837955,-0.053782,0.020263,0.051209,0.056396,0.105242,-68.094460,-89.674339,68.168030,0.707854,-0.001418,-0.706353,0.002322
