seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6750,6.905532,6.969598,0.124398,-0.036458,-0.101425,0.046150,88.977478,-44.730888,-88.547249
6752,6.903683,6.977841,0.125270,-0.049103,-0.093678,-0.011774,88.979263,-44.731514,-88.551804
6753,6.898309,6.979232,0.122398,-0.036036,-0.114679,-0.066010,88.981308,-44.730282,-88.556725
6754,6.904925,6.978421,0.121555,-0.022074,-0.128212,0.001073,88.984375,-44.729279,-88.562454
6755,6.902829,6.970607,0.125029,-0.042924,-0.102434,0.045345,88.987083,-44.730118,-88.567848
6756,6.903217,6.969329,0.124316,-0.041459,-0.090353,0.055897,88.988838,-44.731865,-88.572334
6757,6.900571,6.969168,0.125112,-0.049862,-0.084653,0.034843,88.990173,-44.733433,-88.576393
6759,6.903163,6.969818,0.127689,-0.072497,-0.062454,0.050954,88.990540,-44.734901,-88.579811
6760,6.898554,6.961608,0.131238,-0.105118,-0.021420,0.060474,88.988922,-44.736782,-88.581726
6761,6.894258,6.964291,0.127178,-0.083137,-0.046568,-0.016335,88.986900,-44.737537,-88.583305
6762,6.899569,6.970674,0.126657,-0.083441,-0.055175,-0.032371,88.985817,-44.736752,-88.585716
6763,6.900682,6.982471,0.129423,-0.102009,-0.032212,-0.135269,88.984207,-44.733982,-88.587830
6764,6.905511,6.976012,0.124946,-0.059656,-0.072917,-0.042825,88.983307,-44.731052,-88.590363
6766,6.909297,6.977496,0.127060,-0.079103,-0.063221,-0.010144,88.983253,-44.730209,-88.593582
6767,6.914230,6.977178,0.134622,-0.131085,-0.020249,0.050290,88.981117,-44.730896,-88.595528
6768,6.912101,6.975852,0.133863,-0.119830,-0.043488,0.049753,88.977966,-44.732590,-88.596985
6769,6.911985,6.962782,0.129672,-0.090015,-0.080912,0.154327,88.976456,-44.736019,-88.599808
6770,6.904821,6.969226,0.138205,-0.169032,-0.015637,0.028949,88.973679,-44.739105,-88.601997
6771,6.904274,6.969190,0.134579,-0.140766,-0.047988,0.023064,88.969551,-44.739990,-88.603470
6773,6.902532,6.967395,0.132382,-0.117154,-0.056114,0.015412,88.966965,-44.740662,-88.605888
6774,6.905552,6.963742,0.134374,-0.124005,-0.032046,0.069128,88.964371,-44.742100,-88.607925
6775,6.900502,6.972036,0.135710,-0.125130,-0.024361,-0.036260,88.961136,-44.742657,-88.609230
6776,6.899370,6.971981,0.130989,-0.064427,-0.069241,-0.028118,88.959534,-44.741615,-88.611443
6777,6.897533,6.965665,0.131573,-0.059491,-0.065760,-0.000105,88.959702,-44.741180,-88.614616
6778,6.897548,6.966351,0.129764,-0.038451,-0.077428,-0.003249,88.960426,-44.741165,-88.617973
6780,6.894262,6.976545,0.131610,-0.052969,-0.065602,-0.121935,88.961319,-44.739136,-88.621399
6781,6.894752,6.974469,0.132949,-0.066823,-0.064526,-0.108982,88.961548,-44.735329,-88.624550
6782,6.896186,6.969698,0.129490,-0.051299,-0.096130,-0.062499,88.962288,-44.732517,-88.628403
6783,6.897933,6.978139,0.133240,-0.097136,-0.069522,-0.105616,88.962601,-44.729763,-88.632362
6784,6.901777,6.972715,0.129585,-0.078653,-0.099909,-0.028264,88.962494,-44.727581,-88.636375
6785,6.898416,6.966122,0.127972,-0.073810,-0.105191,-0.002222,88.963348,-44.727139,-88.641205
6787,6.904946,6.965060,0.124960,-0.054410,-0.114841,0.076878,88.964828,-44.728451,-88.646339
6788,6.907182,6.971193,0.130290,-0.091562,-0.066800,0.042427,88.965355,-44.730488,-88.650543
6789,6.905461,6.970891,0.125077,-0.030603,-0.091981,0.020450,88.965927,-44.731579,-88.654251
6790,6.901761,6.975728,0.127650,-0.047220,-0.069670,-0.055229,88.967308,-44.731056,-88.658058
6791,6.902177,6.978772,0.129097,-0.051002,-0.058010,-0.071132,88.967819,-44.728989,-88.661110
6792,6.899517,6.980236,0.129287,-0.045258,-0.064760,-0.093497,88.968300,-44.726284,-88.664062
6794,6.901062,6.976744,0.125225,-0.015628,-0.091880,-0.058827,88.969902,-44.723782,-88.667786
6795,6.902795,6.976864,0.121159,0.013438,-0.130132,-0.037397,88.973572,-44.722256,-88.673050
6796,6.902870,6.977351,0.123931,-0.016226,-0.093089,-0.037652,88.977226,-44.721069,-88.678307
6797,6.906906,6.972648,0.122930,-0.018419,-0.099822,0.027713,88.979828,-44.720951,-88.682831
6798,6.909297,6.970385,0.125629,-0.049873,-0.075403,0.054211,88.981560,-44.722370,-88.686913
6799,6.909195,6.972400,0.130926,-0.102888,-0.030088,0.044692,88.980728,-44.724052,-88.689346
6801,6.907336,6.966672,0.132471,-0.111182,-0.023940,0.073006,88.978020,-44.726028,-88.690559
6802,6.910367,6.961103,0.127116,-0.063340,-0.074067,0.139971,88.976669,-44.729614,-88.692780
6803,6.911781,6.965072,0.124843,-0.044053,-0.088083,0.114948,88.977486,-44.733913,-88.696480
6804,6.909804,6.964079,0.121555,-0.013164,-0.098594,0.098177,88.979553,-44.737511,-88.700768
6805,6.911837,6.966547,0.119417,0.015061,-0.115805,0.087583,88.983070,-44.740677,-88.705719
6806,6.910947,6.964244,0.125311,-0.033120,-0.069713,0.095964,88.985786,-44.743793,-88.710007
