seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
34,0.011406,9.813276,0.033032,0.055441,-0.056705,0.062811,89.807152,-0.066594,-179.999771,-0.000412,0.000410,0.705916,0.708296
36,0.025250,9.812767,0.034641,0.024060,0.039246,-0.055262,89.808159,-0.069415,179.999939,-0.000427,0.000429,0.705922,0.708289
37,0.021600,9.813189,0.038068,0.016379,0.037719,-0.048987,89.807518,-0.072258,-179.998795,-0.000453,0.000439,0.705918,0.708293
38,0.020972,9.819261,0.042502,0.020850,0.019408,-0.041224,89.805267,-0.074312,-179.997833,-0.000471,0.000446,0.705904,0.708307
39,0.017069,9.821648,0.044837,0.014593,0.025512,-0.024345,89.801781,-0.075729,-179.997086,-0.000484,0.000450,0.705882,0.708329
40,0.018417,9.822583,0.041846,0.009874,0.052979,-0.022747,89.798431,-0.076838,-179.995773,-0.000499,0.000449,0.705862,0.708349
41,0.017963,9.823024,0.039547,0.015884,0.045349,-0.024199,89.796364,-0.078038,-179.994141,-0.000517,0.000446,0.705849,0.708362
43,0.020433,9.824944,0.041034,0.032589,0.046874,-0.022586,89.794998,-0.079554,-179.992599,-0.000536,0.000446,0.705841,0.708370
44,0.023598,9.822206,0.040374,0.034031,0.062133,-0.020936,89.793915,-0.082130,-179.990784,-0.000563,0.000451,0.705834,0.708377
45,0.027648,9.820962,0.034907,0.030945,0.062132,-0.031446,89.794052,-0.085825,-179.988708,-0.000598,0.000461,0.705835,0.708376
46,0.024382,9.818257,0.039674,0.046175,0.054503,-0.028225,89.794556,-0.089344,-179.986771,-0.000632,0.000471,0.705838,0.708373
47,0.025486,9.820000,0.036195,0.047661,0.051450,-0.037236,89.795082,-0.092107,-179.985001,-0.000660,0.000477,0.705841,0.708370
48,0.023705,9.816489,0.038461,0.043053,0.051450,-0.044734,89.795746,-0.094255,-179.983292,-0.000684,0.000480,0.705845,0.708366
50,0.021204,9.821349,0.040935,0.046036,0.051450,-0.037009,89.795425,-0.095410,-179.981583,-0.000702,0.000476,0.705843,0.708368
51,0.019953,9.823317,0.042716,0.053567,0.052975,-0.038472,89.794441,-0.095826,-179.979843,-0.000715,0.000468,0.705837,0.708374
52,0.023108,9.826130,0.037103,0.058076,0.056027,-0.029241,89.794449,-0.096687,-179.978027,-0.000731,0.000462,0.705837,0.708374
53,0.021202,9.829154,0.041762,0.059542,0.063656,-0.023056,89.794792,-0.098002,-179.976028,-0.000752,0.000458,0.705839,0.708372
54,0.019019,9.832593,0.040148,0.048777,0.059078,-0.027583,89.794380,-0.098475,-179.973984,-0.000767,0.000449,0.705837,0.708374
55,0.019438,9.826908,0.041614,0.051746,0.057552,-0.042809,89.793854,-0.098217,-179.972046,-0.000778,0.000435,0.705833,0.708377
57,0.016982,9.825736,0.046995,0.040935,0.054501,-0.053470,89.791901,-0.097128,-179.970169,-0.000783,0.000417,0.705821,0.708389
58,0.013714,9.828232,0.046690,0.025509,0.057553,-0.068750,89.788605,-0.094538,-179.968307,-0.000778,0.000389,0.705801,0.708410
59,0.014833,9.824304,0.047803,0.029924,0.042294,-0.070307,89.785141,-0.091374,-179.966644,-0.000769,0.000359,0.705780,0.708431
60,0.011440,9.820499,0.045701,0.034352,0.043821,-0.061193,89.782234,-0.088088,-179.965210,-0.000758,0.000330,0.705762,0.708449
61,0.010975,9.823256,0.041830,0.041885,0.033139,-0.050572,89.780899,-0.084597,-179.963928,-0.000744,0.000301,0.705753,0.708457
62,0.011962,9.819040,0.035590,0.046444,0.036191,-0.050621,89.781883,-0.081610,-179.962784,-0.000733,0.000275,0.705760,0.708451
64,0.011409,9.812304,0.039090,0.047972,0.030088,-0.041503,89.783501,-0.079078,-179.961685,-0.000724,0.000253,0.705770,0.708441
65,0.012774,9.809417,0.038639,0.057103,0.037717,-0.035423,89.784607,-0.077143,-179.960556,-0.000719,0.000234,0.705776,0.708434
66,0.019402,9.803745,0.041906,0.057055,0.040769,-0.046065,89.785217,-0.076839,-179.959259,-0.000725,0.000224,0.705780,0.708431
67,0.015162,9.812301,0.044943,0.041699,0.051450,-0.053635,89.784294,-0.076770,-179.957718,-0.000734,0.000214,0.705774,0.708436
68,0.020031,9.821144,0.047905,0.041560,0.062132,-0.053571,89.781967,-0.076702,-179.955826,-0.000745,0.000202,0.705760,0.708451
69,0.022123,9.822488,0.051193,0.042904,0.068236,-0.059558,89.778549,-0.077889,-179.953659,-0.000766,0.000196,0.705739,0.708472
71,0.026086,9.823714,0.049455,0.035091,0.078917,-0.060926,89.774925,-0.080091,-179.951202,-0.000795,0.000195,0.705717,0.708494
72,0.022939,9.828639,0.046615,0.021216,0.080442,-0.048559,89.772072,-0.082519,-179.948547,-0.000826,0.000193,0.705699,0.708511
73,0.029945,9.814932,0.048098,0.019565,0.068235,-0.045324,89.769440,-0.085808,-179.946075,-0.000862,0.000198,0.705683,0.708528
74,0.026390,9.806231,0.045401,0.017931,0.063656,-0.032916,89.767136,-0.089851,-179.943878,-0.000900,0.000210,0.705668,0.708542
75,0.025564,9.799330,0.042871,0.016339,0.060604,-0.028179,89.765953,-0.093091,-179.941803,-0.000933,0.000217,0.705661,0.708549
76,0.019546,9.798535,0.045415,0.010173,0.048396,-0.035707,89.764763,-0.094712,-179.939987,-0.000954,0.000216,0.705654,0.708556
78,0.022900,9.797906,0.046200,0.023823,0.040766,-0.032579,89.763107,-0.095582,-179.938507,-0.000969,0.000212,0.705643,0.708566
79,0.021975,9.802494,0.039183,0.035997,0.060603,-0.030963,89.763199,-0.096918,-179.936813,-0.000987,0.000210,0.705644,0.708566
80,0.021489,9.813643,0.036980,0.045189,0.046869,-0.035464,89.765511,-0.097850,-179.935028,-0.001004,0.000205,0.705658,0.708552
81,0.022905,9.820676,0.040004,0.039113,0.043817,-0.030806,89.767647,-0.098883,-179.933533,-0.001020,0.000202,0.705672,0.708538
82,0.023580,9.824640,0.039164,0.042171,0.045342,-0.021558,89.769173,-0.100485,-179.932053,-0.001039,0.000203,0.705681,0.708529
83,0.028652,9.825988,0.035155,0.055941,0.051445,-0.024478,89.771797,-0.103218,-179.930435,-0.001066,0.000210,0.705697,0.708513
85,0.026846,9.825264,0.036450,0.055993,0.049919,-0.030431,89.775047,-0.106294,-179.928757,-0.001095,0.000218,0.705717,0.708493
86,0.027744,9.818548,0.039012,0.054483,0.043815,-0.031821,89.777313,-0.108881,-179.927200,-0.001121,0.000225,0.705731,0.708479
87,0.029851,9.820810,0.040370,0.055990,0.048392,-0.051507,89.778633,-0.111516,-179.925659,-0.001146,0.000232,0.705739,0.708471
88,0.030371,9.815076,0.034728,0.057523,0.057546,-0.062025,89.780716,-0.113985,-179.923904,-0.001172,0.000236,0.705752,0.708458
89,0.024782,9.810270,0.044881,0.059019,0.046865,-0.066482,89.781853,-0.115054,-179.922180,-0.001190,0.000232,0.705759,0.708451
90,0.022494,9.810696,0.045200,0.048225,0.042287,-0.060320,89.780685,-0.114504,-179.920685,-0.001196,0.000219,0.705752,0.708458
92,0.024354,9.811161,0.040292,0.043571,0.057546,-0.060265,89.780144,-0.113955,-179.919037,-0.001202,0.000206,0.705749,0.708461
93,0.024359,9.809711,0.032823,0.046639,0.049917,-0.049513,89.782051,-0.113987,-179.917252,-0.001214,0.000195,0.705761,0.708449
94,0.026459,9.812730,0.042496,0.045110,0.049916,-0.046375,89.783508,-0.114676,-179.915588,-0.001228,0.000189,0.705770,0.708440
95,0.025845,9.812202,0.035496,0.026773,0.059071,-0.050857,89.784004,-0.115607,-179.913773,-0.001245,0.000184,0.705773,0.708437
96,0.027692,9.813776,0.039021,0.038977,0.054493,-0.052280,89.785011,-0.116624,-179.911896,-0.001263,0.000178,0.705779,0.708431
97,0.030388,9.812008,0.045100,0.040427,0.049915,-0.053672,89.784325,-0.118415,-179.910156,-0.001285,0.000179,0.705775,0.708435
99,0.027368,9.813234,0.045524,0.034200,0.045337,-0.062701,89.782280,-0.119876,-179.908569,-0.001304,0.000178,0.705762,0.708448
100,0.026321,9.816896,0.039592,0.032595,0.037707,-0.059555,89.781281,-0.120337,-179.907181,-0.001315,0.000172,0.705756,0.708454
101,0.027912,9.821824,0.040815,0.035606,0.030076,-0.056408,89.781326,-0.120941,-179.906067,-0.001326,0.000169,0.705756,0.708454
102,0.028736,9.823235,0.040466,0.024879,0.039232,-0.060874,89.781105,-0.121953,-179.904907,-0.001339,0.000168,0.705755,0.708455
103,0.021208,9.821810,0.040211,0.027890,0.045336,-0.065392,89.780884,-0.121458,-179.903503,-0.001345,0.000157,0.705753,0.708456
104,0.021259,9.823811,0.043100,0.033933,0.060595,-0.059282,89.780319,-0.119516,-179.901749,-0.001344,0.000134,0.705750,0.708460
106,0.017108,9.819433,0.044360,0.044525,0.056017,-0.057778,89.779236,-0.116986,-179.899811,-0.001340,0.000106,0.705743,0.708467
107,0.014410,9.813921,0.045649,0.056627,0.066700,-0.056318,89.778084,-0.113325,-179.897766,-0.001330,0.000071,0.705736,0.708474
