seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
6064,-6.949678,6.970920,-0.055531,-0.029379,-0.116297,0.039092,90.456421,44.911671,90.646454,0.650463,0.270006,0.655681,0.272172
6066,-6.950528,6.979657,-0.055861,-0.050700,-0.091984,0.057568,90.451637,44.909683,90.641563,0.650481,0.270018,0.655653,0.272183
6067,-6.953019,6.984048,-0.053626,-0.043071,-0.084355,0.057598,90.447029,44.906910,90.637306,0.650495,0.270032,0.655626,0.272201
6068,-6.951545,6.990013,-0.053612,-0.043075,-0.082833,0.054589,90.442558,44.903763,90.633186,0.650508,0.270048,0.655598,0.272221
6069,-6.947384,6.983053,-0.061234,-0.032382,-0.105711,0.048535,90.438812,44.900600,90.629196,0.650518,0.270068,0.655573,0.272238
6070,-6.952426,6.982500,-0.060119,-0.029306,-0.098057,0.039411,90.435814,44.898193,90.625389,0.650529,0.270086,0.655551,0.272247
6071,-6.953138,6.977568,-0.064219,-0.033853,-0.108708,0.034843,90.433144,44.896671,90.621796,0.650540,0.270100,0.655533,0.272251
6073,-6.954991,6.972416,-0.063639,-0.030707,-0.105563,0.039370,90.434128,44.896988,90.620720,0.650541,0.270110,0.655533,0.272237
6074,-6.954257,6.968608,-0.060845,-0.030577,-0.110012,0.048402,90.437309,44.899220,90.621124,0.650538,0.270113,0.655547,0.272209
6075,-6.955791,6.965793,-0.059782,-0.039632,-0.109913,0.039076,90.438499,44.902859,90.620201,0.650546,0.270105,0.655556,0.272176
6076,-6.954386,6.967802,-0.059400,-0.048701,-0.111352,0.038910,90.438576,44.906574,90.618668,0.650558,0.270093,0.655561,0.272146
6077,-6.957136,6.965666,-0.057758,-0.044051,-0.103652,0.046375,90.437744,44.910084,90.616623,0.650574,0.270080,0.655563,0.272119
6078,-6.952226,6.968765,-0.060568,-0.033289,-0.112728,0.041667,90.437675,44.912548,90.614922,0.650584,0.270075,0.655564,0.272095
6080,-6.957541,6.963772,-0.061135,-0.033184,-0.117202,0.036952,90.439034,44.915348,90.613945,0.650590,0.270072,0.655572,0.272066
6081,-6.958365,6.962824,-0.061268,-0.033076,-0.107940,0.044371,90.440689,44.920322,90.613235,0.650600,0.270057,0.655585,0.272024
6082,-6.952761,6.966758,-0.063104,-0.022273,-0.106296,0.048805,90.443352,44.923096,90.613235,0.650600,0.270057,0.655598,0.271993
6083,-6.954305,6.964642,-0.062042,-0.023678,-0.107702,0.050239,90.446297,44.924179,90.613312,0.650596,0.270067,0.655608,0.271971
6084,-6.956281,6.965212,-0.058464,-0.035800,-0.104566,0.048594,90.446838,44.926128,90.611877,0.650602,0.270067,0.655610,0.271948
6085,-6.951335,6.973963,-0.052368,-0.029681,-0.104551,0.048564,90.443146,44.925434,90.607567,0.650620,0.270075,0.655590,0.271949
6087,-6.954061,6.978463,-0.050619,-0.019037,-0.112217,0.056271,90.436508,44.921383,90.600883,0.650641,0.270098,0.655549,0.271972
6088,-6.956816,6.976446,-0.048737,-0.017564,-0.110744,0.044113,90.428993,44.918278,90.593369,0.650669,0.270116,0.655506,0.271990
6089,-6.951356,6.978194,-0.046593,-0.010004,-0.109287,0.041115,90.420738,44.915276,90.585266,0.650701,0.270133,0.655460,0.272008
6090,-6.949686,6.973199,-0.049564,-0.007003,-0.109336,0.041186,90.413834,44.911835,90.577995,0.650726,0.270155,0.655419,0.272026
6091,-6.948737,6.969001,-0.053153,-0.010046,-0.103224,0.035097,90.410484,44.910152,90.573318,0.650741,0.270172,0.655396,0.272028
6092,-6.941600,6.962400,-0.051081,-0.017648,-0.101670,0.045766,90.408264,44.909191,90.569656,0.650753,0.270186,0.655380,0.272026
6094,-6.941430,6.961568,-0.053848,-0.028291,-0.103159,0.061007,90.406326,44.907951,90.566406,0.650762,0.270201,0.655365,0.272025
6095,-6.945153,6.965662,-0.057419,-0.038889,-0.100023,0.045725,90.406853,44.906876,90.565155,0.650761,0.270217,0.655361,0.272021
6096,-6.944924,6.956944,-0.056432,-0.046415,-0.102973,0.042590,90.408241,44.907890,90.564735,0.650761,0.270221,0.655365,0.272005
6097,-6.942339,6.964300,-0.060137,-0.040191,-0.092172,0.044043,90.410759,44.908638,90.565224,0.650756,0.270229,0.655374,0.271989
6098,-6.945311,6.966774,-0.064415,-0.055278,-0.095052,0.028779,90.416328,44.907570,90.568062,0.650733,0.270250,0.655391,0.271980
6099,-6.949346,6.968526,-0.069072,-0.044371,-0.103982,0.021124,90.424881,44.907463,90.572914,0.650701,0.270272,0.655423,0.271959
6101,-6.949268,6.973403,-0.071009,-0.039534,-0.102198,0.028746,90.435555,44.906857,90.578995,0.650660,0.270301,0.655461,0.271936
6102,-6.950685,6.982440,-0.073104,-0.024004,-0.097350,0.037977,90.447319,44.903419,90.585693,0.650608,0.270349,0.655497,0.271926
6103,-6.952560,6.976489,-0.070112,-0.028336,-0.101684,0.048727,90.457787,44.899895,90.591339,0.650562,0.270396,0.655527,0.271918
6104,-6.951293,6.976478,-0.075030,-0.011312,-0.099919,0.045687,90.468117,44.897934,90.596710,0.650520,0.270435,0.655560,0.271901
6105,-6.945127,6.972638,-0.074909,-0.021738,-0.088982,0.051818,90.479683,44.895439,90.603027,0.650472,0.270479,0.655596,0.271885
6106,-6.945382,6.964144,-0.073811,-0.021507,-0.087227,0.050270,90.489777,44.894405,90.608566,0.650432,0.270510,0.655631,0.271864
6108,-6.942073,6.964346,-0.070618,-0.035058,-0.080942,0.044100,90.496964,44.894764,90.612305,0.650407,0.270528,0.655658,0.271842
6109,-6.944502,6.964316,-0.068372,-0.036453,-0.086916,0.031834,90.500809,44.895256,90.613869,0.650396,0.270538,0.655672,0.271827
6110,-6.943231,6.964827,-0.065457,-0.034840,-0.080726,0.039401,90.501984,44.895931,90.613548,0.650395,0.270543,0.655675,0.271814
6111,-6.944204,6.962504,-0.062096,-0.019542,-0.080688,0.042383,90.500702,44.896694,90.611374,0.650405,0.270543,0.655669,0.271805
6112,-6.945793,6.959716,-0.057177,-0.013456,-0.076129,0.060573,90.496498,44.898632,90.606926,0.650430,0.270534,0.655653,0.271793
6113,-6.951653,6.962950,-0.061388,-0.021104,-0.089881,0.060409,90.492081,44.901573,90.602249,0.650459,0.270519,0.655638,0.271775
6115,-6.948459,6.957771,-0.061680,-0.030240,-0.099018,0.060221,90.489296,44.905216,90.598648,0.650483,0.270503,0.655631,0.271749
6116,-6.951593,6.952867,-0.055460,-0.034830,-0.105138,0.052346,90.483978,44.910748,90.593231,0.650522,0.270472,0.655619,0.271717
6117,-6.954027,6.956191,-0.056234,-0.044031,-0.115866,0.039858,90.476318,44.917645,90.586136,0.650573,0.270430,0.655600,0.271682
6118,-6.956595,6.964143,-0.060637,-0.053184,-0.121970,0.018280,90.470825,44.923187,90.580589,0.650613,0.270399,0.655586,0.271650
6119,-6.953354,6.959348,-0.056108,-0.051647,-0.112804,0.028792,90.465858,44.927509,90.575546,0.650647,0.270375,0.655573,0.271625
6120,-6.957143,6.961795,-0.061967,-0.042462,-0.108198,0.030146,90.462372,44.931725,90.571579,0.650675,0.270354,0.655565,0.271599
6122,-6.956346,6.965067,-0.062201,-0.048488,-0.114225,0.043739,90.461815,44.934704,90.569626,0.650688,0.270345,0.655566,0.271574
6123,-6.949229,6.968244,-0.060030,-0.036212,-0.114158,0.060495,90.460640,44.933853,90.567093,0.650695,0.270358,0.655555,0.271571
6124,-6.946789,6.975439,-0.053253,-0.039257,-0.114150,0.062132,90.455994,44.928505,90.561981,0.650705,0.270391,0.655520,0.271599
6125,-6.947203,6.969851,-0.052284,-0.019461,-0.111138,0.059205,90.448784,44.922760,90.554916,0.650725,0.270423,0.655473,0.271633
6126,-6.943968,6.975752,-0.049587,-0.024096,-0.100513,0.053230,90.441139,44.917072,90.547516,0.650747,0.270454,0.655424,0.271667
6127,-6.946464,6.977543,-0.052890,-0.011929,-0.092922,0.048820,90.434906,44.910397,90.541252,0.650760,0.270493,0.655379,0.271705
6129,-6.953893,6.976131,-0.051696,-0.014995,-0.085306,0.035167,90.430618,44.906586,90.536438,0.650772,0.270518,0.655348,0.271724
6130,-6.953326,6.967137,-0.057451,-0.013443,-0.083755,0.042742,90.428894,44.906960,90.533554,0.650784,0.270522,0.655338,0.271715
6131,-6.949822,6.972913,-0.056677,-0.024059,-0.086741,0.033532,90.429367,44.907349,90.532303,0.650787,0.270530,0.655338,0.271703
6132,-6.949219,6.968355,-0.060874,-0.019391,-0.098859,0.045722,90.430946,44.906544,90.531738,0.650783,0.270547,0.655338,0.271696
6133,-6.953202,6.970027,-0.060588,-0.025378,-0.094166,0.051764,90.433899,44.906746,90.532059,0.650775,0.270561,0.655346,0.271679
6134,-6.950241,6.968251,-0.056312,-0.040559,-0.089508,0.048643,90.434540,44.907158,90.531105,0.650777,0.270567,0.655347,0.271668
6136,-6.949660,6.968850,-0.055580,-0.040515,-0.089466,0.054694,90.432777,44.907017,90.528694,0.650787,0.270572,0.655336,0.271665
6137,-6.949675,6.972555,-0.058240,-0.032828,-0.090935,0.063831,90.431953,44.905605,90.526840,0.650790,0.270586,0.655327,0.271667
6138,-6.952185,6.968921,-0.055144,-0.031246,-0.090879,0.054638,90.431213,44.904778,90.524925,0.650794,0.270597,0.655318,0.271665
6139,-6.947498,6.963974,-0.059507,-0.034231,-0.103022,0.033190,90.430878,44.905888,90.523155,0.650802,0.270599,0.655316,0.271651
6140,-6.946488,6.962580,-0.061775,-0.029541,-0.101383,0.042256,90.433189,44.907310,90.523125,0.650800,0.270604,0.655325,0.271629
6141,-6.945336,6.957364,-0.061743,-0.018731,-0.101257,0.036037,90.436653,44.909470,90.523720,0.650795,0.270608,0.655339,0.271601
6143,-6.950473,6.956218,-0.061834,-0.029288,-0.108764,0.032804,90.439735,44.913734,90.523979,0.650798,0.270600,0.655357,0.271560
6144,-6.951666,6.960414,-0.057888,-0.030723,-0.101045,0.041768,90.440704,44.918278,90.522896,0.650809,0.270586,0.655367,0.271523
6145,-6.954465,6.967031,-0.053012,-0.035274,-0.096442,0.052318,90.437912,44.920650,90.519356,0.650830,0.270577,0.655358,0.271505
6146,-6.958015,6.964514,-0.053794,-0.035274,-0.111702,0.043028,90.433266,44.923138,90.514442,0.650858,0.270564,0.655341,0.271490
6147,-6.961715,6.967210,-0.057603,-0.044392,-0.107088,0.033697,90.430534,44.927143,90.510872,0.650883,0.270546,0.655336,0.271462
6148,-6.961709,6.966167,-0.056998,-0.033645,-0.099394,0.022837,90.429726,44.931561,90.508774,0.650900,0.270529,0.655339,0.271430
6150,-6.961542,6.965337,-0.059524,-0.028986,-0.102366,0.018083,90.430237,44.936176,90.507484,0.650913,0.270513,0.655348,0.271393
6151,-6.959732,6.963863,-0.058885,-0.018208,-0.094642,0.010289,90.431870,44.940605,90.506866,0.650922,0.270500,0.655360,0.271355
6152,-6.956390,6.969888,-0.055343,-0.019670,-0.085423,0.014785,90.432098,44.942657,90.505348,0.650930,0.270498,0.655362,0.271333
6153,-6.952435,6.969731,-0.055150,-0.019633,-0.085386,0.025487,90.430817,44.941422,90.502892,0.650935,0.270512,0.655350,0.271334
6154,-6.951097,6.965178,-0.060539,-0.022611,-0.082260,0.030090,90.431740,44.939751,90.502052,0.650931,0.270532,0.655347,0.271333
6155,-6.955294,6.969321,-0.056045,-0.024056,-0.076076,0.036190,90.433113,44.938721,90.501701,0.650926,0.270547,0.655347,0.271329
6157,-6.954066,6.967249,-0.056018,-0.027060,-0.085185,0.042281,90.432419,44.937832,90.499893,0.650930,0.270559,0.655339,0.271328
6158,-6.952801,6.962848,-0.056347,-0.027011,-0.091240,0.042237,90.431503,44.937737,90.497803,0.650937,0.270566,0.655332,0.271322
6159,-6.955011,6.966416,-0.056154,-0.008650,-0.103397,0.033024,90.430740,44.938221,90.495384,0.650946,0.270573,0.655325,0.271310
6160,-6.956394,6.973125,-0.058363,-0.002480,-0.097227,0.029962,90.431175,44.937523,90.493446,0.650948,0.270591,0.655320,0.271300
6161,-6.950583,6.971010,-0.060302,-0.002385,-0.098658,0.023908,90.433495,44.935112,90.492828,0.650938,0.270621,0.655318,0.271297
6162,-6.947444,6.969903,-0.060724,0.002301,-0.092445,0.025518,90.436821,44.931751,90.492912,0.650922,0.270659,0.655319,0.271298
6164,-6.953240,6.975824,-0.063735,0.005481,-0.087739,0.022556,90.441566,44.928249,90.494041,0.650899,0.270699,0.655325,0.271297
6165,-6.949150,6.980577,-0.061020,-0.012708,-0.078461,0.041007,90.445969,44.922989,90.495270,0.650873,0.270747,0.655326,0.271309
6166,-6.949732,6.973392,-0.054989,-0.020284,-0.082984,0.050295,90.445992,44.917496,90.493759,0.650863,0.270787,0.655309,0.271331
6167,-6.945712,6.972687,-0.050335,-0.009624,-0.084531,0.042750,90.441360,44.913433,90.488861,0.650876,0.270812,0.655277,0.271353
6168,-6.947192,6.976609,-0.051334,-0.008142,-0.083048,0.042858,90.435654,44.908806,90.483055,0.650892,0.270839,0.655239,0.271379
6169,-6.949036,6.966422,-0.054840,0.007114,-0.075422,0.045938,90.432777,44.906513,90.479156,0.650903,0.270858,0.655218,0.271387
6171,-6.951469,6.953907,-0.056785,0.014785,-0.087589,0.030509,90.432945,44.910328,90.477089,0.650917,0.270849,0.655222,0.271352
6172,-6.952887,6.954679,-0.059102,0.017912,-0.087517,0.021080,90.435013,44.917675,90.476089,0.650932,0.270825,0.655242,0.271293
6173,-6.956129,6.962248,-0.066288,0.005842,-0.085856,0.026954,90.440742,44.923756,90.477806,0.650929,0.270813,0.655274,0.271235
6174,-6.960042,6.958686,-0.065749,0.007544,-0.090259,0.031304,90.448578,44.929634,90.481094,0.650917,0.270805,0.655314,0.271176
