seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
152,-6.889382,-6.843012,0.008970,-0.015807,-0.062658,0.041069,-89.924904,45.193451,-45.140194
153,-6.889163,-6.851378,0.021193,0.276895,-0.284004,-0.128488,-89.914742,45.191982,-45.131996
154,-6.886187,-6.847845,0.019070,0.222291,-0.221344,-0.124902,-89.897949,45.187752,-45.120056
155,-6.887147,-6.842717,0.022536,0.237650,-0.241241,0.008649,-89.882530,45.185799,-45.109123
157,-6.883506,-6.839721,0.024885,0.216868,-0.258667,-0.003528,-89.866570,45.185871,-45.097301
158,-6.889212,-6.843667,0.025393,0.195009,-0.235039,0.036229,-89.851425,45.186390,-45.085625
159,-6.888769,-6.846705,0.022515,0.107155,-0.152890,-0.037833,-89.839859,45.186337,-45.076439
160,-6.894996,-6.842319,0.017692,-0.020876,-0.034237,0.164448,-89.835274,45.188438,-45.072006
161,-6.893017,-6.846995,0.009543,-0.195992,0.120220,0.045135,-89.840324,45.191936,-45.074028
162,-6.892191,-6.847783,0.011247,-0.151375,0.073681,0.005265,-89.849365,45.192787,-45.078609
164,-6.888270,-6.842375,0.008294,-0.203055,0.110411,0.019315,-89.858368,45.193203,-45.082966
165,-6.885832,-6.844661,0.007740,-0.199552,0.098993,-0.057508,-89.868584,45.192577,-45.087917
166,-6.882776,-6.850874,0.009738,-0.130409,0.038222,-0.216626,-89.876404,45.188015,-45.091179
167,-6.881634,-6.856431,0.010856,-0.098335,0.001109,-0.331169,-89.880898,45.178886,-45.092136
168,-6.882414,-6.857170,0.007348,-0.150903,0.064799,-0.287894,-89.886169,45.168568,-45.093719
169,-6.887642,-6.864457,0.011367,-0.059580,-0.030089,-0.268313,-89.890282,45.159302,-45.094566
171,-6.892224,-6.865800,0.014661,0.003499,-0.096410,-0.178318,-89.889114,45.151852,-45.091602
172,-6.890034,-6.860746,0.015774,0.015811,-0.117802,-0.092388,-89.885216,45.147335,-45.086555
173,-6.893276,-6.853347,0.017266,0.038337,-0.141515,0.129180,-89.879959,45.147938,-45.080421
174,-6.892375,-6.852954,0.021017,0.096807,-0.214042,0.120057,-89.871742,45.152081,-45.072006
175,-6.892251,-6.845497,0.021726,0.090537,-0.213589,0.234838,-89.861443,45.157982,-45.061878
176,-6.892003,-6.838732,0.022921,0.093282,-0.213039,0.331084,-89.851204,45.167393,-45.051762
178,-6.894460,-6.836437,0.024800,0.104166,-0.226913,0.373364,-89.840508,45.179123,-45.041321
179,-6.893756,-6.831501,0.029502,0.176251,-0.284060,0.391385,-89.827225,45.191841,-45.029186
180,-6.896660,-6.827844,0.027754,0.121698,-0.201427,0.452855,-89.814056,45.205883,-45.017635
181,-6.895319,-6.828755,0.027057,0.074653,-0.149807,0.348860,-89.804848,45.219227,-45.009270
182,-6.895425,-6.828764,0.026091,0.039068,-0.112590,0.286034,-89.798508,45.229794,-45.003010
183,-6.898865,-6.830696,0.025430,0.007839,-0.076627,0.278517,-89.794518,45.239193,-44.998486
192,-6.899720,-6.833886,0.021204,-0.071131,0.004306,0.184380,-89.794327,45.246902,-44.996735
193,-6.896155,-6.832069,0.021626,-0.062049,-0.011168,0.117349,-89.796410,45.251930,-44.996544
194,-6.898953,-6.837709,0.021708,-0.054684,-0.014273,0.039129,-89.797920,45.254539,-44.995926
195,-6.899916,-6.836223,0.020482,-0.077188,0.005478,0.076495,-89.799965,45.256458,-44.995708
196,-6.892891,-6.838207,0.017360,-0.117413,0.050150,-0.103932,-89.804146,45.256004,-44.997025
197,-6.892683,-6.830961,0.020843,-0.059339,-0.014231,0.044653,-89.807701,45.255028,-44.997887
199,-6.898305,-6.832576,0.021588,-0.049792,-0.035917,0.128344,-89.808662,45.257900,-44.996677
200,-6.892764,-6.830752,0.017828,-0.114811,0.021814,0.046202,-89.811157,45.260807,-44.996330
201,-6.889622,-6.832208,0.017526,-0.102807,0.026278,-0.034802,-89.815598,45.261005,-44.997475
202,-6.890474,-6.834182,0.020408,-0.043706,-0.041097,-0.069170,-89.817795,45.259270,-44.997131
203,-6.884322,-6.844547,0.019578,-0.047296,-0.042943,-0.374948,-89.817917,45.251862,-44.995174
204,-6.880533,-6.844744,0.014585,-0.152650,0.052411,-0.419421,-89.821457,45.238625,-44.995453
206,-6.879510,-6.847354,0.021238,-0.020486,-0.073290,-0.422091,-89.824028,45.224594,-44.995022
207,-6.879366,-6.852795,0.024989,0.042907,-0.157224,-0.476341,-89.819832,45.209614,-44.989632
208,-6.883470,-6.851125,0.025272,0.026710,-0.149600,-0.293066,-89.813553,45.196766,-44.982422
209,-6.885648,-6.855085,0.030665,0.102606,-0.232125,-0.272138,-89.805023,45.187325,-44.973442
210,-6.885171,-6.849350,0.033674,0.150996,-0.265017,-0.130781,-89.792480,45.180580,-44.961723
211,-6.886408,-6.845079,0.032075,0.094910,-0.208074,0.009131,-89.780464,45.178520,-44.950546
212,-6.888582,-6.842107,0.030221,0.042715,-0.139827,0.111913,-89.772324,45.180519,-44.942310
213,-6.884699,-6.843675,0.028488,0.002659,-0.093785,-0.005453,-89.767639,45.182278,-44.936775
214,-6.889342,-6.842392,0.024906,-0.071701,-0.015464,0.106808,-89.766968,45.183968,-44.934193
215,-6.894435,-6.852981,0.022667,-0.114319,0.017833,-0.010936,-89.770096,45.185562,-44.934235
216,-6.893492,-6.852954,0.023769,-0.091306,-0.005449,-0.045900,-89.773735,45.184612,-44.934532
217,-6.896895,-6.850222,0.024304,-0.077557,-0.026473,0.077977,-89.776016,45.185154,-44.933781
218,-6.895935,-6.853556,0.027582,-0.023648,-0.088766,-0.005071,-89.775764,45.186356,-44.931046
219,-6.895838,-6.849151,0.024803,-0.068210,-0.025256,0.064443,-89.775352,45.187328,-44.928329
220,-6.895071,-6.851064,0.031811,0.061779,-0.142579,0.009680,-89.772652,45.188564,-44.924366
221,-6.895540,-6.846224,0.026248,-0.038761,-0.034841,0.108637,-89.769287,45.190525,-44.920155
222,-6.891656,-6.849874,0.026447,-0.038265,-0.040486,-0.047681,-89.769302,45.191532,-44.918365
223,-6.894083,-6.846438,0.025069,-0.056109,-0.012890,0.063944,-89.769974,45.191792,-44.917099
224,-6.893769,-6.843751,0.025672,-0.064498,-0.031880,0.101377,-89.771225,45.194546,-44.916019
225,-6.895018,-6.837508,0.022984,-0.113087,0.009915,0.231553,-89.773796,45.200100,-44.915482
226,-6.892616,-6.843421,0.020028,-0.166114,0.056480,0.053357,-89.779533,45.204845,-44.917015
227,-6.896358,-6.845503,0.015505,-0.230319,0.142620,0.071898,-89.789474,45.206944,-44.921711
228,-6.894414,-6.844555,0.012646,-0.267677,0.174007,0.028788,-89.803093,45.208649,-44.929199
229,-6.893417,-6.849872,0.015327,-0.163060,0.085168,-0.089854,-89.814629,45.207649,-44.935341
230,-6.888160,-6.850920,0.017594,-0.104183,0.007137,-0.200306,-89.820641,45.202805,-44.937531
231,-6.887835,-6.851705,0.020856,-0.032824,-0.066264,-0.199380,-89.821945,45.196144,-44.936169
232,-6.885954,-6.852113,0.023904,0.011848,-0.125118,-0.213837,-89.819107,45.189247,-44.931671
233,-6.887634,-6.851103,0.023027,-0.003211,-0.100496,-0.133958,-89.815201,45.183437,-44.926361
