seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
5508,-0.156891,-7.229904,-6.541232,-0.235336,0.207098,0.046874,-132.137131,0.921903,-178.981186,0.010959,-0.004863,0.913995,-0.405549
5510,-0.161185,-7.231616,-6.582655,-0.232429,0.228450,0.065200,-132.156250,0.927796,-178.979538,0.011012,-0.004857,0.914062,-0.405395
5511,-0.162443,-7.228836,-6.581238,-0.160986,0.213167,0.083543,-132.187836,0.928188,-178.987061,0.010987,-0.004799,0.914174,-0.405144
5512,-0.162800,-7.223236,-6.578485,-0.133767,0.075809,0.072895,-132.215073,0.930682,-178.992737,0.010985,-0.004747,0.914271,-0.404927
5513,-0.157793,-7.215962,-6.583833,-0.132492,0.005608,0.075963,-132.242035,0.933201,-178.995773,0.010994,-0.004717,0.914366,-0.404712
5514,-0.153622,-7.210093,-6.587988,-0.062581,-0.046250,0.094254,-132.270706,0.932961,-178.997589,0.010984,-0.004706,0.914467,-0.404483
5515,-0.150254,-7.204659,-6.585770,-0.001824,-0.075192,0.100310,-132.297012,0.930488,-178.998688,0.010959,-0.004708,0.914560,-0.404274
5517,-0.146537,-7.202279,-6.588239,-0.038706,-0.078172,0.084979,-132.321167,0.925382,-178.999252,0.010916,-0.004724,0.914646,-0.404082
5518,-0.156383,-7.213495,-6.584295,-0.049573,-0.065919,0.087984,-132.339249,0.923247,-178.999680,0.010896,-0.004730,0.914710,-0.403938
5519,-0.153527,-7.214008,-6.582314,-0.057291,-0.056745,0.075759,-132.349060,0.924345,-179.000137,0.010903,-0.004723,0.914744,-0.403859
5520,-0.158800,-7.220349,-6.576008,-0.083245,-0.059788,0.055912,-132.352615,0.926124,-179.000198,0.010917,-0.004717,0.914757,-0.403831
5521,-0.155983,-7.222291,-6.578363,-0.141191,-0.056734,0.029969,-132.352814,0.928179,-178.999680,0.010935,-0.004714,0.914757,-0.403829
5522,-0.157259,-7.223608,-6.580071,-0.119790,-0.039940,0.029958,-132.353699,0.928690,-178.999100,0.010941,-0.004717,0.914760,-0.403822
5524,-0.156650,-7.221406,-6.582957,-0.119770,-0.027724,0.029948,-132.355911,0.928958,-178.998917,0.010944,-0.004717,0.914768,-0.403804
5525,-0.155631,-7.217311,-6.582827,-0.110623,-0.029235,0.031458,-132.360504,0.928370,-178.998917,0.010939,-0.004720,0.914784,-0.403767
5526,-0.147768,-7.214827,-6.581846,-0.092333,-0.030717,0.031410,-132.365707,0.923990,-178.998917,0.010904,-0.004736,0.914803,-0.403726
5527,-0.147645,-7.215289,-6.581602,-0.055725,-0.030650,0.051174,-132.369461,0.916744,-178.999100,0.010845,-0.004760,0.914816,-0.403697
5528,-0.151104,-7.221834,-6.576227,-0.034325,-0.036704,0.064852,-132.367691,0.912308,-178.999527,0.010808,-0.004772,0.914810,-0.403712
5529,-0.148650,-7.221871,-6.571723,-0.008289,-0.048873,0.067859,-132.359818,0.909612,-178.999817,0.010786,-0.004779,0.914782,-0.403775
5531,-0.149014,-7.222222,-6.571006,0.004026,-0.051884,0.072390,-132.350189,0.906816,-179.000000,0.010764,-0.004786,0.914749,-0.403852
5532,-0.150307,-7.224979,-6.578616,-0.011155,-0.053377,0.083032,-132.343277,0.905352,-179.000336,0.010751,-0.004788,0.914724,-0.403907
5533,-0.154411,-7.221690,-6.579903,-0.021806,-0.042681,0.075387,-132.341080,0.906477,-179.000900,0.010758,-0.004779,0.914717,-0.403925
5534,-0.150392,-7.214767,-6.582858,-0.034038,-0.051823,0.073846,-132.344345,0.907566,-179.001434,0.010765,-0.004772,0.914728,-0.403899
5535,-0.151521,-7.205864,-6.588201,-0.044827,-0.054850,0.073821,-132.355301,0.907377,-179.001938,0.010761,-0.004769,0.914767,-0.403811
5536,-0.151603,-7.205132,-6.583142,-0.077001,-0.047198,0.069223,-132.368851,0.907591,-179.002472,0.010760,-0.004766,0.914814,-0.403703
5538,-0.153999,-7.203151,-6.576683,-0.046557,-0.060919,0.082944,-132.377670,0.909142,-179.002960,0.010771,-0.004757,0.914845,-0.403632
5539,-0.155713,-7.204321,-6.572975,-0.029794,-0.068550,0.092101,-132.380951,0.912944,-179.003357,0.010799,-0.004741,0.914857,-0.403606
5540,-0.156055,-7.201447,-6.577085,-0.045072,-0.065503,0.075322,-132.383926,0.917214,-179.003616,0.010833,-0.004724,0.914867,-0.403582
