seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
60,0.180597,-2.403692,9.437921,-7.602461,-2.820457,36.220203,-14.288579,-1.062330,0.270542,0.992193,-0.124341,-0.009492,0.001190
61,-1.265555,-4.147624,8.291725,-1.870285,-5.177043,-37.578754,-14.446679,-1.197071,0.281685,0.992010,-0.125705,-0.010672,0.001125
62,-1.097404,-4.162551,8.479782,-4.857617,-10.029208,-34.356842,-14.531367,-1.741598,-0.816308,0.991817,-0.126560,-0.014174,-0.008988
63,-0.557579,-4.483622,9.013908,-8.205784,-17.436384,-32.469959,-14.713252,-2.465903,-1.778891,0.991377,-0.128331,-0.019351,-0.018147
64,0.077788,-4.603978,9.141158,-9.153374,-23.389065,-31.705692,-14.957861,-3.397703,-2.639540,0.990705,-0.130747,-0.026390,-0.026684
65,0.564292,-4.471563,8.970008,-8.181641,-25.973225,-29.922436,-15.192839,-4.459213,-3.419106,0.989879,-0.133186,-0.034605,-0.034689
66,0.938027,-4.432431,9.052493,-8.819440,-25.694614,-29.856281,-15.411588,-5.552598,-4.155636,0.988920,-0.135581,-0.043112,-0.042378
67,1.371721,-4.525325,9.197951,-7.963895,-23.819868,-32.283775,-15.608397,-6.624621,-4.937137,0.987827,-0.137901,-0.051351,-0.050439
68,1.407576,-4.140461,8.758715,-4.191361,-18.045799,-32.280708,-15.705569,-7.586667,-5.791444,0.986733,-0.139466,-0.058567,-0.058962
69,1.363495,-3.728147,8.674409,-1.514023,-10.764680,-30.561981,-15.678256,-8.331883,-6.678528,0.985783,-0.139993,-0.063921,-0.067443
70,1.380739,-3.675595,9.109251,-2.891986,-4.659844,-28.424416,-15.619678,-8.844398,-7.565802,0.984932,-0.140226,-0.067285,-0.075624
71,1.324536,-3.572235,9.131970,-3.574891,-0.161076,-22.266335,-15.602465,-9.149204,-8.367577,0.984167,-0.140709,-0.068937,-0.082848
72,1.205084,-3.355564,8.901066,-3.837172,3.531435,-12.831701,-15.632542,-9.252656,-8.953516,0.983612,-0.141377,-0.069083,-0.088013
74,1.060657,-3.399519,8.969283,-4.862682,10.486015,-1.470534,-15.730491,-9.092242,-9.249887,0.983386,-0.142300,-0.067261,-0.090434
75,0.543092,-3.994108,9.324714,-8.645778,20.007999,12.788340,-15.962585,-8.551942,-9.206602,0.983540,-0.143943,-0.062488,-0.089577
76,0.289939,-4.240532,8.871343,-11.758865,26.397387,23.898258,-16.355976,-7.639120,-8.830776,0.983972,-0.146588,-0.054814,-0.085482
77,0.157238,-4.047025,8.676643,-11.567834,30.053305,30.526966,-16.819452,-6.478734,-8.225500,0.984531,-0.149650,-0.045284,-0.079078
78,-0.214294,-4.342411,9.301060,-17.368757,32.066181,36.142818,-17.379129,-5.162832,-7.463920,0.984981,-0.153505,-0.034604,-0.071067
79,-0.527743,-4.535485,9.664320,-20.030193,28.220192,35.122978,-18.067581,-3.844302,-6.636487,0.985081,-0.158583,-0.023987,-0.062390
80,-0.166589,-3.799230,9.121954,-14.053793,18.696671,26.367994,-18.677794,-2.779263,-5.909737,0.984941,-0.163244,-0.015535,-0.054781
81,-0.300809,-3.423296,9.193233,-8.215732,9.736310,19.127151,-19.073086,-2.085746,-5.345157,0.984804,-0.166306,-0.010206,-0.048988
82,-0.434119,-3.612954,9.282356,-4.705845,0.047552,13.055161,-19.303869,-1.755602,-4.891949,0.984721,-0.168135,-0.007935,-0.044635
