seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
7291,-0.064698,6.984442,7.044069,0.053068,-0.083756,-0.001082,44.756474,0.373685,0.370514,0.924685,0.380705,0.004246,0.001748
7293,-0.069122,6.980890,7.043426,-0.026289,-0.108763,0.028557,44.756660,0.371619,0.368579,0.924684,0.380707,0.004223,0.001740
7294,-0.070288,6.982646,7.047860,-0.017144,-0.107224,0.023966,44.755192,0.369696,0.366661,0.924689,0.380695,0.004201,0.001731
7295,-0.067680,6.979182,7.044902,-0.009529,-0.108738,0.030058,44.753765,0.367665,0.364760,0.924694,0.380684,0.004179,0.001722
7296,-0.069621,6.976845,7.048850,-0.014129,-0.105674,0.023941,44.751854,0.365658,0.362873,0.924700,0.380669,0.004156,0.001713
7297,-0.068121,6.977767,7.043572,-0.008047,-0.102608,0.020875,44.750050,0.363969,0.360951,0.924707,0.380654,0.004136,0.001704
7298,-0.068504,6.972973,7.041527,-0.009589,-0.098017,0.019336,44.748676,0.362375,0.359066,0.924711,0.380643,0.004117,0.001694
7300,-0.069683,6.966408,7.038145,-0.008125,-0.096448,0.031501,44.744228,0.363544,0.357359,0.924726,0.380607,0.004121,0.001676
7301,-0.075494,6.970026,7.038634,-0.008209,-0.094821,0.023770,44.738361,0.370123,0.355734,0.924745,0.380560,0.004168,0.001642
7302,-0.077360,6.973608,7.039797,-0.012828,-0.096214,0.017534,44.735184,0.379901,0.353963,0.924756,0.380534,0.004241,0.001595
7303,-0.079264,6.973912,7.038557,-0.002157,-0.091498,0.011293,44.734211,0.390308,0.352097,0.924759,0.380526,0.004319,0.001545
7304,-0.078623,6.976390,7.041576,0.013102,-0.085268,0.011167,44.734371,0.399833,0.350289,0.924758,0.380527,0.004390,0.001499
7305,-0.078073,6.983359,7.038076,0.014679,-0.089743,-0.002667,44.738270,0.407285,0.348362,0.924745,0.380558,0.004444,0.001459
7307,-0.072927,6.981034,7.041067,0.011701,-0.085107,0.001854,44.743565,0.410678,0.346335,0.924728,0.380601,0.004464,0.001431
7308,-0.069319,6.981674,7.039564,0.016323,-0.086629,0.024740,44.747047,0.408669,0.344657,0.924716,0.380629,0.004443,0.001424
7309,-0.063407,6.981826,7.045215,0.007186,-0.091253,0.030889,44.748592,0.401536,0.343237,0.924711,0.380642,0.004380,0.001436
7310,-0.059354,6.979426,7.040714,-0.009607,-0.100498,0.044711,44.748112,0.389970,0.341879,0.924713,0.380638,0.004283,0.001463
7311,-0.058089,6.978437,7.045560,-0.014211,-0.096020,0.038707,44.745930,0.377260,0.340548,0.924720,0.380621,0.004176,0.001495
7312,-0.061927,6.974607,7.041039,-0.020365,-0.099138,0.038771,44.742023,0.367908,0.339154,0.924734,0.380590,0.004095,0.001515
7314,-0.059895,6.975920,7.040109,-0.023443,-0.099174,0.018970,44.739456,0.361474,0.337499,0.924742,0.380570,0.004038,0.001523
7315,-0.066288,6.975528,7.034812,-0.020375,-0.097648,0.020496,44.739857,0.358700,0.335665,0.924741,0.380573,0.004009,0.001517
7316,-0.067548,6.975304,7.039369,-0.012725,-0.091497,0.008242,44.740654,0.360601,0.333794,0.924738,0.380580,0.004019,0.001496
7317,-0.067166,6.975300,7.037809,-0.017300,-0.091444,0.015818,44.740311,0.363119,0.331934,0.924739,0.380577,0.004033,0.001473
7318,-0.062757,6.981120,7.042336,-0.011179,-0.099049,0.015794,44.740936,0.362765,0.330081,0.924737,0.380582,0.004024,0.001459
7319,-0.065963,6.972893,7.039886,-0.011185,-0.102085,0.015778,44.740105,0.361525,0.328092,0.924740,0.380575,0.004007,0.001447
7321,-0.065596,6.968043,7.044241,-0.023476,-0.094423,0.027954,44.733974,0.361722,0.326269,0.924761,0.380526,0.004003,0.001432
7322,-0.071222,6.971399,7.040276,-0.018982,-0.097415,0.030946,44.727650,0.364420,0.324681,0.924782,0.380475,0.004019,0.001410
7323,-0.075209,6.972380,7.041527,-0.017489,-0.095782,0.020157,44.724873,0.371580,0.323005,0.924791,0.380452,0.004071,0.001373
7324,-0.077906,6.973801,7.035810,-0.022053,-0.072760,0.029182,44.725136,0.381457,0.321619,0.924790,0.380454,0.004146,0.001329
7325,-0.077959,6.982440,7.039405,-0.026552,-0.069577,0.041259,44.729622,0.391281,0.320819,0.924775,0.380490,0.004223,0.001290
7326,-0.074570,6.985607,7.033916,-0.009623,-0.077109,0.025905,44.738602,0.397818,0.319960,0.924745,0.380562,0.004273,0.001261
