seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
7915,0.052801,6.816492,-7.053941,0.005652,-0.081650,0.070235,135.980759,-0.308406,-179.701981,-0.003470,-0.001403,0.927117,0.374753
7917,0.063557,6.817914,-7.056435,0.013885,0.192296,0.322233,135.981110,-0.314278,-179.705399,-0.003506,-0.001356,0.927118,0.374750
7918,0.059133,6.820775,-7.051580,-0.183119,0.062627,0.195669,135.978302,-0.323331,-179.708664,-0.003569,-0.001300,0.927109,0.374773
7919,0.057507,6.821356,-7.047393,-0.286041,-0.018115,0.121357,135.970490,-0.327537,-179.711945,-0.003592,-0.001259,0.927083,0.374836
7920,0.058113,6.814833,-7.049778,-0.016831,-0.027716,0.121629,135.965469,-0.329802,-179.715378,-0.003599,-0.001224,0.927067,0.374877
7921,0.058815,6.808206,-7.050473,0.197438,-0.018495,0.107905,135.968506,-0.331908,-179.718674,-0.003606,-0.001190,0.927077,0.374852
7922,0.055407,6.809555,-7.048128,0.088125,-0.108390,0.012646,135.973267,-0.331784,-179.721588,-0.003595,-0.001167,0.927092,0.374814
7924,0.057692,6.804911,-7.052536,0.287164,-0.057112,0.057485,135.979538,-0.330612,-179.724335,-0.003576,-0.001149,0.927113,0.374763
7925,0.060500,6.803667,-7.054892,0.347596,0.023035,0.133963,135.990143,-0.332421,-179.727036,-0.003582,-0.001122,0.927148,0.374677
7926,0.060569,6.804272,-7.051879,0.201543,0.027048,0.129275,135.999298,-0.336069,-179.729599,-0.003603,-0.001089,0.927178,0.374603
7927,0.057648,6.807590,-7.052060,0.062687,-0.060676,0.057237,136.003723,-0.337826,-179.732224,-0.003609,-0.001062,0.927192,0.374567
7928,0.058835,6.802011,-7.054195,0.229030,-0.040158,0.084465,136.008606,-0.338257,-179.735092,-0.003603,-0.001038,0.927208,0.374528
7929,0.055452,6.814386,-7.056212,-0.058758,-0.124587,0.002189,136.011459,-0.337285,-179.738037,-0.003585,-0.001017,0.927217,0.374505
