seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
1161,6.928518,-6.826195,-0.370379,-0.062906,-0.117924,0.042296,-93.105759,-45.384129,94.358902,-0.636674,0.260684,0.671618,-0.274991
1163,6.927035,-6.818871,-0.428980,-0.064596,-0.134873,0.037702,-93.170242,-45.384132,94.398392,-0.636432,0.260810,0.671862,-0.274833
1164,6.922547,-6.827602,-0.433502,-0.035917,-0.115356,0.048388,-93.279724,-45.378700,94.477997,-0.635977,0.260982,0.672295,-0.274663
1165,6.923085,-6.827791,-0.428912,-0.010233,-0.086626,0.046903,-93.368073,-45.367874,94.542633,-0.635592,0.261155,0.672633,-0.274565
1166,6.922884,-6.824634,-0.426271,-0.005826,-0.088327,0.046927,-93.427635,-45.360516,94.586807,-0.635330,0.261268,0.672862,-0.274502
1167,6.924580,-6.818541,-0.425169,-0.012043,-0.085390,0.036231,-93.468307,-45.360249,94.617508,-0.635163,0.261315,0.673029,-0.274435
1168,6.925467,-6.817794,-0.420816,0.001623,-0.080877,0.049920,-93.493301,-45.365173,94.637047,-0.635073,0.261310,0.673143,-0.274368
1170,6.924996,-6.818385,-0.420824,0.024478,-0.070228,0.059034,-93.506355,-45.369591,94.648331,-0.635028,0.261291,0.673209,-0.274329
1171,6.929200,-6.812702,-0.418590,0.036669,-0.070240,0.060501,-93.512787,-45.376884,94.655197,-0.635017,0.261245,0.673254,-0.274288
1172,6.922291,-6.811236,-0.423178,0.044281,-0.062624,0.049757,-93.519211,-45.385044,94.662201,-0.635008,0.261193,0.673301,-0.274243
1173,6.920929,-6.816386,-0.423432,0.048835,-0.061123,0.069574,-93.528038,-45.385853,94.670944,-0.634969,0.261185,0.673344,-0.274235
1174,6.920443,-6.816391,-0.422959,0.061023,-0.067246,0.072632,-93.534523,-45.382153,94.678261,-0.634927,0.261200,0.673369,-0.274258
1175,6.919638,-6.816016,-0.417190,0.045766,-0.071822,0.057380,-93.533943,-45.378735,94.680656,-0.634913,0.261202,0.673366,-0.274294
1177,6.918447,-6.813038,-0.420713,0.025939,-0.082492,0.043645,-93.531746,-45.377228,94.681671,-0.634911,0.261192,0.673360,-0.274321
