seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
60,0.280137,-3.003489,9.316925,-7.371702,-8.818624,45.312885,-17.867718,-1.639203,0.528341,0.987767,-0.155212,-0.014847,0.002333
61,-1.281408,-4.759032,9.139272,-6.936620,16.680819,20.452541,-18.130812,-1.175886,1.530566,0.987391,-0.157404,-0.012237,0.011572
62,-1.610258,-4.624605,8.818722,1.551566,14.659523,15.241261,-18.224150,-0.493563,1.933133,0.987242,-0.158270,-0.006924,0.015974
63,-1.427139,-4.666428,8.642472,3.402995,9.478254,11.608105,-18.142687,0.028048,2.233116,0.987305,-0.157639,-0.002831,0.019281
64,-1.705788,-4.617430,8.452452,2.706992,8.907339,7.321838,-18.040119,0.417238,2.437964,0.987391,-0.156820,0.000260,0.021581
65,-1.770035,-4.430014,8.417109,3.652549,8.367796,1.988445,-17.933455,0.738980,2.496639,0.987502,-0.155959,0.002973,0.022524
66,-1.590431,-4.364494,8.374545,1.426124,6.314918,-4.554024,-17.850424,0.958676,2.380793,0.987617,-0.155278,0.005040,0.021820
67,-1.258362,-4.460313,8.512382,-2.391772,2.554317,-12.517187,-17.871832,1.012053,2.064591,0.987639,-0.155456,0.005925,0.019168
68,-1.823850,-4.247872,8.668522,-0.574879,6.207681,-18.724482,-17.930559,0.990887,1.524121,0.987641,-0.155930,0.006468,0.014484
69,-1.511777,-4.178161,8.714993,0.973064,2.410614,-23.549934,-17.935854,0.910700,0.809478,0.987711,-0.155928,0.006749,0.008216
70,-1.390868,-4.194742,8.743374,-0.669189,-0.751948,-26.844933,-17.941740,0.678392,0.001836,0.987750,-0.155930,0.005845,0.000939
71,-1.323422,-4.228811,8.746605,-3.485626,-3.429033,-28.757509,-18.018322,0.325968,-0.858052,0.987635,-0.156566,0.003982,-0.006950
72,-1.370369,-4.142342,8.690602,-6.140234,-4.300631,-28.362261,-18.180338,-0.092386,-1.722798,0.987327,-0.157983,0.001579,-0.014972
73,-0.610715,-4.338242,8.707734,-12.421851,-10.990844,-26.689619,-18.484692,-0.623043,-2.513475,0.986747,-0.160687,-0.001843,-0.022520
74,-0.296016,-4.451510,8.742870,-17.160217,-12.338399,-24.824959,-18.965864,-1.267306,-3.201695,0.985839,-0.164984,-0.006301,-0.029374
