seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
69,0.007384,-0.062838,9.925945,-0.028204,0.008208,1.290412,-0.362715,-0.042622,0.000270,0.999995,-0.003165,-0.000372,0.000001
71,0.008452,-0.071428,9.928542,-0.387026,-0.003868,-0.026388,-0.369651,-0.042415,0.021336,0.999995,-0.003226,-0.000371,0.000185
72,0.009231,-0.065373,9.926735,-0.026659,-0.032419,-0.022308,-0.376545,-0.043024,0.020528,0.999995,-0.003286,-0.000376,0.000178
73,0.007607,-0.065255,9.931285,0.023111,0.044538,-0.017261,-0.376604,-0.042826,0.019868,0.999995,-0.003286,-0.000374,0.000172
74,0.005204,-0.062408,9.928824,0.160375,0.149230,-0.009011,-0.373546,-0.039600,0.019409,0.999995,-0.003260,-0.000346,0.000168
75,0.010028,-0.056839,9.929744,0.416165,-0.108391,-0.007738,-0.363936,-0.038921,0.019125,0.999995,-0.003176,-0.000340,0.000166
76,0.009344,-0.054097,9.924422,0.475269,-0.077924,-0.012155,-0.349079,-0.042028,0.018813,0.999995,-0.003046,-0.000367,0.000163
78,0.010983,-0.053468,9.926620,0.379964,-0.142409,-0.020020,-0.334825,-0.045703,0.018299,0.999996,-0.002922,-0.000399,0.000159
79,0.006967,-0.056001,9.924866,0.143970,0.083042,-0.026189,-0.326092,-0.046697,0.017534,0.999996,-0.002846,-0.000408,0.000152
80,0.010077,-0.053050,9.922384,0.208275,-0.032918,-0.031600,-0.320220,-0.045867,0.016566,0.999996,-0.002794,-0.000401,0.000143
81,0.005410,-0.058056,9.918334,-0.075615,0.178981,-0.027146,-0.318009,-0.043439,0.015574,0.999996,-0.002775,-0.000379,0.000135
82,0.007565,-0.061135,9.921634,-0.245371,0.050932,-0.021592,-0.323358,-0.039611,0.014740,0.999996,-0.002822,-0.000346,0.000128
83,0.004556,-0.065869,9.918697,-0.413080,0.166897,-0.010195,-0.334332,-0.035984,0.014189,0.999996,-0.002918,-0.000314,0.000123
85,0.006011,-0.064925,9.916553,-0.270174,0.052282,-0.009322,-0.345719,-0.032333,0.013842,0.999995,-0.003017,-0.000283,0.000120
86,0.004321,-0.063449,9.915915,-0.109558,0.081343,-0.013713,-0.352048,-0.030108,0.013445,0.999995,-0.003072,-0.000263,0.000117
87,0.001369,-0.063351,9.921165,-0.066605,0.198525,-0.032851,-0.354983,-0.025449,0.012640,0.999995,-0.003098,-0.000222,0.000110
88,0.001684,-0.061588,9.922612,0.057046,0.154363,-0.039322,-0.355142,-0.019575,0.011401,0.999995,-0.003099,-0.000171,0.000099
89,-0.000274,-0.061374,9.925228,0.061318,0.203942,-0.042109,-0.353169,-0.013611,0.010007,0.999995,-0.003082,-0.000119,0.000087
90,0.002979,-0.066406,9.929154,-0.187178,0.009131,-0.038697,-0.355266,-0.010069,0.008638,0.999995,-0.003100,-0.000088,0.000075
92,0.002581,-0.065585,9.931074,-0.130424,0.006809,-0.032681,-0.360559,-0.009810,0.007447,0.999995,-0.003146,-0.000086,0.000065
93,0.009117,-0.062082,9.931546,0.095080,-0.295398,-0.031580,-0.361148,-0.014627,0.006406,0.999995,-0.003152,-0.000128,0.000055
94,0.008129,-0.066769,9.929852,-0.136894,-0.217487,-0.031002,-0.361845,-0.023181,0.005417,0.999995,-0.003158,-0.000202,0.000047
95,0.008194,-0.065815,9.932743,-0.087956,-0.159611,-0.026005,-0.365592,-0.029472,0.004507,0.999995,-0.003190,-0.000257,0.000039
96,0.007296,-0.067597,9.930200,-0.139511,-0.069483,-0.028442,-0.369382,-0.033296,0.003624,0.999995,-0.003223,-0.000291,0.000031
97,0.005766,-0.069720,9.930297,-0.219390,0.042404,-0.033846,-0.375364,-0.033754,0.002589,0.999995,-0.003276,-0.000295,0.000022
99,0.005247,-0.066127,9.929557,-0.025793,0.073060,-0.035315,-0.379449,-0.031838,0.001423,0.999995,-0.003311,-0.000278,0.000012
100,0.010537,-0.053086,9.932396,0.621819,-0.192442,-0.046542,-0.369515,-0.033836,0.000072,0.999995,-0.003225,-0.000295,-0.000000
101,0.009893,-0.056141,9.930100,0.393214,-0.145350,-0.062883,-0.352596,-0.039477,-0.001716,0.999995,-0.003077,-0.000344,-0.000016
102,0.009598,-0.049008,9.935382,0.582286,-0.080293,-0.067213,-0.336336,-0.043251,-0.003862,0.999996,-0.002935,-0.000377,-0.000035
103,0.011383,-0.057465,9.936277,0.077607,-0.140059,-0.067128,-0.325336,-0.046936,-0.006080,0.999996,-0.002839,-0.000409,-0.000054
104,0.009638,-0.059258,9.934321,-0.086019,-0.022560,-0.057176,-0.325475,-0.049659,-0.008136,0.999996,-0.002840,-0.000433,-0.000072
106,0.006477,-0.069009,9.930188,-0.537709,0.158669,-0.039043,-0.335869,-0.047399,-0.009752,0.999996,-0.002931,-0.000413,-0.000086
107,0.008477,-0.064561,9.928407,-0.240704,0.048220,-0.035356,-0.348842,-0.043959,-0.011013,0.999995,-0.003044,-0.000383,-0.000097
108,0.009769,-0.066548,9.923735,-0.231674,-0.031541,-0.032865,-0.356714,-0.043688,-0.012152,0.999995,-0.003113,-0.000381,-0.000107
109,0.012123,-0.060704,9.920992,0.095847,-0.145666,-0.035350,-0.358977,-0.046648,-0.013270,0.999995,-0.003133,-0.000407,-0.000117
110,0.016305,-0.063045,9.924327,-0.000854,-0.321089,-0.030247,-0.357392,-0.054434,-0.014315,0.999995,-0.003119,-0.000475,-0.000126
111,0.017804,-0.060675,9.926157,0.088819,-0.327946,-0.039521,-0.355925,-0.065258,-0.015410,0.999995,-0.003106,-0.000569,-0.000136
113,0.019665,-0.065641,9.926683,-0.144448,-0.313569,-0.028562,-0.356851,-0.075957,-0.016478,0.999995,-0.003114,-0.000662,-0.000146
114,0.015193,-0.065129,9.928770,-0.108219,-0.025964,-0.016075,-0.361061,-0.081621,-0.017187,0.999995,-0.003151,-0.000712,-0.000152
115,0.010148,-0.067414,9.931817,-0.186727,0.260018,-0.011160,-0.365976,-0.077723,-0.017665,0.999995,-0.003194,-0.000678,-0.000156
116,0.003060,-0.071068,9.928082,-0.309687,0.554416,-0.027402,-0.374249,-0.064153,-0.018396,0.999995,-0.003266,-0.000559,-0.000162
117,0.003358,-0.075137,9.927976,-0.428410,0.424544,-0.028079,-0.386550,-0.047844,-0.019429,0.999994,-0.003373,-0.000417,-0.000171
118,0.002276,-0.065387,9.926970,0.109100,0.334913,-0.036768,-0.391871,-0.035194,-0.020596,0.999994,-0.003420,-0.000307,-0.000181
120,0.004702,-0.068707,9.928226,-0.007322,0.118706,-0.051849,-0.390173,-0.027644,-0.022124,0.999994,-0.003405,-0.000241,-0.000194
121,0.006084,-0.061603,9.925103,0.313819,-0.010161,-0.058957,-0.385064,-0.025847,-0.023983,0.999994,-0.003360,-0.000225,-0.000210
122,0.009594,-0.052187,9.930328,0.707606,-0.178789,-0.051151,-0.368040,-0.029008,-0.025797,0.999995,-0.003212,-0.000252,-0.000226
123,0.014751,-0.047754,9.934268,0.773962,-0.385215,-0.040310,-0.343346,-0.038418,-0.027263,0.999995,-0.002996,-0.000335,-0.000239
124,0.017215,-0.056063,9.937826,0.212360,-0.434102,-0.033975,-0.326906,-0.052080,-0.028421,0.999996,-0.002853,-0.000454,-0.000249
125,0.018228,-0.053815,9.940250,0.189734,-0.363770,-0.025862,-0.320204,-0.065383,-0.029342,0.999996,-0.002794,-0.000570,-0.000258
127,0.017539,-0.053436,9.946262,0.158150,-0.219041,-0.025029,-0.314405,-0.075101,-0.030137,0.999996,-0.002744,-0.000655,-0.000265
128,0.016763,-0.060708,9.940600,-0.221912,-0.119749,-0.037628,-0.315466,-0.080753,-0.031150,0.999996,-0.002753,-0.000704,-0.000274
129,0.009642,-0.061572,9.936376,-0.259095,0.247519,-0.040079,-0.323481,-0.078631,-0.032457,0.999996,-0.002823,-0.000685,-0.000285
130,0.008118,-0.054045,9.934885,0.138109,0.305401,-0.052533,-0.325495,-0.069425,-0.034052,0.999996,-0.002841,-0.000605,-0.000299
131,0.005884,-0.057576,9.935334,-0.020764,0.321141,-0.049112,-0.323538,-0.058992,-0.035805,0.999996,-0.002824,-0.000514,-0.000314
132,0.006766,-0.056310,9.931009,0.013213,0.187737,-0.034616,-0.323662,-0.050519,-0.037249,0.999996,-0.002825,-0.000440,-0.000326
