seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
69,0.033767,-9.628616,0.219644,0.074426,0.078920,0.025511,-88.693138,-0.200890,8.737771,0.713139,-0.696869,-0.054498,0.053255
71,0.031458,-9.632813,0.203701,0.066750,0.078920,0.019414,-88.704735,-0.198594,8.735259,0.713069,-0.696944,-0.054474,0.053247
72,0.031337,-9.631775,0.202732,0.063605,0.069765,0.027057,-88.728760,-0.194074,8.732889,0.712922,-0.697096,-0.054442,0.053249
73,0.030810,-9.623610,0.206440,0.043702,0.059083,0.004179,-88.745636,-0.190262,8.730815,0.712818,-0.697204,-0.054414,0.053251
74,0.033952,-9.618765,0.208294,0.034518,0.060609,-0.000399,-88.752281,-0.190331,8.728849,0.712779,-0.697246,-0.054405,0.053235
75,0.032708,-9.615183,0.207902,0.029929,0.071290,-0.018719,-88.754448,-0.192933,8.726656,0.712768,-0.697260,-0.054409,0.053205
76,0.032850,-9.618544,0.209720,0.029926,0.066713,-0.021774,-88.754227,-0.194582,8.724344,0.712771,-0.697259,-0.054405,0.053180
78,0.034839,-9.614552,0.209145,0.034506,0.066712,-0.023308,-88.752594,-0.197506,8.722102,0.712783,-0.697248,-0.054409,0.053149
79,0.035765,-9.622668,0.211108,0.031460,0.074341,-0.023322,-88.750099,-0.202252,8.719729,0.712802,-0.697231,-0.054423,0.053107
80,0.033116,-9.625948,0.215285,0.026901,0.059082,-0.029431,-88.743362,-0.204527,8.717466,0.712845,-0.697189,-0.054420,0.053082
81,0.031090,-9.624258,0.212714,0.019293,0.060608,-0.029419,-88.736801,-0.201969,8.715431,0.712884,-0.697151,-0.054389,0.053088
82,0.028445,-9.622686,0.211698,0.026925,0.066713,-0.026341,-88.735092,-0.195466,8.713285,0.712893,-0.697144,-0.054335,0.053115
83,0.025282,-9.629024,0.212860,0.023874,0.069765,-0.018672,-88.734444,-0.185157,8.710996,0.712893,-0.697146,-0.054256,0.053164
