seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
87,0.043406,0.134700,-9.869648,0.321687,-0.004102,-1.779008,179.217972,-0.251993,-35.720276
88,0.052753,0.163683,-9.871060,-1.406771,0.507354,-0.026366,179.199753,-0.259964,-35.690067
89,0.049738,0.165022,-9.871119,-1.321227,0.295514,-0.038194,179.154266,-0.273323,-35.688801
90,0.046443,0.165969,-9.876483,-0.981772,0.024315,-0.046869,179.115875,-0.278631,-35.687309
92,0.045664,0.167603,-9.873850,-0.720072,-0.052536,-0.048606,179.087509,-0.278136,-35.685722
93,0.043495,0.169532,-9.874978,-0.126294,0.016563,-0.044765,179.073395,-0.277511,-35.684177
94,0.045757,0.166347,-9.870712,-0.044223,0.044479,-0.040918,179.070541,-0.278506,-35.682732
95,0.043682,0.170834,-9.872567,-0.105331,0.018195,-0.029402,179.068054,-0.279531,-35.681541
96,0.045963,0.177177,-9.870612,-0.181736,0.044243,-0.018659,179.063263,-0.280558,-35.680725
97,0.047402,0.178012,-9.871552,-0.177111,0.053641,-0.015359,179.057281,-0.282180,-35.680134
99,0.045836,0.173364,-9.866267,-0.103689,0.022028,-0.030656,179.052597,-0.283429,-35.679348
100,0.047172,0.172687,-9.866844,-0.073077,0.037343,-0.036446,179.049637,-0.284400,-35.678215
101,0.048458,0.169377,-9.861149,0.003320,0.057590,-0.032935,179.048477,-0.285962,-35.677032
102,0.049957,0.166947,-9.863045,0.030077,0.094016,-0.047783,179.049026,-0.288467,-35.675648
103,0.047318,0.164587,-9.860557,0.069724,0.059326,-0.052850,179.050674,-0.290994,-35.673927
104,0.049452,0.167181,-9.861487,-0.129746,0.071800,-0.046156,179.049667,-0.293152,-35.672241
106,0.046616,0.164565,-9.861774,0.021930,-0.086643,-0.035878,179.047867,-0.292882,-35.670872
107,0.045156,0.166513,-9.862166,-0.095223,-0.158085,-0.037457,179.046631,-0.288783,-35.669720
108,0.048193,0.167882,-9.857897,-0.133103,0.001731,-0.031617,179.042831,-0.286159,-35.668617
109,0.049474,0.163588,-9.859430,0.100400,0.085389,-0.035067,179.042267,-0.287592,-35.667480
110,0.049785,0.168010,-9.860399,-0.092639,0.080697,-0.028455,179.042404,-0.290342,-35.666378
111,0.050650,0.170093,-9.864365,-0.209989,0.094457,-0.028665,179.037354,-0.293245,-35.665379
113,0.053584,0.166884,-9.865148,0.031605,0.194563,-0.034783,179.034363,-0.298043,-35.664238
114,0.048232,0.162772,-9.872587,0.238459,-0.102991,-0.034152,179.038864,-0.299550,-35.663067
115,0.047181,0.174817,-9.878177,-0.394990,-0.175076,-0.026315,179.036255,-0.294899,-35.662136
116,0.043606,0.175201,-9.880050,-0.033195,-0.047155,-0.033031,179.029114,-0.291179,-35.661209
117,0.043349,0.177286,-9.880903,-0.069479,-0.034851,-0.045216,179.027390,-0.289790,-35.659931
118,0.048490,0.179238,-9.881898,-0.086624,0.045089,-0.044193,179.024780,-0.289936,-35.658436
120,0.046369,0.189933,-9.878224,-0.190825,0.014285,-0.049861,179.020157,-0.290898,-35.656849
121,0.044176,0.178061,-9.872333,-0.385954,-0.230163,-0.065754,179.010529,-0.287268,-35.654991
122,0.044485,0.172370,-9.871471,-0.039572,-0.183941,-0.050956,179.003433,-0.280333,-35.653164
123,0.045079,0.172615,-9.871341,0.025362,-0.107933,-0.049206,179.003189,-0.275441,-35.651573
124,0.042409,0.170963,-9.867409,0.105558,-0.209451,-0.038163,179.005356,-0.270126,-35.650211
125,0.043749,0.167395,-9.865327,0.246133,-0.094700,-0.024802,179.011215,-0.265040,-35.649250
127,0.046141,0.174723,-9.872290,-0.127167,0.061910,-0.025451,179.013199,-0.264479,-35.648426
128,0.048299,0.177190,-9.874787,-0.284855,0.175565,-0.025700,179.006317,-0.268422,-35.647507
129,0.050633,0.175302,-9.868353,-0.140582,0.266418,-0.032736,178.999222,-0.275770,-35.646397
130,0.053382,0.181659,-9.865666,-0.394861,0.343398,-0.046409,178.990295,-0.285909,-35.644897
131,0.051271,0.180440,-9.867751,-0.269198,0.152557,-0.056750,178.979218,-0.294143,-35.643036
132,0.050724,0.174163,-9.865215,0.095788,0.053184,-0.057957,178.976318,-0.297537,-35.641068
134,0.052672,0.176556,-9.861209,0.003390,0.123056,-0.063338,178.977966,-0.300438,-35.638992
135,0.053379,0.179349,-9.863131,-0.136069,0.120602,-0.051747,178.975739,-0.304464,-35.637005
136,0.049678,0.175860,-9.869216,0.010017,-0.097814,-0.063772,178.973633,-0.304809,-35.635067
137,0.055960,0.170869,-9.867644,0.291169,0.198901,-0.061449,178.978638,-0.306457,-35.632954
138,0.054534,0.175404,-9.864547,0.051153,0.112368,-0.055227,178.984329,-0.311609,-35.630913
139,0.053124,0.177096,-9.868312,-0.077425,-0.001999,-0.053384,178.983887,-0.313416,-35.629070
140,0.051439,0.172731,-9.871948,0.141813,-0.084650,-0.058512,178.984940,-0.311939,-35.627232
141,0.052645,0.169167,-9.868906,0.350262,-0.010313,-0.048698,178.993134,-0.310325,-35.625473
142,0.047852,0.168498,-9.868389,0.293416,-0.222267,-0.045183,179.003860,-0.306422,-35.623981
143,0.048893,0.166396,-9.872101,0.307614,-0.132580,-0.040558,179.013870,-0.300484,-35.622650
144,0.049894,0.159229,-9.867849,0.583364,-0.037813,-0.040477,179.028717,-0.297622,-35.621357
145,0.049557,0.162970,-9.864730,0.250316,-0.040026,-0.049593,179.042603,-0.296299,-35.619873
146,0.047220,0.159136,-9.873682,0.328678,-0.153890,-0.049421,179.052246,-0.293040,-35.618282
147,0.048081,0.171336,-9.878997,-0.356417,-0.081982,-0.054792,179.051773,-0.289081,-35.616608
148,0.049826,0.172783,-9.876678,-0.442593,0.042808,-0.059230,179.038437,-0.288396,-35.614716
149,0.046535,0.173381,-9.881922,-0.337564,-0.114842,-0.061426,179.025436,-0.287162,-35.612728
