seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
6750,6.905532,6.969598,0.124398,-0.049173,-0.111820,0.069762,88.977478,-44.730888,-88.547249,0.658517,0.274518,-0.646762,-0.269618
6752,6.903683,6.977841,0.125270,-0.043070,-0.101138,0.071274,88.979416,-44.732559,-88.551918,0.658506,0.274494,-0.646782,-0.269624
6753,6.898309,6.979232,0.122398,-0.052224,-0.101139,0.074289,88.981201,-44.734104,-88.556648,0.658494,0.274468,-0.646801,-0.269632
6754,6.904925,6.978421,0.121555,-0.043062,-0.108774,0.077303,88.983345,-44.735752,-88.561737,0.658480,0.274443,-0.646822,-0.269640
6755,6.902829,6.970607,0.125029,-0.030853,-0.114878,0.072704,88.985847,-44.737801,-88.566978,0.658467,0.274416,-0.646846,-0.269644
6756,6.903217,6.969329,0.124316,-0.032382,-0.099616,0.071166,88.988136,-44.739964,-88.571831,0.658454,0.274389,-0.646868,-0.269647
6757,6.900571,6.969168,0.125112,-0.032386,-0.102664,0.074204,88.990150,-44.742088,-88.576378,0.658444,0.274363,-0.646889,-0.269650
6759,6.903163,6.969818,0.127689,-0.032396,-0.102654,0.077240,88.991943,-44.744255,-88.580803,0.658434,0.274336,-0.646910,-0.269653
6760,6.898554,6.961608,0.131238,-0.033940,-0.091953,0.060444,88.993080,-44.746342,-88.584656,0.658427,0.274309,-0.646927,-0.269656
6761,6.894258,6.964291,0.127178,-0.047694,-0.082780,0.045168,88.993652,-44.747715,-88.588058,0.658421,0.274285,-0.646940,-0.269665
6762,6.899569,6.970674,0.126657,-0.055335,-0.084293,0.039036,88.994049,-44.748447,-88.591507,0.658413,0.274264,-0.646951,-0.269678
6763,6.900682,6.982471,0.129423,-0.053825,-0.082751,0.022205,88.994225,-44.748379,-88.594879,0.658405,0.274246,-0.646959,-0.269697
6764,6.905511,6.976012,0.124946,-0.049259,-0.084263,0.016056,88.994621,-44.747940,-88.598335,0.658395,0.274232,-0.646967,-0.269717
6766,6.909297,6.977496,0.127060,-0.052321,-0.090357,0.023661,88.995316,-44.748005,-88.602066,0.658384,0.274214,-0.646978,-0.269734
6767,6.914230,6.977178,0.134622,-0.041663,-0.108645,0.038905,88.995857,-44.748711,-88.605896,0.658376,0.274192,-0.646990,-0.269749
6768,6.912101,6.975852,0.133863,-0.038644,-0.123871,0.046525,88.996712,-44.749958,-88.610176,0.658366,0.274165,-0.647005,-0.269762
6769,6.911985,6.962782,0.129672,-0.044774,-0.123844,0.048058,88.998062,-44.751755,-88.615021,0.658356,0.274135,-0.647025,-0.269772
6770,6.904821,6.969226,0.138205,-0.055489,-0.128390,0.041958,88.998878,-44.753437,-88.619736,0.658346,0.274104,-0.647042,-0.269785
6771,6.904274,6.969190,0.134579,-0.060107,-0.128349,0.046520,88.999168,-44.754562,-88.624321,0.658337,0.274073,-0.647056,-0.269803
6773,6.902532,6.967395,0.132382,-0.058614,-0.114584,0.040399,88.999580,-44.755630,-88.628853,0.658328,0.274044,-0.647071,-0.269821
6774,6.905552,6.963742,0.134374,-0.051018,-0.103870,0.040389,88.999725,-44.756805,-88.632812,0.658321,0.274016,-0.647084,-0.269836
6775,6.900502,6.972036,0.135710,-0.044951,-0.105359,0.048001,88.999725,-44.757843,-88.636398,0.658315,0.273990,-0.647095,-0.269851
6776,6.899370,6.971981,0.130989,-0.026671,-0.108378,0.066272,89.000443,-44.758808,-88.640244,0.658307,0.273967,-0.647108,-0.269863
6777,6.897533,6.965665,0.131573,-0.017542,-0.108351,0.055554,89.001923,-44.759998,-88.644348,0.658296,0.273945,-0.647124,-0.269872
6778,6.897548,6.966351,0.129764,-0.011464,-0.105273,0.057049,89.003677,-44.761147,-88.648430,0.658285,0.273926,-0.647141,-0.269879
6780,6.894262,6.976545,0.131610,-0.011490,-0.109825,0.049369,89.005547,-44.761692,-88.652534,0.658272,0.273910,-0.647157,-0.269889
6781,6.894752,6.974469,0.132949,-0.013047,-0.120474,0.037094,89.007393,-44.761513,-88.656830,0.658257,0.273897,-0.647171,-0.269904
6782,6.896186,6.969698,0.129490,-0.025282,-0.123497,0.024832,89.009354,-44.761230,-88.661537,0.658241,0.273884,-0.647186,-0.269921
6783,6.897933,6.978139,0.133240,-0.040572,-0.128045,0.030881,89.010941,-44.760838,-88.666389,0.658224,0.273868,-0.647200,-0.269943
6784,6.901777,6.972715,0.129585,-0.051284,-0.128014,0.026251,89.012123,-44.760559,-88.671318,0.658209,0.273848,-0.647214,-0.269966
6785,6.898416,6.966122,0.127972,-0.058937,-0.120360,0.021639,89.013214,-44.760567,-88.676308,0.658195,0.273826,-0.647229,-0.269988
6787,6.904946,6.965060,0.124960,-0.063532,-0.105083,0.036879,89.013977,-44.761105,-88.680931,0.658183,0.273801,-0.647243,-0.270007
6788,6.907182,6.971193,0.130290,-0.055924,-0.102010,0.036864,89.014343,-44.762035,-88.685028,0.658175,0.273775,-0.647256,-0.270024
6789,6.905461,6.970891,0.125077,-0.037634,-0.085203,0.030739,89.014793,-44.762653,-88.688652,0.658167,0.273754,-0.647267,-0.270038
6790,6.901761,6.975728,0.127650,-0.033074,-0.085185,0.027651,89.015533,-44.762760,-88.692001,0.658157,0.273738,-0.647277,-0.270053
6791,6.902177,6.978772,0.129097,-0.023942,-0.086687,0.032177,89.016258,-44.762505,-88.695198,0.658148,0.273726,-0.647286,-0.270068
6792,6.899517,6.980236,0.129287,-0.016338,-0.095815,0.039745,89.017303,-44.762215,-88.698563,0.658136,0.273715,-0.647296,-0.270083
6794,6.901062,6.976744,0.125225,-0.019411,-0.089690,0.027479,89.018730,-44.761887,-88.702156,0.658124,0.273704,-0.647307,-0.270098
6795,6.902795,6.976864,0.121159,-0.022473,-0.095783,0.030481,89.020584,-44.761642,-88.706139,0.658109,0.273694,-0.647320,-0.270112
6796,6.902870,6.977351,0.123931,-0.025532,-0.085093,0.030432,89.022331,-44.761501,-88.710068,0.658096,0.273683,-0.647333,-0.270125
6797,6.906906,6.972648,0.122930,-0.031648,-0.086606,0.021240,89.023605,-44.761490,-88.713661,0.658084,0.273670,-0.647345,-0.270139
6798,6.909297,6.970385,0.125629,-0.037767,-0.086591,0.009014,89.024567,-44.761570,-88.717186,0.658074,0.273655,-0.647356,-0.270153
6799,6.909195,6.972400,0.130926,-0.045424,-0.086565,0.019680,89.024742,-44.761730,-88.720337,0.658066,0.273637,-0.647364,-0.270169
6801,6.907336,6.966672,0.132471,-0.040881,-0.092632,0.019668,89.024460,-44.762104,-88.723267,0.658061,0.273617,-0.647371,-0.270186
6802,6.910367,6.961103,0.127116,-0.039386,-0.095653,0.019672,89.024681,-44.762901,-88.726578,0.658054,0.273595,-0.647382,-0.270199
6803,6.911781,6.965072,0.124843,-0.040933,-0.089530,0.022737,89.025368,-44.763962,-88.730186,0.658047,0.273572,-0.647394,-0.270210
6804,6.909804,6.964079,0.121555,-0.036368,-0.074257,0.022743,89.026131,-44.764942,-88.733566,0.658039,0.273552,-0.647407,-0.270219
6805,6.911837,6.966547,0.119417,-0.024166,-0.075778,0.022748,89.027313,-44.765842,-88.736870,0.658031,0.273535,-0.647420,-0.270226
6806,6.910947,6.964244,0.125311,-0.019599,-0.081871,0.025805,89.028625,-44.766815,-88.740166,0.658022,0.273518,-0.647433,-0.270232
6808,6.910739,6.966944,0.128917,-0.018098,-0.091002,0.028859,89.029610,-44.767818,-88.743332,0.658014,0.273500,-0.647445,-0.270239
6809,6.912645,6.965946,0.130762,-0.024234,-0.092495,0.038017,89.030296,-44.769012,-88.746475,0.658008,0.273480,-0.647458,-0.270246
6810,6.914610,6.960643,0.132737,-0.022747,-0.106191,0.041083,89.030884,-44.770744,-88.749763,0.658003,0.273455,-0.647471,-0.270252
6811,6.910743,6.958329,0.128695,-0.019731,-0.115311,0.036526,89.032059,-44.772640,-88.753700,0.657995,0.273429,-0.647488,-0.270257
6812,6.908647,6.967911,0.123213,-0.022806,-0.118341,0.039581,89.034050,-44.774021,-88.758354,0.657982,0.273406,-0.647507,-0.270265
6813,6.908494,6.966478,0.118513,-0.013658,-0.132066,0.050250,89.037117,-44.775261,-88.763885,0.657965,0.273385,-0.647531,-0.270272
6814,6.903071,6.965057,0.113356,-0.004500,-0.133595,0.047180,89.041344,-44.776512,-88.770203,0.657943,0.273367,-0.647559,-0.270278
6815,6.904229,6.968567,0.112767,-0.001437,-0.130553,0.033420,89.046112,-44.777256,-88.776741,0.657917,0.273353,-0.647587,-0.270284
6816,6.906899,6.968430,0.119082,-0.009066,-0.118345,0.036444,89.050095,-44.777809,-88.782593,0.657895,0.273339,-0.647612,-0.270292
6817,6.912226,6.962148,0.121724,-0.016708,-0.115280,0.030333,89.052864,-44.778786,-88.787598,0.657879,0.273321,-0.647633,-0.270299
6818,6.912205,6.961349,0.124015,-0.033514,-0.100001,0.018134,89.054535,-44.779869,-88.791901,0.657867,0.273301,-0.647650,-0.270308
6819,6.914678,6.960263,0.128280,-0.048805,-0.095392,0.019674,89.054855,-44.780888,-88.795395,0.657861,0.273277,-0.647662,-0.270321
6820,6.910277,6.962881,0.131690,-0.051897,-0.099929,0.027313,89.054314,-44.781929,-88.798500,0.657857,0.273250,-0.647670,-0.270336
6821,6.908473,6.966317,0.128637,-0.044310,-0.107517,0.034934,89.054039,-44.782784,-88.801880,0.657852,0.273225,-0.647680,-0.270352
6822,6.906744,6.973360,0.125215,-0.053499,-0.104432,0.044060,89.054276,-44.783424,-88.805687,0.657844,0.273201,-0.647691,-0.270369
6823,6.907359,6.980127,0.125814,-0.053527,-0.121188,0.054691,89.054779,-44.783878,-88.809944,0.657833,0.273177,-0.647704,-0.270388
6824,6.907013,6.979998,0.124964,-0.045927,-0.122685,0.043951,89.055725,-44.784100,-88.814644,0.657821,0.273155,-0.647718,-0.270408
6825,6.909910,6.978886,0.124658,-0.053582,-0.115028,0.051527,89.056641,-44.784397,-88.819252,0.657808,0.273132,-0.647731,-0.270428
6826,6.913466,6.974984,0.122923,-0.065815,-0.107374,0.043859,89.057091,-44.785091,-88.823586,0.657798,0.273106,-0.647745,-0.270446
6827,6.911491,6.969252,0.124226,-0.044476,-0.110401,0.031629,89.057632,-44.785828,-88.827827,0.657789,0.273081,-0.647758,-0.270463
6828,6.906215,6.960194,0.124873,-0.027718,-0.096640,0.025512,89.058479,-44.786484,-88.831703,0.657779,0.273061,-0.647771,-0.270477
6829,6.902395,6.957572,0.126376,-0.027749,-0.105765,0.039234,89.059349,-44.787350,-88.835350,0.657771,0.273040,-0.647783,-0.270488
6830,6.901893,6.959423,0.126122,-0.020152,-0.110310,0.039219,89.060455,-44.788303,-88.839233,0.657761,0.273019,-0.647798,-0.270499
6831,6.898964,6.955867,0.124871,-0.006450,-0.114855,0.036148,89.062157,-44.789135,-88.843384,0.657749,0.273001,-0.647814,-0.270508
6832,6.904722,6.961119,0.127857,-0.027848,-0.111770,0.037656,89.063629,-44.789978,-88.847504,0.657738,0.272981,-0.647829,-0.270519
6833,6.908713,6.970597,0.124293,-0.035510,-0.123943,0.033053,89.064774,-44.790565,-88.851822,0.657726,0.272960,-0.647843,-0.270534
6834,6.916193,6.971176,0.120330,-0.018749,-0.128498,0.031504,89.066864,-44.791119,-88.856903,0.657710,0.272940,-0.647862,-0.270548
6835,6.917350,6.973762,0.120707,-0.020293,-0.134582,0.025384,89.069618,-44.791721,-88.862404,0.657692,0.272921,-0.647883,-0.270560
6836,6.921304,6.962682,0.123454,-0.038629,-0.142188,0.025386,89.072006,-44.792683,-88.868042,0.657675,0.272898,-0.647904,-0.270574
6837,6.914367,6.963006,0.122002,-0.027975,-0.139109,0.022346,89.074203,-44.793858,-88.873695,0.657659,0.272872,-0.647926,-0.270587
6838,6.916544,6.957605,0.126030,-0.024954,-0.129923,0.034566,89.076195,-44.795158,-88.878883,0.657645,0.272846,-0.647946,-0.270598
6839,6.908316,6.960841,0.128284,-0.026521,-0.122253,0.034572,89.077454,-44.796494,-88.883339,0.657635,0.272821,-0.647963,-0.270609
6840,6.904666,6.960507,0.123880,-0.029612,-0.120688,0.039133,89.078613,-44.797390,-88.887680,0.657624,0.272798,-0.647978,-0.270622
6841,6.897802,6.969931,0.125181,-0.011336,-0.114549,0.052824,89.080086,-44.797882,-88.891968,0.657611,0.272779,-0.647993,-0.270636
6842,6.902342,6.961759,0.126004,-0.012898,-0.122141,0.054300,89.081696,-44.798496,-88.896156,0.657599,0.272761,-0.648009,-0.270647
6843,6.900655,6.963465,0.124885,-0.019040,-0.114473,0.040531,89.083160,-44.799217,-88.900345,0.657587,0.272742,-0.648024,-0.270659
6844,6.904279,6.961439,0.124955,-0.038914,-0.115962,0.035920,89.084145,-44.799694,-88.904427,0.657576,0.272721,-0.648037,-0.270674
6845,6.904385,6.960639,0.126767,-0.043532,-0.108292,0.035895,89.084473,-44.800316,-88.908264,0.657568,0.272698,-0.648049,-0.270691
6846,6.904315,6.966567,0.125788,-0.058832,-0.115880,0.034337,89.084404,-44.800720,-88.912048,0.657560,0.272674,-0.648058,-0.270710
6847,6.902879,6.967232,0.124917,-0.061923,-0.114315,0.029715,89.084259,-44.800739,-88.916077,0.657551,0.272650,-0.648068,-0.270734
6848,6.897676,6.970510,0.125057,-0.071116,-0.111225,0.044916,89.083885,-44.800568,-88.920036,0.657542,0.272627,-0.648076,-0.270760
6849,6.894741,6.972101,0.127531,-0.060476,-0.105079,0.049417,89.083214,-44.800266,-88.923645,0.657534,0.272604,-0.648082,-0.270786
6850,6.894807,6.967678,0.127301,-0.057468,-0.098930,0.044763,89.082413,-44.799969,-88.926865,0.657528,0.272583,-0.648087,-0.270811
