seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
134,-6.888949,-6.843297,0.005700,0.001333,-0.085871,0.049587,-89.952286,45.190464,-89.932732,0.654001,-0.269623,0.653460,-0.269400
136,-6.899263,-6.830106,0.027591,0.092097,-0.173006,0.151389,-89.946381,45.193810,-89.926613,0.654037,-0.269605,0.653440,-0.269380
137,-6.896167,-6.835530,0.025972,0.057800,-0.137140,0.088473,-89.938667,45.197803,-89.919266,0.654082,-0.269580,0.653414,-0.269359
138,-6.892713,-6.826148,0.026616,0.060903,-0.123420,0.121568,-89.932312,45.201302,-89.913101,0.654119,-0.269559,0.653392,-0.269340
139,-6.889266,-6.825490,0.028124,0.041292,-0.096242,0.092930,-89.926933,45.204872,-89.907906,0.654153,-0.269538,0.653376,-0.269321
140,-6.892959,-6.826496,0.027456,-0.020275,-0.034607,0.092129,-89.924385,45.207954,-89.904800,0.654173,-0.269524,0.653370,-0.269300
141,-6.886218,-6.832916,0.023375,-0.058310,0.021815,0.009696,-89.925468,45.209652,-89.904495,0.654175,-0.269522,0.653376,-0.269282
143,-6.889594,-6.840079,0.023450,-0.063207,0.023611,-0.006121,-89.928261,45.209717,-89.905579,0.654166,-0.269531,0.653385,-0.269272
144,-6.888150,-6.843698,0.018181,-0.100080,0.053041,-0.036439,-89.932259,45.209000,-89.907379,0.654151,-0.269548,0.653397,-0.269264
145,-6.889300,-6.846171,0.017202,-0.089460,0.034808,-0.046799,-89.936890,45.207611,-89.909462,0.654132,-0.269570,0.653409,-0.269257
146,-6.889459,-6.851185,0.016487,-0.047757,-0.006910,-0.055380,-89.939667,45.205917,-89.910133,0.654120,-0.269592,0.653413,-0.269255
147,-6.891487,-6.850072,0.014640,-0.051069,-0.024863,-0.036293,-89.940781,45.204384,-89.909386,0.654115,-0.269611,0.653411,-0.269253
148,-6.889880,-6.851277,0.020938,0.021099,-0.094280,-0.043984,-89.939270,45.203041,-89.906555,0.654122,-0.269626,0.653397,-0.269253
150,-6.890590,-6.852913,0.021893,0.062590,-0.125124,-0.040225,-89.934189,45.201630,-89.901367,0.654143,-0.269635,0.653370,-0.269261
151,-6.892729,-6.859612,0.018736,0.077242,-0.103021,-0.059190,-89.928040,45.199974,-89.895973,0.654167,-0.269640,0.653339,-0.269274
152,-6.888958,-6.856388,0.020123,0.096664,-0.116375,-0.070776,-89.921455,45.197803,-89.890793,0.654189,-0.269645,0.653306,-0.269295
153,-6.889163,-6.851378,0.021193,0.122957,-0.128905,-0.027251,-89.913689,45.196163,-89.884995,0.654217,-0.269643,0.653270,-0.269315
