seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
3914,0.012187,-7.169659,6.678892,-1.344684,0.446668,0.178103,-47.029610,-0.071262,0.031007
3915,0.016672,-7.133729,6.686125,0.892781,0.191743,-0.085503,-47.037136,-0.062881,0.024273
3916,0.005805,-7.111881,6.691102,2.054207,0.556387,0.320684,-46.988003,-0.051510,0.017826
3917,0.013689,-7.104817,6.688116,1.839935,0.030149,-0.124244,-46.923103,-0.042445,0.012916
3918,0.016197,-7.100881,6.682670,1.255858,-0.193256,-0.320936,-46.871494,-0.049719,0.009834
3919,0.017471,-7.092337,6.685807,1.479476,-0.265423,-0.353164,-46.825909,-0.063144,0.007728
3921,0.017653,-7.092596,6.681593,0.953509,-0.441041,-0.267397,-46.785362,-0.078743,0.009233
3922,0.031695,-7.106098,6.676937,0.123905,-1.267645,-0.774881,-46.767426,-0.110904,0.018089
3923,0.041037,-7.103662,6.683609,0.488293,-1.526671,-0.941659,-46.757252,-0.163649,0.032422
3924,0.045507,-7.096655,6.691146,0.939349,-1.257277,-0.740600,-46.733509,-0.215864,0.047002
3925,0.047974,-7.081384,6.687903,1.138211,-0.944139,-0.461928,-46.698940,-0.255610,0.059968
3926,0.050251,-7.081742,6.696864,1.104595,-0.482596,-0.265976,-46.661598,-0.280750,0.068943
3928,0.046534,-7.078515,6.702212,0.963390,0.214070,0.075976,-46.627140,-0.286126,0.070022
3929,0.038906,-7.077640,6.698215,0.331017,0.768817,0.458732,-46.605545,-0.268397,0.064236
3930,0.036032,-7.086078,6.697941,-0.246647,0.772831,0.473776,-46.604092,-0.239452,0.056242
3931,0.044270,-7.102553,6.699814,-0.825393,0.246633,-0.076387,-46.621933,-0.222968,0.048442
3932,0.045853,-7.097852,6.701881,-0.259741,0.058487,-0.277746,-46.639996,-0.223767,0.040691
3933,0.047103,-7.096583,6.696960,-0.291516,0.026628,-0.306519,-46.649151,-0.229873,0.032973
3935,0.046560,-7.092803,6.706222,0.579673,0.080797,-0.265976,-46.644318,-0.235582,0.025121
3936,0.045554,-7.089331,6.706075,0.857469,0.148062,-0.215900,-46.620323,-0.238800,0.016833
3937,0.036804,-7.083195,6.708313,1.037028,0.506019,0.161874,-46.588722,-0.231965,0.008293
3938,0.039063,-7.077827,6.704245,0.657533,0.376710,0.027639,-46.560436,-0.219558,-0.000222
3939,0.035260,-7.070513,6.711631,0.974924,0.442861,0.086777,-46.533192,-0.208779,-0.008827
3940,0.036113,-7.080564,6.703715,-0.276468,0.347023,-0.008158,-46.521526,-0.198771,-0.017479
3942,0.038057,-7.073485,6.711809,0.143537,0.205525,-0.151141,-46.523716,-0.194361,-0.025989
3943,0.045088,-7.066221,6.716019,0.528955,-0.093067,-0.469321,-46.512478,-0.200575,-0.034465
3944,0.041585,-7.080726,6.715384,-0.331396,0.101868,-0.260605,-46.509155,-0.209300,-0.042943
3945,0.045274,-7.082783,6.710876,-0.734457,0.014728,-0.358571,-46.526890,-0.215451,-0.051454
3946,0.049848,-7.075597,6.710823,-0.258311,-0.127505,-0.512863,-46.543392,-0.227285,-0.060081
3947,0.050255,-7.081105,6.704455,-0.653009,-0.045140,-0.434567,-46.558548,-0.240728,-0.068852
3949,0.047558,-7.086447,6.697066,-1.304268,0.562334,-0.190674,-46.591106,-0.242371,-0.082276
3950,0.044376,-7.078038,6.693254,-0.829392,1.030258,-0.047746,-46.626587,-0.227024,-0.104292
3951,0.024973,-7.086793,6.692318,-0.714133,1.947221,0.672402,-46.652206,-0.185382,-0.133222
3952,0.014404,-7.102820,6.692765,-0.941470,2.095163,0.807921,-46.679718,-0.121201,-0.165294
3953,0.011245,-7.108235,6.692719,-0.785567,1.748882,0.460770,-46.708450,-0.061871,-0.197413
3954,0.000685,-7.110393,6.695666,-0.059371,1.350862,0.430853,-46.722523,-0.015632,-0.224833
3956,-0.003068,-7.110098,6.698007,0.283187,0.852191,0.249924,-46.718784,0.017802,-0.243783
3957,0.012019,-7.099806,6.697415,0.543298,-0.232972,-0.624293,-46.705021,0.020337,-0.255573
3958,0.014395,-7.098017,6.697093,0.238122,-0.343258,-0.712241,-46.692001,-0.002461,-0.263860
3959,0.012413,-7.098892,6.694046,-0.228367,-0.076750,-0.441916,-46.691826,-0.021260,-0.271960
3960,0.015801,-7.085779,6.695645,0.327388,-0.063315,-0.441542,-46.690170,-0.033576,-0.280360
3961,0.015049,-7.084390,6.696592,0.460902,0.065278,-0.309275,-46.677029,-0.042658,-0.288969
3963,0.017318,-7.090644,6.694960,0.013588,0.057413,-0.339770,-46.669121,-0.049124,-0.297880
3964,0.014938,-7.076939,6.697056,0.668934,0.199022,-0.204125,-46.657738,-0.052784,-0.307209
3965,0.016703,-7.070357,6.701291,1.028106,0.151433,-0.239619,-46.629436,-0.054151,-0.316534
3966,0.020269,-7.098776,6.689367,-1.119031,0.017850,-0.355271,-46.630936,-0.059421,-0.325393
3967,0.024189,-7.095333,6.688467,-0.854228,-0.139490,-0.513777,-46.663818,-0.071346,-0.333861
3968,0.020280,-7.091672,6.689954,-0.019866,0.044082,-0.299021,-46.678379,-0.082291,-0.342001
3970,0.021990,-7.104952,6.683989,-0.632390,0.042478,-0.289918,-46.689240,-0.088442,-0.349785
3971,0.022231,-7.108013,6.678456,-0.809053,0.068413,-0.264540,-46.713245,-0.093901,-0.357467
3972,0.020706,-7.102159,6.687213,0.167921,0.156258,-0.181840,-46.723919,-0.096750,-0.365293
3973,0.019731,-7.115696,6.684936,-0.533553,0.228813,-0.098280,-46.730000,-0.095749,-0.373167
3974,0.020694,-7.108570,6.686022,-0.403805,0.221474,-0.112510,-46.745613,-0.093165,-0.381040
3975,0.018697,-7.098683,6.690182,0.270128,0.281630,-0.036502,-46.747833,-0.089228,-0.388848
3977,0.019670,-7.100868,6.691410,0.244563,0.212589,-0.117257,-46.739231,-0.085449,-0.396603
3978,0.019821,-7.094002,6.690795,0.441203,0.178755,-0.147266,-46.727798,-0.084189,-0.404374
3979,0.019622,-7.089343,6.691745,0.546198,0.184060,-0.157403,-46.711330,-0.083740,-0.412258
3980,0.020179,-7.099949,6.688404,-0.288013,0.164217,-0.181716,-46.707016,-0.083874,-0.420358
3981,0.022439,-7.108571,6.681233,-0.980387,0.094801,-0.290280,-46.728146,-0.086641,-0.428894
3982,0.018449,-7.109322,6.684416,-0.614382,0.285721,-0.096685,-46.754707,-0.086993,-0.437933
3984,0.020651,-7.110690,6.682652,-0.517356,0.176842,-0.179399,-46.773560,-0.085064,-0.446701
3985,0.021844,-7.111936,6.684363,-0.159245,0.093245,-0.262932,-46.784824,-0.087353,-0.455030
3986,0.010037,-7.099008,6.684120,0.684530,0.535047,0.230286,-46.776062,-0.080579,-0.463034
3987,0.008162,-7.098079,6.688663,0.973609,0.166070,0.270350,-46.748425,-0.066495,-0.465831
3988,0.012900,-7.098369,6.684412,0.546572,-0.350596,-0.042343,-46.723087,-0.065835,-0.460986
3989,0.015060,-7.086535,6.689487,1.030185,-0.455861,-0.152435,-46.696823,-0.077413,-0.453427
3991,0.018954,-7.079497,6.686770,0.757105,-0.721788,-0.181917,-46.667046,-0.094933,-0.442970
3992,0.033670,-7.090939,6.691762,-0.010346,-1.251238,-0.634662,-46.654625,-0.127400,-0.428394
3993,0.042544,-7.089271,6.689871,-0.274676,-1.051496,-0.784112,-46.659405,-0.170938,-0.416710
3994,0.041426,-7.087308,6.690691,-0.146216,-0.499873,-0.429430,-46.666439,-0.203393,-0.411784
3995,0.037883,-7.097632,6.688720,-0.472681,-0.096146,-0.042984,-46.676765,-0.215937,-0.409960
3996,0.041812,-7.090665,6.692151,0.222871,0.033915,-0.161186,-46.680923,-0.219124,-0.411539
3998,0.045593,-7.091321,6.688244,0.092292,-0.001359,-0.316526,-46.675644,-0.224544,-0.417397
3999,0.042206,-7.090560,6.689627,0.083592,0.203060,-0.124667,-46.672684,-0.227586,-0.424888
4000,0.044212,-7.095767,6.688590,-0.232354,0.148860,-0.177789,-46.675133,-0.227229,-0.432614
4001,0.049481,-7.093817,6.686994,-0.234126,-0.058815,-0.407817,-46.682877,-0.233300,-0.440402
4002,0.050018,-7.105915,6.686549,-0.740836,-0.038322,-0.382112,-46.699093,-0.243991,-0.448255
4003,0.046435,-7.101075,6.689245,-0.160274,0.185024,-0.165196,-46.714073,-0.248954,-0.456289
4005,0.044267,-7.100417,6.689324,0.158268,0.314507,-0.058422,-46.714069,-0.245958,-0.464905
4006,0.041208,-7.091484,6.693347,0.740627,0.415121,0.028476,-46.699055,-0.237982,-0.474098
4007,0.035593,-7.089403,6.689866,0.467641,0.573211,0.213646,-46.678875,-0.223746,-0.483316
4008,0.032061,-7.077824,6.690740,0.766258,0.619353,0.254643,-46.658279,-0.204430,-0.492418
4009,0.029338,-7.074249,6.693214,0.857910,0.585988,0.219847,-46.631176,-0.184888,-0.501596
4010,0.029744,-7.072008,6.696229,0.780540,0.438322,0.060679,-46.603848,-0.169764,-0.510792
4012,0.032765,-7.078496,6.692442,0.090704,0.214048,-0.173493,-46.589294,-0.163659,-0.519983
4013,0.038961,-7.077837,6.703038,0.460995,-0.079680,-0.489693,-46.580074,-0.170149,-0.529206
