seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.033096,-0.220704,9.937152,0.524574,-0.636739,29.605574,-1.272267,-0.190768,0.002118
2,0.026764,-0.192049,9.932455,0.479348,-0.470618,19.229542,-1.258249,-0.191248,0.816237
3,0.027065,-0.123309,9.927187,0.679648,-0.344782,12.783735,-1.240728,-0.193210,1.349941
4,0.024109,-0.135980,9.926408,0.359046,-0.175669,9.483608,-1.224672,-0.193915,1.721160
5,0.018806,-0.098018,9.926499,0.912342,-0.043195,7.524623,-1.204433,-0.191549,2.004643
6,0.013650,-0.074587,9.928643,1.016325,0.147488,1.579995,-1.172788,-0.186677,2.156318
8,0.013707,-0.055827,9.931375,0.974928,0.244021,-0.202991,-1.139670,-0.179706,2.179132
9,0.009722,-0.075655,9.936287,0.740412,0.335687,-0.219658,-1.111058,-0.170188,2.171899
10,0.007628,-0.034166,9.932663,1.883764,0.386630,-0.193233,-1.067302,-0.158283,2.164790
11,0.008426,-0.051124,9.935607,1.572391,0.379659,-0.185250,-1.009681,-0.145627,2.158252
12,0.004536,-0.036432,9.933214,1.576659,0.417580,-0.192551,-0.957182,-0.132450,2.151727
13,0.000503,-0.037339,9.931094,1.505882,0.413412,-0.178065,-0.905792,-0.118702,2.145326
15,-0.001158,-0.027841,9.928874,1.554319,0.385330,-0.101791,-0.854779,-0.105463,2.140458
16,-0.002603,-0.045090,9.929609,1.154543,0.348140,-0.032595,-0.809627,-0.093272,2.138041
17,-0.003372,-0.056180,9.927209,0.899851,0.296095,0.005754,-0.775387,-0.082542,2.137445
18,-0.001219,-0.062092,9.924972,0.810577,0.223916,0.057253,-0.746881,-0.073862,2.138380
19,0.000557,-0.065113,9.921034,0.863615,0.187629,0.063019,-0.718980,-0.066977,2.140296
20,0.000681,-0.074996,9.922142,0.727557,0.177050,0.005063,-0.692462,-0.060886,2.141356
22,0.003017,-0.064575,9.924572,0.911221,0.113522,-0.019894,-0.665148,-0.056046,2.141052
23,0.005697,-0.059747,9.925212,1.188789,0.095818,0.001009,-0.630148,-0.052561,2.140698
24,0.003964,-0.030794,9.925599,1.080997,0.073777,-0.066221,-0.592317,-0.049746,2.139581
25,0.002769,-0.016829,9.928319,0.880053,0.051455,-0.090619,-0.559631,-0.047686,2.136946
26,0.002088,-0.028710,9.929055,0.505450,0.029277,-0.088892,-0.536536,-0.046369,2.133942
27,0.001344,-0.033510,9.927124,0.213297,0.052036,-0.102498,-0.524555,-0.045043,2.130739
29,0.001427,-0.036094,9.923757,-0.086089,0.034713,-0.125378,-0.522431,-0.043633,2.126928
30,0.008879,-0.061685,9.922503,0.014034,-0.022113,-0.078643,-0.523630,-0.043454,2.123527
31,0.009943,-0.070964,9.924350,0.162826,-0.005751,-0.067998,-0.520680,-0.043940,2.121087
32,0.010961,-0.060282,9.917957,0.368410,-0.001365,-0.048350,-0.511825,-0.044076,2.119149
33,0.011820,-0.062818,9.919064,0.318537,-0.014068,-0.030084,-0.500375,-0.044345,2.117844
34,0.011879,-0.061515,9.922074,0.301847,-0.023342,-0.022441,-0.490034,-0.044976,2.116974
36,0.007773,-0.060074,9.922840,0.282699,0.029914,-0.023542,-0.480291,-0.044873,2.116207
37,0.004933,-0.060378,9.920500,0.282518,0.068599,-0.026302,-0.470870,-0.043238,2.115363
38,0.007191,-0.050673,9.920640,0.389620,0.040781,-0.025086,-0.459667,-0.041422,2.114491
39,0.008273,-0.057125,9.926940,0.271849,0.023185,-0.020556,-0.448642,-0.040362,2.113722
40,0.005767,-0.053712,9.922669,0.318012,0.054541,-0.008143,-0.438811,-0.039070,2.113234
41,0.006982,-0.056586,9.924385,0.285192,0.048625,-0.018913,-0.428757,-0.037354,2.112770
43,0.008751,-0.053071,9.922963,0.320920,0.015593,-0.019097,-0.418655,-0.036289,2.112129
44,0.008793,-0.053900,9.920796,0.272772,0.012945,-0.026719,-0.408760,-0.035819,2.111362
45,0.008505,-0.050938,9.912710,0.292890,0.018294,-0.032807,-0.399331,-0.035305,2.110366
46,0.009339,-0.050226,9.912362,0.277741,0.018293,-0.045077,-0.389820,-0.034704,2.109064
47,0.007458,-0.053631,9.913179,0.213366,0.037308,-0.023530,-0.381634,-0.033785,2.107914
48,0.008332,-0.052647,9.918255,0.211784,0.031512,-0.015972,-0.374548,-0.032643,2.107248
50,0.002639,-0.052840,9.922610,0.198751,0.085858,-0.020119,-0.367705,-0.030690,2.106634
51,0.001502,-0.050868,9.924755,0.214118,0.095101,-0.020064,-0.360824,-0.027679,2.105945
52,0.003847,-0.062876,9.932055,0.040908,0.057467,-0.027827,-0.356573,-0.025141,2.105131
53,0.001673,-0.063025,9.933342,0.047564,0.071379,-0.047535,-0.355098,-0.023001,2.103862
54,0.000150,-0.068217,9.927541,-0.034065,0.090784,-0.045903,-0.354873,-0.020308,2.102288
55,0.003532,-0.074291,9.931833,-0.105815,0.060120,-0.026320,-0.357203,-0.017801,2.101068
57,0.002806,-0.073608,9.931578,-0.105551,0.058903,-0.021731,-0.360726,-0.015822,2.100255
58,-0.000603,-0.059832,9.930039,0.075570,0.089708,-0.016981,-0.361225,-0.013350,2.099595
59,0.002296,-0.059212,9.927801,0.072901,0.057414,-0.014171,-0.358751,-0.010901,2.099060
60,0.008303,-0.055231,9.931396,0.115677,-0.025950,-0.019220,-0.355608,-0.010380,2.098500
61,0.004279,-0.052905,9.925413,0.132839,0.014812,-0.038775,-0.351466,-0.010571,2.097535
62,0.007012,-0.052611,9.926787,0.141799,-0.013308,-0.040489,-0.346888,-0.010554,2.096214
64,0.008926,-0.059799,9.925754,0.040459,-0.043100,-0.034498,-0.343850,-0.011502,2.094970
65,0.009054,-0.050378,9.924289,0.147655,-0.042726,-0.042142,-0.340715,-0.012940,2.093701
66,0.004942,-0.056392,9.924348,0.052135,0.007610,-0.046401,-0.337384,-0.013534,2.092229
67,0.012658,-0.050084,9.923389,0.141161,-0.078805,-0.040830,-0.334163,-0.014729,2.090782
68,0.012138,-0.059725,9.927499,0.013007,-0.073442,-0.045323,-0.331593,-0.017275,2.089361
69,0.011104,-0.061386,9.925917,-0.014481,-0.045789,-0.037582,-0.331617,-0.019270,2.087991
71,0.008452,-0.071428,9.928542,-0.142383,-0.012708,-0.026660,-0.334231,-0.020251,2.086926
72,0.009231,-0.065373,9.926735,-0.041512,-0.010622,-0.022150,-0.337295,-0.020645,2.086114
73,0.007607,-0.065255,9.931285,-0.045910,0.005882,-0.017463,-0.338752,-0.020728,2.085454
74,0.005204,-0.062408,9.928824,-0.004243,0.029170,-0.009682,-0.339588,-0.020146,2.084999
75,0.010028,-0.056839,9.929744,0.084646,-0.036828,-0.006992,-0.338248,-0.020276,2.084722
76,0.009344,-0.054097,9.924422,0.123968,-0.024179,-0.011529,-0.334771,-0.021294,2.084419
78,0.010983,-0.053468,9.926620,0.118326,-0.054798,-0.019255,-0.330732,-0.022613,2.083914
79,0.006967,-0.056001,9.924866,0.076328,0.004847,-0.026583,-0.327488,-0.023450,2.083154
80,0.010077,-0.053050,9.922384,0.102242,-0.009595,-0.031365,-0.324511,-0.023535,2.082189
81,0.005410,-0.058056,9.918334,0.033627,0.047483,-0.027977,-0.322247,-0.022909,2.081196
82,0.007565,-0.061135,9.921634,-0.016935,0.012198,-0.022005,-0.321968,-0.021919,2.080358
83,0.004556,-0.065869,9.918697,-0.063264,0.052576,-0.011119,-0.323304,-0.020843,2.079800
85,0.006011,-0.064925,9.916553,-0.037677,0.015282,-0.009707,-0.324987,-0.019714,2.079446
86,0.004321,-0.063449,9.915915,-0.015810,0.012705,-0.014197,-0.325878,-0.019249,2.079045
87,0.001369,-0.063351,9.921165,-0.026268,0.044375,-0.033847,-0.326579,-0.018303,2.078239
88,0.001684,-0.061588,9.922612,0.013888,0.046482,-0.039991,-0.326785,-0.016795,2.077000
89,-0.000274,-0.061374,9.925228,0.009309,0.072190,-0.042933,-0.326398,-0.014825,2.075606
90,0.002979,-0.066406,9.929154,-0.050810,0.033765,-0.038579,-0.327089,-0.013067,2.074238
92,0.002581,-0.065585,9.931074,-0.038316,0.042477,-0.032475,-0.328575,-0.011803,2.073047
93,0.009117,-0.062082,9.931546,0.026443,-0.033949,-0.029882,-0.328772,-0.011667,2.072007
94,0.008129,-0.066769,9.929852,-0.047236,-0.028967,-0.029808,-0.329119,-0.012722,2.071018
95,0.008194,-0.065815,9.932743,-0.036875,-0.035234,-0.025223,-0.330520,-0.013797,2.070107
96,0.007296,-0.067597,9.930200,-0.053340,-0.024292,-0.028199,-0.332024,-0.014794,2.069222
97,0.005766,-0.069720,9.930297,-0.087073,0.006024,-0.034182,-0.334363,-0.015105,2.068184
99,0.005247,-0.066127,9.929557,-0.060866,0.015670,-0.035682,-0.336829,-0.014750,2.067018
100,0.010537,-0.053086,9.932396,0.106934,-0.052176,-0.045243,-0.336061,-0.015366,2.065673
101,0.009893,-0.056141,9.930100,0.062387,-0.042043,-0.061967,-0.333238,-0.016947,2.063895
102,0.009598,-0.049008,9.935382,0.133271,-0.029342,-0.066526,-0.329977,-0.018149,2.061760
103,0.011383,-0.057465,9.936277,0.044546,-0.055171,-0.066596,-0.327012,-0.019570,2.059550
104,0.009638,-0.059258,9.934321,0.025429,-0.024625,-0.057295,-0.325845,-0.020912,2.057493
106,0.006477,-0.069009,9.930188,-0.091263,0.028204,-0.040243,-0.326942,-0.020862,2.055867
107,0.008477,-0.064561,9.928407,-0.028761,0.004992,-0.035818,-0.328942,-0.020316,2.054595
108,0.009769,-0.066548,9.923735,-0.049615,-0.003455,-0.032854,-0.330248,-0.020297,2.053451
109,0.012123,-0.060704,9.920992,0.015680,-0.033794,-0.034564,-0.330813,-0.020924,2.052331
110,0.016305,-0.063045,9.924327,-0.017631,-0.086923,-0.028724,-0.330845,-0.022942,2.051288
111,0.017804,-0.060675,9.926157,0.002280,-0.100208,-0.037964,-0.331100,-0.026067,2.050194
113,0.019665,-0.065641,9.926683,-0.046889,-0.101751,-0.027344,-0.331843,-0.029439,2.049125
114,0.015193,-0.065129,9.928770,-0.034788,-0.047974,-0.016324,-0.333204,-0.031939,2.048412
115,0.010148,-0.067414,9.931817,-0.065862,0.022886,-0.012891,-0.334882,-0.032360,2.047928
116,0.003060,-0.071068,9.928082,-0.097386,0.103961,-0.030697,-0.337602,-0.030250,2.047189
117,0.003358,-0.075137,9.927976,-0.135923,0.088681,-0.030725,-0.341490,-0.027045,2.046146
118,0.002276,-0.065387,9.926970,-0.026417,0.085610,-0.038384,-0.344195,-0.024148,2.044977
120,0.004702,-0.068707,9.928226,-0.065363,0.048770,-0.052309,-0.345724,-0.021917,2.043452
121,0.006084,-0.061603,9.925103,0.027071,0.023753,-0.058573,-0.346362,-0.020719,2.041597
122,0.009594,-0.052187,9.930328,0.135860,-0.011494,-0.049718,-0.343645,-0.020526,2.039791
123,0.014751,-0.047754,9.934268,0.178785,-0.065250,-0.037882,-0.338401,-0.021814,2.038338
124,0.017215,-0.056063,9.937826,0.091025,-0.101754,-0.031881,-0.333904,-0.024604,2.037192
125,0.018228,-0.053815,9.940250,0.112693,-0.100225,-0.024284,-0.330508,-0.027976,2.036275
127,0.017539,-0.053436,9.946262,0.113710,-0.079365,-0.024191,-0.326734,-0.030973,2.035484
128,0.016763,-0.060708,9.940600,0.025038,-0.078319,-0.037783,-0.324421,-0.033607,2.034467
129,0.009642,-0.061572,9.936376,0.005554,0.002854,-0.041851,-0.323910,-0.034872,2.033146
130,0.008118,-0.054045,9.934885,0.077503,0.027511,-0.053994,-0.322525,-0.034375,2.031546
131,0.005884,-0.057576,9.935334,0.021830,0.038550,-0.050776,-0.320868,-0.033284,2.029794
132,0.006766,-0.056310,9.931009,0.025201,0.017004,-0.035593,-0.320084,-0.032366,2.028349
134,0.006614,-0.054910,9.931847,0.029156,0.006243,-0.024921,-0.319177,-0.031985,2.027339
135,0.004654,-0.057413,9.928803,0.011992,0.031128,-0.030885,-0.318491,-0.031367,2.026405
136,0.003477,-0.057446,9.927336,-0.000549,0.049580,-0.027765,-0.318300,-0.030027,2.025420
137,0.004562,-0.057082,9.926512,0.004733,0.043533,-0.040059,-0.318229,-0.028482,2.024281
138,0.005854,-0.057507,9.928825,-0.001693,0.028595,-0.050838,-0.318178,-0.027288,2.022760
139,0.002350,-0.057675,9.930932,-0.000551,0.072759,-0.053678,-0.318215,-0.025608,2.021008
141,0.006049,-0.058405,9.932929,-0.019458,0.031312,-0.046302,-0.318547,-0.023883,2.019332
142,0.007588,-0.058251,9.934161,-0.000159,0.005532,-0.040318,-0.318874,-0.023277,2.017885
143,0.009346,-0.059298,9.929496,-0.019548,-0.006871,-0.031279,-0.319202,-0.023306,2.016692
144,0.008142,-0.062846,9.924902,-0.057142,0.016176,-0.026607,-0.320479,-0.023156,2.015727
145,0.013738,-0.059139,9.923911,-0.004247,-0.041145,-0.014782,-0.321502,-0.023576,2.015039
146,0.010393,-0.060825,9.924818,-0.033830,-0.003227,-0.032866,-0.322137,-0.024320,2.014249
147,0.009020,-0.063889,9.923233,-0.054346,0.020178,-0.032754,-0.323606,-0.024044,2.013154
148,0.007460,-0.059235,9.927172,0.014790,0.028503,-0.037260,-0.324265,-0.023239,2.011982
149,0.004514,-0.065325,9.929663,-0.058600,0.050222,-0.041627,-0.324994,-0.021935,2.010660
150,0.000142,-0.063992,9.932352,-0.044643,0.105702,-0.055098,-0.326714,-0.019345,2.009033
