seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
69,-9.817051,-0.029667,-0.169520,0.062752,0.034183,-0.043718,-170.073486,88.995750,-170.074936,0.700975,-0.001059,0.713184,-0.001077
71,-9.812159,-0.029766,-0.166830,0.033370,0.025630,-0.057025,-169.987442,88.994392,-169.990494,0.700969,-0.001060,0.713190,-0.001098
72,-9.815140,-0.023991,-0.165209,0.019714,0.006382,0.014847,-169.952499,88.994003,-169.956482,0.700966,-0.001059,0.713193,-0.001108
73,-9.813783,-0.026412,-0.165541,0.030965,-0.001996,-0.018723,-169.948807,88.994194,-169.953613,0.700965,-0.001054,0.713194,-0.001113
74,-9.814567,-0.024198,-0.163150,0.042717,-0.049463,0.027552,-169.947250,88.995171,-169.953308,0.700971,-0.001045,0.713189,-0.001120
75,-9.813744,-0.016602,-0.161103,0.037840,-0.086142,0.159427,-170.098648,88.997902,-170.106094,0.700985,-0.001018,0.713175,-0.001109
76,-9.815146,-0.021269,-0.158949,0.051433,-0.098523,0.082137,-170.294342,89.001617,-170.303268,0.701004,-0.000984,0.713156,-0.001094
78,-9.816381,-0.027575,-0.158596,0.056227,-0.099342,-0.003018,-170.335251,89.004562,-170.345932,0.701024,-0.000965,0.713136,-0.001097
79,-9.817129,-0.025379,-0.158735,0.051123,-0.081619,0.030408,-170.330154,89.007515,-170.342651,0.701043,-0.000951,0.713117,-0.001105
80,-9.817294,-0.024203,-0.156691,0.043286,-0.091728,0.057192,-170.383926,89.010872,-170.398026,0.701061,-0.000932,0.713100,-0.001106
81,-9.816924,-0.030965,-0.159201,0.055580,-0.043235,-0.060298,-170.357437,89.013046,-170.373199,0.701075,-0.000922,0.713086,-0.001117
82,-9.818887,-0.032427,-0.163089,0.042024,0.027791,-0.095070,-170.205200,89.013046,-170.222580,0.701077,-0.000929,0.713084,-0.001143
83,-9.819902,-0.028142,-0.163358,0.045419,0.029066,-0.032102,-170.092117,89.012062,-170.110886,0.701071,-0.000933,0.713090,-0.001165
85,-9.819829,-0.034303,-0.162379,0.028594,0.003280,-0.125749,-169.946121,89.010277,-169.966125,0.701068,-0.000942,0.713093,-0.001188
86,-9.817250,-0.037868,-0.163168,0.032392,0.011000,-0.178894,-169.658539,89.009094,-169.679459,0.701066,-0.000967,0.713095,-0.001226
87,-9.818898,-0.036874,-0.166334,0.031793,0.057688,-0.148534,-169.359543,89.007317,-169.381516,0.701059,-0.000994,0.713102,-0.001266
88,-9.818978,-0.024756,-0.164313,0.045440,0.002458,0.054087,-169.279770,89.005737,-169.303024,0.701053,-0.000996,0.713108,-0.001283
89,-9.816612,-0.026489,-0.168846,0.039494,0.075811,0.026618,-169.368378,89.004753,-169.393097,0.701044,-0.000979,0.713116,-0.001284
90,-9.815248,-0.020994,-0.169074,0.048861,0.080811,0.104971,-169.518356,89.002594,-169.544540,0.701028,-0.000957,0.713132,-0.001280
92,-9.816373,-0.020938,-0.174397,0.057864,0.145570,0.095846,-169.744461,89.000046,-169.772476,0.701005,-0.000925,0.713155,-0.001270
