seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
7326,-0.067165,6.980567,7.042494,0.021428,-0.089319,0.011197,44.746975,0.388082,0.384661,0.924716,0.380628,0.004409,0.001815
7328,-0.071148,6.980669,7.034230,0.068024,-0.041126,-0.007382,44.748455,0.386494,0.383176,0.924711,0.380640,0.004392,0.001808
7329,-0.066055,6.981952,7.037333,0.052020,-0.090901,0.043267,44.750450,0.384510,0.382051,0.924705,0.380656,0.004372,0.001806
7330,-0.064935,6.982244,7.042655,0.006575,-0.110088,0.042012,44.751415,0.381130,0.380702,0.924702,0.380664,0.004340,0.001806
7331,-0.066513,6.983033,7.043228,0.014052,-0.083394,0.015506,44.751747,0.378165,0.379113,0.924700,0.380667,0.004311,0.001803
7332,-0.068547,6.988948,7.045588,0.049867,-0.046832,-0.000663,44.752808,0.376450,0.377760,0.924697,0.380675,0.004293,0.001798
7333,-0.069249,6.997654,7.044110,0.143784,-0.030377,-0.019143,44.756027,0.375768,0.376620,0.924686,0.380701,0.004283,0.001791
7335,-0.073851,6.999148,7.037395,0.208670,0.017085,-0.056343,44.761894,0.376497,0.375571,0.924667,0.380749,0.004286,0.001780
7336,-0.074779,6.989925,7.035952,0.109700,0.026975,-0.062475,44.767193,0.378413,0.374682,0.924649,0.380792,0.004299,0.001766
7337,-0.070989,6.988456,7.032167,0.100109,-0.019537,-0.007063,44.770683,0.379317,0.373946,0.924638,0.380820,0.004303,0.001757
7338,-0.069309,6.983865,7.036667,-0.015216,-0.049522,0.005030,44.772099,0.378524,0.373111,0.924633,0.380831,0.004294,0.001753
7339,-0.065779,6.979859,7.036860,-0.051112,-0.085877,0.039148,44.770985,0.376403,0.372045,0.924637,0.380822,0.004274,0.001751
7340,-0.061823,6.980396,7.036329,-0.032844,-0.121112,0.072693,44.769577,0.372641,0.370938,0.924641,0.380811,0.004240,0.001755
7342,-0.061614,6.984922,7.033912,0.043229,-0.119389,0.059481,44.769741,0.368244,0.369679,0.924641,0.380813,0.004200,0.001759
7343,-0.063525,6.990490,7.036396,0.088343,-0.092219,0.023649,44.771927,0.364765,0.368179,0.924634,0.380830,0.004167,0.001759
7344,-0.066715,6.991331,7.032239,0.124684,-0.048398,-0.005729,44.775467,0.362890,0.366740,0.924622,0.380859,0.004147,0.001753
7345,-0.071195,6.992656,7.034083,0.104542,0.005217,-0.046890,44.779285,0.362997,0.365611,0.924609,0.380890,0.004144,0.001743
7346,-0.076561,6.989420,7.035318,0.052344,0.064483,-0.113870,44.781891,0.365709,0.364527,0.924601,0.380911,0.004163,0.001726
7347,-0.074906,6.986574,7.039814,-0.042817,0.034631,-0.086453,44.782040,0.369233,0.363321,0.924600,0.380912,0.004187,0.001704
7349,-0.074242,6.982972,7.038869,-0.064406,0.023233,-0.072352,44.780247,0.371782,0.362122,0.924606,0.380898,0.004204,0.001686
7350,-0.073600,6.981575,7.037197,-0.041974,0.000132,-0.078257,44.778461,0.373827,0.360614,0.924612,0.380883,0.004215,0.001667
7351,-0.070528,6.978590,7.034849,-0.039678,-0.028622,-0.051313,44.777088,0.375011,0.358747,0.924617,0.380872,0.004218,0.001648
7352,-0.067019,6.976444,7.034676,-0.047341,-0.072789,-0.001490,44.775623,0.374431,0.356932,0.924622,0.380860,0.004208,0.001636
7353,-0.066296,6.974315,7.028066,0.004823,-0.076999,0.006181,44.774906,0.372604,0.355229,0.924624,0.380855,0.004187,0.001628
7354,-0.064589,6.970171,7.030155,-0.067919,-0.099102,0.016921,44.773842,0.370249,0.353435,0.924628,0.380846,0.004162,0.001621
7356,-0.063506,6.968688,7.031383,-0.102159,-0.100044,0.032842,44.770996,0.367309,0.351686,0.924637,0.380823,0.004133,0.001617
7357,-0.063778,6.969161,7.033185,-0.103969,-0.102847,0.026498,44.767551,0.364211,0.350007,0.924649,0.380796,0.004102,0.001614
7358,-0.061691,6.975477,7.031883,-0.027912,-0.118619,0.039874,44.765343,0.360812,0.348193,0.924656,0.380778,0.004068,0.001611
7359,-0.061648,6.983436,7.037891,0.002695,-0.115068,0.044224,44.764912,0.357059,0.346445,0.924658,0.380775,0.004032,0.001609
7360,-0.068226,6.986425,7.033789,0.085318,-0.039029,-0.032091,44.766373,0.355094,0.344780,0.924653,0.380787,0.004011,0.001602
7361,-0.067610,6.988915,7.038615,0.068771,-0.040809,-0.024480,44.768932,0.354813,0.343173,0.924644,0.380808,0.004003,0.001590
7363,-0.073580,7.000007,7.042821,0.120975,0.021889,-0.086130,44.772083,0.355887,0.341643,0.924634,0.380833,0.004007,0.001574
7364,-0.076483,6.998925,7.045784,0.064294,0.052454,-0.100131,44.775162,0.358953,0.340311,0.924624,0.380858,0.004027,0.001553
7365,-0.080083,7.000939,7.044027,0.104218,0.097742,-0.135754,44.777962,0.363499,0.339284,0.924614,0.380880,0.004061,0.001529
7366,-0.075944,7.001855,7.047113,0.067608,0.050021,-0.096319,44.780811,0.367972,0.338273,0.924605,0.380903,0.004094,0.001506
7367,-0.075681,7.011155,7.044687,0.172569,0.045646,-0.095584,44.784809,0.371357,0.337126,0.924591,0.380935,0.004117,0.001486
7368,-0.068691,7.004041,7.040611,0.131352,-0.034526,-0.011787,44.789867,0.372749,0.335986,0.924574,0.380976,0.004125,0.001472
7370,-0.066980,6.999897,7.042459,0.069759,-0.057785,-0.007667,44.793209,0.371885,0.334672,0.924563,0.381003,0.004113,0.001464
7371,-0.067740,7.001868,7.043405,0.050590,-0.044028,-0.027446,44.795204,0.371093,0.333061,0.924557,0.381019,0.004102,0.001453
7372,-0.063160,7.001424,7.050599,-0.036618,-0.091712,0.031358,44.795433,0.369442,0.331514,0.924556,0.381021,0.004083,0.001446
7373,-0.063234,6.991632,7.048691,-0.124132,-0.097015,0.023740,44.792740,0.366563,0.329949,0.924565,0.381000,0.004055,0.001443
7374,-0.062710,6.998729,7.046877,-0.023253,-0.110803,0.020103,44.790276,0.363590,0.328028,0.924573,0.380980,0.004024,0.001438
7375,-0.064909,7.002291,7.046227,0.016800,-0.078361,-0.002542,44.790157,0.361147,0.326014,0.924574,0.380979,0.003998,0.001430
7377,-0.062171,6.997553,7.043877,0.027619,-0.115565,0.025115,44.790882,0.358588,0.324004,0.924572,0.380985,0.003970,0.001422
7378,-0.064521,6.998756,7.039252,0.092800,-0.085025,-0.016917,44.792873,0.356119,0.321746,0.924565,0.381001,0.003943,0.001412
7379,-0.064419,6.991657,7.039149,0.019247,-0.081688,-0.023961,44.794716,0.354627,0.319304,0.924559,0.381016,0.003923,0.001397
7380,-0.065664,6.991657,7.042381,-0.010624,-0.054394,-0.037743,44.794849,0.353742,0.316977,0.924558,0.381018,0.003908,0.001381
7381,-0.065594,6.990698,7.038407,0.022696,-0.065375,-0.037172,44.795036,0.353205,0.314684,0.924558,0.381019,0.003896,0.001365
