seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
30,1.506568,-8.665664,2.957320,-39.043495,7.182179,6.933612,-71.156837,-9.343575,25.442186,0.801155,-0.551062,-0.192311,0.132278
31,0.643694,-11.112598,-1.574014,-67.242516,12.528456,39.568092,-73.570206,-8.377383,25.466602,0.788745,-0.569635,-0.188693,0.133392
32,0.330715,-11.142602,-1.800744,-45.923557,8.514408,48.611862,-76.734520,-6.588143,25.690487,0.771093,-0.594151,-0.181690,0.139247
33,0.198716,-11.086755,-2.248285,-22.443521,3.214174,53.878826,-79.110825,-4.601591,26.007923,0.756383,-0.613027,-0.173341,0.148441
34,-0.234454,-10.864188,-2.493209,-5.192014,0.082489,54.848583,-80.765907,-2.546839,26.380993,0.744737,-0.626781,-0.164288,0.159757
35,-0.696789,-10.523487,-2.453348,9.862591,-1.541260,52.945156,-81.817017,-0.488592,26.743820,0.735906,-0.636349,-0.154582,0.172066
36,-1.068000,-10.112687,-2.289084,23.321638,-1.855446,48.215839,-82.313423,1.481699,27.059370,0.729966,-0.642081,-0.144489,0.184402
37,-1.162088,-9.611876,-1.906352,31.504725,-0.997477,39.004704,-82.359772,3.207186,27.293459,0.726764,-0.644556,-0.134817,0.195411
38,-1.000946,-9.207661,-1.589739,37.419453,2.578296,26.908865,-82.091698,4.508969,27.382074,0.726074,-0.644533,-0.126478,0.203465
39,-1.171404,-8.589991,-1.246984,42.431385,5.861197,12.464189,-81.589096,5.338686,27.282770,0.727727,-0.642545,-0.119658,0.207923
40,-1.236980,-8.404671,-1.211250,41.696877,10.485510,-1.106128,-81.013802,5.730417,26.974358,0.730863,-0.639701,-0.114343,0.208681
41,-0.908760,-8.224471,-1.034361,37.252834,14.229362,-13.367756,-80.547073,5.656610,26.451031,0.734529,-0.637139,-0.111066,0.205394
42,-0.757012,-8.060223,-1.028014,31.906933,16.746292,-24.185013,-80.261864,5.142066,25.755400,0.738149,-0.635336,-0.110069,0.198415
44,-1.044529,-7.284841,-0.899233,25.512609,20.543535,-39.086674,-80.192024,4.285113,24.884497,0.741290,-0.634666,-0.110744,0.188215
