seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
60,0.280137,-3.003489,9.316925,-7.371702,-8.818624,45.312885,-17.867718,-1.639203,0.528341
61,-1.281408,-4.759032,9.139272,-8.125413,17.701334,20.817268,-18.150478,-1.157660,1.531004
62,-1.610258,-4.624605,8.818722,0.415547,15.842664,15.654214,-18.282177,-0.435999,1.933936
63,-1.427139,-4.666428,8.642472,2.257747,10.414270,11.924422,-18.238314,0.123369,2.233709
64,-1.705788,-4.617430,8.452452,1.589076,9.932747,7.656284,-18.173069,0.547413,2.437860
65,-1.770035,-4.430014,8.417109,2.697184,9.349740,2.304065,-18.100807,0.904482,2.495569
66,-1.590431,-4.364494,8.374545,0.543654,7.088439,-4.318644,-18.048775,1.154482,2.378670
67,-1.258362,-4.460313,8.512382,-3.249878,3.008934,-12.405549,-18.100334,1.227947,2.061386
68,-1.823850,-4.247872,8.668522,-1.180648,6.992927,-18.467916,-18.185583,1.226063,1.520346
69,-1.511777,-4.178161,8.714993,0.478631,2.951752,-23.376698,-18.212267,1.165822,0.805933
70,-1.390868,-4.194742,8.743374,-1.127849,-0.320608,-26.711174,-18.237694,0.946488,-0.000812
71,-1.323422,-4.228811,8.746605,-3.930718,-3.040832,-28.637217,-18.333406,0.603786,-0.859127
72,-1.370369,-4.142342,8.690602,-6.502260,-3.852478,-28.205994,-18.513119,0.195232,-1.721553
73,-0.610715,-4.338242,8.707734,-12.859828,-11.032250,-26.739290,-18.834799,-0.333133,-2.509532
74,-0.296016,-4.451510,8.742870,-17.592600,-12.539284,-24.939312,-19.333910,-0.986412,-3.194933
75,-0.194918,-4.380083,8.795872,-17.258183,-9.465629,-22.780750,-19.900444,-1.599155,-3.820868
76,0.039557,-4.311070,8.888535,-14.833744,-7.021328,-21.008776,-20.416290,-2.108599,-4.411408
77,0.208029,-4.211891,9.032829,-9.662798,-4.462367,-19.344234,-20.801903,-2.524379,-4.973948
78,0.261767,-4.070798,8.956716,-4.558491,-1.606952,-17.081942,-21.014156,-2.835325,-5.505600
79,0.349840,-4.045123,8.993079,-3.004410,0.306141,-15.610735,-21.114565,-3.051210,-6.006978
80,0.579737,-4.012833,9.021878,-2.153926,-0.526605,-15.277329,-21.174295,-3.240283,-6.486508
81,0.648297,-3.962752,8.989144,-1.230798,-0.259186,-13.611039,-21.204802,-3.426495,-6.931453
82,0.642561,-4.007489,8.947571,-5.236063,-0.063290,-12.108408,-21.288229,-3.586816,-7.329776
83,0.541446,-4.162699,9.082387,-9.019180,0.760028,-10.934128,-21.502729,-3.716228,-7.692265
84,0.539913,-4.110560,8.951371,-6.523784,2.082680,-9.598292,-21.739765,-3.798388,-8.028512
85,0.342436,-4.167054,8.951535,-4.909831,5.593290,-7.196296,-21.909996,-3.783640,-8.336573
86,0.093898,-4.194117,8.972997,-3.866490,9.511081,-5.046353,-22.038012,-3.626517,-8.620524
87,-0.115603,-4.232498,9.000255,-0.942098,13.495900,-2.364237,-22.102566,-3.317559,-8.879474
88,-0.185335,-4.035904,8.825609,3.757686,16.280863,-0.531592,-22.043245,-2.875748,-9.110936
89,-0.229290,-4.009184,8.906932,2.363026,16.977068,0.566394,-21.931854,-2.361480,-9.318002
90,-0.075569,-4.046575,8.813526,-4.866658,17.873743,2.524065,-21.967464,-1.803513,-9.487511
91,0.090194,-4.025157,8.776598,-4.109900,10.158471,0.744585,-22.113707,-1.350117,-9.612670
92,0.054763,-4.071217,8.878972,-0.719587,6.702246,2.888906,-22.193117,-1.067025,-9.662618
93,-0.025076,-4.020708,8.998993,4.353851,4.582576,6.701268,-22.133877,-0.832551,-9.585478
94,0.050940,-3.687120,9.131665,14.031652,-2.195979,6.711792,-21.830132,-0.711999,-9.392965
95,-0.212021,-3.412378,9.569100,18.765442,-1.786796,12.085514,-21.287413,-0.658697,-9.076964
96,-0.218223,-3.273681,9.700373,18.656776,-2.394261,17.052277,-20.668739,-0.549822,-8.598645
97,0.123847,-3.138281,9.721447,14.424908,-5.013378,18.127670,-20.122629,-0.460985,-8.006110
98,0.344223,-3.162679,9.606084,6.404226,-6.326719,15.885611,-19.780312,-0.444949,-7.408706
99,0.093001,-3.491293,9.481910,-3.805073,-1.256782,15.835788,-19.740995,-0.384847,-6.868378
100,0.192877,-3.531925,8.881305,-11.503942,0.358297,10.857626,-19.998289,-0.247328,-6.444949
101,-0.044998,-3.683630,8.738403,-19.209053,5.069005,7.022256,-20.510775,-0.058973,-6.196780
102,-0.190856,-3.839005,8.500054,-22.103891,7.015284,3.022949,-21.199078,0.189162,-6.112029
103,-0.280358,-3.919786,8.526937,-20.838655,7.799153,0.445860,-21.914879,0.440267,-6.149015
104,-0.270056,-4.050486,8.616240,-18.647833,5.559827,-1.257498,-22.573820,0.641358,-6.245811
105,-0.126724,-4.345423,8.975371,-15.168405,2.734435,-3.159683,-23.138842,0.740191,-6.367449
106,-0.005701,-4.398460,9.117595,-9.135140,0.560695,-5.217115,-23.545792,0.735353,-6.517518
107,-0.021476,-4.372408,9.429349,-4.737113,0.360571,-6.662580,-23.779259,0.670048,-6.705125
108,-0.110286,-4.309592,9.603887,-2.648834,1.978738,-6.921247,-23.904852,0.614277,-6.928010
110,0.021304,-4.095391,9.399233,-2.725942,0.468744,-7.468614,-23.996861,0.554237,-7.163755
