seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
34,-9.818221,-0.029364,-0.173677,0.103110,0.006485,-0.036242,-170.403503,88.972260,-170.405029,0.700825,-0.001048,0.713332,-0.001067
36,-9.819793,-0.030045,-0.169257,0.079004,-0.012657,-0.081307,-170.272690,88.973206,-170.277222,0.700832,-0.001042,0.713324,-0.001098
37,-9.820686,-0.027491,-0.167954,0.066798,0.016287,-0.046203,-170.151917,88.975304,-170.158859,0.700847,-0.001038,0.713310,-0.001124
38,-9.817625,-0.032320,-0.167646,0.014915,0.052855,-0.052307,-170.045135,88.976456,-170.053452,0.700857,-0.001040,0.713301,-0.001143
39,-9.816821,-0.032172,-0.165342,-0.027810,0.077208,-0.058431,-169.879120,88.976837,-169.887238,0.700862,-0.001059,0.713295,-0.001159
40,-9.816101,-0.027767,-0.169798,0.005760,0.080210,-0.064529,-169.783829,88.976456,-169.791565,0.700862,-0.001072,0.713296,-0.001168
41,-9.814835,-0.027139,-0.166763,0.019493,0.087798,-0.059917,-169.770096,88.976074,-169.778214,0.700857,-0.001072,0.713300,-0.001172
43,-9.812924,-0.032822,-0.169006,0.031701,0.067897,-0.053810,-169.667419,88.976265,-169.676422,0.700861,-0.001078,0.713296,-0.001188
44,-9.816997,-0.033479,-0.168596,0.021020,0.070872,-0.063001,-169.446823,88.976837,-169.456665,0.700870,-0.001095,0.713287,-0.001217
45,-9.819117,-0.030588,-0.165628,0.025599,0.067716,-0.049272,-169.299713,88.979324,-169.310379,0.700889,-0.001104,0.713269,-0.001235
46,-9.817507,-0.027572,-0.155242,0.030175,0.064435,-0.038528,-169.295044,88.988762,-169.306519,0.700946,-0.001088,0.713212,-0.001230
47,-9.813726,-0.028629,-0.150230,0.013390,0.059500,-0.020135,-169.303223,89.004951,-169.315475,0.701044,-0.001064,0.713116,-0.001215
48,-9.811852,-0.029904,-0.154411,0.004235,0.057652,-0.026187,-169.252945,89.019218,-169.265396,0.701132,-0.001051,0.713029,-0.001206
50,-9.810084,-0.025001,-0.157161,0.002707,0.052870,-0.027635,-169.335968,89.027634,-169.348602,0.701185,-0.001032,0.712978,-0.001188
51,-9.810237,-0.028862,-0.159445,0.016440,0.055804,-0.035183,-169.464493,89.032066,-169.477417,0.701210,-0.001012,0.712953,-0.001171
52,-9.811574,-0.030441,-0.165130,0.008810,0.057310,-0.044321,-169.448242,89.031464,-169.461563,0.701204,-0.001012,0.712959,-0.001176
53,-9.815051,-0.032531,-0.171456,0.008810,0.057412,-0.055025,-169.363953,89.024017,-169.377548,0.701161,-0.001027,0.713001,-0.001195
54,-9.819676,-0.027668,-0.162873,0.008809,0.055951,-0.061118,-169.338165,89.018814,-169.352005,0.701129,-0.001034,0.713033,-0.001205
55,-9.821424,-0.028767,-0.165313,0.025594,0.068144,-0.058012,-169.393097,89.017822,-169.407455,0.701121,-0.001026,0.713041,-0.001204
57,-9.820046,-0.020213,-0.161089,0.027117,0.063522,-0.054832,-169.651260,89.018814,-169.666428,0.701121,-0.000994,0.713041,-0.001182
58,-9.820090,-0.021870,-0.164822,0.025588,0.066523,-0.057698,-170.074158,89.020416,-170.090179,0.701123,-0.000943,0.713039,-0.001141
59,-9.815949,-0.027257,-0.164012,0.002697,0.064976,-0.057600,-170.255966,89.019615,-170.272400,0.701116,-0.000922,0.713046,-0.001125
