seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
7915,0.052801,6.816492,-7.053941,-0.012551,-0.076724,0.063659,135.980759,-0.308406,-179.701981,-0.003470,-0.001403,0.927117,0.374753
7917,0.063557,6.817914,-7.056435,-0.011023,-0.078228,0.060629,135.981110,-0.314277,-179.705399,-0.003506,-0.001356,0.927118,0.374750
7918,0.059133,6.820775,-7.051580,-0.015613,-0.072091,0.066765,135.978302,-0.323330,-179.708664,-0.003569,-0.001300,0.927109,0.374773
7919,0.057507,6.821356,-7.047393,-0.018701,-0.073601,0.069832,135.970490,-0.327533,-179.711945,-0.003592,-0.001259,0.927083,0.374836
7920,0.058113,6.814833,-7.049778,-0.018723,-0.079695,0.071367,135.965469,-0.329797,-179.715378,-0.003599,-0.001224,0.927067,0.374877
7921,0.058815,6.808206,-7.050473,-0.018704,-0.078160,0.048487,135.968506,-0.331901,-179.718674,-0.003605,-0.001190,0.927077,0.374852
7922,0.055407,6.809555,-7.048128,-0.018678,-0.073581,0.045437,135.973282,-0.331775,-179.721588,-0.003595,-0.001167,0.927092,0.374814
7924,0.057692,6.804911,-7.052536,-0.015592,-0.079685,0.033229,135.979553,-0.330603,-179.724335,-0.003576,-0.001149,0.927113,0.374763
7925,0.060500,6.803667,-7.054892,-0.006382,-0.075097,0.036291,135.990143,-0.332410,-179.727036,-0.003582,-0.001122,0.927148,0.374677
7926,0.060569,6.804272,-7.051879,-0.000232,-0.065926,0.037832,135.999298,-0.336057,-179.729599,-0.003603,-0.001089,0.927178,0.374603
7927,0.057648,6.807590,-7.052060,-0.004787,-0.064392,0.053099,136.003723,-0.337812,-179.732224,-0.003609,-0.001062,0.927192,0.374567
7928,0.058835,6.802011,-7.054195,-0.004762,-0.065915,0.057680,136.008606,-0.338242,-179.735092,-0.003603,-0.001038,0.927208,0.374528
7929,0.055452,6.814386,-7.056212,-0.000169,-0.062866,0.062255,136.011444,-0.337269,-179.738037,-0.003585,-0.001017,0.927217,0.374505
7931,0.054745,6.814598,-7.057310,-0.010860,-0.058300,0.053089,136.009399,-0.333961,-179.740814,-0.003549,-0.001006,0.927211,0.374522
7932,0.056421,6.817173,-7.059696,-0.027655,-0.062886,0.056133,136.007050,-0.331561,-179.743515,-0.003521,-0.000992,0.927203,0.374541
7933,0.059352,6.821307,-7.059170,-0.027671,-0.067460,0.059188,136.002808,-0.332362,-179.746399,-0.003518,-0.000966,0.927189,0.374576
7934,0.054691,6.821096,-7.059977,-0.032269,-0.075088,0.059188,135.997604,-0.332193,-179.749435,-0.003507,-0.000941,0.927172,0.374618
7935,0.053914,6.810242,-7.062016,-0.036834,-0.079677,0.056127,135.998993,-0.328623,-179.752625,-0.003468,-0.000927,0.927177,0.374607
7936,0.051592,6.805768,-7.062892,-0.023048,-0.091901,0.057636,136.008545,-0.323424,-179.756042,-0.003414,-0.000917,0.927208,0.374530
7937,0.050250,6.798759,-7.062780,-0.006191,-0.090396,0.049988,136.022659,-0.316785,-179.759521,-0.003349,-0.000911,0.927255,0.374416
7938,0.048177,6.796312,-7.057751,-0.004594,-0.091946,0.039285,136.036606,-0.309150,-179.762772,-0.003277,-0.000910,0.927300,0.374303
7939,0.051491,6.797898,-7.056368,-0.009127,-0.091962,0.028588,136.045456,-0.303418,-179.765762,-0.003220,-0.000905,0.927329,0.374232
7940,0.054877,6.799741,-7.051732,-0.018267,-0.088906,0.036221,136.047913,-0.302946,-179.768661,-0.003207,-0.000883,0.927337,0.374212
7941,0.059884,6.800428,-7.050437,-0.036587,-0.085831,0.027088,136.045303,-0.308069,-179.771423,-0.003240,-0.000844,0.927329,0.374233
7942,0.059001,6.803669,-7.050581,-0.045762,-0.088852,0.037798,136.040131,-0.315150,-179.774200,-0.003288,-0.000798,0.927312,0.374275
7943,0.062705,6.801373,-7.055932,-0.039664,-0.091873,0.043933,136.037521,-0.322766,-179.777267,-0.003339,-0.000748,0.927303,0.374296
7944,0.055511,6.799158,-7.053647,-0.053384,-0.087275,0.042425,136.038712,-0.326948,-179.780396,-0.003363,-0.000709,0.927307,0.374286
7945,0.054328,6.797857,-7.053425,-0.048789,-0.091856,0.033268,136.040359,-0.324942,-179.783386,-0.003337,-0.000692,0.927312,0.374273
7946,0.052403,6.800019,-7.055151,-0.027410,-0.087288,0.039361,136.042404,-0.320861,-179.786362,-0.003294,-0.000681,0.927319,0.374257
7947,0.057867,6.802459,-7.053973,-0.013671,-0.091867,0.037835,136.042923,-0.319498,-179.789368,-0.003273,-0.000661,0.927321,0.374252
7948,0.055059,6.804512,-7.052462,-0.006050,-0.088807,0.042420,136.040588,-0.320247,-179.792404,-0.003270,-0.000634,0.927313,0.374271
7949,0.061762,6.810306,-7.057535,0.007664,-0.090318,0.062271,136.036926,-0.323605,-179.795715,-0.003286,-0.000596,0.927301,0.374301
7950,0.061675,6.817513,-7.058637,0.009160,-0.090290,0.063824,136.031174,-0.330602,-179.799271,-0.003331,-0.000544,0.927282,0.374348
7951,0.062226,6.819397,-7.057065,-0.010723,-0.096368,0.065374,136.022034,-0.336776,-179.802933,-0.003369,-0.000494,0.927252,0.374422
7952,0.054136,6.826440,-7.059999,-0.024511,-0.093311,0.062326,136.010635,-0.337155,-179.806595,-0.003360,-0.000463,0.927215,0.374514
7953,0.056760,6.823606,-7.056209,-0.030668,-0.091795,0.066894,135.998825,-0.333753,-179.810226,-0.003321,-0.000444,0.927177,0.374610
7954,0.059641,6.820654,-7.053499,-0.020032,-0.091791,0.053164,135.989212,-0.333809,-179.813736,-0.003310,-0.000416,0.927145,0.374687
7955,0.060804,6.816704,-7.055518,-0.018526,-0.085676,0.048599,135.984558,-0.336441,-179.816986,-0.003321,-0.000380,0.927130,0.374725
7956,0.058144,6.816666,-7.053879,-0.009375,-0.093296,0.051659,135.983337,-0.337903,-179.820267,-0.003322,-0.000349,0.927126,0.374735
7957,0.059340,6.807499,-7.052993,-0.010886,-0.097869,0.050137,135.985687,-0.338002,-179.823715,-0.003311,-0.000321,0.927134,0.374716
7958,0.059363,6.808644,-7.055767,-0.018483,-0.103967,0.044040,135.991898,-0.338454,-179.827209,-0.003303,-0.000291,0.927154,0.374666
7959,0.053675,6.806076,-7.057914,-0.024545,-0.103973,0.047086,135.999634,-0.335424,-179.830765,-0.003267,-0.000273,0.927179,0.374604
7960,0.053683,6.805610,-7.058033,-0.018395,-0.103990,0.054699,136.008148,-0.329457,-179.834442,-0.003207,-0.000263,0.927207,0.374535
7961,0.056620,6.802283,-7.058937,-0.032079,-0.090264,0.047063,136.016937,-0.326280,-179.837967,-0.003170,-0.000245,0.927236,0.374464
7962,0.060370,6.798755,-7.057776,-0.025923,-0.079573,0.048600,136.026642,-0.328164,-179.841141,-0.003174,-0.000213,0.927268,0.374385
7963,0.055425,6.798792,-7.055696,-0.027404,-0.079565,0.047082,136.034744,-0.329624,-179.844193,-0.003176,-0.000184,0.927294,0.374320
7964,0.055414,6.799376,-7.055457,-0.031951,-0.078042,0.044026,136.039749,-0.327820,-179.847137,-0.003152,-0.000166,0.927311,0.374280
7965,0.054645,6.801698,-7.054271,-0.036515,-0.084151,0.039445,136.041489,-0.325448,-179.850037,-0.003123,-0.000151,0.927316,0.374266
7966,0.052847,6.804206,-7.056839,-0.028881,-0.094842,0.056220,136.041138,-0.321919,-179.853256,-0.003084,-0.000136,0.927315,0.374269
7967,0.052262,6.804650,-7.058298,-0.034981,-0.105535,0.053158,136.041077,-0.317473,-179.856888,-0.003037,-0.000121,0.927315,0.374269
7968,0.052985,6.805240,-7.059129,-0.025818,-0.094862,0.050097,136.041595,-0.313826,-179.860458,-0.002995,-0.000104,0.927317,0.374265
7969,0.052982,6.806166,-7.059855,-0.016655,-0.088763,0.048567,136.042374,-0.311551,-179.863770,-0.002966,-0.000085,0.927319,0.374259
7970,0.055044,6.808504,-7.063920,-0.015119,-0.076553,0.040939,136.043747,-0.311166,-179.866776,-0.002953,-0.000062,0.927324,0.374248
7971,0.055642,6.806551,-7.061856,-0.015108,-0.076545,0.022637,136.045593,-0.312442,-179.869308,-0.002955,-0.000037,0.927330,0.374233
7972,0.059470,6.813969,-7.060236,-0.013591,-0.081105,0.019601,136.043350,-0.315908,-179.871643,-0.002976,-0.000007,0.927323,0.374251
7974,0.061831,6.809695,-7.061871,-0.013607,-0.090232,0.028785,136.039856,-0.322415,-179.874176,-0.003020,0.000035,0.927311,0.374280
7975,0.058195,6.811727,-7.061098,-0.015139,-0.096313,0.033385,136.038193,-0.327159,-179.877075,-0.003049,0.000074,0.927306,0.374293
7976,0.057671,6.809775,-7.055921,-0.016680,-0.105459,0.057809,136.034561,-0.328517,-179.880493,-0.003049,0.000106,0.927294,0.374322
7977,0.057213,6.819177,-7.058360,-0.006033,-0.103927,0.068495,136.027374,-0.328996,-179.884384,-0.003040,0.000139,0.927270,0.374381
7978,0.053872,6.817372,-7.057694,0.003082,-0.100878,0.062388,136.019119,-0.327159,-179.888275,-0.003012,0.000165,0.927243,0.374448
7979,0.055214,6.816577,-7.058511,-0.015258,-0.106989,0.048648,136.013412,-0.324030,-179.891983,-0.002975,0.000185,0.927225,0.374494
7980,0.060854,6.817489,-7.059857,-0.016800,-0.108504,0.048657,136.009598,-0.325219,-179.895630,-0.002973,0.000218,0.927212,0.374525
7981,0.062541,6.818788,-7.061758,-0.012231,-0.100850,0.036475,136.007172,-0.330798,-179.899063,-0.003007,0.000265,0.927204,0.374545
7982,0.062805,6.810922,-7.055589,-0.021389,-0.106927,0.030397,136.006332,-0.336675,-179.902267,-0.003044,0.000310,0.927201,0.374551
7983,0.061321,6.813691,-7.055140,-0.041229,-0.097750,0.030417,136.004761,-0.340692,-179.905365,-0.003066,0.000348,0.927196,0.374564
7984,0.062961,6.823509,-7.053806,-0.024474,-0.087051,0.042641,135.997391,-0.344163,-179.908340,-0.003084,0.000384,0.927172,0.374624
7985,0.058157,6.828338,-7.049445,-0.035225,-0.090095,0.036545,135.982559,-0.345180,-179.911255,-0.003083,0.000411,0.927123,0.374744
7986,0.056899,6.825510,-7.050908,-0.032241,-0.102308,0.038064,135.967789,-0.341976,-179.914291,-0.003047,0.000425,0.927075,0.374863
7987,0.060272,6.825449,-7.052052,-0.036862,-0.093153,0.045693,135.958221,-0.340295,-179.917511,-0.003023,0.000446,0.927044,0.374941
7988,0.058731,6.819226,-7.055561,-0.026188,-0.100779,0.045697,135.955734,-0.340284,-179.920853,-0.003012,0.000473,0.927036,0.374961
7989,0.051132,6.815001,-7.056533,-0.030735,-0.103845,0.042632,135.960739,-0.334955,-179.924316,-0.002957,0.000484,0.927052,0.374921
7990,0.057511,6.810948,-7.054239,-0.018485,-0.111489,0.042618,135.968582,-0.329305,-179.927887,-0.002900,0.000494,0.927078,0.374858
7991,0.060380,6.811931,-7.054671,-0.024550,-0.109955,0.027368,135.975754,-0.329917,-179.931335,-0.002894,0.000524,0.927101,0.374799
7992,0.058551,6.809886,-7.058918,-0.012298,-0.116045,0.019750,135.983887,-0.331311,-179.934555,-0.002895,0.000554,0.927128,0.374734
7993,0.062679,6.815892,-7.060182,-0.024467,-0.114504,0.019767,135.991058,-0.333680,-179.937744,-0.002903,0.000587,0.927151,0.374676
7994,0.069871,6.815565,-7.059810,-0.016817,-0.108361,0.012175,135.994598,-0.342270,-179.940735,-0.002963,0.000640,0.927163,0.374647
7995,0.068148,6.814223,-7.063815,-0.025946,-0.082373,0.009169,135.999222,-0.353213,-179.943237,-0.003043,0.000695,0.927177,0.374610
7996,0.069073,6.812525,-7.059697,-0.019814,-0.074706,0.019887,136.004196,-0.362239,-179.945435,-0.003109,0.000743,0.927193,0.374569
7997,0.067552,6.811552,-7.061410,-0.027419,-0.074677,0.019916,136.008331,-0.369150,-179.947678,-0.003158,0.000783,0.927207,0.374536
7998,0.064623,6.809443,-7.055553,-0.009089,-0.073136,0.030612,136.011368,-0.372032,-179.950012,-0.003174,0.000811,0.927217,0.374511
7999,0.065355,6.808642,-7.055658,-0.013658,-0.079233,0.032144,136.012802,-0.372763,-179.952545,-0.003171,0.000834,0.927221,0.374500
8000,0.059113,6.808414,-7.054807,-0.012124,-0.086869,0.039767,136.013855,-0.369858,-179.955338,-0.003139,0.000847,0.927225,0.374491
8001,0.055233,6.812176,-7.055489,-0.015178,-0.089948,0.044319,136.013092,-0.361261,-179.958389,-0.003059,0.000844,0.927222,0.374498
8002,0.058272,6.818167,-7.055929,-0.013673,-0.091497,0.035140,136.008636,-0.353187,-179.961426,-0.002984,0.000842,0.927208,0.374534
8003,0.055650,6.813080,-7.060424,-0.004527,-0.093041,0.035123,136.006500,-0.346867,-179.964386,-0.002923,0.000846,0.927201,0.374551
8004,0.051565,6.814972,-7.061707,-0.013670,-0.096119,0.028993,136.008698,-0.337937,-179.967361,-0.002841,0.000840,0.927209,0.374534
8005,0.058448,6.816925,-7.067251,-0.007548,-0.103765,0.036609,136.011993,-0.332029,-179.970490,-0.002783,0.000846,0.927219,0.374507
8006,0.061777,6.811740,-7.068625,-0.002934,-0.102228,0.033568,136.019089,-0.333535,-179.973755,-0.002785,0.000878,0.927243,0.374450
8007,0.056715,6.804548,-7.067978,0.000177,-0.096115,0.047311,136.030762,-0.334713,-179.977081,-0.002783,0.000908,0.927281,0.374356
8008,0.056502,6.802567,-7.067858,-0.011964,-0.094591,0.044257,136.043961,-0.332781,-179.980469,-0.002757,0.000929,0.927324,0.374249
8009,0.055810,6.806006,-7.073301,0.003357,-0.090019,0.068668,136.056274,-0.330700,-179.984024,-0.002728,0.000951,0.927364,0.374149
8010,0.054065,6.802656,-7.065130,0.000350,-0.088501,0.059504,136.065094,-0.327851,-179.987686,-0.002694,0.000971,0.927393,0.374078
8011,0.055998,6.800951,-7.064488,-0.014884,-0.085454,0.059499,136.070038,-0.325587,-179.991150,-0.002664,0.000991,0.927409,0.374038
8012,0.060834,6.805358,-7.063326,-0.024029,-0.074762,0.054931,136.071350,-0.327897,-179.994385,-0.002672,0.001025,0.927413,0.374028
8013,0.064135,6.806951,-7.060979,-0.031672,-0.073208,0.044276,136.067810,-0.334922,-179.997284,-0.002719,0.001071,0.927401,0.374056
8014,0.065823,6.801893,-7.056599,-0.037794,-0.086907,0.022947,136.062973,-0.343441,-179.999908,-0.002780,0.001121,0.927385,0.374095
8015,0.062814,6.803807,-7.057622,-0.033232,-0.088406,0.027551,136.058929,-0.349275,179.997467,-0.002818,0.001161,0.927372,0.374128
8016,0.056741,6.809857,-7.058107,-0.033255,-0.096034,0.032130,136.053101,-0.348340,179.994644,-0.002802,0.001181,0.927353,0.374175
8017,0.058425,6.808500,-7.057110,-0.031759,-0.094516,0.039751,136.046112,-0.344407,179.991623,-0.002760,0.001193,0.927330,0.374232
8018,0.055099,6.806226,-7.057045,-0.030250,-0.086898,0.039741,136.041534,-0.340211,179.988586,-0.002716,0.001204,0.927315,0.374269
8019,0.055651,6.802039,-7.057990,-0.036350,-0.073177,0.053460,136.041138,-0.335635,179.985611,-0.002669,0.001213,0.927314,0.374273
8020,0.062154,6.797348,-7.063887,-0.048520,-0.070122,0.050414,136.047424,-0.336387,179.982666,-0.002666,0.001239,0.927335,0.374222
8021,0.060870,6.793493,-7.062455,-0.048457,-0.064001,0.033646,136.058334,-0.340463,179.980026,-0.002690,0.001273,0.927370,0.374133
8022,0.052321,6.796818,-7.063100,-0.042299,-0.080792,0.038217,136.067535,-0.338043,179.977432,-0.002662,0.001286,0.927400,0.374059
8023,0.055493,6.800377,-7.062086,-0.030064,-0.096068,0.054986,136.071976,-0.332160,179.974228,-0.002604,0.001293,0.927415,0.374023
8024,0.054706,6.806929,-7.055366,-0.025502,-0.097604,0.047348,136.067947,-0.328400,179.970779,-0.002562,0.001308,0.927402,0.374056
8025,0.050097,6.809412,-7.054009,-0.016398,-0.109829,0.053434,136.057037,-0.322268,179.967239,-0.002501,0.001317,0.927366,0.374144
8026,0.053199,6.805950,-7.058043,-0.025590,-0.120526,0.065625,136.049118,-0.316176,179.963181,-0.002438,0.001330,0.927340,0.374209
8027,0.056667,6.811166,-7.054134,-0.033249,-0.111369,0.065626,136.042099,-0.315265,179.958954,-0.002417,0.001362,0.927317,0.374265
8028,0.054997,6.812748,-7.056338,-0.040920,-0.109836,0.054951,136.032776,-0.316099,179.955002,-0.002411,0.001397,0.927287,0.374341
8029,0.057949,6.811148,-7.060017,-0.040940,-0.117455,0.051910,136.027359,-0.317444,179.951111,-0.002409,0.001433,0.927269,0.374385
8030,0.059415,6.815498,-7.057830,-0.040956,-0.106756,0.051928,136.022858,-0.321143,179.947281,-0.002426,0.001476,0.927254,0.374421
8031,0.060817,6.818663,-7.058414,-0.037934,-0.099103,0.053476,136.015594,-0.326237,179.943665,-0.002456,0.001522,0.927230,0.374480
8032,0.057016,6.814583,-7.065344,-0.033362,-0.105192,0.044334,136.013062,-0.328966,179.940140,-0.002466,0.001559,0.927222,0.374501
