seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
69,0.042302,0.127615,-9.869630,0.398863,-0.017355,-2.217192,179.259201,-0.245553,-179.996826,-0.002143,-0.000014,0.999977,0.006465
71,0.045549,0.170140,-9.876749,-1.506016,0.178645,-0.049564,179.240585,-0.247746,-179.959015,-0.002164,-0.000343,0.999976,0.006626
72,0.044469,0.166769,-9.873267,-1.245737,0.119303,-0.038587,179.194717,-0.252683,-179.957474,-0.002208,-0.000356,0.999973,0.007027
73,0.047042,0.169971,-9.871902,-1.095196,0.182526,-0.034030,179.155701,-0.257696,-179.956192,-0.002252,-0.000366,0.999970,0.007367
74,0.045708,0.163421,-9.872755,-0.646435,0.102822,-0.026988,179.126663,-0.262436,-179.955109,-0.002293,-0.000374,0.999968,0.007620
75,0.044894,0.166921,-9.869524,-0.579298,0.048078,-0.012384,179.106232,-0.264940,-179.954407,-0.002315,-0.000380,0.999967,0.007799
76,0.047258,0.167329,-9.867554,-0.455380,0.117222,-0.012389,179.088989,-0.267689,-179.953949,-0.002339,-0.000383,0.999966,0.007949
78,0.046539,0.168008,-9.868291,-0.375183,0.063362,-0.018786,179.075134,-0.270690,-179.953384,-0.002365,-0.000388,0.999965,0.008070
79,0.049115,0.167279,-9.863181,-0.260643,0.137485,-0.014080,179.064545,-0.274028,-179.952789,-0.002395,-0.000392,0.999964,0.008162
80,0.050519,0.170444,-9.863886,-0.291690,0.167791,-0.010780,179.055328,-0.279108,-179.952286,-0.002439,-0.000396,0.999963,0.008243
81,0.047107,0.158267,-9.864764,0.183718,0.007610,-0.024651,179.053528,-0.282021,-179.951645,-0.002464,-0.000402,0.999963,0.008258
82,0.047614,0.159765,-9.868253,0.144335,0.004151,-0.027897,179.058990,-0.282203,-179.950775,-0.002466,-0.000409,0.999963,0.008211
83,0.049500,0.156751,-9.871466,0.213747,0.072764,-0.034106,179.064957,-0.283468,-179.949722,-0.002477,-0.000419,0.999964,0.008159
85,0.046687,0.151581,-9.870783,0.363750,-0.044856,-0.033588,179.074570,-0.283915,-179.948578,-0.002481,-0.000429,0.999964,0.008075
86,0.050069,0.150244,-9.871321,0.345298,0.074702,-0.037873,179.086380,-0.284393,-179.947388,-0.002485,-0.000439,0.999965,0.007972
87,0.055237,0.158717,-9.872210,-0.021571,0.253140,-0.030767,179.091766,-0.289838,-179.946152,-0.002533,-0.000450,0.999965,0.007924
88,0.052753,0.163683,-9.871060,-0.230524,0.144923,-0.026089,179.087570,-0.296456,-179.945099,-0.002591,-0.000459,0.999965,0.007961
89,0.049738,0.165022,-9.871119,-0.254964,0.004815,-0.037681,179.079468,-0.298935,-179.944000,-0.002613,-0.000468,0.999964,0.008032
90,0.046443,0.165969,-9.876483,-0.240835,-0.119568,-0.045802,179.071198,-0.297000,-179.942627,-0.002596,-0.000480,0.999964,0.008104
92,0.045664,0.167603,-9.873850,-0.231360,-0.128574,-0.047636,179.063324,-0.292839,-179.941147,-0.002560,-0.000493,0.999963,0.008173
93,0.043495,0.169532,-9.874978,-0.256711,-0.171693,-0.048572,179.055176,-0.287809,-179.939621,-0.002516,-0.000506,0.999963,0.008244
94,0.045757,0.166347,-9.870712,-0.085818,-0.063667,-0.042933,179.049469,-0.283862,-179.938156,-0.002482,-0.000519,0.999962,0.008294
95,0.043682,0.170834,-9.872567,-0.218866,-0.111020,-0.032141,179.044373,-0.280930,-179.936966,-0.002456,-0.000530,0.999962,0.008338
96,0.045963,0.177177,-9.870612,-0.413488,-0.013736,-0.020779,179.033829,-0.278836,-179.936111,-0.002438,-0.000537,0.999961,0.008430
97,0.047402,0.178012,-9.871552,-0.374203,0.042652,-0.016504,179.020706,-0.279308,-179.935486,-0.002442,-0.000542,0.999960,0.008544
99,0.045836,0.173364,-9.866267,-0.132310,-0.023009,-0.031580,179.012253,-0.279621,-179.934677,-0.002445,-0.000549,0.999960,0.008618
100,0.047172,0.172687,-9.866844,-0.045517,0.023061,-0.036565,179.009293,-0.279603,-179.933548,-0.002445,-0.000559,0.999960,0.008644
101,0.048458,0.169377,-9.861149,0.114694,0.075040,-0.032088,179.010437,-0.281218,-179.932373,-0.002459,-0.000569,0.999960,0.008634
102,0.049957,0.166947,-9.863045,0.187524,0.138627,-0.046230,179.015472,-0.284756,-179.931000,-0.002490,-0.000581,0.999960,0.008590
103,0.047318,0.164587,-9.860557,0.250360,0.028918,-0.052491,179.022751,-0.287520,-179.929306,-0.002514,-0.000595,0.999960,0.008526
104,0.049452,0.167181,-9.861487,0.092368,0.101808,-0.044533,179.028458,-0.289671,-179.927658,-0.002533,-0.000610,0.999961,0.008477
106,0.046616,0.164565,-9.861774,0.163224,-0.009983,-0.033931,179.032715,-0.291179,-179.926315,-0.002546,-0.000621,0.999961,0.008439
107,0.045156,0.166513,-9.862166,0.033436,-0.071519,-0.035407,179.035980,-0.289801,-179.925186,-0.002534,-0.000632,0.999961,0.008411
108,0.048193,0.167882,-9.857897,-0.013552,0.017345,-0.030766,179.036316,-0.288880,-179.924103,-0.002526,-0.000641,0.999961,0.008408
109,0.049474,0.163588,-9.859430,0.122873,0.065731,-0.035280,179.038132,-0.290245,-179.922974,-0.002538,-0.000651,0.999961,0.008392
110,0.049785,0.168010,-9.860399,-0.021751,0.060578,-0.028439,179.039810,-0.292333,-179.921875,-0.002557,-0.000660,0.999961,0.008377
111,0.050650,0.170093,-9.864365,-0.118850,0.072919,-0.028569,179.037460,-0.294541,-179.920898,-0.002576,-0.000669,0.999961,0.008398
113,0.053584,0.166884,-9.865148,0.047157,0.141910,-0.035589,179.036255,-0.298103,-179.919769,-0.002607,-0.000678,0.999961,0.008408
114,0.048232,0.162772,-9.872587,0.174423,-0.058018,-0.033723,179.039948,-0.299482,-179.918579,-0.002619,-0.000689,0.999961,0.008376
115,0.047181,0.174817,-9.878177,-0.269663,-0.109924,-0.024563,179.038345,-0.296667,-179.917664,-0.002595,-0.000697,0.999961,0.008390
116,0.043606,0.175201,-9.880050,-0.247955,-0.220788,-0.037058,179.029724,-0.291139,-179.916733,-0.002547,-0.000705,0.999961,0.008465
117,0.043349,0.177286,-9.880903,-0.294151,-0.189106,-0.048969,179.020676,-0.284284,-179.915405,-0.002487,-0.000717,0.999960,0.008544
118,0.048490,0.179238,-9.881898,-0.304170,0.044360,-0.045274,179.010696,-0.281845,-179.913879,-0.002466,-0.000730,0.999959,0.008631
120,0.046369,0.189933,-9.878224,-0.595871,-0.018759,-0.052397,178.995697,-0.282243,-179.912247,-0.002470,-0.000744,0.999958,0.008762
121,0.044176,0.178061,-9.872333,-0.105737,-0.091975,-0.062008,178.983994,-0.280364,-179.910370,-0.002453,-0.000760,0.999958,0.008864
122,0.044485,0.172370,-9.871471,0.146794,-0.069843,-0.048124,178.984665,-0.277635,-179.908585,-0.002430,-0.000776,0.999958,0.008858
123,0.045079,0.172615,-9.871341,0.150931,-0.044997,-0.047531,178.989624,-0.275693,-179.907028,-0.002413,-0.000790,0.999958,0.008815
124,0.042409,0.170963,-9.867409,0.176362,-0.137942,-0.036620,178.995071,-0.272620,-179.905670,-0.002386,-0.000802,0.999958,0.008768
125,0.043749,0.167395,-9.865327,0.251475,-0.069485,-0.024350,179.002197,-0.269146,-179.904724,-0.002356,-0.000811,0.999959,0.008705
127,0.046141,0.174723,-9.872290,-0.010209,0.030493,-0.025460,179.006210,-0.268481,-179.903900,-0.002350,-0.000818,0.999959,0.008670
128,0.048299,0.177190,-9.874787,-0.140018,0.112233,-0.026127,179.003708,-0.270845,-179.903000,-0.002371,-0.000826,0.999959,0.008692
129,0.050633,0.175302,-9.868353,-0.064796,0.188076,-0.033738,179.000290,-0.275832,-179.901917,-0.002414,-0.000835,0.999959,0.008722
130,0.053382,0.181659,-9.865666,-0.265892,0.257474,-0.047293,178.994766,-0.283233,-179.900436,-0.002479,-0.000847,0.999958,0.008770
131,0.051271,0.180440,-9.867751,-0.201248,0.139186,-0.056641,178.986969,-0.289812,-179.898590,-0.002537,-0.000863,0.999957,0.008838
132,0.050724,0.174163,-9.865215,0.025923,0.078074,-0.057877,178.984039,-0.293399,-179.896622,-0.002568,-0.000879,0.999957,0.008863
134,0.052672,0.176556,-9.861209,-0.037772,0.126694,-0.063493,178.983826,-0.296776,-179.894531,-0.002598,-0.000897,0.999957,0.008865
135,0.053379,0.179349,-9.863131,-0.121975,0.118520,-0.051708,178.981155,-0.300828,-179.892532,-0.002633,-0.000914,0.999957,0.008888
136,0.049678,0.175860,-9.869216,-0.030964,-0.035809,-0.062873,178.978592,-0.302172,-179.890610,-0.002645,-0.000931,0.999956,0.008911
137,0.055960,0.170869,-9.867644,0.175561,0.164505,-0.062700,178.981003,-0.304279,-179.888474,-0.002664,-0.000950,0.999957,0.008890
138,0.054534,0.175404,-9.864547,0.030318,0.099763,-0.055566,178.984421,-0.308648,-179.886429,-0.002702,-0.000967,0.999957,0.008860
139,0.053124,0.177096,-9.868312,-0.046800,0.023736,-0.052757,178.984131,-0.310674,-179.884583,-0.002720,-0.000983,0.999957,0.008862
140,0.051439,0.172731,-9.871948,0.106079,-0.030979,-0.057759,178.985107,-0.310521,-179.882751,-0.002719,-0.000999,0.999957,0.008854
141,0.052645,0.169167,-9.868906,0.266741,0.014007,-0.048727,178.991318,-0.310207,-179.880981,-0.002716,-0.001015,0.999957,0.008799
142,0.047852,0.168498,-9.868389,0.232703,-0.140261,-0.044077,178.999634,-0.308076,-179.879471,-0.002698,-0.001028,0.999958,0.008727
143,0.048893,0.166396,-9.872101,0.256697,-0.085785,-0.040022,179.007782,-0.304284,-179.878128,-0.002664,-0.001040,0.999959,0.008656
